FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
060201;0000;;94,9315;;
060301;0000;;79,2015;;
060401;0000;;84,5964;;
060501;0000;;91,1083;;
060601;0000;;67,0114;;
060701;0000;;78,2734;;
060801;0000;;66,9072;;
060901;0000;;36,2197;;
061001;0000;;44,8752;;
061101;0000;;62,5308;;
061201;0000;;59,0234;;
070101;0000;;48,2879;;
070201;0000;;51,7373;;
070301;0000;;49,1396;;
070401;0000;;62,4998;;
070501;0000;;87,5214;;
070601;0000;;146,866;;
070701;0000;;82,1223;;
070801;0000;;135,041;;
070901;0000;;27,7641;;
071001;0000;;46,3221;;
071101;0000;;28,7857;;
071201;0000;;46,2042;;
080101;0000;;54,914;;
080201;0000;;31,3846;;
080301;0000;;64,0714;;
080401;0000;;82,0723;;
080501;0000;;136,762;;
080601;0000;;114,641;;
080701;0000;;39,0161;;
080801;0000;;56,3253;;
080901;0000;;41,0172;;
081001;0000;;31,9537;;
081101;0000;;53,6998;;
081201;0000;;25,3938;;
090101;0000;;35,9;;
090201;0000;;33,1818;;
090301;0000;;33;;
090401;0000;;69,8;;
090501;0000;;51,6;;
090601;0000;;51,3;;
090701;0000;;42,4545;;
090801;0000;;48,5;;
090901;0000;;30,6;;
091001;0000;;35,3;;
091101;0000;;22,1;;
091201;0000;;25,5902;;
100101;0000;;48,899;;
100201;0000;;46,6281;;
100301;0000;;55,3831;;
100401;0000;;39,8127;;
100501;0000;;46,9956;;
