FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040401;0100;;0;;
040401;0200;;0;;
040401;0300;;0;;
040401;0400;;0;;
040401;0500;;0;;
040401;0600;;1;;
040401;0700;;6,6;;
040401;0800;;29,7;;
040401;0900;;7,8;;
040401;1000;;0,4;;
040401;1100;;0;;
040401;1200;;0,0999998;;
040401;1300;;0,2;;
040401;1400;;0,2;;
040401;1500;;1,5;;
040401;1600;;0,0999998;;
040401;1700;;0,2;;
040401;1800;;2,4;;
040401;1900;;3,4;;
040401;2000;;0,799998;;
040401;2100;;1,2;;
040401;2200;;19,2;;
040401;2300;;7,39999;;
040402;0000;;3,5;;
040402;0100;;9;;
040402;0200;;1,5;;
040402;0300;;0,2;;
040402;0400;;0;;
040402;0500;;0,0999998;;
040402;0600;;0,0999998;;
040402;0700;;2;;
040402;0800;;3,1;;
040402;0900;;2;;
040402;1000;;1,4;;
040402;1100;;0,599998;;
040402;1200;;0,2;;
040402;1300;;0,5;;
040402;1400;;0,5;;
040402;1500;;0,0999998;;
040402;1600;;0,7;;
040402;1700;;0;;
040402;1800;;0,0999998;;
040402;1900;;0,3;;
040402;2000;;0,2;;
040402;2100;;0,2;;
040402;2200;;0;;
040402;2300;;0;;
040403;0000;;0;;
040403;0100;;0;;
040403;0200;;0;;
040403;0300;;0;;
040403;0400;;0;;
040403;0500;;0;;
040403;0600;;0;;
040403;0700;;0;;
040403;0800;;1,7;;
040403;0900;;5,89999;;
040403;1000;;5,8;;
040403;1100;;3,8;;
040403;1200;;1,3;;
040403;1300;;1,8;;
040403;1400;;6,7;;
040403;1500;;6,6;;
040403;1600;;9,2;;
040403;1700;;15;;
040403;1800;;15,8;;
040403;1900;;23,9;;
040403;2000;;24,9;;
040403;2100;;31;;
040403;2200;;24,8;;
040403;2300;;26;;
040404;0000;;5,6;;
040404;0100;;7,7;;
040404;0200;;5,1;;
040404;0300;;7,8;;
040404;0400;;8;;
040404;0500;;15,2;;
040404;0600;;6,5;;
040404;0700;;2,8;;
040404;0800;;6,5;;
040404;0900;;17,6;;
040404;1000;;5,2;;
040404;1100;;2,4;;
040404;1200;;0,599998;;
040404;1300;;0;;
040404;1400;;1,5;;
040404;1500;;0;;
040404;1600;;1,1;;
040404;1700;;1,4;;
040404;1800;;1,8;;
040404;1900;;2,7;;
040404;2000;;3,9;;
040404;2100;;44;;
040404;2200;;37,1;;
040404;2300;;28,4;;
040405;0000;;1;;
040405;0100;;0;;
040405;0200;;0;;
040405;0300;;0,0999998;;
040405;0400;;0;;
040405;0500;;0;;
040405;0600;;0,3;;
040405;0700;;1,6;;
040405;0800;;4,8;;
040405;0900;;0,2;;
040405;1000;;0,0999998;;
