FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090326;0100;49;;;
090326;0200;47;;;
090326;0300;47;;;
090326;0400;42;;;
090326;0500;43;;;
090326;0600;46;;;
090326;0700;53;;;
090326;0800;59;;;
090326;0900;81;;;
090326;1000;86;;;
090326;1100;46;;;
090326;1200;36;;;
090326;1300;29;;;
090326;1400;27;;;
090326;1500;25;;;
090326;1600;27;;;
090326;1700;31;;;
090326;1800;38;;;
090326;1900;40;;;
090326;2000;42;;;
090326;2100;37;;;
090326;2200;38;;;
090326;2300;35;;;
090327;0000;33;;;
090327;0100;35;;;
090327;0200;34;;;
090327;0300;32;;;
090327;0400;31;;;
090327;0500;29;;;
090327;0600;31;;;
090327;0700;36;;;
090327;0800;44;;;
090327;0900;66;;;
090327;1000;64;;;
090327;1100;67;;;
090327;1200;48;;;
090327;1300;35;;;
090327;1400;26;;;
090327;1500;29;;;
090327;1600;31;;;
090327;1700;35;;;
090327;1800;43;;;
090327;1900;50;;;
090327;2000;52;;;
090327;2100;54;;;
090327;2200;54;;;
090327;2300;53;;;
090328;0000;53;;;
090328;0100;49;;;
090328;0200;46;;;
090328;0300;45;;;
090328;0400;43;;;
090328;0500;42;;;
090328;0600;42;;;
090328;0700;44;;;
090328;0800;63;;;
090328;0900;93;;;
090328;1000;76;;;
090328;1100;47;;;
090328;1200;37;;;
090328;1300;34;;;
090328;1400;23;;;
090328;1500;21;;;
090328;1600;21;;;
090328;1700;20;;;
090328;1800;24;;;
090328;1900;32;;;
090328;2000;30;;;
090328;2100;26;;;
090328;2200;24;;;
090328;2300;26;;;
090329;0000;27;;;
090329;0100;27;;;
090329;0200;23;;;
090329;0300;19;;;
090329;0400;13;;;
090329;0500;15;;;
090329;0600;18;;;
090329;0700;21;;;
090329;0800;23;;;
090329;0900;27;;;
090329;1000;37;;;
090329;1100;20;;;
090329;1200;19;;;
090329;1300;15;;;
090329;1400;14;;;
090329;1500;13;;;
090329;1600;14;;;
090329;1700;16;;;
090329;1800;20;;;
090329;1900;24;;;
090329;2000;25;;;
090329;2100;27;;;
090329;2200;27;;;
090329;2300;26;;;
090330;0000;24;;;
090330;0100;24;;;
090330;0200;22;;;
090330;0300;22;;;
090330;0400;24;;;
090330;0500;22;;;
090330;0600;26;;;
090330;0700;32;;;
090330;0800;52;;;
090330;0900;49;;;
090330;1000;32;;;
090330;1100;47;;;
090330;1200;33;;;
090330;1300;32;;;
090330;1400;24;;;
090330;1500;20;;;
090330;1600;23;;;
090330;1700;28;;;
090330;1800;42;;;
090330;1900;53;;;
090330;2000;58;;;
090330;2100;53;;;
090330;2200;50;;;
090330;2300;46;;;
090331;0000;31;;;
090331;0100;36;;;
090331;0200;37;;;
090331;0300;34;;;
090331;0400;33;;;
090331;0500;32;;;
090331;0600;36;;;
090331;0700;41;;;
090331;0800;55;;;
090331;0900;72;;;
090331;1000;67;;;
090331;1100;52;;;
090331;1200;46;;;
090331;1300;33;;;
090331;1400;22;;;
090331;1500;23;;;
090331;1600;30;;;
090331;1700;34;;;
090331;1800;46;;;
090331;1900;48;;;
090331;2000;40;;;
090331;2100;44;;;
090331;2200;43;;;
090331;2300;40;;;
090401;0000;36;;;
090401;0100;35;;;
090401;0200;32;;;
090401;0300;32;;;
090401;0400;32;;;
090401;0500;33;;;
090401;0600;32;;;
090401;0700;34;;;
090401;0800;37;;;
090401;0900;32;;;
090401;1000;33;;;
090401;1100;34;;;
090401;1200;37;;;
090401;1300;35;;;
090401;1400;23;;;
090401;1500;21;;;
090401;1600;21;;;
090401;1700;27;;;
090401;1800;37;;;
090401;1900;38;;;
090401;2000;29;;;
090401;2100;29;;;
090401;2200;44;;;
090401;2300;41;;;
090402;0000;46;;;
090402;0100;44;;;
090402;0200;41;;;
090402;0300;38;;;
090402;0400;41;;;
090402;0500;41;;;
090402;0600;42;;;
090402;0700;44;;;
090402;0800;49;;;
090402;0900;48;;;
090402;1000;53;;;
090402;1100;53;;;
090402;1200;46;;;
090402;1300;25;;;
090402;1400;20;;;
090402;1500;15;;;
090402;1600;17;;;
090402;1700;21;;;
090402;1800;28;;;
090402;1900;35;;;
090402;2000;30;;;
090402;2100;24;;;
090402;2200;26;;;
090402;2300;25;;;
090403;0000;24;;;
090403;0100;21;;;
090403;0200;19;;;
090403;0300;15;;;
090403;0400;14;;;
090403;0500;14;;;
090403;0600;16;;;
090403;0700;20;;;
090403;0800;33;;;
090403;0900;42;;;
090403;1000;30;;;
090403;1100;26;;;
090403;1200;21;;;
090403;1300;18;;;
090403;1400;20;;;
090403;1500;21;;;
090403;1600;19;;;
090403;1700;24;;;
090403;1800;24;;;
090403;1900;29;;;
090403;2000;30;;;
090403;2100;30;;;
090403;2200;27;;;
090403;2300;24;;;
090404;0000;23;;;
090404;0100;19;;;
090404;0200;15;;;
090404;0300;15;;;
090404;0400;14;;;
090404;0500;15;;;
090404;0600;16;;;
090404;0700;17;;;
090404;0800;20;;;
090404;0900;19;;;
090404;1000;21;;;
090404;1100;40;;;
090404;1200;49;;;
090404;1300;41;;;
090404;1400;31;;;
090404;1500;21;;;
090404;1600;19;;;
090404;1700;22;;;
090404;1800;26;;;
090404;1900;30;;;
090404;2000;32;;;
090404;2100;34;;;
090404;2200;32;;;
090404;2300;34;;;
090405;0000;31;;;
090405;0100;30;;;
090405;0200;31;;;
090405;0300;29;;;
090405;0400;28;;;
090405;0500;29;;;
090405;0600;27;;;
090405;0700;28;;;
090405;0800;30;;;
090405;0900;30;;;
090405;1000;23;;;
090405;1100;43;;;
090405;1200;38;;;
090405;1300;28;;;
090405;1400;20;;;
090405;1500;13;;;
090405;1600;15;;;
090405;1700;18;;;
090405;1800;29;;;
090405;1900;42;;;
090405;2000;47;;;
090405;2100;52;;;
090405;2200;49;;;
090405;2300;48;;;
090406;0000;44;;;
090406;0100;42;;;
090406;0200;41;;;
090406;0300;37;;;
090406;0400;32;;;
090406;0500;33;;;
090406;0600;39;;;
090406;0700;45;;;
090406;0800;60;;;
090406;0900;59;;;
090406;1000;50;;;
090406;1100;78;;;
090406;1200;53;;;
090406;1300;45;;;
090406;1400;25;;;
090406;1500;25;;;
090406;1600;31;;;
090406;1700;36;;;
090406;1800;59;;;
090406;1900;61;;;
090406;2000;53;;;
090406;2100;51;;;
090406;2200;52;;;
090406;2300;48;;;
090407;0000;48;;;
090407;0100;44;;;
090407;0200;41;;;
090407;0300;37;;;
090407;0400;34;;;
090407;0500;34;;;
090407;0600;35;;;
090407;0700;43;;;
090407;0800;42;;;
090407;0900;47;;;
090407;1000;35;;;
090407;1100;30;;;
090407;1200;42;;;
090407;1300;41;;;
090407;1400;27;;;
090407;1500;27;;;
090407;1600;28;;;
090407;1700;33;;;
090407;1800;50;;;
090407;1900;51;;;
090407;2000;52;;;
090407;2100;53;;;
090407;2200;48;;;
090407;2300;48;;;
090408;0000;45;;;
090408;0100;44;;;
090408;0200;41;;;
090408;0300;37;;;
090408;0400;31;;;
090408;0500;31;;;
090408;0600;41;;;
090408;0700;45;;;
090408;0800;48;;;
090408;0900;57;;;
090408;1000;67;;;
090408;1100;78;;;
090408;1200;53;;;
090408;1300;32;;;
090408;1400;25;;;
090408;1500;27;;;
090408;1600;29;;;
090408;1700;40;;;
090408;1800;53;;;
090408;1900;49;;;
090408;2000;47;;;
090408;2100;41;;;
090408;2200;43;;;
090408;2300;44;;;
090409;0000;43;;;
090409;0100;43;;;
090409;0200;40;;;
090409;0300;36;;;
090409;0400;36;;;
090409;0500;36;;;
090409;0600;35;;;
090409;0700;39;;;
090409;0800;53;;;
090409;0900;66;;;
090409;1000;91;;;
090409;1100;78;;;
090409;1200;35;;;
090409;1300;30;;;
090409;1400;30;;;
090409;1500;35;;;
090409;1600;34;;;
090409;1700;37;;;
090409;1800;45;;;
090409;1900;45;;;
090409;2000;46;;;
090409;2100;46;;;
090409;2200;43;;;
090409;2300;45;;;
090410;0000;42;;;
090410;0100;41;;;
090410;0200;35;;;
090410;0300;33;;;
090410;0400;35;;;
090410;0500;34;;;
090410;0600;31;;;
090410;0700;33;;;
090410;0800;46;;;
090410;0900;69;;;
090410;1000;55;;;
090410;1100;24;;;
090410;1200;16;;;
090410;1300;17;;;
090410;1400;14;;;
090410;1500;14;;;
090410;1600;15;;;
090410;1700;17;;;
090410;1800;23;;;
090410;1900;27;;;
090410;2000;27;;;
090410;2100;35;;;
090410;2200;36;;;
090410;2300;34;;;
090411;0000;35;;;
090411;0100;31;;;
090411;0200;31;;;
090411;0300;29;;;
090411;0400;27;;;
090411;0500;26;;;
090411;0600;22;;;
090411;0700;25;;;
090411;0800;29;;;
090411;0900;38;;;
090411;1000;33;;;
090411;1100;32;;;
090411;1200;26;;;
090411;1300;16;;;
090411;1400;14;;;
090411;1500;15;;;
090411;1600;14;;;
090411;1700;18;;;
090411;1800;23;;;
090411;1900;21;;;
090411;2000;23;;;
090411;2100;27;;;
090411;2200;27;;;
090411;2300;28;;;
090412;0000;29;;;
090412;0100;27;;;
090412;0200;27;;;
090412;0300;26;;;
090412;0400;24;;;
090412;0500;24;;;
090412;0600;22;;;
090412;0700;22;;;
090412;0800;20;;;
090412;0900;12;;;
090412;1000;16;;;
090412;1100;11;;;
090412;1200;13;;;
090412;1300;12;;;
090412;1400;11;;;
090412;1500;11;;;
090412;1600;11;;;
090412;1700;16;;;
090412;1800;21;;;
090412;1900;26;;;
090412;2000;25;;;
090412;2100;24;;;
090412;2200;25;;;
090412;2300;24;;;
090413;0000;22;;;
090413;0100;21;;;
090413;0200;21;;;
090413;0300;21;;;
090413;0400;21;;;
090413;0500;21;;;
090413;0600;25;;;
090413;0700;33;;;
090413;0800;38;;;
090413;0900;52;;;
090413;1000;65;;;
090413;1100;58;;;
090413;1200;51;;;
090413;1300;28;;;
090413;1400;32;;;
090413;1500;26;;;
090413;1600;33;;;
090413;1700;34;;;
090413;1800;47;;;
090413;1900;51;;;
090413;2000;50;;;
090413;2100;51;;;
090413;2200;50;;;
090413;2300;48;;;
090414;0000;47;;;
090414;0100;42;;;
090414;0200;37;;;
090414;0300;34;;;
090414;0400;32;;;
090414;0500;35;;;
090414;0600;41;;;
090414;0700;47;;;
090414;0800;46;;;
090414;0900;48;;;
090414;1000;43;;;
090414;1100;49;;;
090414;1200;57;;;
090414;1300;37;;;
090414;1400;34;;;
090414;1500;27;;;
090414;1600;32;;;
090414;1700;33;;;
090414;1800;46;;;
090414;1900;50;;;
090414;2000;56;;;
090414;2100;57;;;
090414;2200;55;;;
090414;2300;54;;;
090415;0000;50;;;
090415;0100;48;;;
090415;0200;46;;;
090415;0300;42;;;
090415;0400;40;;;
090415;0500;35;;;
090415;0600;28;;;
090415;0700;29;;;
090415;0800;48;;;
090415;0900;73;;;
090415;1000;78;;;
090415;1100;74;;;
090415;1200;38;;;
