FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0100;25;;;
000101;0200;18,9;;;
000101;0300;8;;;
000101;0400;6,2;;;
000101;0500;4,8;;;
000101;0600;5,3;;;
000101;0700;2,8;;;
000101;0800;3,8;;;
000101;0900;4,89999;;;
000101;1000;1,2;;;
000101;1100;1;;;
000101;1200;1;;;
000101;1300;1;;;
000101;1400;1;;;
000101;1500;1;;;
000101;1600;1;;;
000101;1700;1;;;
000101;1800;1;;;
000101;1900;1;;;
000101;2000;1;;;
000101;2100;1;;;
000101;2200;1,3;;;
000101;2300;4,3;;;
000102;0000;6,2;;;
000102;0100;6,3;;;
000102;0200;2,2;;;
000102;0300;4,89999;;;
000102;0400;2,7;;;
000102;0500;1,3;;;
000102;0600;1,5;;;
000102;0700;2,3;;;
000102;0800;4,1;;;
000102;0900;1,3;;;
000102;1000;1;;;
000102;1100;1;;;
000102;1200;1;;;
000102;1300;1;;;
000102;1400;1;;;
000102;1500;1;;;
000102;1600;1;;;
000102;1700;1;;;
000102;1800;1;;;
000102;1900;1;;;
000102;2000;1;;;
000102;2100;1;;;
000102;2200;1;;;
000102;2300;1;;;
000103;0000;1;;;
000103;0100;1;;;
000103;0200;1;;;
000103;0300;1;;;
000103;0400;1;;;
000103;0500;1;;;
000103;0600;2,9;;;
000103;0700;12,3;;;
000103;0800;14,8;;;
000103;0900;10,2;;;
000103;1000;6,1;;;
000103;1100;3,8;;;
000103;1200;1,8;;;
000103;1300;1;;;
000103;1400;1;;;
000103;1500;1;;;
000103;1600;1,3;;;
000103;1700;1,2;;;
000103;1800;1;;;
000103;1900;1;;;
000103;2000;2,7;;;
000103;2100;3,3;;;
000103;2200;6,8;;;
000103;2300;7,8;;;
000104;0000;5;;;
000104;0100;3,8;;;
000104;0200;5,89999;;;
000104;0300;2,2;;;
000104;0400;1,3;;;
000104;0500;1,7;;;
000104;0600;19;;;
000104;0700;11,3;;;
000104;0800;3,3;;;
000104;0900;4,2;;;
