FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970719;0100;57,64;;;
970719;0200;47,16;;;
970719;0300;39,3;;;
970719;0400;28,82;;;
970719;0500;26,2;;;
970719;0600;28,82;;;
970719;0700;28,82;;;
970719;0800;34,06;;;
970719;0900;41,92;;;
970719;1000;28,82;;;
970719;1100;31,44;;;
970719;1200;47,16;;;
970719;1300;39,3;;;
970719;1400;26,2;;;
970719;1500;23,58;;;
970719;1600;10,48;;;
970719;1700;13,1;;;
970719;1800;18,34;;;
970719;1900;34,06;;;
970719;2000;65,5;;;
970719;2100;70,74;;;
970719;2200;62,88;;;
970719;2300;60,26;;;
970720;0000;47,16;;;
970720;0100;44,54;;;
970720;0200;39,3;;;
970720;0300;34,06;;;
970720;0400;31,44;;;
970720;0500;28,82;;;
970720;0600;26,2;;;
970720;0700;28,82;;;
970720;0800;47,16;;;
970720;0900;52,4;;;
970720;1000;31,44;;;
970720;1100;28,82;;;
970720;1200;20,96;;;
970720;1300;20,96;;;
970720;1400;20,96;;;
970720;1500;13,1;;;
970720;1600;18,34;;;
970720;1700;15,72;;;
970720;1800;18,34;;;
970720;1900;60,26;;;
970720;2000;81,22;;;
970720;2100;70,74;;;
970720;2200;70,74;;;
970720;2300;68,12;;;
970721;0000;68,12;;;
970721;0100;52,4;;;
970721;0200;39,3;;;
970721;0300;62,88;;;
970721;0400;52,4;;;
970721;0500;41,92;;;
970721;0600;57,64;;;
970721;0700;57,64;;;
970721;0800;44,54;;;
970721;0900;115,28;;;
970721;1000;117,9;;;
970721;1100;70,74;;;
970721;1200;70,74;;;
970721;1300;55,02;;;
970721;1400;39,3;;;
970721;1500;28,82;;;
970721;1600;23,58;;;
970721;1700;31,44;;;
970721;1800;28,82;;;
970721;1900;23,58;;;
970721;2000;47,16;;;
970721;2100;47,16;;;
970721;2200;49,78;;;
970721;2300;47,16;;;
970722;0000;52,4;;;
970722;0100;57,64;;;
970722;0200;49,78;;;
970722;0300;41,92;;;
970722;0400;36,68;;;
970722;0500;28,82;;;
970722;0600;28,82;;;
970722;0700;34,06;;;
970722;0800;41,92;;;
970722;0900;81,22;;;
970722;1000;102,18;;;
970722;1100;102,18;;;
970722;1200;83,84;;;
970722;1300;62,88;;;
970722;1400;49,78;;;
970722;1500;34,06;;;
970722;1600;36,68;;;
970722;1700;49,78;;;
970722;1800;;;;
970722;1900;;;;
970722;2000;;;;
970722;2100;;;;
970722;2200;83,84;;;
970722;2300;83,84;;;
970723;0000;70,74;;;
970723;0100;57,64;;;
970723;0200;44,54;;;
970723;0300;36,68;;;
970723;0400;28,82;;;
970723;0500;34,06;;;
970723;0600;39,3;;;
970723;0700;57,64;;;
970723;0800;86,46;;;
970723;0900;89,08;;;
970723;1000;65,5;;;
970723;1100;60,26;;;
970723;1200;44,54;;;
970723;1300;44,54;;;
970723;1400;39,3;;;
970723;1500;26,2;;;
970723;1600;;;;
970723;1700;;;;
970723;1800;62,88;;;
970723;1900;57,64;;;
970723;2000;123,14;;;
970723;2100;117,9;;;
970723;2200;86,46;;;
970723;2300;75,98;;;
970724;0000;62,88;;;
970724;0100;44,54;;;
