FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
031216;0100;;;2,19166;
031216;0200;;;2,19166;
031216;0300;;;2,90833;
031216;0400;;;2,54166;
031216;0500;;;2,32222;
031216;0600;;;2,42222;
031216;0700;;;3,025;
031216;0800;;;2,50833;
031216;0900;;;2,19166;
031216;1000;;;2,1;
031216;1100;;;2,1;
031216;1200;;;2,00833;
031216;1300;;;2;
031216;1400;;;2;
031216;1500;;;2;
031216;1600;;;2;
031216;1700;;;;
031216;1800;;;2,02727;
031216;1900;;;2,05833;
031216;2000;;;2,00833;
031216;2100;;;2;
031216;2200;;;2;
031216;2300;;;2;
031217;0000;;;2,00833;
031217;0100;;;2,03333;
031217;0200;;;2,1;
031217;0300;;;2,125;
031217;0400;;;2,30833;
031217;0500;;;2,68888;
031217;0600;;;2,6;
031217;0700;;;2,66666;
031217;0800;;;2,41666;
031217;0900;;;2,2;
031217;1000;;;2,13333;
031217;1100;;;2,05;
031217;1200;;;1,95833;
031217;1300;;;1,9;
031217;1400;;;1,9;
031217;1500;;;1,9;
031217;1600;;;1,9;
031217;1700;;;1,93;
031217;1800;;;1,96667;
031217;1900;;;1,93333;
031217;2000;;;1,91667;
031217;2100;;;1,93333;
031217;2200;;;1,94167;
031217;2300;;;1,96667;
031218;0000;;;1,98333;
031218;0100;;;1,99166;
031218;0200;;;2;
031218;0300;;;2;
031218;0400;;;2;
031218;0500;;;2;
031218;0600;;;2;
031218;0700;;;2,04166;
031218;0800;;;2,125;
031218;0900;;;2,05833;
031218;1000;;;2;
031218;1100;;;2;
031218;1200;;;1,99166;
031218;1300;;;1,925;
031218;1400;;;1,90833;
031218;1500;;;1,91667;
031218;1600;;;1,91667;
031218;1700;;;1,9;
031218;1800;;;1,925;
031218;1900;;;1,925;
031218;2000;;;1,9;
031218;2100;;;1,9;
031218;2200;;;1,90833;
031218;2300;;;1,94167;
031219;0000;;;1,96667;
031219;0100;;;2;
031219;0200;;;1,975;
031219;0300;;;1,925;
031219;0400;;;1,975;
031219;0500;;;2;
031219;0600;;;1,84127;
031219;0700;;;2,24603;
031219;0800;;;1,90476;
031219;0900;;;1,8254;
031219;1000;;;1,72222;
031219;1100;;;1,80952;
031219;1200;;;1,74603;
031219;1300;;;1,72222;
031219;1400;;;1,71428;
031219;1500;;;1,71428;
031219;1600;;;1,73809;
031219;1700;;;1,80952;
031219;1800;;;1,80952;
031219;1900;;;1,76984;
031219;2000;;;1,73016;
031219;2100;;;1,72222;
031219;2200;;;1,72222;
031219;2300;;;1,75397;
031220;0000;;;1,76984;
031220;0100;;;1,80952;
031220;0200;;;1,90476;
031220;0300;;;1,83333;
031220;0400;;;;
031220;0500;;;;
031220;0600;;;2,10526;
031220;0700;;;2,46491;
031220;0800;;;2,2807;
031220;0900;;;2,08772;
031220;1000;;;2;
031220;1100;;;1,94737;
031220;1200;;;1,93859;
031220;1300;;;1,89474;
031220;1400;;;1,91228;
031220;1500;;;1,90351;
031220;1600;;;1,89474;
031220;1700;;;1,92982;
031220;1800;;;1,98245;
031220;1900;;;1,98245;
031220;2000;;;2;
031220;2100;;;2;
031220;2200;;;2;
031220;2300;;;2,00877;
031221;0000;;;2;
031221;0100;;;2;
031221;0200;;;2;
031221;0300;;;1,99123;
031221;0400;;;2,02631;
031221;0500;;;2;
031221;0600;;;1,7235;
031221;0700;;;1,79262;
031221;0800;;;1,7235;
031221;0900;;;1,7235;
031221;1000;;;1,76958;
031221;1100;;;1,7235;
031221;1200;;;1,7235;
031221;1300;;;1,7235;
031221;1400;;;1,7235;
031221;1500;;;;
031221;1600;;;;
031221;1700;;;1,75422;
031221;1800;;;1,73886;
031221;1900;;;1,7235;
031221;2000;;;1,73886;
031221;2100;;;1,73118;
031221;2200;;;1,7235;
031221;2300;;;1,7235;
031222;0000;;;1,7235;
031222;0100;;;1,73886;
031222;0200;;;1,81567;
031222;0300;;;1,8003;
031222;0400;;;1,82335;
031222;0500;;;1,85663;
031222;0600;;;1,90291;
031222;0700;;;1,87864;
031222;0800;;;1,81391;
031222;0900;;;1,80582;
031222;1000;;;1,80582;
031222;1100;;;1,81391;
031222;1200;;;1,79773;
031222;1300;;;1,75728;
031222;1400;;;1,80582;
031222;1500;;;1,77346;
031222;1600;;;1,71683;
031222;1700;;;1,78964;
031222;1800;;;1,79773;
031222;1900;;;1,80582;
031222;2000;;;1,80582;
031222;2100;;;1,80582;
031222;2200;;;1,80582;
031222;2300;;;;
031223;0000;;;;
031223;0100;;;;
031223;0200;;;;
031223;0300;;;;
031223;0400;;;1,80582;
031223;0500;;;1,80582;
031223;0600;;;1,86243;
031223;0700;;;1,91269;
031223;0800;;;1,92063;
031223;0900;;;1,89682;
031223;1000;;;1,80952;
031223;1100;;;1,80159;
031223;1200;;;1,73016;
031223;1300;;;1,72222;
031223;1400;;;1,73809;
031223;1500;;;1,71428;
031223;1600;;;1,71428;
031223;1700;;;1,71428;
031223;1800;;;1,75397;
031223;1900;;;1,76984;
031223;2000;;;1,73016;
031223;2100;;;1,76984;
031223;2200;;;1,74603;
031223;2300;;;1,7619;
031224;0000;;;1,79365;
031224;0100;;;1,79365;
031224;0200;;;1,80952;
031224;0300;;;1,78571;
031224;0400;;;1,80952;
031224;0500;;;1,80952;
031224;0600;;;1,80952;
031224;0700;;;1,80952;
031224;0800;;;1,86508;
031224;0900;;;1,84921;
031224;1000;;;1,80952;
031224;1100;;;1,80952;
031224;1200;;;1,80159;
031224;1300;;;1,77778;
031224;1400;;;1,7619;
031224;1500;;;1,7619;
031224;1600;;;1,75397;
031224;1700;;;1,77778;
031224;1800;;;1,7619;
031224;1900;;;1,74603;
031224;2000;;;1,80952;
031224;2100;;;1,80952;
031224;2200;;;1,80952;
031224;2300;;;1,79365;
031225;0000;;;1,80952;
031225;0100;;;1,80159;
031225;0200;;;1,80952;
031225;0300;;;1,77778;
031225;0400;;;1,79365;
031225;0500;;;1,79894;
031225;0600;;;1,86243;
031225;0700;;;1,90476;
031225;0800;;;1,84127;
031225;0900;;;1,84127;
031225;1000;;;1,80952;
031225;1100;;;1,80952;
031225;1200;;;1,80952;
031225;1300;;;1,79365;
031225;1400;;;1,74603;
031225;1500;;;1,73016;
031225;1600;;;1,74603;
031225;1700;;;1,71428;
031225;1800;;;1,73809;
031225;1900;;;1,77778;
031225;2000;;;1,7619;
031225;2100;;;1,7619;
031225;2200;;;1,78571;
031225;2300;;;1,80159;
031226;0000;;;1,77778;
031226;0100;;;1,76984;
031226;0200;;;1,7619;
031226;0300;;;1,79365;
031226;0400;;;1,85714;
031226;0500;;;1,80952;
031226;0600;;;2;
031226;0700;;;2;
031226;0800;;;2;
031226;0900;;;2;
031226;1000;;;2;
031226;1100;;;;
031226;1200;;;;
031226;1300;;;;
031226;1400;;;;
031226;1500;;;;
031226;1600;;;;
031226;1700;;;;
031226;1800;;;;
031226;1900;;;2,00877;
031226;2000;;;2;
031226;2100;;;2;
031226;2200;;;2;
031226;2300;;;2;
031227;0000;;;;
031227;0100;;;;
031227;0200;;;;
031227;0300;;;;
031227;0400;;;2,05263;
031227;0500;;;2,08187;
031227;0600;;;1,81818;
031227;0700;;;1,81818;
031227;0800;;;1,81818;
031227;0900;;;1,77273;
031227;1000;;;1,73485;
031227;1100;;;1,72727;
031227;1200;;;1,72727;
031227;1300;;;1,72727;
031227;1400;;;1,72727;
031227;1500;;;;
031227;1600;;;;
031227;1700;;;;
031227;1800;;;;
031227;1900;;;;
031227;2000;;;1,72727;
031227;2100;;;1,72727;
031227;2200;;;1,72727;
031227;2300;;;1,7803;
031228;0000;;;1,80303;
031228;0100;;;1,87878;
031228;0200;;;1,85606;
031228;0300;;;1,94697;
031228;0400;;;1,82575;
031228;0500;;;1,88889;
031228;0600;;;2,01058;
031228;0700;;;1,9365;
031228;0800;;;1,80952;
031228;0900;;;1,80952;
031228;1000;;;1,76984;
031228;1100;;;1,77777;
031228;1200;;;1,71428;
031228;1300;;;1,71428;
031228;1400;;;1,71428;
031228;1500;;;1,71428;
031228;1600;;;;
031228;1700;;;;
031228;1800;;;1,71428;
031228;1900;;;1,78571;
031228;2000;;;1,78571;
031228;2100;;;1,72222;
031228;2200;;;1,71428;
031228;2300;;;1,71428;
031229;0000;;;1,71428;
031229;0100;;;1,74603;
031229;0200;;;1,84127;
031229;0300;;;1,80158;
031229;0400;;;1,80158;
031229;0500;;;1,80952;
031229;0600;;;1,81818;
031229;0700;;;1,86363;
031229;0800;;;1,92424;
031229;0900;;;1,75757;
031229;1000;;;1,73485;
031229;1100;;;1,75;
031229;1200;;;1,72727;
031229;1300;;;1,72727;
031229;1400;;;1,71212;
031229;1500;;;1,71212;
031229;1600;;;1,7197;
031229;1700;;;1,69697;
031229;1800;;;1,68939;
031229;1900;;;1,7197;
031229;2000;;;1,72727;
031229;2100;;;1,72727;
031229;2200;;;1,72727;
031229;2300;;;1,72727;
031230;0000;;;1,72727;
031230;0100;;;;
031230;0200;;;;
031230;0300;;;;
031230;0400;;;;
031230;0500;;;;
031230;0600;;;1,85185;
031230;0700;;;1,86508;
031230;0800;;;1,90476;
031230;0900;;;1,9365;
031230;1000;;;1,81746;
031230;1100;;;1,80952;
031230;1200;;;1,81746;
031230;1300;;;1,7619;
031230;1400;;;1,80952;
031230;1500;;;1,80952;
031230;1600;;;1,80952;
031230;1700;;;1,77778;
031230;1800;;;1,8254;
031230;1900;;;1,80952;
031230;2000;;;1,79365;
031230;2100;;;1,7619;
031230;2200;;;1,75397;
031230;2300;;;1,76984;
031231;0000;;;1,80952;
031231;0100;;;1,80952;
031231;0200;;;1,80952;
031231;0300;;;1,80952;
031231;0400;;;1,80952;
031231;0500;;;;
031231;0600;;;1,8836;
031231;0700;;;1,95238;
031231;0800;;;2,0238;
031231;0900;;;1,90476;
031231;1000;;;1,90476;
031231;1100;;;1,80952;
031231;1200;;;1,80952;
031231;1300;;;1,80159;
031231;1400;;;1,78571;
031231;1500;;;1,78571;
031231;1600;;;1,80952;
031231;1700;;;1,80952;
031231;1800;;;1,80952;
031231;1900;;;1,80952;
031231;2000;;;1,83333;
031231;2100;;;1,81746;
031231;2200;;;1,80952;
031231;2300;;;1,80952;
040101;0000;;;1,80952;
040101;0100;;;1,80952;
040101;0200;;;;
040101;0300;;;1,78095;
040101;0400;;;1,78571;
040101;0500;;;1,77778;
040101;0600;;;1,80952;
040101;0700;;;1,90476;
040101;0800;;;1,86508;
040101;0900;;;1,96825;
040101;1000;;;1,83333;
040101;1100;;;1,80952;
040101;1200;;;1,80952;
040101;1300;;;1,80952;
040101;1400;;;1,78571;
040101;1500;;;1,71428;
040101;1600;;;1,71428;
040101;1700;;;1,79365;
040101;1800;;;1,76984;
040101;1900;;;1,76984;
040101;2000;;;1,71428;
040101;2100;;;1,71428;
040101;2200;;;1,71428;
040101;2300;;;1,73809;
040102;0000;;;1,75397;
040102;0100;;;1,74603;
040102;0200;;;1,73016;
040102;0300;;;1,76984;
040102;0400;;;1,85714;
040102;0500;;;1,80952;
040102;0600;;;1,8201;
040102;0700;;;1,88095;
040102;0800;;;1,91269;
040102;0900;;;1,80952;
040102;1000;;;1,80952;
040102;1100;;;1,8254;
040102;1200;;;1,76984;
040102;1300;;;1,71428;
040102;1400;;;1,71428;
040102;1500;;;1,71428;
040102;1600;;;1,71428;
040102;1700;;;1,71428;
040102;1800;;;;
040102;1900;;;;
040102;2000;;;;
040102;2100;;;;
040102;2200;;;;
040102;2300;;;;
040103;0000;;;;
040103;0100;;;;
040103;0200;;;;
040103;0300;;;;
040103;0400;;;;
040103;0500;;;;
040103;0600;;;1,89418;
040103;0700;;;1,91269;
040103;0800;;;1,84921;
040103;0900;;;1,85714;
040103;1000;;;1,80952;
040103;1100;;;1,79365;
040103;1200;;;1,71428;
040103;1300;;;1,71428;
040103;1400;;;1,71428;
040103;1500;;;1,71428;
040103;1600;;;1,71428;
040103;1700;;;;
040103;1800;;;;
040103;1900;;;1,73809;
040103;2000;;;1,73016;
040103;2100;;;1,71428;
040103;2200;;;1,71428;
040103;2300;;;1,71428;
