FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0100;20;;;
090125;0200;16;;;
090125;0300;14;;;
090125;0400;14;;;
090125;0500;15;;;
090125;0600;14;;;
090125;0700;15;;;
090125;0800;10;;;
090125;0900;8;;;
090125;1000;8;;;
090125;1100;5;;;
090125;1200;2;;;
090125;1300;1;;;
090125;1400;1;;;
090125;1500;1;;;
090125;1600;1;;;
090125;1700;1;;;
090125;1800;1;;;
090125;1900;2;;;
090125;2000;4;;;
090125;2100;7;;;
090125;2200;7;;;
090125;2300;7;;;
090126;0000;12;;;
090126;0100;15;;;
090126;0200;14;;;
090126;0300;11;;;
090126;0400;12;;;
090126;0500;16;;;
090126;0600;19;;;
090126;0700;23;;;
090126;0800;18;;;
090126;0900;17;;;
090126;1000;8;;;
090126;1100;3;;;
090126;1200;2;;;
090126;1300;2;;;
090126;1400;2;;;
090126;1500;2;;;
090126;1600;3;;;
090126;1700;3;;;
090126;1800;6;;;
090126;1900;9;;;
090126;2000;13;;;
090126;2100;24;;;
090126;2200;28;;;
090126;2300;28;;;
090127;0000;20;;;
090127;0100;13;;;
090127;0200;9;;;
090127;0300;6;;;
090127;0400;13;;;
090127;0500;18;;;
090127;0600;22;;;
090127;0700;24;;;
090127;0800;17;;;
090127;0900;16;;;
090127;1000;19;;;
090127;1100;24;;;
090127;1200;11;;;
090127;1300;3;;;
090127;1400;3;;;
090127;1500;3;;;
090127;1600;3;;;
090127;1700;3;;;
090127;1800;6;;;
090127;1900;7;;;
090127;2000;9;;;
090127;2100;14;;;
090127;2200;27;;;
090127;2300;9;;;
090128;0000;22;;;
090128;0100;20;;;
090128;0200;9;;;
090128;0300;8;;;
090128;0400;13;;;
090128;0500;28;;;
090128;0600;33;;;
090128;0700;40;;;
090128;0800;23;;;
090128;0900;18;;;
090128;1000;16;;;
090128;1100;8;;;
090128;1200;4;;;
090128;1300;4;;;
090128;1400;3;;;
090128;1500;4;;;
090128;1600;4;;;
090128;1700;2;;;
090128;1800;2;;;
090128;1900;3;;;
090128;2000;4;;;
090128;2100;6;;;
090128;2200;6;;;
090128;2300;6;;;
090129;0000;4;;;
090129;0100;4;;;
090129;0200;6;;;
090129;0300;6;;;
090129;0400;7;;;
090129;0500;13;;;
090129;0600;21;;;
090129;0700;24;;;
090129;0800;25;;;
090129;0900;26;;;
090129;1000;21;;;
090129;1100;11;;;
090129;1200;6;;;
090129;1300;4;;;
090129;1400;3;;;
090129;1500;2;;;
090129;1600;2;;;
090129;1700;2;;;
090129;1800;3;;;
090129;1900;14;;;
090129;2000;13;;;
090129;2100;14;;;
090129;2200;9;;;
090129;2300;10;;;
090130;0000;8;;;
090130;0100;10;;;
090130;0200;9;;;
090130;0300;14;;;
090130;0400;16;;;
090130;0500;12;;;
090130;0600;18;;;
090130;0700;20;;;
090130;0800;17;;;
090130;0900;23;;;
090130;1000;19;;;
090130;1100;13;;;
090130;1200;5;;;
090130;1300;2;;;
090130;1400;2;;;
090130;1500;2;;;
090130;1600;2;;;
090130;1700;3;;;
090130;1800;4;;;
090130;1900;5;;;
090130;2000;8;;;
090130;2100;14;;;
090130;2200;28;;;
090130;2300;32;;;
090131;0000;30;;;
