FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160205;0100;;;35;
160205;0200;;;33;
160205;0300;;;27;
160205;0400;;;30;
160205;0500;;;34;
160205;0600;;;38;
160205;0700;;;55;
160205;0800;;;69;
160205;0900;;;84;
160205;1000;;;89;
160205;1100;;;93;
160205;1200;;;66;
160205;1300;;;54;
160205;1400;;;48;
160205;1500;;;51;
160205;1600;;;43;
160205;1700;;;51;
160205;1800;;;51;
160205;1900;;;55;
160205;2000;;;49;
160205;2100;;;50;
160205;2200;;;45;
160205;2300;;;47;
160206;0000;;;42;
160206;0100;;;36;
160206;0200;;;29;
160206;0300;;;33;
160206;0400;;;46;
160206;0500;;;58;
160206;0600;;;52;
160206;0700;;;67;
160206;0800;;;72;
160206;0900;;;64;
160206;1000;;;83;
160206;1100;;;68;
160206;1200;;;49;
160206;1300;;;58;
160206;1400;;;52;
160206;1500;;;43;
160206;1600;;;35;
160206;1700;;;43;
160206;1800;;;48;
160206;1900;;;54;
160206;2000;;;;
160206;2100;;;10;
160206;2200;;;42;
160206;2300;;;39;
160207;0000;;;34;
160207;0100;;;28;
160207;0200;;;28;
160207;0300;;;30;
160207;0400;;;34;
160207;0500;;;28;
160207;0600;;;29;
160207;0700;;;41;
160207;0800;;;37;
160207;0900;;;47;
160207;1000;;;47;
160207;1100;;;64;
160207;1200;;;49;
160207;1300;;;48;
160207;1400;;;44;
160207;1500;;;40;
160207;1600;;;41;
160207;1700;;;35;
160207;1800;;;43;
160207;1900;;;45;
160207;2000;;;44;
160207;2100;;;39;
160207;2200;;;40;
160207;2300;;;28;
160208;0000;;;28;
160208;0100;;;27;
160208;0200;;;26;
160208;0300;;;25;
160208;0400;;;27;
160208;0500;;;30;
160208;0600;;;34;
160208;0700;;;47;
160208;0800;;;55;
160208;0900;;;52;
160208;1000;;;56;
160208;1100;;;62;
160208;1200;;;67;
160208;1300;;;63;
160208;1400;;;68;
160208;1500;;;65;
160208;1600;;;47;
160208;1700;;;47;
160208;1800;;;52;
160208;1900;;;66;
160208;2000;;;50;
160208;2100;;;48;
160208;2200;;;58;
160208;2300;;;55;
160209;0000;;;74;
160209;0100;;;59;
160209;0200;;;75;
160209;0300;;;65;
160209;0400;;;62;
160209;0500;;;58;
160209;0600;;;88;
160209;0700;;;120;
160209;0800;;;81;
160209;0900;;;70;
160209;1000;;;68;
160209;1100;;;69;
160209;1200;;;55;
160209;1300;;;45;
160209;1400;;;48;
160209;1500;;;48;
160209;1600;;;77;
160209;1700;;;82;
160209;1800;;;79;
160209;1900;;;65;
160209;2000;;;61;
160209;2100;;;57;
160209;2200;;;42;
160209;2300;;;41;
160210;0000;;;38;
160210;0100;;;36;
160210;0200;;;29;
160210;0300;;;47;
160210;0400;;;40;
160210;0500;;;49;
160210;0600;;;43;
160210;0700;;;90;
160210;0800;;;94;
160210;0900;;;85;
160210;1000;;;93;
160210;1100;;;75;
160210;1200;;;64;
160210;1300;;;59;
160210;1400;;;65;
160210;1500;;;64;
160210;1600;;;59;
160210;1700;;;66;
160210;1800;;;62;
160210;1900;;;57;
160210;2000;;;50;
160210;2100;;;48;
160210;2200;;;42;
160210;2300;;;38;
160211;0000;;;40;
160211;0100;;;38;
160211;0200;;;34;
160211;0300;;;41;
160211;0400;;;51;
160211;0500;;;48;
160211;0600;;;56;
160211;0700;;;62;
160211;0800;;;69;
160211;0900;;;86;
160211;1000;;;78;
160211;1100;;;76;
160211;1200;;;66;
160211;1300;;;66;
160211;1400;;;68;
160211;1500;;;60;
160211;1600;;;48;
160211;1700;;;47;
160211;1800;;;49;
160211;1900;;;60;
160211;2000;;;56;
160211;2100;;;53;
160211;2200;;;46;
160211;2300;;;46;
160212;0000;;;36;
160212;0100;;;30;
160212;0200;;;33;
160212;0300;;;30;
160212;0400;;;24;
160212;0500;;;31;
160212;0600;;;51;
160212;0700;;;63;
160212;0800;;;73;
160212;0900;;;64;
160212;1000;;;71;
160212;1100;;;69;
160212;1200;;;70;
160212;1300;;;72;
160212;1400;;;67;
160212;1500;;;65;
160212;1600;;;58;
160212;1700;;;47;
160212;1800;;;45;
160212;1900;;;54;
160212;2000;;;44;
160212;2100;;;50;
160212;2200;;;45;
160212;2300;;;41;
160213;0000;;;46;
160213;0100;;;38;
160213;0200;;;28;
160213;0300;;;42;
160213;0400;;;44;
160213;0500;;;43;
160213;0600;;;62;
160213;0700;;;61;
160213;0800;;;61;
160213;0900;;;67;
160213;1000;;;62;
160213;1100;;;76;
160213;1200;;;66;
160213;1300;;;55;
160213;1400;;;59;
160213;1500;;;36;
160213;1600;;;28;
160213;1700;;;38;
160213;1800;;;53;
160213;1900;;;55;
160213;2000;;;52;
160213;2100;;;59;
160213;2200;;;58;
160213;2300;;;49;
160214;0000;;;48;
160214;0100;;;71;
160214;0200;;;57;
160214;0300;;;49;
160214;0400;;;60;
160214;0500;;;47;
160214;0600;;;58;
160214;0700;;;108;
160214;0800;;;69;
160214;0900;;;48;
160214;1000;;;47;
160214;1100;;;40;
160214;1200;;;51;
160214;1300;;;55;
160214;1400;;;47;
160214;1500;;;40;
160214;1600;;;41;
160214;1700;;;34;
160214;1800;;;42;
160214;1900;;;46;
160214;2000;;;52;
160214;2100;;;49;
160214;2200;;;51;
160214;2300;;;43;
160215;0000;;;39;
160215;0100;;;33;
160215;0200;;;44;
160215;0300;;;43;
160215;0400;;;75;
160215;0500;;;61;
160215;0600;;;91;
160215;0700;;;86;
160215;0800;;;70;
160215;0900;;;83;
160215;1000;;;64;
160215;1100;;;63;
160215;1200;;;51;
160215;1300;;;48;
160215;1400;;;50;
160215;1500;;;63;
160215;1600;;;79;
160215;1700;;;92;
160215;1800;;;71;
160215;1900;;;63;
160215;2000;;;57;
160215;2100;;;57;
160215;2200;;;39;
160215;2300;;;26;
160216;0000;;;23;
160216;0100;;;28;
160216;0200;;;26;
160216;0300;;;28;
160216;0400;;;31;
160216;0500;;;40;
160216;0600;;;55;
160216;0700;;;71;
160216;0800;;;55;
160216;0900;;;50;
160216;1000;;;49;
160216;1100;;;52;
160216;1200;;;61;
160216;1300;;;68;
160216;1400;;;72;
