FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0100;;0,0422916;;
100101;0200;;0,0507499;;
100101;0300;;0;;
100101;0400;;0,0184545;;
100101;0500;;0,0507499;;
100101;0600;;0,0338333;;
100101;0700;;0,0169166;;
100101;0800;;0,0422916;;
100101;0900;;0;;
100101;1000;;0,0169166;;
100101;1100;;0;;
100101;1200;;0;;
100101;1300;;0,0169166;;
100101;1400;;0;;
100101;1500;;0;;
100101;1600;;0;;
100101;1700;;0;;
100101;1800;;;;
100101;1900;;;;
100101;2000;;0,0169166;;
100101;2100;;0,0253749;;
100101;2200;;0,0253749;;
100101;2300;;0,0169166;;
100102;0000;;0,0338333;;
100102;0100;;0,0930413;;
100102;0200;;0,0930413;;
100102;0300;;0,0930413;;
100102;0400;;0,1015;;
100102;0500;;0,1015;;
100102;0600;;0,0930413;;
100102;0700;;0,1015;;
100102;0800;;0,0845832;;
100102;0900;;0,0338333;;
100102;1000;;0,0338333;;
100102;1100;;0;;
100102;1200;;0;;
100102;1300;;0,00845832;;
100102;1400;;0;;
100102;1500;;0;;
100102;1600;;0,00845832;;
100102;1700;;0,00845832;;
100102;1800;;0,0169166;;
100102;1900;;0;;
100102;2000;;0,0169166;;
100102;2100;;0,0169166;;
100102;2200;;0,0338333;;
100102;2300;;0,0169166;;
100103;0000;;0,0169166;;
100103;0100;;0,00845832;;
100103;0200;;0,00845832;;
100103;0300;;0;;
100103;0400;;0,00845832;;
100103;0500;;0,00845832;;
100103;0600;;0,00845832;;
100103;0700;;0,00845832;;
100103;0800;;0,00845832;;
100103;0900;;0,00845832;;
100103;1000;;0,0253749;;
100103;1100;;0,0422916;;
100103;1200;;0,01015;;
100103;1300;;0,0169166;;
100103;1400;;0,0338333;;
100103;1500;;0,0422916;;
100103;1600;;0,0169166;;
100103;1700;;0,0169166;;
100103;1800;;0,00845832;;
100103;1900;;0,00845832;;
100103;2000;;0,0338333;;
100103;2100;;0,00845832;;
100103;2200;;0,0422916;;
100103;2300;;0,00845832;;
100104;0000;;0,0169166;;
100104;0100;;0;;
100104;0200;;0;;
100104;0300;;0;;
100104;0400;;0,00845832;;
100104;0500;;0,00845832;;
100104;0600;;0;;
100104;0700;;0;;
100104;0800;;0;;
100104;0900;;0,00845832;;
100104;1000;;0,0169166;;
100104;1100;;0,0169166;;
100104;1200;;0,00845832;;
100104;1300;;0,0422916;;
100104;1400;;0,0169166;;
100104;1500;;0,00845832;;
100104;1600;;0;;
100104;1700;;0;;
100104;1800;;0,00845832;;
100104;1900;;0;;
100104;2000;;0,0169166;;
100104;2100;;0;;
100104;2200;;0,0253749;;
100104;2300;;0;;
100105;0000;;0,00845832;;
100105;0100;;0,00845832;;
100105;0200;;0,00845832;;
100105;0300;;0,0169166;;
100105;0400;;0,0253749;;
100105;0500;;0,0338333;;
100105;0600;;0,0338333;;
100105;0700;;0,0338333;;
100105;0800;;0,0338333;;
100105;0900;;0;;
100105;1000;;0;;
100105;1100;;0;;
100105;1200;;0;;
100105;1300;;;;
100105;1400;;0;;
100105;1500;;0,00845832;;
100105;1600;;0;;
100105;1700;;0;;
100105;1800;;0;;
100105;1900;;0;;
100105;2000;;;;
100105;2100;;0,0338333;;
100105;2200;;0,0169166;;
100105;2300;;0,0507499;;
100106;0000;;0,0761248;;
100106;0100;;0,0845832;;
100106;0200;;0,1015;;
100106;0300;;0,0930413;;
100106;0400;;0,1015;;
100106;0500;;0,0930413;;
100106;0600;;0,0676663;;
100106;0700;;0,0930413;;
100106;0800;;0,0338333;;
100106;0900;;0,0169166;;
100106;1000;;0,00845832;;
100106;1100;;0,0169166;;
100106;1200;;0,0169166;;
100106;1300;;0,00845832;;
100106;1400;;0,00845832;;
100106;1500;;0,0169166;;
100106;1600;;0;;
100106;1700;;0;;
100106;1800;;0;;
100106;1900;;0,00845832;;
100106;2000;;0;;
100106;2100;;0,0338333;;
100106;2200;;0,0676663;;
100106;2300;;0,0507499;;
100107;0000;;0,0676663;;
100107;0100;;0,0761248;;
100107;0200;;0,1015;;
100107;0300;;0,1015;;
100107;0400;;0,1015;;
100107;0500;;0,1015;;
100107;0600;;0,1015;;
100107;0700;;;;
100107;0800;;0,0761248;;
100107;0900;;0,0507499;;
100107;1000;;0,0507499;;
100107;1100;;0,0338333;;
100107;1200;;0,0253749;;
100107;1300;;0;;
100107;1400;;0;;
100107;1500;;0,00845832;;
100107;1600;;0;;
100107;1700;;0;;
100107;1800;;0;;
100107;1900;;0;;
100107;2000;;;;
100107;2100;;;;
100107;2200;;;;
100107;2300;;0,0845832;;
100108;0000;;0,0761248;;
100108;0100;;0,0930413;;
100108;0200;;0,0761248;;
100108;0300;;0,0930413;;
100108;0400;;0,1015;;
100108;0500;;0,0789441;;
100108;0600;;0,0962366;;
100108;0700;;0,0811998;;
100108;0800;;0,099244;;
100108;0900;;0,045111;;
100108;1000;;0;;
100108;1100;;0,0180444;;
100108;1200;;0,00902221;;
100108;1300;;0;;
100108;1400;;0;;
100108;1500;;0,00902221;;
100108;1600;;0,00902221;;
100108;1700;;0;;
100108;1800;;0;;
100108;1900;;0;;
100108;2000;;0,0360888;;
100108;2100;;0,0180444;;
100108;2200;;0,099244;;
100108;2300;;0,108266;;
100109;0000;;0,108266;;
100109;0100;;0,108266;;
100109;0200;;0,108266;;
100109;0300;;;;
100109;0400;;;;
100109;0500;;;;
100109;0600;;0,106842;;
100109;0700;;0,0890348;;
100109;0800;;0,0445175;;
100109;0900;;0,0445175;;
