FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130301;0100;37;;;
130301;0200;45;;;
130301;0300;13;;;
130301;0400;29;;;
130301;0500;67;;;
130301;0600;84;;;
130301;0700;68;;;
130301;0800;67;;;
130301;0900;20;;;
130301;1000;18;;;
130301;1100;;;;
130301;1200;;;;
130301;1300;;;;
130301;1400;;;;
130301;1500;;;;
130301;1600;10;;;
130301;1700;10;;;
130301;1800;13;;;
130301;1900;26;;;
130301;2000;;;0;
130301;2100;19;;;
130301;2200;18;;;
130301;2300;19;;;
130302;0000;22;;;
130302;0100;22;;;
130302;0200;15;;;
130302;0300;11;;;
130302;0400;29;;;
130302;0500;40;;;
130302;0600;81;;;
130302;0700;34;;;
130302;0800;45;;;
130302;0900;19;;;
130302;1000;13;;;
130302;1100;22;;;
130302;1200;9;;;
130302;1300;7;;;
130302;1400;7;;;
130302;1500;5;;;
130302;1600;9;;;
130302;1700;13;;;
130302;1800;14;;;
130302;1900;18;;;
130302;2000;53;;;
130302;2100;33;;;
130302;2200;61;;;
130302;2300;24;;;
130303;0000;19;;;
130303;0100;11;;;
130303;0200;27;;;
130303;0300;18;;;
130303;0400;20;;;
130303;0500;22;;;
130303;0600;46;;;
130303;0700;26;;;
130303;0800;21;;;
130303;0900;15;;;
130303;1000;8;;;
130303;1100;8;;;
130303;1200;4;;;
130303;1300;1;;;
130303;1400;1;;;
130303;1500;4;;;
130303;1600;6;;;
130303;1700;9;;;
130303;1800;16;;;
130303;1900;44;;;
130303;2000;57;;;
130303;2100;34;;;
130303;2200;24;;;
130303;2300;21;;;
130304;0000;10;;;
130304;0100;11;;;
130304;0200;7;;;
130304;0300;7;;;
130304;0400;8;;;
130304;0500;76;;;
130304;0600;75;;;
130304;0700;36;;;
130304;0800;8;;;
130304;0900;5;;;
130304;1000;11;;;
130304;1100;9;;;
130304;1200;7;;;
130304;1300;4;;;
130304;1400;2;;;
130304;1500;3;;;
130304;1600;5;;;
130304;1700;7;;;
130304;1800;12;;;
130304;1900;11;;;
130304;2000;21;;;
130304;2100;7;;;
130304;2200;6;;;
130304;2300;6;;;
130305;0000;6;;;
130305;0100;8;;;
130305;0200;5;;;
130305;0300;1;;;
130305;0400;1;;;
130305;0500;10;;;
130305;0600;9;;;
130305;0700;8;;;
130305;0800;10;;;
130305;0900;12;;;
130305;1000;17;;;
130305;1100;8;;;
130305;1200;8;;;
130305;1300;11;;;
130305;1400;11;;;
130305;1500;15;;;
130305;1600;12;;;
130305;1700;17;;;
130305;1800;16;;;
130305;1900;23;;;
130305;2000;15;;;
130305;2100;14;;;
130305;2200;8;;;
130305;2300;5;;;
130306;0000;3;;;
130306;0100;3;;;
130306;0200;10;;;
130306;0300;4;;;
130306;0400;4;;;
130306;0500;25;;;
130306;0600;46;;;
130306;0700;22;;;
130306;0800;13;;;
130306;0900;13;;;
130306;1000;13;;;
130306;1100;14;;;
130306;1200;17;;;
130306;1300;19;;;
130306;1400;15;;;
130306;1500;16;;;
130306;1600;19;;;
130306;1700;23;;;
130306;1800;47;;;
130306;1900;36;;;
130306;2000;23;;;
130306;2100;25;;;
130306;2200;17;;;
130306;2300;8;;;
130307;0000;9;;;
130307;0100;11;;;
130307;0200;8;;;
130307;0300;4;;;
130307;0400;13;;;
130307;0500;26;;;
130307;0600;33;;;
130307;0700;41;;;
130307;0800;41;;;
130307;0900;48;;;
130307;1000;40;;;
130307;1100;33;;;
130307;1200;32;;;
130307;1300;32;;;
130307;1400;38;;;
130307;1500;53;;;
130307;1600;30;;;
130307;1700;92;;;
130307;1800;81;;;
130307;1900;111;;;
130307;2000;68;;;
130307;2100;67;;;
130307;2200;12;;;
130307;2300;10;;;
130308;0000;7;;;
130308;0100;5;;;
130308;0200;7;;;
130308;0300;7;;;
130308;0400;5;;;
130308;0500;15;;;
130308;0600;23;;;
130308;0700;32;;;
130308;0800;63;;;
130308;0900;29;;;
130308;1000;26;;;
130308;1100;7;;;
130308;1200;8;;;
130308;1300;6;;;
130308;1400;2;;;
130308;1500;10;;;
130308;1600;15;;;
130308;1700;36;;;
130308;1800;71;;;
130308;1900;30;;;
130308;2000;36;;;
130308;2100;53;;;
130308;2200;31;;;
130308;2300;24;;;
130309;0000;18;;;
130309;0100;21;;;
130309;0200;8;;;
130309;0300;9;;;
130309;0400;5;;;
130309;0500;16;;;
130309;0600;16;;;
130309;0700;28;;;
130309;0800;30;;;
130309;0900;19;;;
130309;1000;18;;;
130309;1100;22;;;
130309;1200;15;;;
130309;1300;21;;;
130309;1400;24;;;
130309;1500;27;;;
130309;1600;27;;;
130309;1700;26;;;
130309;1800;63;;;
130309;1900;137;;;
130309;2000;106;;;
130309;2100;56;;;
130309;2200;128;;;
130309;2300;56;;;
130310;0000;33;;;
130310;0100;72;;;
130310;0200;64;;;
130310;0300;25;;;
130310;0400;8;;;
130310;0500;9;;;
130310;0600;19;;;
130310;0700;16;;;
130310;0800;20;;;
130310;0900;18;;;
130310;1000;17;;;
130310;1100;13;;;
130310;1200;23;;;
130310;1300;23;;;
130310;1400;14;;;
130310;1500;25;;;
130310;1600;14;;;
130310;1700;20;;;
130310;1800;38;;;
130310;1900;33;;;
130310;2000;69;;;
130310;2100;46;;;
130310;2200;20;;;
130310;2300;15;;;
130311;0000;13;;;
130311;0100;13;;;
130311;0200;21;;;
130311;0300;28;;;
130311;0400;17;;;
130311;0500;149;;;
130311;0600;157;;;
