FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141221;0100;;;6,6709;
141221;0200;;;6,02049;
141221;0300;;;6,01386;
141221;0400;;;5,73271;
141221;0500;;;5,55149;
141221;0600;;;5,69949;
141221;0700;;;5,68728;
141221;0800;;;5,08256;
141221;0900;;;5,56679;
141221;1000;;;4,98926;
141221;1100;;;5,75862;
141221;1200;;;6,07952;
141221;1300;;;6,11497;
141221;1400;;;6,04214;
141221;1500;;;6,00994;
141221;1600;;;5,74993;
141221;1700;;;6,28959;
141221;1800;;;6,31032;
141221;1900;;;5,71752;
141221;2000;;;5,60931;
141221;2100;;;6,06024;
141221;2200;;;5,33529;
141221;2300;;;5,2532;
141222;0000;;;5,30919;
141222;0100;;;5,6821;
141222;0200;;;5,81147;
141222;0300;;;5,23379;
141222;0400;;;5,441;
141222;0500;;;6,11474;
141222;0600;;;5,57274;
141222;0700;;;5,40081;
141222;0800;;;5,12514;
141222;0900;;;18,7422;
141222;1000;;;5,49088;
141222;1100;;;1,94129;
141222;1200;;;3,09131;
141222;1300;;;7,02768;
141222;1400;;;611,419;
141222;1500;;;122,557;
141222;1600;;;122,557;
141222;1700;;;3,54659;
141222;1800;;;;
141222;1900;;;;
141222;2000;;;;
141222;2100;;;;
141222;2200;;;;
141222;2300;;;;
141223;0000;;;;
141223;0100;;;;
141223;0200;;;;
141223;0300;;;;
141223;0400;;;;
141223;0500;;;;
141223;0600;;;;
141223;0700;;;;
141223;0800;;;4,51077;
141223;0900;;;;
141223;1000;;;;
141223;1100;;;;
141223;1200;;;;
141223;1300;;;;
141223;1400;;;;
141223;1500;;;;
141223;1600;;;;
141223;1700;;;;
141223;1800;;;;
141223;1900;;;;
141223;2000;;;;
141223;2100;;;;
141223;2200;;;;
141223;2300;;;;
141224;0000;;;;
141224;0100;;;;
141224;0200;;;;
141224;0300;;;;
141224;0400;;;;
141224;0500;;;;
141224;0600;;;;
141224;0700;;;;
141224;0800;;;;
141224;0900;;;;
141224;1000;;;;
141224;1100;;;;
141224;1200;;;;
141224;1300;;;;
141224;1400;;;;
141224;1500;;;;
141224;1600;;;;
141224;1700;;;;
141224;1800;;;;
141224;1900;;;;
141224;2000;;;;
141224;2100;;;;
141224;2200;;;;
141224;2300;;;;
141225;0000;;;;
141225;0100;;;;
141225;0200;;;;
141225;0300;;;;
141225;0400;;;;
141225;0500;;;;
141225;0600;;;;
141225;0700;;;;
141225;0800;;;;
141225;0900;;;;
141225;1000;;;;
141225;1100;;;;
141225;1200;;;;
141225;1300;;;;
141225;1400;;;;
141225;1500;;;;
141225;1600;;;;
141225;1700;;;;
141225;1800;;;;
141225;1900;;;;
141225;2000;;;;
141225;2100;;;;
141225;2200;;;;
141225;2300;;;;
141226;0000;;;;
141226;0100;;;;
141226;0200;;;;
141226;0300;;;;
141226;0400;;;;
141226;0500;;;;
141226;0600;;;;
141226;0700;;;;
141226;0800;;;;
141226;0900;;;;
141226;1000;;;;
141226;1100;;;;
141226;1200;;;;
141226;1300;;;;
141226;1400;;;;
141226;1500;;;;
141226;1600;;;;
141226;1700;;;;
141226;1800;;;;
141226;1900;;;;
141226;2000;;;;
141226;2100;;;;
141226;2200;;;;
141226;2300;;;;
141227;0000;;;;
141227;0100;;;;
141227;0200;;;;
141227;0300;;;;
141227;0400;;;;
141227;0500;;;;
141227;0600;;;;
141227;0700;;;;
141227;0800;;;;
141227;0900;;;;
141227;1000;;;;
141227;1100;;;;
141227;1200;;;;
141227;1300;;;;
141227;1400;;;;
141227;1500;;;;
141227;1600;;;;
141227;1700;;;;
141227;1800;;;;
141227;1900;;;;
141227;2000;;;;
141227;2100;;;;
141227;2200;;;;
141227;2300;;;;
141228;0000;;;;
141228;0100;;;;
141228;0200;;;;
141228;0300;;;;
141228;0400;;;;
141228;0500;;;;
141228;0600;;;;
141228;0700;;;;
141228;0800;;;;
141228;0900;;;;
141228;1000;;;;
141228;1100;;;;
141228;1200;;;;
141228;1300;;;;
141228;1400;;;;
141228;1500;;;;
141228;1600;;;;
141228;1700;;;;
141228;1800;;;;
141228;1900;;;;
141228;2000;;;;
141228;2100;;;;
141228;2200;;;;
141228;2300;;;;
141229;0000;;;;
141229;0100;;;;
141229;0200;;;;
141229;0300;;;;
141229;0400;;;;
141229;0500;;;;
141229;0600;;;;
141229;0700;;;;
141229;0800;;;;
141229;0900;;;;
141229;1000;;;;
141229;1100;;;;
141229;1200;;;;
141229;1300;;;;
141229;1400;;;;
141229;1500;;;;
141229;1600;;;;
141229;1700;;;;
141229;1800;;;;
141229;1900;;;;
141229;2000;;;;
141229;2100;;;;
141229;2200;;;;
141229;2300;;;;
141230;0000;;;;
141230;0100;;;;
141230;0200;;;;
141230;0300;;;;
141230;0400;;;;
141230;0500;;;;
141230;0600;;;;
141230;0700;;;;
141230;0800;;;;
141230;0900;;;;
141230;1000;;;;
141230;1100;;;;
141230;1200;;;;
141230;1300;;;;
141230;1400;;;;
141230;1500;;;;
141230;1600;;;;
141230;1700;;;;
141230;1800;;;;
141230;1900;;;;
141230;2000;;;;
141230;2100;;;;
141230;2200;;;;
141230;2300;;;;
141231;0000;;;;
141231;0100;;;;
141231;0200;;;;
141231;0300;;;;
141231;0400;;;;
141231;0500;;;;
141231;0600;;;;
141231;0700;;;;
141231;0800;;;;
141231;0900;;;;
141231;1000;;;;
141231;1100;;;;
141231;1200;;;;
141231;1300;;;;
141231;1400;;;;
141231;1500;;;;
141231;1600;;;;
141231;1700;;;;
141231;1800;;;;
141231;1900;;;;
141231;2000;;;;
141231;2100;;;;
141231;2200;;;;
141231;2300;;;0,453899;
150101;0000;;;0,453899;
150101;0100;;;4,51077;
150101;0200;;;;
150101;0300;;;;
150101;0400;;;1,3428;
150101;0500;;;0,981362;
150101;0600;;;0,830542;
150101;0700;;;1,3314;
150101;0800;;;;
150101;0900;;;;
150101;1000;;;;
150101;1100;;;;
150101;1200;;;;
150101;1300;;;;
150101;1400;;;;
150101;1500;;;;
150101;1600;;;;
150101;1700;;;;
150101;1800;;;;
150101;1900;;;;
150101;2000;;;;
150101;2100;;;;
150101;2200;;;;
150101;2300;;;;
150102;0000;;;;
150102;0100;;;;
150102;0200;;;;
150102;0300;;;;
150102;0400;;;;
150102;0500;;;;
150102;0600;;;;
150102;0700;;;;
150102;0800;;;;
150102;0900;;;;
150102;1000;;;;
150102;1100;;;;
150102;1200;;;;
150102;1300;;;;
150102;1400;;;;
150102;1500;;;;
150102;1600;;;;
150102;1700;;;;
150102;1800;;;;
150102;1900;;;;
150102;2000;;;;
150102;2100;;;;
150102;2200;;;;
150102;2300;;;;
150103;0000;;;;
150103;0100;;;;
150103;0200;;;;
150103;0300;;;;
150103;0400;;;;
150103;0500;;;;
150103;0600;;;;
150103;0700;;;;
150103;0800;;;;
150103;0900;;;;
150103;1000;;;;
150103;1100;;;;
150103;1200;;;;
150103;1300;;;;
150103;1400;;;;
150103;1500;;;;
150103;1600;;;;
150103;1700;;;;
150103;1800;;;;
150103;1900;;;;
150103;2000;;;;
150103;2100;;;;
150103;2200;;;;
150103;2300;;;;
150104;0000;;;;
150104;0100;;;;
150104;0200;;;;
150104;0300;;;;
150104;0400;;;;
150104;0500;;;;
150104;0600;;;;
150104;0700;;;;
150104;0800;;;;
150104;0900;;;;
150104;1000;;;;
150104;1100;;;;
150104;1200;;;;
150104;1300;;;;
150104;1400;;;;
150104;1500;;;;
150104;1600;;;;
150104;1700;;;;
150104;1800;;;;
150104;1900;;;;
150104;2000;;;;
150104;2100;;;;
150104;2200;;;;
150104;2300;;;;
150105;0000;;;;
150105;0100;;;4,87891;
150105;0200;;;4,35926;
150105;0300;;;4,15296;
150105;0400;;;4,05353;
150105;0500;;;3,97603;
150105;0600;;;3,84362;
150105;0700;;;3,3324;
150105;0800;;;3,64929;
150105;0900;;;4,08448;
150105;1000;;;4,82627;
150105;1100;;;3,10409;
150105;1200;;;217,915;
150105;1300;;;110,639;
150105;1400;;;2,16996;
150105;1500;;;2,5817;
150105;1600;;;2,73163;
150105;1700;;;2,53861;
150105;1800;;;3,64274;
150105;1900;;;3,61741;
150105;2000;;;2,43521;
150105;2100;;;2,70067;
150105;2200;;;2,81576;
150105;2300;;;2,53566;
150106;0000;;;2,29465;
150106;0100;;;1,95625;
150106;0200;;;1,35235;
150106;0300;;;1,73342;
150106;0400;;;1,43247;
150106;0500;;;1,19026;
150106;0600;;;0,4037;
150106;0700;;;0,805678;
150106;0800;;;0,730209;
150106;0900;;;0,795195;
150106;1000;;;0,911718;
150106;1100;;;1,10737;
150106;1200;;;1,3413;
150106;1300;;;1,81394;
150106;1400;;;1,75592;
150106;1500;;;1,96997;
150106;1600;;;2,38493;
150106;1700;;;2,78042;
150106;1800;;;2,62796;
150106;1900;;;2,32263;
150106;2000;;;1,67986;
150106;2100;;;1,78983;
150106;2200;;;0,932209;
150106;2300;;;0,857405;
150107;0000;;;1,18386;
150107;0100;;;1,27961;
150107;0200;;;1,21284;
150107;0300;;;1,31806;
150107;0400;;;1,61661;
150107;0500;;;1,69227;
150107;0600;;;1,88295;
150107;0700;;;1,90931;
150107;0800;;;1,62637;
150107;0900;;;1,84741;
150107;1000;;;1,5619;
150107;1100;;;1,37146;
150107;1200;;;1,81823;
150107;1300;;;2,20434;
150107;1400;;;2,36382;
150107;1500;;;2,3341;
150107;1600;;;1,81641;
150107;1700;;;2,15642;
150107;1800;;;2,07147;
150107;1900;;;1,98423;
150107;2000;;;2,30518;
150107;2100;;;1,86845;
150107;2200;;;3,29986;
150107;2300;;;2,29022;
150108;0000;;;2,57247;
150108;0100;;;2,24381;
150108;0200;;;2,26247;
150108;0300;;;1,9773;
150108;0400;;;2,24628;
150108;0500;;;2,25828;
150108;0600;;;2,26645;
150108;0700;;;1,76003;
150108;0800;;;1,60239;
150108;0900;;;1,23596;
150108;1000;;;2,36807;
150108;1100;;;2,9432;
150108;1200;;;2,34294;
150108;1300;;;1,94217;
150108;1400;;;2,51007;
150108;1500;;;2,74811;
150108;1600;;;2,75914;
150108;1700;;;2,52467;
150108;1800;;;5,3864;
150108;1900;;;3,70337;
150108;2000;;;3,36253;
150108;2100;;;2,26714;
150108;2200;;;2,35969;
150108;2300;;;1,72892;
150109;0000;;;1,20762;
150109;0100;;;0,879272;
150109;0200;;;1,41462;
150109;0300;;;1,22626;
150109;0400;;;1,78467;
150109;0500;;;1,89338;
150109;0600;;;0,983571;
150109;0700;;;1,89826;
150109;0800;;;1,16166;
150109;0900;;;1,33374;
150109;1000;;;2,12526;
150109;1100;;;2,47654;
150109;1200;;;2,81133;
150109;1300;;;2,37601;
150109;1400;;;2,29525;
150109;1500;;;1,72893;
150109;1600;;;2,20644;
150109;1700;;;2,1935;
150109;1800;;;2,49122;
150109;1900;;;2,61659;
150109;2000;;;3,35003;
150109;2100;;;3,44228;
150109;2200;;;2,49277;
150109;2300;;;1,5935;
150110;0000;;;1,4437;
150110;0100;;;1,99509;
150110;0200;;;2,02099;
150110;0300;;;2,29481;
150110;0400;;;2,38521;
150110;0500;;;1,45545;
150110;0600;;;1,18618;
150110;0700;;;1,32107;
150110;0800;;;0,69158;
150110;0900;;;0,861324;
150110;1000;;;1,36539;
150110;1100;;;2,46292;
150110;1200;;;1,97761;
150110;1300;;;1,77179;
150110;1400;;;2,2404;
150110;1500;;;1,72899;
150110;1600;;;1,94974;
150110;1700;;;2,02054;
150110;1800;;;1,95974;
150110;1900;;;2,15184;
150110;2000;;;2,02774;
150110;2100;;;1,33425;
150110;2200;;;1,4781;
150110;2300;;;0,931915;
150111;0000;;;1,33038;
150111;0100;;;1,42312;
150111;0200;;;1,81379;
150111;0300;;;1,59603;
150111;0400;;;1,42362;
150111;0500;;;1,68027;
150111;0600;;;1,50405;
150111;0700;;;1,50512;
150111;0800;;;0,709045;
150111;0900;;;1,26491;
150111;1000;;;1,97813;
150111;1100;;;2,19824;
150111;1200;;;2,83303;
150111;1300;;;2,80631;
150111;1400;;;3,17455;
150111;1500;;;3,11654;
150111;1600;;;3,12401;
150111;1700;;;2,49385;
150111;1800;;;2,76004;
150111;1900;;;3,64465;
150111;2000;;;2,48244;
150111;2100;;;2,53903;
150111;2200;;;2,40565;
150111;2300;;;1,77637;
150112;0000;;;2,07221;
150112;0100;;;3,03259;
150112;0200;;;3,322;
150112;0300;;;3,15031;
150112;0400;;;2,65343;
150112;0500;;;2,78087;
150112;0600;;;2,46165;
150112;0700;;;2,33311;
150112;0800;;;2,41878;
150112;0900;;;2,17517;
150112;1000;;;1,91502;
150112;1100;;;2,5961;
150112;1200;;;2,46838;
150112;1300;;;1,93518;
150112;1400;;;1,88759;
150112;1500;;;2,35713;
150112;1600;;;2,37687;
150112;1700;;;2,88417;
150112;1800;;;2,47833;
150112;1900;;;2,9458;
150112;2000;;;2,91506;
150112;2100;;;2,59238;
150112;2200;;;2,69747;
150112;2300;;;2,5287;
150113;0000;;;1,29889;
150113;0100;;;1,58342;
150113;0200;;;;
150113;0300;;;1,33917;
150113;0400;;;1,75084;
150113;0500;;;0,946537;
150113;0600;;;1,21423;
150113;0700;;;1,22453;
150113;0800;;;0,901903;
150113;0900;;;1,05598;
150113;1000;;;2,01177;
150113;1100;;;1,94894;
150113;1200;;;1,73502;
150113;1300;;;4,67672;
150113;1400;;;368,788;
150113;1500;;;3,36751;
150113;1600;;;4,43545;
150113;1700;;;4,53084;
150113;1800;;;5,3307;
150113;1900;;;4,97294;
150113;2000;;;5,18909;
150113;2100;;;2,73027;
150113;2200;;;3,08489;
150113;2300;;;3,43576;
150114;0000;;;3,16862;
150114;0100;;;2,61828;
150114;0200;;;2,71542;
150114;0300;;;3,14051;
150114;0400;;;3,41412;
150114;0500;;;3,10588;
150114;0600;;;2,78097;
150114;0700;;;2,92594;
150114;0800;;;2,18237;
150114;0900;;;2,36127;
150114;1000;;;3,46948;
150114;1100;;;3,41456;
150114;1200;;;4,28024;
150114;1300;;;4,0698;
150114;1400;;;4,09377;
150114;1500;;;4,09597;
150114;1600;;;4,66554;
150114;1700;;;5,55262;
150114;1800;;;2,75364;
150114;1900;;;2,85402;
150114;2000;;;4,71212;
150114;2100;;;4,91038;
150114;2200;;;6,80581;
150114;2300;;;4,87008;
