FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0100;;;2,07633;
120316;0200;;;2,068;
120316;0300;;;2,03625;
120316;0400;;;2,03916;
120316;0500;;;2,03158;
120316;0600;;;2,08158;
120316;0700;;;2,09158;
120316;0800;;;2,095;
120316;0900;;;2,04791;
120316;1000;;;2,072;
120316;1100;;;2,04933;
120316;1200;;;2,02841;
120316;1300;;;2,05475;
120316;1400;;;2,04975;
120316;1500;;;2,031;
120316;1600;;;2,02791;
120316;1700;;;2,031;
120316;1800;;;2,01775;
120316;1900;;;2,03391;
120316;2000;;;2,05208;
120316;2100;;;2,02675;
120316;2200;;;2,03;
120316;2300;;;2,09916;
120317;0000;;;2,13558;
120317;0100;;;2,07266;
120317;0200;;;2,05316;
120317;0300;;;2,02108;
120317;0400;;;1,99866;
120317;0500;;;1,997;
120317;0600;;;1,99783;
120317;0700;;;2,00216;
120317;0800;;;2,02833;
120317;0900;;;2,05733;
120317;1000;;;2,04733;
120317;1100;;;2,031;
120317;1200;;;2,0345;
120317;1300;;;2,0175;
120317;1400;;;2,00283;
120317;1500;;;2,00033;
120317;1600;;;1,99791;
120317;1700;;;1,99741;
120317;1800;;;2,0015;
120317;1900;;;2,03075;
120317;2000;;;2,14591;
120317;2100;;;2,25808;
120317;2200;;;2,25833;
120317;2300;;;2,14316;
120318;0000;;;2,05725;
120318;0100;;;2,12583;
120318;0200;;;2,37433;
120318;0300;;;2,05891;
120318;0400;;;2,05783;
120318;0500;;;2,173;
120318;0600;;;2,14625;
120318;0700;;;2,09675;
120318;0800;;;2,06216;
120318;0900;;;2,02716;
120318;1000;;;2,03075;
120318;1100;;;2,0345;
120318;1200;;;2,02908;
120318;1300;;;2,03;
120318;1400;;;2,02525;
120318;1500;;;1,99725;
120318;1600;;;1,99641;
120318;1700;;;1,99533;
120318;1800;;;1,99583;
120318;1900;;;1,997;
120318;2000;;;1,99675;
120318;2100;;;2,00908;
120318;2200;;;2,0635;
120318;2300;;;2,06883;
120319;0000;;;2,199;
120319;0100;;;2,25333;
120319;0200;;;2,16008;
120319;0300;;;2,033;
120319;0400;;;2,05258;
120319;0500;;;2,06991;
120319;0600;;;2,034;
120319;0700;;;2,031;
120319;0800;;;2,02758;
120319;0900;;;2,00541;
120319;1000;;;2,02675;
120319;1100;;;2,01883;
120319;1200;;;1,99708;
120319;1300;;;1,99383;
120319;1400;;;1,60458;
120319;1500;;;1,96467;
120319;1600;;;1,96492;
120319;1700;;;1,963;
120319;1800;;;1,96358;
120319;1900;;;1,9645;
120319;2000;;;1,99366;
120319;2100;;;2,01716;
120319;2200;;;2,14691;
120319;2300;;;2,12008;
120320;0000;;;2,2385;
120320;0100;;;2,43575;
120320;0200;;;2,44425;
120320;0300;;;2,48408;
120320;0400;;;2,39833;
120320;0500;;;2,33683;
120320;0600;;;2,247;
120320;0700;;;2,19883;
120320;0800;;;2,10066;
120320;0900;;;2,09833;
120320;1000;;;2,06633;
120320;1100;;;2,02258;
120320;1200;;;1,99675;
120320;1300;;;1,99675;
120320;1400;;;1,99641;
120320;1500;;;1,98841;
120320;1600;;;1,9915;
120320;1700;;;1,994;
120320;1800;;;1,99566;
120320;1900;;;2,00216;
