FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0100;;;17,1358;
120316;0200;;;12,2883;
120316;0300;;;7,14491;
120316;0400;;;3,97025;
120316;0500;;;2,56258;
120316;0600;;;3,015;
120316;0700;;;8,67981;
120316;0800;;;12,9775;
120316;0900;;;18,0075;
120316;1000;;;20,87;
120316;1100;;;24,9208;
120316;1200;;;28,2316;
120316;1300;;;27,8033;
120316;1400;;;27,7725;
120316;1500;;;27,8675;
120316;1600;;;30,2491;
120316;1700;;;30,1491;
120316;1800;;;27,2175;
120316;1900;;;22,1033;
120316;2000;;;18,5633;
120316;2100;;;11,4521;
120316;2200;;;15,41;
120316;2300;;;10,011;
120317;0000;;;7,9184;
120317;0100;;;11,0941;
120317;0200;;;14,9733;
120317;0300;;;17,4225;
120317;0400;;;18,2941;
120317;0500;;;18,2825;
120317;0600;;;17,7516;
120317;0700;;;16,855;
120317;0800;;;16,7308;
120317;0900;;;15,6133;
120317;1000;;;16,685;
120317;1100;;;19,8958;
120317;1200;;;20,9558;
120317;1300;;;20,1366;
120317;1400;;;20,2025;
120317;1500;;;21,275;
120317;1600;;;19,8441;
120317;1700;;;18,485;
120317;1800;;;17,56;
120317;1900;;;12,5508;
120317;2000;;;8,52623;
120317;2100;;;4,72781;
120317;2200;;;2,54158;
120317;2300;;;2,03775;
120318;0000;;;1,5035;
120318;0100;;;1,0535;
120318;0200;;;0,612248;
120318;0300;;;3,46216;
120318;0400;;;2,95666;
120318;0500;;;1,00858;
120318;0600;;;0,707747;
120318;0700;;;1,13625;
120318;0800;;;5,00082;
120318;0900;;;10,3515;
120318;1000;;;15,1767;
120318;1100;;;18,0633;
120318;1200;;;19,665;
120318;1300;;;20,5808;
120318;1400;;;21,0225;
120318;1500;;;18,5241;
120318;1600;;;15,3417;
120318;1700;;;11,3892;
120318;1800;;;10,7691;
120318;1900;;;11,0525;
120318;2000;;;7,70466;
120318;2100;;;2,31733;
120318;2200;;;3,0985;
120318;2300;;;1,59341;
120319;0000;;;0,824248;
120319;0100;;;0,524916;
120319;0200;;;1,50566;
120319;0300;;;1,16882;
120319;0400;;;45,916;
120319;0500;;;86,4767;
120319;0600;;;2,38766;
120319;0700;;;3,63158;
120319;0800;;;5,61456;
120319;0900;;;6,65289;
120319;1000;;;6,25674;
120319;1100;;;7,62331;
120319;1200;;;12,7233;
