FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0100;;;1,1;
191130;0200;;;1;
191130;0300;;;1;
191130;0400;;;1,6;
191130;0500;;;2,2;
191130;0600;;;5,2;
191130;0700;;;16,2;
191130;0800;;;22,9;
191130;0900;;;7,2;
191130;1000;;;4,2;
191130;1100;;;2,5;
191130;1200;;;8,7;
191130;1300;;;5,2;
191130;1400;;;12,7;
191130;1500;;;30,7;
191130;1600;;;21,3;
191130;1700;;;11,8;
191130;1800;;;4,5;
191130;1900;;;3,5;
191130;2000;;;1;
191130;2100;;;1;
191130;2200;;;1;
191130;2300;;;2,1;
191201;0000;;;3,5;
191201;0100;;;4,7;
191201;0200;;;1,6;
191201;0300;;;2,7;
191201;0400;;;2;
191201;0500;;;8,8;
191201;0600;;;7,3;
191201;0700;;;5,9;
191201;0800;;;3,7;
191201;0900;;;3,4;
191201;1000;;;2,9;
191201;1100;;;27,3;
191201;1200;;;8,60001;
191201;1300;;;3,7;
191201;1400;;;35,7;
191201;1500;;;50,8;
191201;1600;;;34,5;
191201;1700;;;23,8;
191201;1800;;;5,5;
191201;1900;;;3,5;
191201;2000;;;1;
191201;2100;;;1,6;
191201;2200;;;1;
191201;2300;;;1;
191202;0000;;;1;
191202;0100;;;1;
191202;0200;;;1;
191202;0300;;;1;
191202;0400;;;1;
191202;0500;;;1;
191202;0600;;;1,8;
191202;0700;;;5,5;
191202;0800;;;8,89999;
191202;0900;;;10,3;
191202;1000;;;8,5;
191202;1100;;;15,6;
191202;1200;;;6,6;
191202;1300;;;28,7;
191202;1400;;;23,4;
191202;1500;;;22,1;
191202;1600;;;4,4;
191202;1700;;;4,2;
191202;1800;;;2,3;
191202;1900;;;2,5;
191202;2000;;;4,2;
191202;2100;;;1;
191202;2200;;;1;
191202;2300;;;1;
191203;0000;;;1;
191203;0100;;;1;
191203;0200;;;1;
191203;0300;;;1;
191203;0400;;;1;
191203;0500;;;1;
191203;0600;;;3;
191203;0700;;;3,7;
191203;0800;;;6;
191203;0900;;;5,6;
191203;1000;;;66,8;
191203;1100;;;2,4;
191203;1200;;;1,2;
191203;1300;;;2,3;
