FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
061122;0100;;;8,09816;
061122;0200;;;8,05336;
061122;0300;;;7,896;
061122;0400;;;7,89095;
061122;0500;;;;
061122;0600;;;;
061122;0700;;;;
061122;0800;;;2,688;
061122;0900;;;5,376;
061122;1000;;;11,088;
061122;1100;;;19,096;
061122;1200;;;22,96;
061122;1300;;;24,192;
061122;1400;;;23,184;
061122;1500;;;22,232;
061122;1600;;;20,608;
061122;1700;;;20,776;
061122;1800;;;21,448;
061122;1900;;;19,824;
061122;2000;;;18,928;
061122;2100;;;18,704;
061122;2200;;;20,216;
061122;2300;;;20,216;
061123;0000;;;18,592;
061123;0100;;;5,264;
061123;0200;;;3,528;
061123;0300;;;9,74399;
061123;0400;;;13,496;
061123;0500;;;4,032;
061123;0600;;;0,896;
061123;0700;;;4,2;
061123;0800;;;14,616;
061123;0900;;;20,104;
061123;1000;;;19,432;
061123;1100;;;22,344;
061123;1200;;;23,464;
061123;1300;;;23,968;
061123;1400;;;22,904;
061123;1500;;;21,056;
061123;1600;;;21,616;
061123;1700;;;23,016;
061123;1800;;;21,168;
061123;1900;;;18,704;
061123;2000;;;20,384;
061123;2100;;;21,504;
061123;2200;;;18,2;
061123;2300;;;9,91199;
061124;0000;;;4,2;
061124;0100;;;2,968;
061124;0200;;;2,296;
061124;0300;;;2,184;
061124;0400;;;4,2;
061124;0500;;;3,36;
061124;0600;;;3,528;
061124;0700;;;2,912;
061124;0800;;;9,51999;
061124;0900;;;12,824;
061124;1000;;;16,464;
061124;1100;;;26,32;
061124;1200;;;31,304;
061124;1300;;;28,112;
061124;1400;;;29,68;
061124;1500;;;30,016;
061124;1600;;;28,616;
061124;1700;;;27,664;
061124;1800;;;27,72;
061124;1900;;;28,056;
061124;2000;;;24,472;
061124;2100;;;19,04;
061124;2200;;;5,32;
061124;2300;;;3,752;
061125;0000;;;2,688;
061125;0100;;;1,456;
061125;0200;;;1,4;
061125;0300;;;1,456;
061125;0400;;;0,559999;
061125;0500;;;0,504;
061125;0600;;;1,344;
061125;0700;;;3,304;
061125;0800;;;7,112;
061125;0900;;;10,136;
061125;1000;;;14,504;
061125;1100;;;28,784;
061125;1200;;;33,376;
061125;1300;;;29,96;
061125;1400;;;25,2;
061125;1500;;;25,872;
061125;1600;;;25,48;
061125;1700;;;25,312;
061125;1800;;;24,808;
061125;1900;;;24,08;
061125;2000;;;22,456;
061125;2100;;;18,2;
061125;2200;;;6,43999;
061125;2300;;;2,968;
061126;0000;;;3,528;
061126;0100;;;2,856;
061126;0200;;;2,184;
061126;0300;;;2,296;
061126;0400;;;1,4;
061126;0500;;;1,736;
061126;0600;;;3,528;
061126;0700;;;5,208;
061126;0800;;;12,04;
061126;0900;;;14,392;
061126;1000;;;22,68;
061126;1100;;;19,096;
061126;1200;;;10,584;
061126;1300;;;25,144;
061126;1400;;;24,976;
061126;1500;;;24,528;
061126;1600;;;23,632;
061126;1700;;;23,576;
061126;1800;;;23,016;
061126;1900;;;22,68;
061126;2000;;;23,408;
061126;2100;;;23,576;
061126;2200;;;21,392;
061126;2300;;;15,008;
061127;0000;;;14,112;
061127;0100;;;18,368;
061127;0200;;;7,728;
061127;0300;;;6,60799;
061127;0400;;;4,81599;
061127;0500;;;1,904;
061127;0600;;;2,408;
061127;0700;;;5,15199;
061127;0800;;;16,352;
061127;0900;;;19,264;
061127;1000;;;21;
061127;1100;;;22,288;
061127;1200;;;23,968;
061127;1300;;;19,264;
061127;1400;;;43,0085;
061127;1500;;;23,9695;
061127;1600;;;25,4016;
061127;1700;;;26,488;
061127;1800;;;27,8208;
061127;1900;;;24,7817;
061127;2000;;;21,0252;
061127;2100;;;18,2678;
061127;2200;;;16,0552;
061127;2300;;;6,57496;
061128;0000;;;3,21888;
061128;0100;;;4,1664;
061128;0200;;;3,95528;
061128;0300;;;4,53207;
061128;0400;;;4,1356;
061128;0500;;;3,43112;
061128;0600;;;2,10168;
061128;0700;;;3,07832;
061128;0800;;;7,67088;
061128;0900;;;13,048;
061128;1000;;;17,2329;
061128;1100;;;22,293;
061128;1200;;;24,2508;
061128;1300;;;24,0643;
061128;1400;;;23,2826;
061128;1500;;;25,1496;
061128;1600;;;26,3592;
061128;1700;;;24,369;
061128;1800;;;24,1298;
061128;1900;;;23,0266;
061128;2000;;;21,3528;
061128;2100;;;15,045;
061128;2200;;;9,38167;
061128;2300;;;3,52912;
061129;0000;;;2,98256;
061129;0100;;;2,10896;
061129;0200;;;2,17112;
061129;0300;;;1,96504;
061129;0400;;;1,97232;
061129;0500;;;1,69232;
061129;0600;;;1,85752;
061129;0700;;;2,53512;
061129;0800;;;4,67039;
061129;0900;;;9,58887;
061129;1000;;;17,5913;
061129;1100;;;27,2804;
061129;1200;;;39,1552;
061129;1300;;;31,7016;
061129;1400;;;27,4512;
061129;1500;;;27,6808;
061129;1600;;;27,7816;
061129;1700;;;25,5231;
061129;1800;;;25,1362;
061129;1900;;;25,8216;
061129;2000;;;22,1575;
061129;2100;;;13,963;
061129;2200;;;12,6297;
061129;2300;;;6,2776;
061130;0000;;;2,44104;
061130;0100;;;3,17072;
061130;0200;;;4,68216;
061130;0300;;;1,81272;
061130;0400;;;2,06976;
061130;0500;;;9,0524;
061130;0600;;;7,5068;
061130;0700;;;10,3673;
061130;0800;;;12,9539;
061130;0900;;;18,9644;
061130;1000;;;26,4393;
061130;1100;;;29,3888;
061130;1200;;;27,9552;
061130;1300;;;23,3727;
061130;1400;;;22,7371;
061130;1500;;;;
061130;1600;;;;
061130;1700;;;;
061130;1800;;;;
061130;1900;;;17,6938;
061130;2000;;;17,5409;
061130;2100;;;14,2128;
061130;2200;;;12,9237;
061130;2300;;;14,7437;
061201;0000;;;11,8558;
061201;0100;;;7,35336;
061201;0200;;;6,54639;
061201;0300;;;14,6597;
061201;0400;;;23,1375;
061201;0500;;;17,7615;
061201;0600;;;18,3288;
061201;0700;;;18,2325;
061201;0800;;;19,0014;
061201;0900;;;22,3586;
061201;1000;;;26,4432;
061201;1100;;;28,7504;
061201;1200;;;28,7784;
061201;1300;;;29,7024;
061201;1400;;;27,9944;
061201;1500;;;28,9352;
061201;1600;;;22,5831;
061201;1700;;;10,6344;
061201;1800;;;10,3678;
061201;1900;;;14,3808;
061201;2000;;;19,1279;
061201;2100;;;19,8442;
061201;2200;;;9,8308;
061201;2300;;;4,04095;
061202;0000;;;4,494;
061202;0100;;;5,32056;
061202;0200;;;6,42207;
061202;0300;;;6,55256;
061202;0400;;;4,3204;
061202;0500;;;15,3686;
061202;0600;;;3,90712;
061202;0700;;;5,92872;
061202;0800;;;11,7018;
061202;0900;;;21,4306;
061202;1000;;;24,7761;
061202;1100;;;23,7944;
061202;1200;;;27,0928;
061202;1300;;;25,3344;
061202;1400;;;24,8136;
061202;1500;;;27,1376;
061202;1600;;;27,6808;
061202;1700;;;27,7816;
061202;1800;;;28,4144;
061202;1900;;;27,552;
061202;2000;;;27,2104;
061202;2100;;;23,9473;
061202;2200;;;16,7479;
061202;2300;;;16,6314;
061203;0000;;;5,84415;
061203;0100;;;4,74096;
061203;0200;;;4,18375;
061203;0300;;;3,50616;
061203;0400;;;2,88904;
061203;0500;;;3,03688;
061203;0600;;;2,57264;
061203;0700;;;4,19832;
061203;0800;;;6,53016;
061203;0900;;;8,63016;
061203;1000;;;17,285;
061203;1100;;;32,1048;
061203;1200;;;24,4524;
061203;1300;;;24,3376;
061203;1400;;;27,7368;
061203;1500;;;28,7;
061203;1600;;;29,4784;
061203;1700;;;27,8544;
061203;1800;;;27,4008;
061203;1900;;;29,2712;
061203;2000;;;28,4088;
061203;2100;;;25,0079;
061203;2200;;;19,1414;
061203;2300;;;8,62288;
061204;0000;;;7,47992;
061204;0100;;;7,09743;
061204;0200;;;5,87272;
061204;0300;;;6,37392;
061204;0400;;;10,7156;
061204;0500;;;3,87464;
061204;0600;;;3,25752;
061204;0700;;;4,38704;
061204;0800;;;15,2561;
061204;0900;;;24,346;
061204;1000;;;27,468;
061204;1100;;;27,4848;
061204;1200;;;26,4992;
061204;1300;;;26,3362;
061204;1400;;;25,1199;
061204;1500;;;26,4768;
061204;1600;;;26,32;
061204;1700;;;26,9192;
061204;1800;;;25,5164;
061204;1900;;;27,1376;
061204;2000;;;24,6355;
061204;2100;;;20,5873;
061204;2200;;;18,6413;
061204;2300;;;14,439;
061205;0000;;;3,79456;
061205;0100;;;2,95736;
061205;0200;;;2,38336;
061205;0300;;;2,96296;
061205;0400;;;2,07928;
061205;0500;;;2,47632;
061205;0600;;;2,20696;
061205;0700;;;2,05744;
061205;0800;;;7,31976;
061205;0900;;;14,8294;
061205;1000;;;22,9734;
061205;1100;;;30,6135;
061205;1200;;;24,3869;
061205;1300;;;20,8818;
061205;1400;;;22,1161;
061205;1500;;;22,5831;
061205;1600;;;24,5353;
061205;1700;;;24,2855;
061205;1800;;;24,3404;
061205;1900;;;22,9376;
061205;2000;;;22,6285;
061205;2100;;;18,3271;
061205;2200;;;9,2439;
061205;2300;;;5,49248;
061206;0000;;;4,78407;
061206;0100;;;3,45296;
061206;0200;;;3,02568;
061206;0300;;;3,11304;
061206;0400;;;2,02384;
061206;0500;;;1,9572;
061206;0600;;;1,35464;
061206;0700;;;2,25176;
061206;0800;;;5,90408;
061206;0900;;;10,9357;
061206;1000;;;17,8825;
061206;1100;;;30,7608;
061206;1200;;;34,3392;
061206;1300;;;29,2544;
061206;1400;;;23,3638;
061206;1500;;;22,9606;
061206;1600;;;23,1616;
061206;1700;;;23,5088;
061206;1800;;;23,6331;
061206;1900;;;22,5002;
061206;2000;;;19,1817;
061206;2100;;;17,4625;
061206;2200;;;11,2851;
061206;2300;;;3,8248;
061207;0000;;;2,87056;
061207;0100;;;2,8112;
061207;0200;;;4,84007;
061207;0300;;;2,74008;
061207;0400;;;2,40184;
061207;0500;;;3,78504;
061207;0600;;;2,2288;
061207;0700;;;3,06096;
061207;0800;;;8,12111;
061207;0900;;;17,0044;
061207;1000;;;23,9943;
061207;1100;;;22,4;
061207;1200;;;24,7974;
061207;1300;;;24,2754;
061207;1400;;;28,084;
061207;1500;;;26,8296;
061207;1600;;;26,3704;
061207;1700;;;26,7288;
061207;1800;;;26,572;
061207;1900;;;26,7064;
061207;2000;;;25,7807;
061207;2100;;;22,036;
061207;2200;;;21,9128;
061207;2300;;;20,5486;
061208;0000;;;13,1695;
061208;0100;;;5,2024;
061208;0200;;;4,44415;
061208;0300;;;5,30096;
061208;0400;;;6,13367;
061208;0500;;;4,50744;
061208;0600;;;5,37823;
061208;0700;;;7,16071;
061208;0800;;;11,2465;
061208;0900;;;10,8455;
061208;1000;;;21,4945;
061208;1100;;;29,1816;
061208;1200;;;26,8296;
061208;1300;;;32,8552;
061208;1400;;;32,3624;
061208;1500;;;25,0432;
061208;1600;;;23,3094;
061208;1700;;;21,5622;
061208;1800;;;21,7213;
061208;1900;;;21,1355;
061208;2000;;;18,4453;
061208;2100;;;17,3986;
061208;2200;;;18,7527;
061208;2300;;;16,0138;
061209;0000;;;8,5047;
061209;0100;;;5,28471;
061209;0200;;;3,36056;
061209;0300;;;2,84984;
061209;0400;;;2,0832;
061209;0500;;;2,24392;
061209;0600;;;2,02496;
061209;0700;;;3,2284;
061209;0800;;;7,73472;
061209;0900;;;10,7257;
061209;1000;;;13,9048;
061209;1100;;;21,7409;
061209;1200;;;25,2605;
061209;1300;;;20,4557;
061209;1400;;;21,7067;
061209;1500;;;20,3112;
061209;1600;;;23,945;
061209;1700;;;25,6256;
061209;1800;;;25,5136;
061209;1900;;;23,3677;
061209;2000;;;22,4812;
061209;2100;;;22,7186;
061209;2200;;;21,275;
061209;2300;;;18,2599;
061210;0000;;;6,88016;
061210;0100;;;6,3756;
061210;0200;;;5,53448;
061210;0300;;;5,05344;
061210;0400;;;4,95992;
061210;0500;;;3,73128;
061210;0600;;;2,1784;
061210;0700;;;4,35232;
061210;0800;;;10,7386;
061210;0900;;;14,9167;
061210;1000;;;14,9206;
061210;1100;;;26,5306;
061210;1200;;;24,6736;
061210;1300;;;16,9204;
061210;1400;;;20,1202;
061210;1500;;;15,1222;
061210;1600;;;19,5804;
061210;1700;;;18,3344;
061210;1800;;;18,0678;
061210;1900;;;17,8802;
061210;2000;;;15,955;
061210;2100;;;13,4266;
061210;2200;;;13,1757;
061210;2300;;;12,2875;
061211;0000;;;12,3698;
061211;0100;;;14,0851;
061211;0200;;;9,78319;
061211;0300;;;9,41022;
061211;0400;;;10,6473;
061211;0500;;;10,7666;
061211;0600;;;9,2047;
061211;0700;;;8,7847;
061211;0800;;;12,7198;
061211;0900;;;14,8327;
061211;1000;;;16,389;
061211;1100;;;17,5482;
061211;1200;;;17,649;
061211;1300;;;13,6136;
061211;1400;;;17,3824;
061211;1500;;;21,4637;
061211;1600;;;23,1616;
061211;1700;;;22,8822;
061211;1800;;;20,6041;
061211;1900;;;22,9852;
061211;2000;;;20,7178;
061211;2100;;;17,4177;
061211;2200;;;15,4286;
061211;2300;;;12,6409;
061212;0000;;;5,9948;
061212;0100;;;4,28455;
061212;0200;;;4,26608;
061212;0300;;;3,05144;
061212;0400;;;4,01575;
061212;0500;;;2,29096;
061212;0600;;;2,81456;
061212;0700;;;2,43432;
061212;0800;;;4,44975;
061212;0900;;;9,92934;
061212;1000;;;16,3772;
061212;1100;;;22,0472;
061212;1200;;;23,7552;
061212;1300;;;17,8836;
061212;1400;;;16,0423;
061212;1500;;;16,3929;
061212;1600;;;14,3662;
061212;1700;;;13,3694;
061212;1800;;;13,505;
061212;1900;;;12,1593;
061212;2000;;;12,7674;
061212;2100;;;11,9263;
061212;2200;;;9,04456;
061212;2300;;;11,3854;
061213;0000;;;6,57719;
061213;0100;;;4,83447;
061213;0200;;;2,2512;
061213;0300;;;1,22192;
061213;0400;;;1,69904;
061213;0500;;;2,09608;
061213;0600;;;1,49128;
061213;0700;;;1,38824;
061213;0800;;;2,31;
061213;0900;;;4,14455;
061213;1000;;;6,1068;
061213;1100;;;6,52847;
061213;1200;;;10,6938;
061213;1300;;;12,3642;
061213;1400;;;10,7481;
061213;1500;;;14,756;
061213;1600;;;16,0194;
061213;1700;;;16,8986;
061213;1800;;;18,5259;
061213;1900;;;19,2046;
061213;2000;;;16,5771;
061213;2100;;;21,7896;
061213;2200;;;17,2564;
061213;2300;;;7,23856;
061214;0000;;;3,06656;
061214;0100;;;3,15112;
061214;0200;;;4,75384;
061214;0300;;;5,23711;
061214;0400;;;6,17512;
061214;0500;;;4,48672;
061214;0600;;;2,70536;
061214;0700;;;4,02752;
061214;0800;;;8,89896;
061214;0900;;;19,8934;
061214;1000;;;21,3847;
061214;1100;;;23,2708;
061214;1200;;;16,4209;
061214;1300;;;23,1762;
061214;1400;;;27,4848;
061214;1500;;;22,6503;
061214;1600;;;24,9922;
061214;1700;;;16,8286;
061214;1800;;;24,4166;
061214;1900;;;19,9186;
061214;2000;;;14,042;
061214;2100;;;10,6719;
061214;2200;;;5,36648;
061214;2300;;;2,26184;
061215;0000;;;2,54912;
061215;0100;;;3,66912;
061215;0200;;;7,14056;
061215;0300;;;5,03551;
