FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
101003;0100;;;3,65122;
101003;0200;;;2,28723;
101003;0300;;;2,28281;
101003;0400;;;1,05047;
101003;0500;;;3,08979;
101003;0600;;;7,35223;
101003;0700;;;5,93399;
101003;0800;;;4,09618;
101003;0900;;;0,903644;
101003;1000;;;0,537649;
101003;1100;;;0,540447;
101003;1200;;;0,527555;
101003;1300;;;0,558856;
101003;1400;;;0,537138;
101003;1500;;;0,535697;
101003;1600;;;0,50703;
101003;1700;;;1,72428;
101003;1800;;;1,31129;
101003;1900;;;1,36074;
101003;2000;;;1,00552;
101003;2100;;;1,14241;
101003;2200;;;5,51697;
101003;2300;;;3,24069;
101004;0000;;;2,15178;
101004;0100;;;15,8944;
101004;0200;;;12,5805;
101004;0300;;;10,5856;
101004;0400;;;11,5068;
101004;0500;;;10,8308;
101004;0600;;;10,2879;
101004;0700;;;8,55559;
101004;0800;;;12,7469;
101004;0900;;;13,5926;
101004;1000;;;14,456;
101004;1100;;;4,73232;
101004;1200;;;2,77851;
101004;1300;;;0,565213;
101004;1400;;;0,62425;
101004;1500;;;1,10272;
101004;1600;;;0,992197;
101004;1700;;;0,53816;
101004;1800;;;0,979559;
101004;1900;;;1,18431;
101004;2000;;;2,42252;
101004;2100;;;2,07603;
101004;2200;;;2,97639;
101004;2300;;;1,0732;
101005;0000;;;10,0684;
101005;0100;;;20,893;
101005;0200;;;15,6537;
101005;0300;;;13,2897;
101005;0400;;;11,7027;
101005;0500;;;9,90793;
101005;0600;;;9,10782;
101005;0700;;;9,89723;
101005;0800;;;11,4327;
101005;0900;;;5,31038;
101005;1000;;;2,3203;
101005;1100;;;3,3228;
101005;1200;;;1,50935;
101005;1300;;;1,72496;
101005;1400;;;1,57737;
101005;1500;;;1,22893;
101005;1600;;;1,05711;
101005;1700;;;1,01603;
101005;1800;;;0,908569;
101005;1900;;;2,05101;
101005;2000;;;1,48314;
101005;2100;;;3,97362;
