FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0100;;;14;
201225;0200;;;17;
201225;0300;;;0;
201225;0400;;;13;
201225;0500;;;0;
201225;0600;;;0;
201225;0700;;;13;
201225;0800;;;9;
201225;0900;;;8;
201225;1000;;;8;
201225;1100;;;8;
201225;1200;;;7;
201225;1300;;;10;
201225;1400;;;10;
201225;1500;;;9;
201225;1600;;;10;
201225;1700;;;9;
201225;1800;;;10;
201225;1900;;;15;
201225;2000;;;15;
201225;2100;;;16;
201225;2200;;;16;
201225;2300;;;12;
201226;0000;;;11;
201226;0100;;;12;
201226;0200;;;12;
201226;0300;;;18;
201226;0400;;;9;
201226;0500;;;8;
201226;0600;;;10;
201226;0700;;;13;
201226;0800;;;14;
201226;0900;;;14;
201226;1000;;;9;
201226;1100;;;5;
201226;1200;;;4;
201226;1300;;;6;
201226;1400;;;8;
201226;1500;;;10;
201226;1600;;;9;
201226;1700;;;9;
201226;1800;;;10;
201226;1900;;;12;
201226;2000;;;15;
201226;2100;;;6;
201226;2200;;;9;
201226;2300;;;7;
201227;0000;;;7;
201227;0100;;;7;
201227;0200;;;4;
201227;0300;;;4;
201227;0400;;;5;
201227;0500;;;4;
201227;0600;;;3;
201227;0700;;;4;
201227;0800;;;5;
201227;0900;;;9;
201227;1000;;;6;
201227;1100;;;6;
201227;1200;;;6;
201227;1300;;;5;
201227;1400;;;5;
201227;1500;;;5;
201227;1600;;;6;
201227;1700;;;8;
201227;1800;;;9;
201227;1900;;;11;
201227;2000;;;14;
201227;2100;;;10;
201227;2200;;;10;
201227;2300;;;8;
201228;0000;;;8;
201228;0100;;;8;
201228;0200;;;9;
201228;0300;;;9;
201228;0400;;;7;
201228;0500;;;7;
201228;0600;;;8;
201228;0700;;;10;
201228;0800;;;11;
201228;0900;;;16;
201228;1000;;;15;
201228;1100;;;12;
201228;1200;;;7;
201228;1300;;;7;
201228;1400;;;8;
201228;1500;;;8;
201228;1600;;;8;
201228;1700;;;10;
201228;1800;;;9;
201228;1900;;;9;
201228;2000;;;14;
201228;2100;;;9;
201228;2200;;;10;
201228;2300;;;9;
201229;0000;;;8;
201229;0100;;;7;
201229;0200;;;8;
201229;0300;;;10;
201229;0400;;;9;
201229;0500;;;6;
201229;0600;;;9;
201229;0700;;;6;
201229;0800;;;7;
201229;0900;;;7;
201229;1000;;;8;
201229;1100;;;10;
201229;1200;;;6;
201229;1300;;;5;
201229;1400;;;6;
201229;1500;;;8;
201229;1600;;;8;
201229;1700;;;8;
201229;1800;;;9;
201229;1900;;;9;
201229;2000;;;9;
201229;2100;;;8;
201229;2200;;;8;
201229;2300;;;8;
201230;0000;;;7;
201230;0100;;;7;
201230;0200;;;8;
201230;0300;;;6;
201230;0400;;;6;
201230;0500;;;6;
201230;0600;;;11;
201230;0700;;;10;
201230;0800;;;7;
201230;0900;;;10;
201230;1000;;;8;
201230;1100;;;7;
201230;1200;;;6;
201230;1300;;;6;
201230;1400;;;12;
201230;1500;;;15;
201230;1600;;;14;
201230;1700;;;16;
201230;1800;;;32;
201230;1900;;;47;
201230;2000;;;12;
201230;2100;;;11;
201230;2200;;;17;
201230;2300;;;11;
201231;0000;;;13;
201231;0100;;;12;
201231;0200;;;9;
201231;0300;;;9;
201231;0400;;;8;
201231;0500;;;7;
201231;0600;;;9;
201231;0700;;;13;
201231;0800;;;16;
201231;0900;;;5;
201231;1000;;;;
201231;1100;;;;
201231;1200;;;8;
201231;1300;;;11;
201231;1400;;;9;
201231;1500;;;10;
201231;1600;;;11;
201231;1700;;;11;
201231;1800;;;11;
201231;1900;;;18;
201231;2000;;;19;
201231;2100;;;25;
201231;2200;;;19;
201231;2300;;;25;
210101;0000;;;28;
210101;0100;;;33;
210101;0200;;;23;
210101;0300;;;21;
210101;0400;;;18;
210101;0500;;;17;
210101;0600;;;17;
210101;0700;;;16;
210101;0800;;;17;
210101;0900;;;16;
210101;1000;;;14;
210101;1100;;;11;
210101;1200;;;11;
210101;1300;;;13;
210101;1400;;;13;
210101;1500;;;12;
210101;1600;;;11;
210101;1700;;;17;
210101;1800;;;13;
210101;1900;;;10;
210101;2000;;;11;
210101;2100;;;11;
210101;2200;;;13;
210101;2300;;;15;
210102;0000;;;13;
210102;0100;;;15;
210102;0200;;;13;
210102;0300;;;14;
210102;0400;;;11;
210102;0500;;;9;
210102;0600;;;8;
210102;0700;;;12;
210102;0800;;;16;
210102;0900;;;15;
210102;1000;;;13;
210102;1100;;;12;
210102;1200;;;11;
210102;1300;;;11;
210102;1400;;;11;
