FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161125;0100;;;19,6608;
161125;0200;;;19,2442;
161125;0300;;;18,5692;
161125;0400;;;18,5667;
161125;0500;;;18,51;
161125;0600;;;18,3833;
161125;0700;;;17,2658;
161125;0800;;;16,915;
161125;0900;;;16,7264;
161125;1000;;;;
161125;1100;;;;
161125;1200;;;;
161125;1300;;2,21725;;
161125;1400;;1,63281;;
161125;1500;;1,83893;;
161125;1600;;1,48423;;
161125;1700;;1,32288;;
161125;1800;;1,62704;;
161125;1900;;1,84953;;
161125;2000;;1,97163;;
161125;2100;;1,94908;;
161125;2200;;1,92261;;
161125;2300;;1,91342;;
161126;0000;;1,8933;;
161126;0100;;1,83483;;
161126;0200;;1,84703;;
161126;0300;;1,92553;;
161126;0400;;2,02926;;
161126;0500;;2,07912;;
161126;0600;;2,19421;;
161126;0700;;2,16455;;
161126;0800;;2,56285;;
161126;0900;;2,86769;;
161126;1000;;2,69514;;
161126;1100;;3,10921;;
161126;1200;;2,5403;;
161126;1300;;2,65296;;
161126;1400;;2,5271;;
161126;1500;;2,43749;;
161126;1600;;2,08714;;
161126;1700;;2,03978;;
161126;1800;;1,94942;;
161126;1900;;1,95359;;
161126;2000;;1,83617;;
161126;2100;;1,88929;;
161126;2200;;2,02475;;
161126;2300;;2,36224;;
161127;0000;;2,72604;;
161127;0100;;2,9826;;
161127;0200;;3,20317;;
161127;0300;;3,22681;;
161127;0400;;3,22956;;
161127;0500;;3,14037;;
161127;0600;;3,3003;;
161127;0700;;3,24652;;
161127;0800;;3,05576;;
161127;0900;;2,54005;;
161127;1000;;2,99062;;
161127;1100;;3,1245;;
161127;1200;;2,90076;;
161127;1300;;2,2895;;
161127;1400;;2,06183;;
161127;1500;;2,06509;;
161127;1600;;2,05239;;
161127;1700;;1,91702;;
161127;1800;;1,94215;;
161127;1900;;2,03319;;
161127;2000;;2,06166;;
161127;2100;;2,11812;;
161127;2200;;2,48117;;
161127;2300;;3,21645;;
161128;0000;;3,9747;;
161128;0100;;4,28129;;
161128;0200;;4,45442;;
161128;0300;;4,6161;;
161128;0400;;4,59331;;
161128;0500;;4,51363;;
161128;0600;;5,32032;;
161128;0700;;6,89085;;
161128;0800;;6,03889;;
161128;0900;;4,30985;;
161128;1000;;3,03497;;
161128;1100;;2,48259;;
161128;1200;;2,41168;;
161128;1300;;1,76134;;
161128;1400;;2,01456;;
161128;1500;;2,30528;;
161128;1600;;2,31472;;
161128;1700;;1,84786;;
161128;1800;;1,07975;;
161128;1900;;1,40383;;
161128;2000;;2,04362;;
161128;2100;;2,36942;;
161128;2200;;2,9497;;
161128;2300;;3,03355;;
161129;0000;;3,0368;;
161129;0100;;3,22196;;
161129;0200;;3,30698;;
161129;0300;;3,42232;;
161129;0400;;3,63554;;
161129;0500;;3,80115;;
161129;0600;;4,49751;;
161129;0700;;4,4738;;
161129;0800;;2,89792;;
161129;0900;;1,66043;;
161129;1000;;;;
161129;1100;;;;
161129;1200;;;;
161129;1300;;;;
161129;1400;;1;;
161129;1500;;1,06633;;
161129;1600;;2,01566;;
161129;1700;;2,08489;;
161129;1800;;1;;
161129;1900;;1;;
161129;2000;;1;;
161129;2100;;1;;
161129;2200;;1;;
161129;2300;;1;;
161130;0000;;1;;
161130;0100;;1;;
161130;0200;;1;;
161130;0300;;1;;
161130;0400;;1;;
161130;0500;;1;;
161130;0600;;1;;
161130;0700;;1;;
161130;0800;;1;;
161130;0900;;1;;
161130;1000;;1;;
161130;1100;;1;;
161130;1200;;1;;
161130;1300;;1;;
161130;1400;;1;;
161130;1500;;1,00908;;
161130;1600;;1;;
161130;1700;;1;;
161130;1800;;1;;
161130;1900;;1;;
161130;2000;;1;;
161130;2100;;1;;
161130;2200;;1;;
161130;2300;;1;;
161201;0000;;1;;
161201;0100;;1;;
161201;0200;;1;;
161201;0300;;1,01707;;
161201;0400;;1,17889;;
161201;0500;;1,49367;;
161201;0600;;1,36539;;
161201;0700;;1,45258;;
161201;0800;;1,18688;;
161201;0900;;1,04966;;
161201;1000;;1,09775;;
161201;1100;;1,14114;;
161201;1200;;1;;
161201;1300;;1;;
161201;1400;;1;;
161201;1500;;1;;
161201;1600;;1;;
161201;1700;;1,05325;;
161201;1800;;2,54339;;
161201;1900;;1,11967;;
161201;2000;;1;;
161201;2100;;2,95887;;
161201;2200;;3,26756;;
161201;2300;;3,01025;;
161202;0000;;2,9026;;
161202;0100;;1,90076;;
161202;0200;;1,7225;;
161202;0300;;1,92503;;
161202;0400;;1,88536;;
161202;0500;;3,38557;;
161202;0600;;3,3398;;
161202;0700;;2,18783;;
161202;0800;;1;;
161202;0900;;1;;
161202;1000;;1;;
161202;1100;;1;;
161202;1200;;1;;
161202;1300;;1;;
161202;1400;;1;;
161202;1500;;1;;
161202;1600;;1;;
161202;1700;;1;;
161202;1800;;1;;
161202;1900;;1;;
161202;2000;;1;;
161202;2100;;1;;
161202;2200;;1,35143;;
161202;2300;;1,64048;;
161203;0000;;1,11296;;
161203;0100;;1,38672;;
161203;0200;;1,94541;;
161203;0300;;1,83191;;
161203;0400;;1,66688;;
161203;0500;;3,07857;;
161203;0600;;7,93814;;
161203;0700;;7,03475;;
161203;0800;;2,7668;;
161203;0900;;2,00587;;
161203;1000;;2,62473;;
161203;1100;;1,4373;;
161203;1200;;1;;
161203;1300;;1;;
161203;1400;;1;;
161203;1500;;1;;
161203;1600;;1;;
161203;1700;;1;;
161203;1800;;1;;
161203;1900;;1;;
161203;2000;;1;;
161203;2100;;1;;
