FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090107;0100;;0,15;;
090107;0200;;0,14;;
090107;0300;;0,14;;
090107;0400;;0,14;;
090107;0500;;0,14;;
090107;0600;;0,14;;
090107;0700;;0,16;;
090107;0800;;0,17;;
090107;0900;;0,17;;
090107;1000;;0,16;;
090107;1100;;0,15;;
090107;1200;;0,15;;
090107;1300;;0,13;;
090107;1400;;0,13;;
090107;1500;;0,12;;
090107;1600;;0,11;;
090107;1700;;0,11;;
090107;1800;;0,13;;
090107;1900;;0,14;;
090107;2000;;0,17;;
090107;2100;;0,25;;
090107;2200;;0,24;;
090107;2300;;0,21;;
090108;0000;;0,17;;
090108;0100;;0,14;;
090108;0200;;0,13;;
090108;0300;;0,13;;
090108;0400;;0,13;;
090108;0500;;0,13;;
090108;0600;;0,14;;
090108;0700;;0,15;;
090108;0800;;0,16;;
090108;0900;;0,16;;
090108;1000;;0,15;;
090108;1100;;0,15;;
090108;1200;;0,16;;
090108;1300;;0,15;;
090108;1400;;0,14;;
090108;1500;;0,13;;
090108;1600;;0,12;;
090108;1700;;0,12;;
090108;1800;;0,12;;
090108;1900;;0,14;;
090108;2000;;0,17;;
090108;2100;;0,19;;
090108;2200;;0,24;;
090108;2300;;0,24;;
090109;0000;;0,23;;
090109;0100;;0,17;;
090109;0200;;0,14;;
090109;0300;;0,14;;
090109;0400;;0,14;;
090109;0500;;0,15;;
090109;0600;;0,14;;
090109;0700;;0,16;;
090109;0800;;0,17;;
090109;0900;;0,16;;
090109;1000;;0,16;;
090109;1100;;0,16;;
090109;1200;;0,17;;
090109;1300;;0,16;;
090109;1400;;0,15;;
090109;1500;;0,14;;
090109;1600;;0,13;;
090109;1700;;0,13;;
090109;1800;;0,15;;
090109;1900;;0,16;;
090109;2000;;0,17;;
090109;2100;;0,17;;
090109;2200;;0,19;;
090109;2300;;0,2;;
090110;0000;;0,18;;
090110;0100;;0,21;;
090110;0200;;0,35;;
090110;0300;;0,18;;
090110;0400;;0,14;;
090110;0500;;0,14;;
090110;0600;;0,13;;
090110;0700;;0,14;;
090110;0800;;0,14;;
090110;0900;;0,15;;
090110;1000;;0,15;;
090110;1100;;0,15;;
090110;1200;;0,15;;
090110;1300;;0,15;;
090110;1400;;0,14;;
090110;1500;;0,14;;
090110;1600;;0,14;;
090110;1700;;0,13;;
090110;1800;;0,13;;
090110;1900;;0,15;;
090110;2000;;0,16;;
090110;2100;;0,2;;
090110;2200;;0,18;;
090110;2300;;0,16;;
090111;0000;;0,15;;
090111;0100;;0,14;;
090111;0200;;0,14;;
090111;0300;;0,13;;
090111;0400;;0,13;;
090111;0500;;0,14;;
090111;0600;;0,14;;
090111;0700;;0,14;;
090111;0800;;0,14;;
090111;0900;;0,15;;
090111;1000;;0,15;;
090111;1100;;0,16;;
090111;1200;;0,16;;
090111;1300;;0,16;;
090111;1400;;0,15;;
090111;1500;;0,14;;
090111;1600;;0,14;;
090111;1700;;0,13;;
090111;1800;;0,13;;
090111;1900;;0,14;;
090111;2000;;0,15;;
090111;2100;;0,18;;
090111;2200;;0,21;;
090111;2300;;0,24;;
090112;0000;;0,18;;
090112;0100;;0,14;;
090112;0200;;0,13;;
090112;0300;;0,12;;
090112;0400;;0,12;;
090112;0500;;0,12;;
090112;0600;;0,14;;
090112;0700;;0,15;;
090112;0800;;0,16;;
090112;0900;;0,16;;
090112;1000;;0,16;;
090112;1100;;0,16;;
090112;1200;;0,16;;
090112;1300;;0,15;;
090112;1400;;0,13;;
090112;1500;;0,12;;
090112;1600;;0,13;;
090112;1700;;0,14;;
090112;1800;;0,14;;
090112;1900;;0,14;;
090112;2000;;0,15;;
090112;2100;;0,17;;
090112;2200;;0,15;;
090112;2300;;0,15;;
090113;0000;;0,15;;
090113;0100;;0,13;;
090113;0200;;0,13;;
090113;0300;;0,13;;
090113;0400;;0,13;;
090113;0500;;0,13;;
090113;0600;;0,14;;
090113;0700;;0,15;;
090113;0800;;0,16;;
090113;0900;;0,15;;
090113;1000;;0,14;;
090113;1100;;0,14;;
090113;1200;;0,14;;
090113;1300;;0,13;;
090113;1400;;0,13;;
090113;1500;;0,13;;
090113;1600;;0,13;;
090113;1700;;0,13;;
090113;1800;;0,14;;
090113;1900;;0,15;;
090113;2000;;0,16;;
