FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
101003;0100;;;7,30482;
101003;0200;;;5,55231;
101003;0300;;;8,87012;
101003;0400;;;9,00058;
101003;0500;;;9,59904;
101003;0600;;;5,95936;
101003;0700;;;11,1454;
101003;0800;;;12,385;
101003;0900;;;15,0305;
101003;1000;;;19,0627;
101003;1100;;;21,1323;
101003;1200;;;21,6327;
101003;1300;;;20,5818;
101003;1400;;;22,5971;
101003;1500;;;21,592;
101003;1600;;;17,8778;
101003;1700;;;17,2459;
101003;1800;;;14,0522;
101003;1900;;;10,0399;
101003;2000;;;13,7082;
101003;2100;;;6,70583;
101003;2200;;;5,71185;
101003;2300;;;6,47675;
101004;0000;;;5,16479;
101004;0100;;;5,08498;
101004;0200;;;3,97853;
101004;0300;;;4,02187;
101004;0400;;;4,72366;
101004;0500;;;5,48956;
101004;0600;;;5,66174;
101004;0700;;;3,15674;
101004;0800;;;4,90762;
101004;0900;;;10,4516;
101004;1000;;;7,38326;
101004;1100;;;11,2807;
101004;1200;;;12,9906;
101004;1300;;;14,4622;
101004;1400;;;14,3189;
101004;1500;;;13,0432;
101004;1600;;;14,0424;
101004;1700;;;12,8745;
101004;1800;;;10,2027;
101004;1900;;;7,74706;
101004;2000;;;7,39303;
101004;2100;;;9,60422;
101004;2200;;;8,81795;
101004;2300;;;8,95087;
101005;0000;;;6,23586;
101005;0100;;;2,27031;
101005;0200;;;1,94147;
101005;0300;;;1,80873;
101005;0400;;;1,40441;
101005;0500;;;1,25462;
101005;0600;;;1,35394;
101005;0700;;;2,35563;
101005;0800;;;8,37639;
101005;0900;;;8,83186;
101005;1000;;;13,1119;
101005;1100;;;21,4775;
101005;1200;;;16,0373;
101005;1300;;;21,7387;
101005;1400;;;22,0322;
101005;1500;;;18,8337;
101005;1600;;;18,0101;
101005;1700;;;14,5759;
101005;1800;;;10,6752;
101005;1900;;;8,47614;
101005;2000;;;9,53212;
101005;2100;;;8,83008;
101005;2200;;;7,42399;
101005;2300;;;3,01628;
101006;0000;;;3,93044;
101006;0100;;;4,80846;
101006;0200;;;2,6553;
101006;0300;;;1,94334;
101006;0400;;;1,76607;
101006;0500;;;1,95208;
101006;0600;;;1,52544;
101006;0700;;;1,82129;
101006;0800;;;5,34961;
101006;0900;;;6,42101;
101006;1000;;;8,30888;
101006;1100;;;12,2867;
101006;1200;;;12,5912;
101006;1300;;;14,6484;
101006;1400;;;13,849;
101006;1500;;;13,6107;
101006;1600;;;10,0224;
101006;1700;;;10,2407;
101006;1800;;;9,70879;
101006;1900;;;11,523;
101006;2000;;;11,6693;
101006;2100;;;2,70254;
101006;2200;;;1,98168;
101006;2300;;;2,52646;
101007;0000;;;2,28176;
101007;0100;;;4,64444;
101007;0200;;;5,97947;
101007;0300;;;8,81694;
101007;0400;;;5,11729;
101007;0500;;;5,05894;
101007;0600;;;4,78345;
101007;0700;;;6,52034;
101007;0800;;;9,85579;
101007;0900;;;9,17891;
101007;1000;;;;
101007;1100;;;13,7208;
101007;1200;;;12,3271;
101007;1300;;;11,5254;
101007;1400;;;14,1108;
101007;1500;;;13,8612;
101007;1600;;;12,126;
101007;1700;;;12,4323;
101007;1800;;;12,0837;
101007;1900;;;8,46486;
101007;2000;;;7,36385;
101007;2100;;;5,49804;
101007;2200;;;5,24635;
101007;2300;;;2,55414;
101008;0000;;;4,65761;
101008;0100;;;6,64246;
101008;0200;;;4,20701;
101008;0300;;;4,57587;
101008;0400;;;6,67968;
101008;0500;;;3,69187;
101008;0600;;;1,91768;
101008;0700;;;2,89137;
101008;0800;;;4,58417;
101008;0900;;;4,69067;
101008;1000;;;7,06775;
101008;1100;;;8,5163;
101008;1200;;;9,48137;
101008;1300;;;11,577;
101008;1400;;;12,0448;
101008;1500;;;11,4856;
101008;1600;;;11,4162;
101008;1700;;;10,9306;
101008;1800;;;10,7483;
101008;1900;;;7,47773;
101008;2000;;;4,88341;
101008;2100;;;5,24178;
101008;2200;;;6,35802;
101008;2300;;;7,20913;
101009;0000;;;6,006;
101009;0100;;;1,61438;
101009;0200;;;1,43705;
101009;0300;;;1,32631;
101009;0400;;;1,36523;
101009;0500;;;1,23697;
101009;0600;;;1,44966;
101009;0700;;;2,44881;
101009;0800;;;3,55465;
101009;0900;;;5,52689;
101009;1000;;;6,68104;
101009;1100;;;10,1713;
101009;1200;;;12,1531;
101009;1300;;;11,9027;
101009;1400;;;13,0025;
101009;1500;;;12,2462;
101009;1600;;;9,48178;
101009;1700;;;12,0939;
101009;1800;;;11,544;
101009;1900;;;8,0916;
101009;2000;;;5,64779;
101009;2100;;;5,2625;
101009;2200;;;6,47816;
101009;2300;;;6,8252;
101010;0000;;;5,28637;
101010;0100;;;2,56573;
101010;0200;;;1,39374;
101010;0300;;;1,31463;
101010;0400;;;1,15414;
101010;0500;;;1,1747;
101010;0600;;;1,29111;
101010;0700;;;2,68451;
101010;0800;;;4,60067;
101010;0900;;;8,79033;
101010;1000;;;11,4365;
101010;1100;;;11,9636;
101010;1200;;;12,2673;
101010;1300;;;13,0397;
101010;1400;;;13,533;
101010;1500;;;13,6886;
101010;1600;;;14,3096;
101010;1700;;;12,5981;
101010;1800;;;10,6721;
101010;1900;;;9,85352;
101010;2000;;;6,48256;
101010;2100;;;11,4255;
101010;2200;;;13,3841;
101010;2300;;;14,6049;
101011;0000;;;14,7204;
101011;0100;;;15,582;
101011;0200;;;16,1438;
101011;0300;;;11,7295;
101011;0400;;;10,5524;
101011;0500;;;6,72731;
101011;0600;;;4,59322;
101011;0700;;;7,63052;
101011;0800;;;7,18857;
101011;0900;;;4,83578;
101011;1000;;;5,63297;
101011;1100;;;13,3122;
101011;1200;;;14,0634;
101011;1300;;;14,8494;
101011;1400;;;14,1971;
101011;1500;;;12,4128;
101011;1600;;;11,2919;
101011;1700;;;13,2855;
101011;1800;;;8,68297;
101011;1900;;;8,28949;
101011;2000;;;8,32451;
101011;2100;;;10,0256;
101011;2200;;;11,1971;
101011;2300;;;14,8908;
101012;0000;;;16,7445;
101012;0100;;;16,5566;
101012;0200;;;16,5998;
101012;0300;;;16,1083;
101012;0400;;;13,533;
101012;0500;;;11,7572;
101012;0600;;;6,57375;
101012;0700;;;4,8988;
101012;0800;;;1,93553;
101012;0900;;;5,1059;
101012;1000;;;9,88213;
101012;1100;;;10,2292;
101012;1200;;;12,4289;
101012;1300;;;14,1683;
101012;1400;;;11,8519;
101012;1500;;;8,13568;
101012;1600;;;10,0305;
101012;1700;;;12,3655;
101012;1800;;;12,9501;
101012;1900;;;12,7656;
101012;2000;;;12,2221;
101012;2100;;;6,75726;
101012;2200;;;11,0093;
101012;2300;;;13,4103;
101013;0000;;;14,7174;
101013;0100;;;14,1929;
101013;0200;;;13,8528;
101013;0300;;;13,9974;
101013;0400;;;9,99474;
101013;0500;;;5,53138;
101013;0600;;;4,26453;
101013;0700;;;3,24238;
101013;0800;;;2,64331;
101013;0900;;;5,14906;
101013;1000;;;6,25887;
101013;1100;;;7,42857;
101013;1200;;;9,1234;
101013;1300;;;9,30284;
101013;1400;;;9,42299;
101013;1500;;;9,40691;
101013;1600;;;8,86089;
101013;1700;;;8,97765;
101013;1800;;;8,48593;
101013;1900;;;7,82076;
101013;2000;;;7,98958;
101013;2100;;;5,39964;
101013;2200;;;3,82317;
101013;2300;;;7,42239;
101014;0000;;;7,23433;
101014;0100;;;3,75448;
101014;0200;;;5,81699;
101014;0300;;;5,08671;
101014;0400;;;1,80093;
101014;0500;;;2,54924;
