FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
101003;0100;;;0,790914;
101003;0200;;;0,804205;
101003;0300;;;0,79268;
101003;0400;;;0,73329;
101003;0500;;;0,724961;
101003;0600;;;0,898505;
101003;0700;;;0,891607;
101003;0800;;;0,780313;
101003;0900;;;0,70351;
101003;1000;;;0,68004;
101003;1100;;;0,686938;
101003;1200;;;0,667759;
101003;1300;;;0,675835;
101003;1400;;;0,682984;
101003;1500;;;0,702669;
101003;1600;;;0,707044;
101003;1700;;;0,873185;
101003;1800;;;0,818001;
101003;1900;;;0,890429;
101003;2000;;;0,754067;
101003;2100;;;0,760882;
101003;2200;;;0,827759;
101003;2300;;;1,47651;
101004;0000;;;0,775351;
101004;0100;;;1,61076;
101004;0200;;;1,52774;
101004;0300;;;1,33291;
101004;0400;;;1,04715;
101004;0500;;;1,02191;
101004;0600;;;1,05506;
101004;0700;;;1,17341;
101004;0800;;;1,33728;
101004;0900;;;1,09981;
101004;1000;;;1,21539;
101004;1100;;;0,963413;
101004;1200;;;0,781913;
101004;1300;;;0,73615;
101004;1400;;;0,796885;
101004;1500;;;0,842985;
101004;1600;;;0,7735;
101004;1700;;;0,731607;
101004;1800;;;0,704351;
101004;1900;;;0,684078;
101004;2000;;;0,681218;
101004;2100;;;0,715961;
101004;2200;;;0,757686;
101004;2300;;;0,861072;
101005;0000;;;0,900104;
101005;0100;;;1,58974;
101005;0200;;;1,5899;
101005;0300;;;1,48719;
101005;0400;;;1,14935;
101005;0500;;;1,04286;
101005;0600;;;1,15693;
101005;0700;;;1,1375;
101005;0800;;;1,12622;
101005;0900;;;0,80757;
101005;1000;;;0,74229;
101005;1100;;;0,738589;
101005;1200;;;0,747675;
101005;1300;;;0,841471;
101005;1400;;;0,867043;
101005;1500;;;0,775351;
101005;1600;;;0,739094;
101005;1700;;;0,726896;
101005;1800;;;0,706539;
101005;1900;;;0,715624;
101005;2000;;;0,737664;
101005;2100;;;0,725045;
101005;2200;;;0,776024;
101005;2300;;;0,75432;
101006;0000;;;0,896317;
101006;0100;;;1,92126;
101006;0200;;;1,49384;
101006;0300;;;1,45884;
101006;0400;;;1,37842;
101006;0500;;;1,36084;
101006;0600;;;1,16988;
101006;0700;;;1,08669;
101006;0800;;;1,23466;
101006;0900;;;0,988516;
101006;1000;;;0,73085;
101006;1100;;;0,768957;
101006;1200;;;1,00837;
101006;1300;;;0,871249;
101006;1400;;;0,732449;
101006;1500;;;0,747927;
101006;1600;;;0,759452;
101006;1700;;;0,711923;
101006;1800;;;0,791418;
101006;1900;;;0,968073;
101006;2000;;;1,19251;
101006;2100;;;1,13556;
101006;2200;;;1,55533;
101006;2300;;;1,54776;
101007;0000;;;1,38086;
101007;0100;;;1,01526;
101007;0200;;;0,833395;
101007;0300;;;0,739347;
101007;0400;;;0,740188;
101007;0500;;;0,730346;
101007;0600;;;0,800082;
101007;0700;;;0,857453;
101007;0800;;;0,819683;
101007;0900;;;0,741029;
101007;1000;;;0,699893;
101007;1100;;;0,710998;
101007;1200;;;0,683069;
101007;1300;;;0,23;
101007;1400;;;0,277666;
101007;1500;;;0,280416;
101007;1600;;;0,265833;
101007;1700;;;0,288583;
101007;1800;;;0,275583;
101007;1900;;;0,28375;
101007;2000;;;0,271083;
101007;2100;;;0,275833;
101007;2200;;;0,306083;
101007;2300;;;0,374499;
101008;0000;;;0,322166;
101008;0100;;;0,344666;
101008;0200;;;0,554832;
101008;0300;;;0,487416;
101008;0400;;;0,412583;
101008;0500;;;0,364749;
101008;0600;;;0,44175;
101008;0700;;;0,567665;
101008;0800;;;0,395083;
101008;0900;;;0,322333;
101008;1000;;;0,31575;
101008;1100;;;0,302083;
101008;1200;;;0,313;
101008;1300;;;0,29075;
101008;1400;;;0,30125;
101008;1500;;;0,312;
101008;1600;;;0,300333;
101008;1700;;;0,297916;
101008;1800;;;0,291083;
101008;1900;;;0,329416;
101008;2000;;;0,314583;
101008;2100;;;0,3275;
101008;2200;;;0,300333;
101008;2300;;;0,290583;
101009;0000;;;0,278749;
101009;0100;;;0,314083;
101009;0200;;;0,400333;
101009;0300;;;0,558499;
101009;0400;;;0,478333;
101009;0500;;;0,5285;
101009;0600;;;0,499083;
101009;0700;;;0,490999;
101009;0800;;;0,334666;
101009;0900;;;0,34325;
101009;1000;;;0,35375;
101009;1100;;;0,323666;
101009;1200;;;0,318416;
101009;1300;;;0,346583;
101009;1400;;;0,30725;
101009;1500;;;0,341875;
101009;1600;;;0,361583;
101009;1700;;;0,331916;
101009;1800;;;0,319833;
101009;1900;;;0,34775;
101009;2000;;;0,3335;
101009;2100;;;0,320583;
101009;2200;;;0,30625;
101009;2300;;;0,29425;
101010;0000;;;0,326583;
101010;0100;;;0,343;
101010;0200;;;0,32275;
101010;0300;;;0,290583;
101010;0400;;;0,488083;
101010;0500;;;0,341;
101010;0600;;;0,314;
101010;0700;;;0,3665;
101010;0800;;;0,352833;
101010;0900;;;0,395333;
101010;1000;;;0,316666;
101010;1100;;;0,366083;
101010;1200;;;0,35025;
101010;1300;;;0,30375;
101010;1400;;;0,311833;
101010;1500;;;0,314;
101010;1600;;;0,318083;
101010;1700;;;0,34725;
101010;1800;;;0,357;
101010;1900;;;0,386499;
101010;2000;;;0,419416;
101010;2100;;;0,332;
101010;2200;;;0,302166;
101010;2300;;;0,296083;
101011;0000;;;0,295916;
101011;0100;;;0,31725;
101011;0200;;;0,39125;
101011;0300;;;0,718916;
101011;0400;;;0,976998;
101011;0500;;;0,779415;
101011;0600;;;0,642165;
101011;0700;;;0,36525;
101011;0800;;;0,377916;
101011;0900;;;0,545416;
101011;1000;;;0,536649;
101011;1100;;;0,472332;
101011;1200;;;0,394583;
101011;1300;;;0,355583;
101011;1400;;;0,613998;
101011;1500;;;0,743916;
101011;1600;;;0,809749;
101011;1700;;;0,586999;
101011;1800;;;0,677749;
101011;1900;;;0,756748;
101011;2000;;;0,675833;
101011;2100;;;0,491832;
101011;2200;;;0,35825;
101011;2300;;;0,309666;
101012;0000;;;0,299833;
101012;0100;;;0,294;
101012;0200;;;0,296333;
101012;0300;;;0,294;
101012;0400;;;0,294416;
101012;0500;;;0,29475;
101012;0600;;;0,308333;
101012;0700;;;0,395666;
101012;0800;;;0,467833;
101012;0900;;;0,657166;
101012;1000;;;0,4545;
101012;1100;;;0,474833;
101012;1200;;;0,416583;
101012;1300;;;0,381333;
101012;1400;;;0,378333;
101012;1500;;;0,474833;
101012;1600;;;0,788999;
101012;1700;;;0,499416;
101012;1800;;;0,591331;
101012;1900;;;0,627499;
101012;2000;;;0,780748;
101012;2100;;;0,739165;
101012;2200;;;0,3995;
101012;2300;;;0,3605;
101013;0000;;;0,334;
101013;0100;;;0,322333;
101013;0200;;;0,306916;
101013;0300;;;0,298;
101013;0400;;;0,300666;
101013;0500;;;0,321;
101013;0600;;;0,418166;
101013;0700;;;0,3845;
101013;0800;;;0,428333;
101013;0900;;;0,520916;
101013;1000;;;0,400833;
101013;1100;;;0,362;
101013;1200;;;0,434416;
101013;1300;;;0,462916;
101013;1400;;;0,387916;
101013;1500;;;0,459083;
101013;1600;;;0,323333;
101013;1700;;;0,3045;
101013;1800;;;0,303666;
101013;1900;;;0,317833;
101013;2000;;;0,327;
101013;2100;;;0,3745;
101013;2200;;;0,38675;
101013;2300;;;0,32125;
101014;0000;;;0,30125;
101014;0100;;;0,29675;
101014;0200;;;0,298166;
101014;0300;;;0,304749;
101014;0400;;;0,323083;
101014;0500;;;0,314916;
101014;0600;;;0,338833;
101014;0700;;;0,345;
101014;0800;;;0,327916;
101014;0900;;;0,328833;
101014;1000;;;0,365833;
101014;1100;;;0,306601;
101014;1200;;;0,329684;
101014;1300;;;0,291184;
101014;1400;;;0,303221;
101014;1500;;;0,26101;
101014;1600;;;0,303633;
101014;1700;;;0,348894;
101014;1800;;;0,498608;
101014;1900;;;0,446505;
101014;2000;;;0,399925;
101014;2100;;;0,386487;
101014;2200;;;0,510314;
101014;2300;;;0,53686;
101015;0000;;;0,326717;
101015;0100;;;0,284424;
101015;0200;;;0,334219;
101015;0300;;;0,303386;
101015;0400;;;0,275438;
101015;0500;;;0,276015;
101015;0600;;;0,346173;
101015;0700;;;0,40413;
101015;0800;;;0,287103;
101015;0900;;;0,281456;
101015;1000;;;0,298851;
101015;1100;;;0,283393;
101015;1200;;;0,284012;
101015;1300;;;0,265792;
101015;1400;;;0,286485;
101015;1500;;;0,295718;
101015;1600;;;0,304375;
101015;1700;;;0,325975;
101015;1800;;;0,330014;
101015;1900;;;0,300912;
101015;2000;;;0,303798;
101015;2100;;;0,331251;
101015;2200;;;0,376594;
101015;2300;;;0,706196;
101016;0000;;;0,615016;
101016;0100;;;0,381458;
101016;0200;;;0,349223;
101016;0300;;;0,336362;
101016;0400;;;0,335126;
101016;0500;;;0,398029;
101016;0600;;;0,37206;
101016;0700;;;0,398985;
101016;0800;;;0,376512;
101016;0900;;;0,34304;
101016;1000;;;0,367196;
101016;1100;;;0,29778;
101016;1200;;;0,295224;
101016;1300;;;0,327211;
101016;1400;;;0,345348;
101016;1500;;;0,304045;
101016;1600;;;0,295471;
101016;1700;;;0,3714;
101016;1800;;;0,41732;
101016;1900;;;0,411219;
101016;2000;;;0,358045;
101016;2100;;;0,390444;
101016;2200;;;0,35318;
101016;2300;;;0,318225;
101017;0000;;;0,320286;
101017;0100;;;0,326057;
101017;0200;;;0,32919;
101017;0300;;;0,290112;
101017;0400;;;0,287227;
101017;0500;;;0,315175;
101017;0600;;;0,319297;
101017;0700;;;0,331581;
101017;0800;;;0,294482;
101017;0900;;;0,287969;
101017;1000;;;0,290277;
101017;1100;;;0,307384;
101017;1200;;;0,282858;
101017;1300;;;0,284589;
101017;1400;;;0,277252;
101017;1500;;;0,283352;
101017;1600;;;0,274201;
101017;1700;;;0,27923;
101017;1800;;;0,275108;
101017;1900;;;0,333147;
101017;2000;;;0,402811;
101017;2100;;;0,362167;
101017;2200;;;0,456892;
101017;2300;;;0,476843;
101018;0000;;;0,415589;
101018;0100;;;0,362991;
101018;0200;;;0,328036;
101018;0300;;;0,281044;
101018;0400;;;0,272099;
101018;0500;;;0,396545;
101018;0600;;;0,4855;
101018;0700;;;0,670004;
101018;0800;;;0,712708;
101018;0900;;;0,51559;
101018;1000;;;0,395308;
101018;1100;;;0,334219;
101018;1200;;;0,342628;
101018;1300;;;0,289948;
101018;1400;;;0,308744;
101018;1500;;;0,314845;
101018;1600;;;0,521361;
101018;1700;;;0,675199;
101018;1800;;;0,361177;
101018;1900;;;0,335868;
101018;2000;;;0,358292;
101018;2100;;;0,424163;
101018;2200;;;1,37356;
101018;2300;;;0,976934;
101019;0000;;;0,284012;
101019;0100;;;0,29308;
101019;0200;;;0,371977;
101019;0300;;;0,344524;
101019;0400;;;0,26909;
101019;0500;;;0,280632;
101019;0600;;;0,338176;
101019;0700;;;0,493909;
101019;0800;;;0,43216;
101019;0900;;;0,981222;
101019;1000;;;0,425894;
101019;1100;;;0,303385;
101019;1200;;;0,373461;
101019;1300;;;0,468599;
101019;1400;;;0,458871;
101019;1500;;;0,7212;
101019;1600;;;0,394567;
101019;1700;;;0,305941;
101019;1800;;;0,326222;
101019;1900;;;0,33562;
101019;2000;;;0,291432;
101019;2100;;;0,294976;
101019;2200;;;0,28937;
101019;2300;;;0,286567;
101020;0000;;;0,283435;
101020;0100;;;0,868276;
101020;0200;;;0,755249;
101020;0300;;;0,413116;
101020;0400;;;1,13201;
101020;0500;;;0,365629;
101020;0600;;;0,349883;
101020;0700;;;0,448566;
101020;0800;;;0,398194;
101020;0900;;;1,62575;
101020;1000;;;0,971911;
101020;1100;;;0,642355;
101020;1200;;;0,383073;
101020;1300;;;0,428292;
101020;1400;;;0,314125;
101020;1500;;;0,323501;
101020;1600;;;0,268097;
101020;1700;;;0,372121;
101020;1800;;;0,296618;
101020;1900;;;0,287907;
101020;2000;;;0,288156;
101020;2100;;;0,561127;
101020;2200;;;0,512506;
101020;2300;;;0,28328;
101021;0000;;;0,578799;
101021;0100;;;0,582948;
101021;0200;;;0,411698;
101021;0300;;;0,307985;
101021;0400;;;0,244762;
101021;0500;;;0,263845;
101021;0600;;;0,312051;
101021;0700;;;0,292636;
101021;0800;;;0,359593;
101021;0900;;;0,284505;
101021;1000;;;0,256004;
101021;1100;;;0,321012;
101021;1200;;;0,287243;
101021;1300;;;0,271312;
101021;1400;;;0,255299;
101021;1500;;;0,257207;
101021;1600;;;0,278697;
101021;1700;;;0,282513;
101021;1800;;;0,293548;
101021;1900;;;0,254987;
101021;2000;;;0,273552;
101021;2100;;;0,371872;
101021;2200;;;0,326322;
101021;2300;;;0,342418;
101022;0000;;;0,355278;
101022;0100;;;0,359676;
101022;0200;;;0,386475;
101022;0300;;;0,516156;
101022;0400;;;0,465629;
101022;0500;;;0,434764;
101022;0600;;;0,958139;
101022;0700;;;1,01813;
101022;0800;;;0,308483;
101022;0900;;;0,29637;
101022;1000;;;0,29778;
101022;1100;;;0,26426;
101022;1200;;;0,378593;
101022;1300;;;0,294046;
101022;1400;;;0,259282;
101022;1500;;;0,275212;
101022;1600;;;0,308566;
101022;1700;;;0,264924;
101022;1800;;;0,283343;
101022;1900;;;0,280937;
101022;2000;;;0,299107;
101022;2100;;;0,407135;
101022;2200;;;0,497157;
101022;2300;;;0,339556;
101023;0000;;;0,297136;
101023;0100;;;0,638124;
101023;0200;;;0,714705;
101023;0300;;;0,438995;
101023;0400;;;0,507279;
101023;0500;;;0,45841;
101023;0600;;;0,551834;
101023;0700;;;0,452602;
101023;0800;;;0,340758;
101023;0900;;;0,361833;
101023;1000;;;0,314706;
101023;1100;;;0,290395;
101023;1200;;;0,404065;
101023;1300;;;0,257456;
101023;1400;;;0,265172;
101023;1500;;;0,25057;
101023;1600;;;0,261771;
101023;1700;;;0,256046;
101023;1800;;;0,256066;
101023;1900;;;0,268242;
101023;2000;;;0,337523;
101023;2100;;;0,380252;
101023;2200;;;0,447209;
101023;2300;;;0,567847;
101024;0000;;;0,494419;
101024;0100;;;0,608834;
101024;0200;;;0,608502;
101024;0300;;;0,455298;
101024;0400;;;0,334121;
101024;0500;;;0,332129;
101024;0600;;;0,360754;
101024;0700;;;0,350217;
101024;0800;;;0,342335;
101024;0900;;;0,318771;
101024;1000;;;0,324911;
101024;1100;;;0,2933;
101024;1200;;;0,268491;
101024;1300;;;0,262103;
101024;1400;;;0,276374;
101024;1500;;;0,29554;
101024;1600;;;0,292387;
101024;1700;;;0,306326;
101024;1800;;;0,327732;
101024;1900;;;0,3274;
101024;2000;;;0,338269;
101024;2100;;;0,444969;
101024;2200;;;1,30794;
101024;2300;;;1,15718;
101025;0000;;;0,896659;
101025;0100;;;0,903379;
101025;0200;;;0,589502;
101025;0300;;;0,537895;
101025;0400;;;0,468201;
101025;0500;;;0,510929;
101025;0600;;;0,539223;
101025;0700;;;0,748473;
101025;0800;;;0,400165;
101025;0900;;;0,394689;
101025;1000;;;0,377348;
101025;1100;;;0,369632;
101025;1200;;;0,330553;
101025;1300;;;0,342916;
101025;1400;;;0,370379;
101025;1500;;;0,410868;
101025;1600;;;0,411283;
101025;1700;;;0,344409;
101025;1800;;;0,293797;
101025;1900;;;0,289068;
101025;2000;;;0,270483;
101025;2100;;;0,285335;
101025;2200;;;0,271167;
101025;2300;;;0,260194;
101026;0000;;;0,263181;
101026;0100;;;0,434432;
101026;0200;;;0,85368;
101026;0300;;;0,332212;
101026;0400;;;0,260194;
101026;0500;;;0,294046;
101026;0600;;;0,306326;
101026;0700;;;0,323003;
101026;0800;;;0,379506;
101026;0900;;;0,310723;
101026;1000;;;0,394606;
101026;1100;;;0,352042;
101026;1200;;;0,321924;
101026;1300;;;0,357187;
101026;1400;;;0,34499;
101026;1500;;;0,406969;
101026;1600;;;0,465795;
101026;1700;;;0,378593;
101026;1800;;;0,348724;
101026;1900;;;0,396266;
101026;2000;;;0,333706;
101026;2100;;;0,338684;
101026;2200;;;0,328064;
101026;2300;;;0,318605;
101027;0000;;;0,313793;
101027;0100;;;0,307819;
101027;0200;;;0,312632;
101027;0300;;;;
101027;0400;;;0,31454;
101027;0500;;;0,375689;
101027;0600;;;0,330802;
101027;0700;;;0,790208;
101027;0800;;;;
101027;0900;;;0,263633;
101027;1000;;;0,3163;
101027;1100;;;0,326846;
101027;1200;;;0,36903;
101027;1300;;;0,306423;
101027;1400;;;0,369784;
101027;1500;;;0,359656;
101027;1600;;;0,50253;
101027;1700;;;0,429127;
101027;1800;;;0,652688;
101027;1900;;;0,321322;
101027;2000;;;0,341242;
101027;2100;;;0,364678;
101027;2200;;;0,362251;
101027;2300;;;0,314375;
101028;0000;;;0,289265;
101028;0100;;;0,276292;
101028;0200;;;0,282569;
101028;0300;;;0,283071;
101028;0400;;;0,292696;
101028;0500;;;0,277547;
101028;0600;;;0,286419;
101028;0700;;;0,296714;
101028;0800;;;0,336388;
101028;0900;;;0,399665;
101028;1000;;;0,331366;
101028;1100;;;0,327348;
101028;1200;;;0,391462;
101028;1300;;;0,407783;
101028;1400;;;0,347353;
101028;1500;;;0,430801;
101028;1600;;;0,319648;
101028;1700;;;0,344004;
101028;1800;;;0,321908;
101028;1900;;;0,296882;
101028;2000;;;0,724501;
101028;2100;;;0,523372;
101028;2200;;;0,432223;
101028;2300;;;0,486294;
101029;0000;;;0,642224;
101029;0100;;;0,326679;
101029;0200;;;0,307428;
101029;0300;;;0,326595;
101029;0400;;;0,322745;
101029;0500;;;0,367105;
101029;0600;;;0,413307;
101029;0700;;;0,465954;
101029;0800;;;0,421259;
101029;0900;;;0,29797;
101029;1000;;;0,319397;
101029;1100;;;0,280476;
101029;1200;;;0,29119;
101029;1300;;;0,278886;
101029;1400;;;0,372546;
101029;1500;;;0,298472;
101029;1600;;;0,274952;
101029;1700;;;0,275371;
101029;1800;;;0,269679;
101029;1900;;;0,271939;
101029;2000;;;0,275538;
101029;2100;;;0,269679;
101029;2200;;;0,291692;
101029;2300;;;0,268591;
101030;0000;;;0,299978;
101030;0100;;;0,590834;
101030;0200;;;0,657625;
101030;0300;;;0,540949;
101030;0400;;;0,446201;
101030;0500;;;0,510398;
101030;0600;;;0,618957;
101030;0700;;;0,492152;
101030;0800;;;0,379828;
101030;0900;;;0,307427;
101030;1000;;;0,289097;
101030;1100;;;0,29119;
101030;1200;;;0,298556;
101030;1300;;;0,281816;
101030;1400;;;0,291525;
101030;1500;;;0,30115;
101030;1600;;;0,301569;
101030;1700;;;0,315044;
101030;1800;;;0,315044;
101030;1900;;;0,310692;
101030;2000;;;0,41314;
101030;2100;;;0,453065;
101030;2200;;;0,476668;
101030;2300;;;0,45725;
101031;0000;;;0,396903;
101031;0100;;;0,376229;
101031;0200;;;0,329943;
101031;0300;;;0,335299;
101031;0400;;;0,350031;
101031;0500;;;0,338815;
101031;0600;;;0,476919;
101031;0700;;;0,359238;
101031;0800;;;0,303243;
101031;0900;;;0,313789;
101031;1000;;;0,338564;
101031;1100;;;0,309018;
101031;1200;;;0,310524;
101031;1300;;;0,311278;
101031;1400;;;0,320987;
101031;1500;;;0,31111;
101031;1600;;;0,310776;
101031;1700;;;0,311613;
101031;1800;;;0,325172;
101031;1900;;;0,322326;
101031;2000;;;0,338564;
101031;2100;;;0,323163;
101031;2200;;;0,329775;
101031;2300;;;0,344255;
101101;0000;;;0,317137;
101101;0100;;;0,358066;
101101;0200;;;0,349026;
101101;0300;;;0,305084;
101101;0400;;;0,342749;
101101;0500;;;0,368947;
101101;0600;;;0,352626;
101101;0700;;;0,328018;
101101;0800;;;0,315379;
101101;0900;;;0,340489;
101101;1000;;;0,331031;
101101;1100;;;0,355806;
101101;1200;;;0,354551;
101101;1300;;;0,355555;
101101;1400;;;0,34526;
101101;1500;;;0,359489;
101101;1600;;;0,350951;
101101;1700;;;0,348524;
101101;1800;;;0,371542;
101101;1900;;;0,360995;
101101;2000;;;0,345344;
101101;2100;;;0,352793;
101101;2200;;;0,320485;
101101;2300;;;0,342498;
101102;0000;;;0,317555;
101102;0100;;;0,30249;
101102;0200;;;0,302406;
101102;0300;;;0,294622;
101102;0400;;;0,301401;
101102;0500;;;0,295208;
101102;0600;;;0,320568;
101102;0700;;;0,317555;
101102;0800;;;0,319229;
101102;0900;;;0,306926;
101102;1000;;;0,304666;
101102;1100;;;0,306172;
101102;1200;;;0,303661;
101102;1300;;;0,298137;
101102;1400;;;0,299978;
101102;1500;;;0,289935;
101102;1600;;;0,297132;
101102;1700;;;0,369282;
101102;1800;;;0,327934;
101102;1900;;;0,351705;
101102;2000;;;0,344255;
101102;2100;;;0,319564;
101102;2200;;;0,311947;
101102;2300;;;0,290185;
101103;0000;;;0,291943;
101103;0100;;;0,268591;
101103;0200;;;0,306926;
101103;0300;;;0,307511;
101103;0400;;;0,299978;
101103;0500;;;0,300481;
101103;0600;;;0,338648;
101103;0700;;;0,360577;
101103;0800;;;0,312115;
101103;0900;;;0,302992;
101103;1000;;;0,301485;
101103;1100;;;0,293115;
101103;1200;;;0,384933;
101103;1300;;;0,305168;
101103;1400;;;0,299225;
101103;1500;;;0,294705;
101103;1600;;;0,312031;
101103;1700;;;0,29889;
101103;1800;;;0,312701;
101103;1900;;;0,326009;
101103;2000;;;0,306758;
101103;2100;;;0,312701;
101103;2200;;;0,313789;
101103;2300;;;0,305837;
101104;0000;;;0,318894;
101104;0100;;;0,354634;
101104;0200;;;0,434484;
101104;0300;;;0,37807;
101104;0400;;;0,399832;
101104;0500;;;0,52739;
101104;0600;;;0,491901;
101104;0700;;;0,391211;
101104;0800;;;;
101104;0900;;;0,223164;
101104;1000;;;0,222998;
101104;1100;;;0,241713;
101104;1200;;;0,222333;
101104;1300;;;0,224578;
101104;1400;;;0,244125;
101104;1500;;;0,257683;
101104;1600;;;0,271241;
101104;1700;;;0,250946;
101104;1800;;;0,271989;
101104;1900;;;0,260844;
101104;2000;;;0,23248;
101104;2100;;;0,242212;
101104;2200;;;0,234892;
101104;2300;;;0,220004;
101105;0000;;;0,208026;
101105;0100;;;0,230151;
101105;0200;;;0,23614;
101105;0300;;;0,235807;
101105;0400;;;0,301268;
101105;0500;;;0,275067;
101105;0600;;;0,384112;
101105;0700;;;0,369572;
101105;0800;;;0,282636;
101105;0900;;;0,23115;
101105;1000;;;0,239051;
101105;1100;;;0,211603;
101105;1200;;;0,21859;
101105;1300;;;0,217675;
101105;1400;;;0,212767;
101105;1500;;;0,222915;
101105;1600;;;0,229902;
101105;1700;;;0,243792;
101105;1800;;;0,252942;
101105;1900;;;0,253607;
101105;2000;;;0,292035;
101105;2100;;;0,244208;
101105;2200;;;0,237887;
101105;2300;;;0,250114;
101106;0000;;;0,264753;
101106;0100;;;0,29453;
101106;0200;;;0,296277;
101106;0300;;;0,334539;
101106;0400;;;0,293366;
101106;0500;;;0,226658;
101106;0600;;;0,243293;
101106;0700;;;0,236473;
101106;0800;;;0,225826;
101106;0900;;;0,232896;
101106;1000;;;0,229985;
101106;1100;;;0,233894;
101106;1200;;;0,252692;
101106;1300;;;0,250031;
101106;1400;;;0,25369;
101106;1500;;;0,233312;
101106;1600;;;0,300852;
101106;1700;;;0,321563;
101106;1800;;;0,346683;
101106;1900;;;0,309669;
101106;2000;;;0,296194;
101106;2100;;;0,336452;
101106;2200;;;0,290787;
101106;2300;;;0,444333;
101107;0000;;;0,25211;
101107;0100;;;0,337866;
101107;0200;;;0,207111;
101107;0300;;;0,203618;
101107;0400;;;0,207111;
101107;0500;;;0,203618;
101107;0600;;;0,213017;
101107;0700;;;0,252027;
101107;0800;;;0,239218;
101107;0900;;;0,250363;
101107;1000;;;0,230484;
101107;1100;;;0,231233;
101107;1200;;;0,236473;
101107;1300;;;0,226242;
101107;1400;;;0,247369;
101107;1500;;;0,228155;
101107;1600;;;0,246371;
101107;1700;;;0,233229;
101107;1800;;;0,239135;
101107;1900;;;;
101107;2000;;;0,263505;
101107;2100;;;0,315325;
101107;2200;;;0,317654;
101107;2300;;;0,281472;
101108;0000;;;0,310833;
101108;0100;;;0,283302;
101108;0200;;;0,294697;
101108;0300;;;0,365314;
101108;0400;;;0,329298;
101108;0500;;;0,390517;
101108;0600;;;0,333541;
101108;0700;;;0,299604;
101108;0800;;;0,265834;
101108;0900;;;0,263921;
101108;1000;;;0,260012;
101108;1100;;;0,239384;
101108;1200;;;0,239467;
101108;1300;;;0,22042;
101108;1400;;;0,225161;
101108;1500;;;0,223763;
101108;1600;;;0,248201;
101108;1700;;;0,234976;
101108;1800;;;0,234477;
101108;1900;;;0,248866;
101108;2000;;;0,26467;
101108;2100;;;0,25918;
101108;2200;;;0,260012;
101108;2300;;;0,277063;
101109;0000;;;0,337117;
101109;0100;;;0,455229;
101109;0200;;;0,452484;
101109;0300;;;0,453066;
101109;0400;;;0,439675;
101109;0500;;;0,467872;
101109;0600;;;0,483925;
101109;0700;;;0,420295;
101109;0800;;;0,285713;
101109;0900;;;0,265668;
101109;1000;;;0,262674;
101109;1100;;;0,251112;
101109;1200;;;0,259263;
101109;1300;;;0,253108;
101109;1400;;;0,249698;
101109;1500;;;0,26076;
101109;1600;;;0,287294;
101109;1700;;;0,319317;
101109;1800;;;0,324474;
101109;1900;;;0,293033;
101109;2000;;;0,326886;
101109;2100;;;0,30185;
101109;2200;;;0,271241;
101109;2300;;;0,257849;
101110;0000;;;;
101110;0100;;;;
101110;0200;;;0,306757;
101110;0300;;;0,348014;
101110;0400;;;0,323559;
101110;0500;;;0,318735;
101110;0600;;;0,31599;
101110;0700;;;0,32306;
101110;0800;;;;
101110;0900;;;0,326375;
101110;1000;;;0,297379;
101110;1100;;;0,302628;
101110;1200;;;0,300795;
101110;1300;;;0,301545;
101110;1400;;;0,28913;
101110;1500;;;0,272049;
101110;1600;;;0,267799;
101110;1700;;;0,247218;
101110;1800;;;0,240386;
101110;1900;;;0,224472;
101110;2000;;;0,267133;
101110;2100;;;0,247635;
101110;2200;;;0,237387;
101110;2300;;;0,227888;
101111;0000;;;0,209473;
101111;0100;;;0,201558;
101111;0200;;;0,197329;
101111;0300;;;0,197245;
101111;0400;;;0,202224;
101111;0500;;;0,230054;
101111;0600;;;0,231637;
101111;0700;;;0,242053;
