FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090814;0100;;;13,75;
090814;0200;;;14,7;
090814;0300;;;12,6;
090814;0400;;;12,26;
090814;0500;;;14,54;
090814;0600;;;12,7;
090814;0700;;;8,79999;
090814;0800;;;19,64;
090814;0900;;;10,16;
090814;1000;;;9,28;
090814;1100;;;9,48;
090814;1200;;;12,93;
090814;1300;;;21,61;
090814;1400;;;12,67;
090814;1500;;;8,53998;
090814;1600;;;8,12999;
090814;1700;;;18,47;
090814;1800;;;21,44;
090814;1900;;;22,54;
090814;2000;;;23,02;
090814;2100;;;23,03;
090814;2200;;;37,99;
090814;2300;;;36,09;
090815;0000;;;30,65;
090815;0100;;;29,8;
090815;0200;;;27,5;
090815;0300;;;30,54;
090815;0400;;;25,4;
090815;0500;;;20,63;
090815;0600;;;28,99;
090815;0700;;;28,81;
090815;0800;;;23,61;
090815;0900;;;29,91;
090815;1000;;;39,21;
090815;1100;;;32,68;
090815;1200;;;27,76;
090815;1300;;;20,19;
090815;1400;;;13,21;
090815;1500;;;13,34;
090815;1600;;;18,15;
090815;1700;;;16,66;
090815;1800;;;18,56;
090815;1900;;;20,11;
090815;2000;;;21,47;
090815;2100;;;120,6;
090815;2200;;;160;
090815;2300;;;77,6;
090816;0000;;;45,12;
090816;0100;;;17,83;
090816;0200;;;12,43;
090816;0300;;;43,25;
090816;0400;;;31,54;
090816;0500;;;15,83;
090816;0600;;;13,55;
090816;0700;;;11,24;
090816;0800;;;10,84;
090816;0900;;;13,14;
090816;1000;;;12,86;
090816;1100;;;12,6;
090816;1200;;;10;
090816;1300;;;11,78;
090816;1400;;;15,64;
090816;1500;;;13,95;
090816;1600;;;12,39;
090816;1700;;;13,34;
090816;1800;;;12,39;
090816;1900;;;19,09;
090816;2000;;;28,37;
090816;2100;;;43,61;
090816;2200;;;92,1;
090816;2300;;;94,5;
090817;0000;;;62,43;
090817;0100;;;44,28;
090817;0200;;;32,83;
090817;0300;;;18,5;
090817;0400;;;12,8;
090817;0500;;;9,95998;
090817;0600;;;10,68;
090817;0700;;;9,68999;
090817;0800;;;11,78;
090817;0900;;;23,69;
090817;1000;;;29,18;
090817;1100;;;19,24;
090817;1200;;;16,44;
090817;1300;;;15,1;
090817;1400;;;14,9;
090817;1500;;;11,45;
090817;1600;;;30,25;
090817;1700;;;17,74;
090817;1800;;;25,25;
090817;1900;;;14,44;
090817;2000;;;17,94;
090817;2100;;;29,16;
090817;2200;;;23,08;
090817;2300;;;17,08;
090818;0000;;;18,55;
090818;0100;;;17,81;
090818;0200;;;15,31;
090818;0300;;;12,53;
090818;0400;;;12,11;
090818;0500;;;13,34;
090818;0600;;;12,4;
090818;0700;;;11,04;
090818;0800;;;8,53998;
090818;0900;;;8,12999;
090818;1000;;;8,12999;
090818;1100;;;12,73;
090818;1200;;;11,25;
090818;1300;;;10,84;
090818;1400;;;11,99;
090818;1500;;;8,73999;
090818;1600;;;9,28;
090818;1700;;;11,78;
090818;1800;;;12,18;
090818;1900;;;9,78998;
090818;2000;;;8,28998;
090818;2100;;;13,88;
090818;2200;;;19,5;
090818;2300;;;15,69;
090819;0000;;;10,52;
090819;0100;;;6,10799;
090819;0200;;;6,56799;
090819;0300;;;6,77299;
