FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090812;0100;;;57,66;
090812;0200;;;58,0549;
090812;0300;;;58,5975;
090812;0400;;;59,2225;
090812;0500;;;58,7924;
090812;0600;;;59,2474;
090812;0700;;;58,6249;
090812;0800;;;57,4274;
090812;0900;;;55,455;
090812;1000;;;58,83;
090812;1100;;;59,6674;
090812;1200;;;61,2325;
090812;1300;;;60,4374;
090812;1400;;;61,6525;
090812;1500;;;61,3674;
090812;1600;;;61,8849;
090812;1700;;;60,905;
090812;1800;;;50,5875;
090812;1900;;;41,6874;
090812;2000;;;46,3099;
090812;2100;;;43,84;
090812;2200;;;37,2324;
090812;2300;;;38,0074;
090813;0000;;;39,075;
090813;0100;;;39,5549;
090813;0200;;;42,5125;
090813;0300;;;44,9199;
090813;0400;;;44,8875;
090813;0500;;;43,6224;
090813;0600;;;46,345;
090813;0700;;;44,8774;
090813;0800;;;41,5975;
090813;0900;;;44,3749;
090813;1000;;;46,3749;
090813;1100;;;49,8024;
090813;1200;;;46,3699;
090813;1300;;;46,21;
090813;1400;;;48,6874;
090813;1500;;;53,1799;
090813;1600;;;52,6099;
090813;1700;;;49,0125;
090813;1800;;;49,3099;
090813;1900;;;49,5474;
090813;2000;;;54,1224;
090813;2100;;;54,6724;
090813;2200;;;58,41;
090813;2300;;;60,0574;
090814;0000;;;61,705;
090814;0100;;;59,3849;
090814;0200;;;62,0475;
090814;0300;;;62,3325;
090814;0400;;;62,6049;
090814;0500;;;62,7574;
090814;0600;;;62,2424;
090814;0700;;;62,0825;
090814;0800;;;60,9324;
090814;0900;;;62,97;
090814;1000;;;61,6475;
090814;1100;;;65,0774;
090814;1200;;;66,325;
090814;1300;;;63,33;
090814;1400;;;63,335;
090814;1500;;;64,7273;
090814;1600;;;58,0599;
090814;1700;;;55,8774;
090814;1800;;;55,835;
090814;1900;;;50,2625;
090814;2000;;;52,2974;
090814;2100;;;50,9625;
090814;2200;;;52,0099;
090814;2300;;;55,2574;
090815;0000;;;55,1924;
090815;0100;;;57,15;
090815;0200;;;55,3425;
090815;0300;;;55,1124;
090815;0400;;;59,7474;
090815;0500;;;52,0649;
090815;0600;;;50,1474;
090815;0700;;;42,6724;
090815;0800;;;42,955;
090815;0900;;;47,4149;
090815;1000;;;55,5424;
090815;1100;;;56,71;
090815;1200;;;59,0024;
090815;1300;;;59,8475;
090815;1400;;;60,4399;
090815;1500;;;60,8624;
090815;1600;;;61,1324;
090815;1700;;;58,9399;
090815;1800;;;57,1874;
090815;1900;;;55,895;
090815;2000;;;47,1874;
090815;2100;;;45,8649;
090815;2200;;;36,97;
090815;2300;;;43,845;
090816;0000;;;49,7875;
090816;0100;;;53,0624;
090816;0200;;;47,2999;
090816;0300;;;45,7025;
090816;0400;;;47,345;
090816;0500;;;47,3649;
090816;0600;;;49,1125;
090816;0700;;;47,5825;
090816;0800;;;49,4149;
090816;0900;;;52,895;
090816;1000;;;57,0499;
090816;1100;;;58,0474;
090816;1200;;;60,1099;
090816;1300;;;60,3674;
090816;1400;;;60,2775;
090816;1500;;;62,1299;
090816;1600;;;63,4349;
090816;1700;;;60,4025;
090816;1800;;;56,2849;
090816;1900;;;53,5549;
090816;2000;;;53,8224;
090816;2100;;;46,2874;
090816;2200;;;41,4824;
090816;2300;;;37,3275;
090817;0000;;;37,2625;
090817;0100;;;37,9;
090817;0200;;;42,4525;
090817;0300;;;42,8975;
090817;0400;;;44,21;
090817;0500;;;44,0574;
090817;0600;;;40,715;
090817;0700;;;37,215;
090817;0800;;;37,4199;
090817;0900;;;43,1425;
090817;1000;;;50,585;
090817;1100;;;55,65;
090817;1200;;;56,71;
090817;1300;;;58,16;
090817;1400;;;60,1674;
090817;1500;;;59,3124;
090817;1600;;;60,1874;
090817;1700;;;58,0724;
090817;1800;;;56,7823;
090817;1900;;;53,895;
090817;2000;;;50,9824;
090817;2100;;;51,2825;
090817;2200;;;55,67;
090817;2300;;;56,5399;
090818;0000;;;60,7;
090818;0100;;;57,0925;
090818;0200;;;57,1525;
090818;0300;;;57,0175;
090818;0400;;;56,0674;
090818;0500;;;59,5524;
090818;0600;;;62,1874;
090818;0700;;;59,3275;
090818;0800;;;59,2198;
090818;0900;;;58,6949;
090818;1000;;;58,8124;
090818;1100;;;59,3724;
090818;1200;;;58,79;
090818;1300;;;56,7025;
090818;1400;;;57,4924;
090818;1500;;;58,8099;
090818;1600;;;61,3649;
090818;1700;;;58,34;
090818;1800;;;57,105;
090818;1900;;;55,955;
090818;2000;;;53,8699;
090818;2100;;;58,015;
090818;2200;;;59,4525;
090818;2300;;;61,205;
090819;0000;;;61,1774;
090819;0100;;;60,7175;
090819;0200;;;59,8425;
090819;0300;;;59,0975;
090819;0400;;;58,845;
090819;0500;;;54,845;
090819;0600;;;51,525;
090819;0700;;;46,6224;
090819;0800;;;51,8074;
090819;0900;;;54,5323;
090819;1000;;;55,5825;
090819;1100;;;54,8475;
090819;1200;;;55,7349;
090819;1300;;;56,0175;
090819;1400;;;56,8875;
090819;1500;;;55,6274;
090819;1600;;;55,4;
090819;1700;;;54,205;
090819;1800;;;51,6624;
090819;1900;;;51,77;
090819;2000;;;43,9349;
090819;2100;;;44,34;
090819;2200;;;47,2675;
090819;2300;;;48,2175;
090820;0000;;;46,5599;
090820;0100;;;37,6324;
090820;0200;;;39,1425;
090820;0300;;;40,9399;
090820;0400;;;41,27;
090820;0500;;;38,465;
090820;0600;;;39,3624;
090820;0700;;;35,7499;
090820;0800;;;36,4924;
090820;0900;;;43,45;
090820;1000;;;49,1874;
090820;1100;;;52,7999;
090820;1200;;;54,4174;
090820;1300;;;54,2349;
090820;1400;;;56,2274;
090820;1500;;;57,4299;
090820;1600;;;57,0074;
090820;1700;;;54,8724;
090820;1800;;;50,4899;
090820;1900;;;50,0424;
090820;2000;;;48,17;
090820;2100;;;49,6525;
090820;2200;;;47,085;
090820;2300;;;49,5825;
090821;0000;;;49,025;
090821;0100;;;48,8224;
090821;0200;;;48,86;
090821;0300;;;51,585;
090821;0400;;;51,895;
090821;0500;;;53,0049;
090821;0600;;;52,6799;
090821;0700;;;50,7424;
090821;0800;;;51,0575;
090821;0900;;;54,0649;
090821;1000;;;55,27;
090821;1100;;;56,0275;
090821;1200;;;57,1799;
090821;1300;;;57,4675;
090821;1400;;;56,225;
090821;1500;;;57,045;
090821;1600;;;57,6824;
090821;1700;;;53,0624;
090821;1800;;;53,2825;
090821;1900;;;51,1624;
090821;2000;;;53,5449;
090821;2100;;;53,6824;
090821;2200;;;48,1124;
090821;2300;;;49,145;
090822;0000;;;42,2549;
090822;0100;;;37,9899;
090822;0200;;;41,0624;
090822;0300;;;43,5775;
090822;0400;;;43,4;
090822;0500;;;42,52;
090822;0600;;;40,955;
090822;0700;;;38,3925;
090822;0800;;;39,4299;
