FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190430;0100;;;7;
190430;0200;;;8;
190430;0300;;;11;
190430;0400;;;11;
190430;0500;;;10;
190430;0600;;;12;
190430;0700;;;15;
190430;0800;;;26;
190430;0900;;;17;
190430;1000;;;16;
190430;1100;;;10;
190430;1200;;;9;
190430;1300;;;12;
190430;1400;;;13;
190430;1500;;;10;
190430;1600;;;14;
190430;1700;;;18;
190430;1800;;;19;
190430;1900;;;38;
190430;2000;;;45;
190430;2100;;;201;
190430;2200;;;252;
190430;2300;;;312;
190501;0000;;;258;
190501;0100;;;189;
190501;0200;;;72;
190501;0300;;;39;
190501;0400;;;32;
190501;0500;;;46;
190501;0600;;;36;
190501;0700;;;41;
190501;0800;;;29;
190501;0900;;;48;
190501;1000;;;65;
190501;1100;;;53;
190501;1200;;;33;
190501;1300;;;22;
190501;1400;;;17;
190501;1500;;;19;
190501;1600;;;12;
190501;1700;;;16;
190501;1800;;;41;
190501;1900;;;47;
190501;2000;;;27;
190501;2100;;;26;
190501;2200;;;43;
190501;2300;;;35;
190502;0000;;;30;
190502;0100;;;15;
190502;0200;;;12;
190502;0300;;;15;
190502;0400;;;7;
190502;0500;;;5;
190502;0600;;;4;
190502;0700;;;2;
190502;0800;;;13;
190502;0900;;;18;
190502;1000;;;19;
190502;1100;;;18;
190502;1200;;;19;
190502;1300;;;20;
190502;1400;;;31;
190502;1500;;;30;
190502;1600;;;30;
190502;1700;;;44;
190502;1800;;;65;
190502;1900;;;24;
190502;2000;;;12;
190502;2100;;;19;
190502;2200;;;16;
190502;2300;;;14;
190503;0000;;;9;
190503;0100;;;5;
190503;0200;;;6;
190503;0300;;;5;
190503;0400;;;3;
190503;0500;;;2;
190503;0600;;;1;
190503;0700;;;1;
190503;0800;;;1;
190503;0900;;;6;
190503;1000;;;7;
190503;1100;;;17;
190503;1200;;;15;
190503;1300;;;18;
190503;1400;;;22;
190503;1500;;;17;
190503;1600;;;33;
190503;1700;;;23;
190503;1800;;;10;
190503;1900;;;48;
190503;2000;;;27;
190503;2100;;;30;
190503;2200;;;24;
190503;2300;;;11;
190504;0000;;;4;
190504;0100;;;1;
190504;0200;;;1;
190504;0300;;;1;
190504;0400;;;3;
190504;0500;;;4;
190504;0600;;;3;
190504;0700;;;1;
190504;0800;;;1;
190504;0900;;;4;
190504;1000;;;5;
190504;1100;;;9;
190504;1200;;;11;
190504;1300;;;10;
190504;1400;;;12;
190504;1500;;;32;
190504;1600;;;27;
190504;1700;;;42;
190504;1800;;;96;
190504;1900;;;202;
190504;2000;;;180;
190504;2100;;;138;
190504;2200;;;260;
190504;2300;;;146;
190505;0000;;;144;
190505;0100;;;101;
190505;0200;;;54;
190505;0300;;;68;
190505;0400;;;46;
190505;0500;;;23;
190505;0600;;;21;
190505;0700;;;11;
190505;0800;;;9;
190505;0900;;;64;
190505;1000;;;31;
190505;1100;;;20;
190505;1200;;;23;
190505;1300;;;15;
190505;1400;;;22;
190505;1500;;;18;
190505;1600;;;13;
190505;1700;;;12;
190505;1800;;;28;
190505;1900;;;55;
190505;2000;;;188;
190505;2100;;;257;
190505;2200;;;266;
190505;2300;;;259;
190506;0000;;;376;
190506;0100;;;224;
190506;0200;;;135;
190506;0300;;;70;
190506;0400;;;41;
190506;0500;;;33;
190506;0600;;;18;
190506;0700;;;36;
190506;0800;;;76;
190506;0900;;;92;
190506;1000;;;133;
190506;1100;;;40;
190506;1200;;;12;
190506;1300;;;11;
190506;1400;;;11;
190506;1500;;;9;
190506;1600;;;9;
190506;1700;;;29;
190506;1800;;;103;
190506;1900;;;209;
190506;2000;;;274;
190506;2100;;;302;
190506;2200;;;306;
190506;2300;;;228;
190507;0000;;;230;
190507;0100;;;155;
190507;0200;;;79;
190507;0300;;;26;
190507;0400;;;10;
190507;0500;;;7;
190507;0600;;;9;
190507;0700;;;17;
190507;0800;;;18;
190507;0900;;;19;
190507;1000;;;18;
190507;1100;;;21;
190507;1200;;;20;
190507;1300;;;22;
190507;1400;;;19;
190507;1500;;;17;
190507;1600;;;19;
190507;1700;;;23;
190507;1800;;;27;
190507;1900;;;28;
190507;2000;;;37;
190507;2100;;;57;
190507;2200;;;51;
190507;2300;;;78;
190508;0000;;;48;
190508;0100;;;38;
190508;0200;;;41;
190508;0300;;;30;
190508;0400;;;17;
190508;0500;;;11;
190508;0600;;;11;
190508;0700;;;20;
190508;0800;;;25;
190508;0900;;;27;
190508;1000;;;28;
190508;1100;;;26;
190508;1200;;;25;
190508;1300;;;17;
190508;1400;;;17;
190508;1500;;;21;
190508;1600;;;21;
190508;1700;;;36;
190508;1800;;;108;
190508;1900;;;142;
190508;2000;;;120;
190508;2100;;;75;
190508;2200;;;60;
190508;2300;;;57;
190509;0000;;;73;
190509;0100;;;131;
190509;0200;;;91;
190509;0300;;;47;
190509;0400;;;29;
190509;0500;;;30;
190509;0600;;;31;
190509;0700;;;47;
190509;0800;;;49;
190509;0900;;;47;
190509;1000;;;41;
190509;1100;;;43;
190509;1200;;;37;
190509;1300;;;33;
190509;1400;;;41;
190509;1500;;;37;
190509;1600;;;38;
190509;1700;;;49;
190509;1800;;;55;
190509;1900;;;189;
190509;2000;;;260;
190509;2100;;;196;
190509;2200;;;152;
190509;2300;;;93;
190510;0000;;;75;
190510;0100;;;57;
190510;0200;;;48;
190510;0300;;;50;
190510;0400;;;41;
190510;0500;;;40;
190510;0600;;;55;
190510;0700;;;43;
190510;0800;;;36;
190510;0900;;;36;
190510;1000;;;34;
190510;1100;;;40;
190510;1200;;;39;
190510;1300;;;23;
190510;1400;;;13;
190510;1500;;;16;
190510;1600;;;43;
190510;1700;;;63;
190510;1800;;;63;
190510;1900;;;130;
190510;2000;;;444;
190510;2100;;;410;
190510;2200;;;252;
190510;2300;;;195;
190511;0000;;;196;
190511;0100;;;226;
190511;0200;;;169;
190511;0300;;;179;
190511;0400;;;130;
190511;0500;;;89;
190511;0600;;;50;
190511;0700;;;40;
190511;0800;;;39;
190511;0900;;;56;
190511;1000;;;57;
190511;1100;;;80;
190511;1200;;;54;
190511;1300;;;41;
190511;1400;;;33;
190511;1500;;;32;
190511;1600;;;33;
190511;1700;;;24;
190511;1800;;;71;
190511;1900;;;74;
190511;2000;;;77;
190511;2100;;;68;
190511;2200;;;60;
190511;2300;;;41;
190512;0000;;;36;
190512;0100;;;34;
190512;0200;;;24;
190512;0300;;;26;
190512;0400;;;26;
190512;0500;;;29;
190512;0600;;;31;
190512;0700;;;36;
190512;0800;;;38;
190512;0900;;;94;
190512;1000;;;77;
190512;1100;;;52;
190512;1200;;;58;
190512;1300;;;41;
190512;1400;;;23;
190512;1500;;;19;
190512;1600;;;17;
190512;1700;;;20;
190512;1800;;;23;
190512;1900;;;37;
190512;2000;;;26;
190512;2100;;;15;
190512;2200;;;27;
190512;2300;;;25;
190513;0000;;;68;
190513;0100;;;92;
190513;0200;;;30;
190513;0300;;;11;
190513;0400;;;12;
190513;0500;;;14;
190513;0600;;;12;
190513;0700;;;10;
190513;0800;;;12;
190513;0900;;;27;
190513;1000;;;37;
190513;1100;;;38;
190513;1200;;;29;
190513;1300;;;30;
190513;1400;;;23;
190513;1500;;;26;
190513;1600;;;;
190513;1700;;;37;
190513;1800;;;52;
190513;1900;;;179;
190513;2000;;;304;
190513;2100;;;352;
190513;2200;;;412;
190513;2300;;;407;
190514;0000;;;278;
190514;0100;;;304;
190514;0200;;;215;
190514;0300;;;155;
190514;0400;;;120;
190514;0500;;;107;
190514;0600;;;86;
190514;0700;;;84;
190514;0800;;;153;
190514;0900;;;185;
190514;1000;;;137;
190514;1100;;;111;
190514;1200;;;42;
190514;1300;;;27;
190514;1400;;;20;
190514;1500;;;19;
190514;1600;;;49;
190514;1700;;;32;
190514;1800;;;74;
190514;1900;;;352;
190514;2000;;;500;
190514;2100;;;533;
190514;2200;;;417;
190514;2300;;;439;
190515;0000;;;314;
190515;0100;;;255;
190515;0200;;;267;
190515;0300;;;205;
190515;0400;;;142;
190515;0500;;;123;
190515;0600;;;102;
190515;0700;;;92;
190515;0800;;;146;
190515;0900;;;151;
190515;1000;;;107;
190515;1100;;;75;
190515;1200;;;47;
190515;1300;;;49;
190515;1400;;;52;
190515;1500;;;73;
190515;1600;;;64;
190515;1700;;;116;
190515;1800;;;151;
190515;1900;;;204;
190515;2000;;;158;
190515;2100;;;208;
190515;2200;;;230;
190515;2300;;;218;
190516;0000;;;147;
190516;0100;;;139;
190516;0200;;;118;
190516;0300;;;91;
190516;0400;;;83;
190516;0500;;;43;
190516;0600;;;37;
190516;0700;;;42;
190516;0800;;;64;
190516;0900;;;68;
190516;1000;;;53;
190516;1100;;;53;
190516;1200;;;60;
190516;1300;;;55;
190516;1400;;;62;
190516;1500;;;53;
190516;1600;;;44;
190516;1700;;;114;
190516;1800;;;128;
190516;1900;;;133;
190516;2000;;;240;
190516;2100;;;198;
190516;2200;;;162;
190516;2300;;;121;
190517;0000;;;83;
190517;0100;;;44;
190517;0200;;;31;
190517;0300;;;21;
190517;0400;;;7;
190517;0500;;;6;
190517;0600;;;9;
190517;0700;;;23;
190517;0800;;;32;
190517;0900;;;38;
190517;1000;;;44;
190517;1100;;;31;
190517;1200;;;47;
190517;1300;;;26;
190517;1400;;;18;
190517;1500;;;19;
190517;1600;;;33;
190517;1700;;;36;
190517;1800;;;41;
190517;1900;;;102;
190517;2000;;;170;
190517;2100;;;294;
190517;2200;;;334;
190517;2300;;;290;
190518;0000;;;296;
190518;0100;;;270;
190518;0200;;;194;
190518;0300;;;213;
190518;0400;;;104;
190518;0500;;;86;
190518;0600;;;59;
190518;0700;;;32;
190518;0800;;;62;
190518;0900;;;47;
190518;1000;;;71;
190518;1100;;;119;
190518;1200;;;68;
190518;1300;;;20;
190518;1400;;;17;
190518;1500;;;12;
190518;1600;;;11;
190518;1700;;;8;
190518;1800;;;7;
190518;1900;;;52;
190518;2000;;;154;
190518;2100;;;423;
190518;2200;;;301;
190518;2300;;;350;
190519;0000;;;328;
190519;0100;;;357;
190519;0200;;;346;
190519;0300;;;229;
190519;0400;;;205;
190519;0500;;;182;
190519;0600;;;172;
190519;0700;;;146;
190519;0800;;;135;
190519;0900;;;111;
190519;1000;;;114;
190519;1100;;;63;
190519;1200;;;24;
190519;1300;;;19;
190519;1400;;;13;
190519;1500;;;11;
190519;1600;;;15;
190519;1700;;;11;
190519;1800;;;29;
190519;1900;;;58;
190519;2000;;;33;
190519;2100;;;36;
190519;2200;;;87;
190519;2300;;;36;
190520;0000;;;53;
190520;0100;;;40;
190520;0200;;;143;
190520;0300;;;118;
190520;0400;;;62;
190520;0500;;;72;
190520;0600;;;31;
190520;0700;;;81;
190520;0800;;;114;
190520;0900;;;142;
190520;1000;;;120;
190520;1100;;;51;
190520;1200;;;16;
190520;1300;;;25;
190520;1400;;;29;
190520;1500;;;31;
190520;1600;;;39;
190520;1700;;;32;
190520;1800;;;40;
190520;1900;;;64;
190520;2000;;;215;
190520;2100;;;418;
190520;2200;;;341;
190520;2300;;;252;
190521;0000;;;379;
190521;0100;;;333;
190521;0200;;;202;
190521;0300;;;146;
190521;0400;;;139;
190521;0500;;;124;
190521;0600;;;120;
190521;0700;;;113;
190521;0800;;;153;
190521;0900;;;121;
190521;1000;;;97;
190521;1100;;;81;
190521;1200;;;34;
190521;1300;;;27;
190521;1400;;;21;
190521;1500;;;30;
190521;1600;;;19;
190521;1700;;;9;
190521;1800;;;16;
190521;1900;;;26;
190521;2000;;;24;
190521;2100;;;31;
190521;2200;;;193;
190521;2300;;;423;
190522;0000;;;429;
190522;0100;;;412;
190522;0200;;;410;
190522;0300;;;410;
190522;0400;;;410;
190522;0500;;;410;
190522;0600;;;410;
190522;0700;;;410;
190522;0800;;;410;
190522;0900;;;410;
190522;1000;;;410;
190522;1100;;;410;
190522;1200;;;410;
190522;1300;;;410;
190522;1400;;;410;
