FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090811;0100;;;5,44675;
090811;0200;;;4,17274;
090811;0300;;;3,30175;
090811;0400;;;2,729;
090811;0500;;;4,14474;
090811;0600;;;14,05;
090811;0700;;;16,8737;
090811;0800;;;24,4525;
090811;0900;;;37,3925;
090811;1000;;;17,397;
090811;1100;;;8,28574;
090811;1200;;;3,2835;
090811;1300;;;13,047;
090811;1400;;;10,6052;
090811;1500;;;2,286;
090811;1600;;;2,28675;
090811;1700;;;2,20475;
090811;1800;;;2,1505;
090811;1900;;;1,82825;
090811;2000;;;1,96425;
090811;2100;;;1,85375;
090811;2200;;;1,454;
090811;2300;;;1,56025;
090812;0000;;;1,665;
090812;0100;;;1,623;
090812;0200;;;1,4455;
090812;0300;;;1,1555;
090812;0400;;;1,635;
090812;0500;;;1,63725;
090812;0600;;;1,33375;
090812;0700;;;1,68775;
090812;0800;;;2,08775;
090812;0900;;;1,58725;
090812;1000;;;1,925;
090812;1100;;;1,77625;
090812;1200;;;1,84975;
090812;1300;;;1,993;
090812;1400;;;3,34925;
090812;1500;;;2,26649;
090812;1600;;;2,32875;
090812;1700;;;2,15325;
090812;1800;;;3,42025;
090812;1900;;;2,915;
090812;2000;;;3,51974;
090812;2100;;;3,65924;
090812;2200;;;3,043;
090812;2300;;;2,66075;
090813;0000;;;2,75825;
090813;0100;;;2,1315;
090813;0200;;;1,70625;
090813;0300;;;1,8045;
090813;0400;;;2,03375;
090813;0500;;;2,61775;
090813;0600;;;3,85149;
090813;0700;;;10,316;
090813;0800;;;35,0399;
090813;0900;;;38,4299;
090813;1000;;;17,2577;
090813;1100;;;3,34949;
090813;1200;;;3,2825;
090813;1300;;;3,01625;
090813;1400;;;2,6295;
090813;1500;;;1,9875;
090813;1600;;;2,39475;
090813;1700;;;2,33625;
090813;1800;;;1,961;
090813;1900;;;1,99675;
090813;2000;;;1,564;
090813;2100;;;1,60575;
090813;2200;;;1,66225;
090813;2300;;;1,44225;
090814;0000;;;1,43425;
090814;0100;;;1,47275;
090814;0200;;;1,42675;
090814;0300;;;1,4105;
090814;0400;;;1,3625;
090814;0500;;;1,467;
090814;0600;;;1,48775;
090814;0700;;;1,522;
090814;0800;;;1,87625;
090814;0900;;;1,58775;
090814;1000;;;1,64375;
090814;1100;;;1,65266;
090814;1200;;;1,77625;
090814;1300;;;1,60625;
090814;1400;;;1,352;
090814;1500;;;1,535;
090814;1600;;;1,58725;
090814;1700;;;1,4055;
090814;1800;;;1,3695;
090814;1900;;;1,7705;
090814;2000;;;1,73325;
090814;2100;;;1,78825;
090814;2200;;;1,34825;
090814;2300;;;1,492;
090815;0000;;;1,45525;
090815;0100;;;1,42375;
090815;0200;;;1,3455;
090815;0300;;;1,3095;
090815;0400;;;1,485;
090815;0500;;;1,46975;
090815;0600;;;1,3645;
090815;0700;;;1,20775;
090815;0800;;;1,76725;
090815;0900;;;1,842;
090815;1000;;;1,64675;
090815;1100;;;1,409;
090815;1200;;;1,3715;
090815;1300;;;1,53325;
090815;1400;;;2,131;
090815;1500;;;1,5665;
090815;1600;;;1,7215;
090815;1700;;;1,5345;
090815;1800;;;2,0125;
090815;1900;;;3,14075;
090815;2000;;;2,31075;
090815;2100;;;1,73175;
090815;2200;;;1,675;
090815;2300;;;1,4425;
090816;0000;;;1,37125;
090816;0100;;;1,4275;
090816;0200;;;1,3205;
090816;0300;;;1,4545;
090816;0400;;;1,49175;
090816;0500;;;1,4335;
090816;0600;;;1,2925;
090816;0700;;;1,2545;
090816;0800;;;1,31525;
090816;0900;;;1,4915;
090816;1000;;;1,60775;
090816;1100;;;2,38025;
090816;1200;;;1,9005;
090816;1300;;;1,611;
090816;1400;;;1,61675;
090816;1500;;;2,36349;
090816;1600;;;1,51075;
090816;1700;;;1,11025;
090816;1800;;;1,8515;
090816;1900;;;1,97075;
090816;2000;;;2,07225;
090816;2100;;;2,393;
090816;2200;;;2,5555;
090816;2300;;;1,89475;
090817;0000;;;1,324;
090817;0100;;;1,35975;
090817;0200;;;1,3695;
090817;0300;;;1,3385;
090817;0400;;;1,44875;
090817;0500;;;1,39925;
090817;0600;;;6,69823;
090817;0700;;;1,889;
090817;0800;;;5,6495;
090817;0900;;;1,9;
090817;1000;;;1,8455;
090817;1100;;;1,62725;
090817;1200;;;1,78175;
090817;1300;;;1,42025;
090817;1400;;;1,6725;
090817;1500;;;1,33875;
090817;1600;;;1,65425;
090817;1700;;;1,35825;
090817;1800;;;1,935;
090817;1900;;;1,906;
090817;2000;;;1,47025;
090817;2100;;;1,746;
090817;2200;;;1,44075;
090817;2300;;;1,219;
090818;0000;;;1,34875;
090818;0100;;;1,36075;
090818;0200;;;1,339;
090818;0300;;;1,42925;
090818;0400;;;1,361;
090818;0500;;;1,39775;
090818;0600;;;1,30075;
090818;0700;;;1,33075;
090818;0800;;;1,47375;
090818;0900;;;1,6995;
090818;1000;;;1,90075;
090818;1100;;;1,4675;
090818;1200;;;1,96775;
090818;1300;;;1,72;
090818;1400;;;1,48225;
090818;1500;;;1,71925;
090818;1600;;;1,64575;
090818;1700;;;1,8295;
090818;1800;;;1,69475;
090818;1900;;;1,29325;
090818;2000;;;0,992746;
090818;2100;;;1,32425;
090818;2200;;;1,3415;
090818;2300;;;1,48375;
090819;0000;;;1,12525;
090819;0100;;;1,3535;
090819;0200;;;1,24325;
090819;0300;;;1,309;
090819;0400;;;1,433;
090819;0500;;;1,1345;
090819;0600;;;1,30725;
090819;0700;;;1,35075;
090819;0800;;;1,65;
090819;0900;;;1,51325;
090819;1000;;;1,7375;
090819;1100;;;1,55;
090819;1200;;;1,9805;
090819;1300;;;2,137;
090819;1400;;;1,47425;
090819;1500;;;1,404;
090819;1600;;;2,35049;
090819;1700;;;1,79175;
090819;1800;;;1,7405;
090819;1900;;;1,3455;
090819;2000;;;1,4435;
090819;2100;;;1,37725;
090819;2200;;;1,64325;
090819;2300;;;1,439;
090820;0000;;;1,6045;
090820;0100;;;1,615;
090820;0200;;;1,36925;
090820;0300;;;1,1535;
090820;0400;;;1,383;
090820;0500;;;1,5485;
090820;0600;;;1,5395;
090820;0700;;;1,6745;
090820;0800;;;2,659;
090820;0900;;;1,73775;
090820;1000;;;1,77825;
090820;1100;;;1,921;
090820;1200;;;1,47075;
090820;1300;;;1,694;
090820;1400;;;1,603;
090820;1500;;;1,56675;
090820;1600;;;1,4875;
090820;1700;;;1,32775;
090820;1800;;;4,26324;
090820;1900;;;2,46475;
090820;2000;;;1,991;
090820;2100;;;1,484;
090820;2200;;;1,25425;
