FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090811;0100;;;3,66475;
090811;0200;;;4,80824;
090811;0300;;;5,67924;
090811;0400;;;8,37874;
090811;0500;;;6,22749;
090811;0600;;;6,13975;
090811;0700;;;5,46024;
090811;0800;;;4,98898;
090811;0900;;;6,61124;
090811;1000;;;13,59;
090811;1100;;;19,455;
090811;1200;;;23,4725;
090811;1300;;;17,625;
090811;1400;;;18,25;
090811;1500;;;22,62;
090811;1600;;;22,3375;
090811;1700;;;23,9325;
090811;1800;;;24,01;
090811;1900;;;25,9225;
090811;2000;;;24,4975;
090811;2100;;;24,925;
090811;2200;;;27,6725;
090811;2300;;;27,5825;
090812;0000;;;28,3375;
090812;0100;;;28,59;
090812;0200;;;29,5975;
090812;0300;;;29,815;
090812;0400;;;29,79;
090812;0500;;;30,355;
090812;0600;;;30,76;
090812;0700;;;31,7425;
090812;0800;;;30,8475;
090812;0900;;;30,27;
090812;1000;;;31,3425;
090812;1100;;;31,845;
090812;1200;;;31,8175;
090812;1300;;;31,1025;
090812;1400;;;29,6925;
090812;1500;;;30,81;
090812;1600;;;31,06;
090812;1700;;;30,51;
090812;1800;;;27,97;
090812;1900;;;25,6625;
090812;2000;;;25,0025;
090812;2100;;;19,8625;
090812;2200;;;21,3;
090812;2300;;;22,91;
090813;0000;;;25,9925;
090813;0100;;;24,16;
090813;0200;;;23,735;
090813;0300;;;20,9725;
090813;0400;;;24,795;
090813;0500;;;22,5825;
090813;0600;;;20,2875;
090813;0700;;;18,3275;
090813;0800;;;9,8075;
090813;0900;;;11,0625;
090813;1000;;;17,3825;
090813;1100;;;18,8925;
090813;1200;;;21,5675;
090813;1300;;;25,245;
090813;1400;;;26,9075;
090813;1500;;;26,2125;
090813;1600;;;21,095;
090813;1700;;;20,1425;
090813;1800;;;20,855;
090813;1900;;;23,53;
090813;2000;;;23,2225;
090813;2100;;;23,12;
090813;2200;;;28,7075;
090813;2300;;;30,84;
090814;0000;;;30,9825;
090814;0100;;;30,1025;
090814;0200;;;31,3175;
090814;0300;;;30,9125;
090814;0400;;;31,3675;
090814;0500;;;31,125;
090814;0600;;;30,9;
090814;0700;;;31,375;
090814;0800;;;32,5699;
090814;0900;;;33,7299;
090814;1000;;;35,0724;
090814;1100;;;26,9725;
090814;1200;;;15,6525;
090814;1300;;;11,9625;
090814;1400;;;14,0575;
090814;1500;;;14,7525;
090814;1600;;;12,4;
090814;1700;;;9,28748;
090814;1800;;;8,72249;
090814;1900;;;8,53748;
090814;2000;;;9,11499;
090814;2100;;;9,71999;
090814;2200;;;10,3425;
090814;2300;;;11,405;
090815;0000;;;12,885;
090815;0100;;;12,9625;
090815;0200;;;12,1575;
090815;0300;;;12,775;
090815;0400;;;14,1925;
090815;0500;;;13,5475;
090815;0600;;;12,56;
090815;0700;;;11,8025;
090815;0800;;;9,72498;
090815;0900;;;10,83;
090815;1000;;;13,5125;
090815;1100;;;14,2925;
090815;1200;;;13,83;
090815;1300;;;13,61;
090815;1400;;;13,5225;
090815;1500;;;15,0125;
090815;1600;;;13,4025;
090815;1700;;;14,2525;
090815;1800;;;12,75;
090815;1900;;;10,1275;
090815;2000;;;7,62373;
090815;2100;;;8,80173;
090815;2200;;;11,335;
090815;2300;;;12,3525;
090816;0000;;;12,94;
090816;0100;;;14,1975;
090816;0200;;;13,3425;
090816;0300;;;13,6125;
090816;0400;;;14,7825;
090816;0500;;;15,5225;
090816;0600;;;14,3;
090816;0700;;;13,91;
