FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
051108;0100;;;;
051108;0200;;;;
051108;0300;;;;
051108;0400;;;;
051108;0500;;;;
051108;0600;;;;
051108;0700;;;;
051108;0800;;;;
051108;0900;;;;
051108;1000;;;;
051108;1100;;;;
051108;1200;;;;
051108;1300;;;;
051108;1400;;;;
051108;1500;;;;
051108;1600;;;;
051108;1700;;;;
051108;1800;;;;
051108;1900;;;;
051108;2000;;;;
051108;2100;;;;
051108;2200;;;;
051108;2300;;;;
051109;0000;;;;
051109;0100;;;;
051109;0200;;;;
051109;0300;;;;
051109;0400;;;;
051109;0500;;;;
051109;0600;;;;
051109;0700;;;;
051109;0800;;;;
051109;0900;;;;
051109;1000;;;;
051109;1100;;;;
051109;1200;;;;
051109;1300;;;;
051109;1400;;;;
051109;1500;;;;
051109;1600;;;;
051109;1700;;;;
051109;1800;;;;
051109;1900;;;;
051109;2000;;;;
051109;2100;;;;
051109;2200;;;;
051109;2300;;;;
051110;0000;;;;
051110;0100;;;;
051110;0200;;;;
051110;0300;;;;
051110;0400;;;;
051110;0500;;;;
051110;0600;;;;
051110;0700;;;;
051110;0800;;;;
051110;0900;;;;
051110;1000;;;;
051110;1100;;;;
051110;1200;;;;
051110;1300;;;;
051110;1400;;;;
051110;1500;;;;
051110;1600;;;;
051110;1700;;;;
051110;1800;;;;
051110;1900;;;;
051110;2000;;;;
051110;2100;;;;
051110;2200;;;;
051110;2300;;;;
051111;0000;;;;
051111;0100;;;;
051111;0200;;;;
051111;0300;;;;
051111;0400;;;;
051111;0500;;;;
051111;0600;;;;
051111;0700;;;;
051111;0800;;;;
051111;0900;;;;
051111;1000;;;;
051111;1100;;;;
051111;1200;;;;
051111;1300;;;;
051111;1400;;;;
051111;1500;;;;
051111;1600;;;;
051111;1700;;;;
051111;1800;;;;
051111;1900;;;;
051111;2000;;;;
051111;2100;;;;
051111;2200;;;;
051111;2300;;;;
051112;0000;;;;
051112;0100;;;;
051112;0200;;;;
051112;0300;;;;
051112;0400;;;;
051112;0500;;;;
051112;0600;;;;
051112;0700;;;;
051112;0800;;;;
051112;0900;;;;
051112;1000;;;;
051112;1100;;;;
051112;1200;;;;
051112;1300;;;;
051112;1400;;;;
051112;1500;;;;
051112;1600;;;;
051112;1700;;;;
051112;1800;;;;
051112;1900;;;;
051112;2000;;;;
051112;2100;;;;
051112;2200;;;;
051112;2300;;;;
051113;0000;;;;
051113;0100;;;;
051113;0200;;;;
051113;0300;;;;
051113;0400;;;;
051113;0500;;;;
051113;0600;;;;
051113;0700;;;;
051113;0800;;;;
051113;0900;;;;
051113;1000;;;;
051113;1100;;;;
051113;1200;;;;
051113;1300;;;;
051113;1400;;;;
051113;1500;;;;
051113;1600;;;;
051113;1700;;;;
051113;1800;;;;
051113;1900;;;;
051113;2000;;;;
051113;2100;;;;
051113;2200;;;;
051113;2300;;;;
051114;0000;;;;
051114;0100;;;;
051114;0200;;;;
051114;0300;;;;
051114;0400;;;;
051114;0500;;;;
051114;0600;;;;
051114;0700;;;;
051114;0800;;;;
051114;0900;;;;
051114;1000;;;;
051114;1100;;;;
051114;1200;;;;
051114;1300;;;;
051114;1400;;;;
051114;1500;;;;
051114;1600;;;;
051114;1700;;;;
051114;1800;;;;
051114;1900;;;;
051114;2000;;;;
051114;2100;;;;
051114;2200;;;;
051114;2300;;;;
051115;0000;;;;
051115;0100;;;;
051115;0200;;;;
051115;0300;;;;
051115;0400;;;;
051115;0500;;;;
051115;0600;;;;
051115;0700;;;;
051115;0800;;;;
051115;0900;;;;
051115;1000;;;;
051115;1100;;;;
051115;1200;;;;
051115;1300;;;;
051115;1400;;;;
051115;1500;;;;
051115;1600;;;;
051115;1700;;;;
051115;1800;;;;
051115;1900;;;;
051115;2000;;;;
051115;2100;;;;
051115;2200;;;;
051115;2300;;;;
051116;0000;;;;
051116;0100;;;;
051116;0200;;;;
051116;0300;;;;
051116;0400;;;;
051116;0500;;;;
051116;0600;;;;
051116;0700;;;;
051116;0800;;;;
051116;0900;;;;
051116;1000;;;;
051116;1100;;;;
051116;1200;;;;
051116;1300;;;;
051116;1400;;;;
051116;1500;;;;
051116;1600;;;;
051116;1700;;;;
051116;1800;;;;
051116;1900;;;;
051116;2000;;;;
