FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150105;0100;;;0,121645;
150105;0200;;;0,117933;
150105;0300;;;0,0912585;
150105;0400;;;0,0607991;
150105;0500;;;0,0891324;
150105;0600;;;0,0962003;
150105;0700;;;0,0866657;
150105;0800;;;0,109523;
150105;0900;;;0,114883;
150105;1000;;;0,0859925;
150105;1100;;;0,0770719;
150105;1200;;;0,0823741;
150105;1300;;;0,096557;
150105;1400;;;0,0811104;
150105;1500;;;0,0779332;
150105;1600;;;0,104174;
150105;1700;;;0,0984049;
150105;1800;;;0,147417;
150105;1900;;;9,93904;
150105;2000;;;0,154265;
150105;2100;;;0,146759;
150105;2200;;;0,16984;
150105;2300;;;0,152457;
150106;0000;;;0,144055;
150106;0100;;;0,144;
150106;0200;;;0,126066;
150106;0300;;;0,12045;
150106;0400;;;0,120454;
150106;0500;;;0,136135;
150106;0600;;;0,145979;
150106;0700;;;0,167103;
150106;0800;;;0,164029;
150106;0900;;;0,162848;
150106;1000;;;0,152707;
150106;1100;;;0,148141;
150106;1200;;;0,15;
150106;1300;;;0,150248;
150106;1400;;;0,147227;
150106;1500;;;0,136754;
150106;1600;;;0,14838;
150106;1700;;;0,194804;
150106;1800;;;0,147244;
150106;1900;;;0,152068;
150106;2000;;;0,114011;
150106;2100;;;0,112535;
150106;2200;;;0,143042;
150106;2300;;;0,13158;
150107;0000;;;0,139472;
150107;0100;;;0,146462;
150107;0200;;;0,138;
150107;0300;;;0,133703;
150107;0400;;;0,139351;
150107;0500;;;0,141475;
150107;0600;;;0,144;
150107;0700;;;0,14323;
150107;0800;;;0,142271;
150107;0900;;;0,153283;
150107;1000;;;0,148506;
150107;1100;;;0,149382;
150107;1200;;;0,148574;
150107;1300;;;0,155905;
150107;1400;;;0,167923;
150107;1500;;;0,158787;
150107;1600;;;0,149092;
150107;1700;;;0,133267;
150107;1800;;;0,127563;
150107;1900;;;0,134539;
150107;2000;;;0,157123;
150107;2100;;;0,173196;
150107;2200;;;0,198955;
150107;2300;;;0,205963;
150108;0000;;;0,188552;
150108;0100;;;0,168728;
150108;0200;;;0,160899;
150108;0300;;;0,161103;
150108;0400;;;0,150524;
150108;0500;;;0,138785;
150108;0600;;;0,128;
150108;0700;;;0,128;
150108;0800;;;0,144582;
150108;0900;;;0,14947;
150108;1000;;;0,141932;
150108;1100;;;0,146077;
150108;1200;;;0,145874;
150108;1300;;;0,153829;
150108;1400;;;0,150389;
150108;1500;;;0,152537;
150108;1600;;;0,140973;
150108;1700;;;0,158044;
150108;1800;;;0,14736;
150108;1900;;;0,12451;
150108;2000;;;0,132789;
150108;2100;;;0,157711;
150108;2200;;;0,176139;
150108;2300;;;0,173606;
150109;0000;;;0,191253;
150109;0100;;;0,158701;
150109;0200;;;0,137189;
150109;0300;;;0,149544;
150109;0400;;;0,143456;
150109;0500;;;0,137347;
150109;0600;;;0,12767;
150109;0700;;;0,122509;
150109;0800;;;0,130977;
150109;0900;;;0,132616;
150109;1000;;;0,142097;
150109;1100;;;0,144455;
150109;1200;;;0,135008;
150109;1300;;;0,122583;
150109;1400;;;0,118;
150109;1500;;;0,115302;
150109;1600;;;0,107003;
150109;1700;;;0,105249;
150109;1800;;;0,0969514;
150109;1900;;;0,0994846;
150109;2000;;;0,135628;
150109;2100;;;0,131423;
150109;2200;;;0,139111;
150109;2300;;;0,148776;
150110;0000;;;0,136492;
150110;0100;;;0,133;
150110;0200;;;0,120499;
150110;0300;;;0,117938;
150110;0400;;;0,122357;
150110;0500;;;0,126774;
150110;0600;;;0,127;
150110;0700;;;0,130713;
150110;0800;;;0,14;
150110;0900;;;0,14;
150110;1000;;;0,139397;
150110;1100;;;0,14723;
150110;1200;;;0,152;
150110;1300;;;0,144671;
150110;1400;;;0,147915;
150110;1500;;;0,14137;
150110;1600;;;0,139155;
150110;1700;;;0,12978;
150110;1800;;;0,113026;
150110;1900;;;0,107694;
150110;2000;;;0,120596;
150110;2100;;;0,124269;
150110;2200;;;0,139032;
150110;2300;;;0,149171;
150111;0000;;;0,131945;
150111;0100;;;0,128426;
150111;0200;;;0,129;
150111;0300;;;0,129;
150111;0400;;;0,13854;
150111;0500;;;0,136086;
150111;0600;;;0,148432;
150111;0700;;;0,167303;
150111;0800;;;0,154308;
150111;0900;;;0,146462;
150111;1000;;;0,164978;
150111;1100;;;0,165562;
150111;1200;;;0,17935;
150111;1300;;;0,196047;
150111;1400;;;0,179088;
150111;1500;;;0,145788;
150111;1600;;;0,122127;
150111;1700;;;0,112904;
150111;1800;;;0,108007;
150111;1900;;;0,162788;
150111;2000;;;0,259204;
150111;2100;;;0,250182;
150111;2200;;;0,210089;
150111;2300;;;0,148521;
150112;0000;;;0,160969;
150112;0100;;;0,213859;
150112;0200;;;0,227511;
150112;0300;;;0,211721;
150112;0400;;;0,203285;
150112;0500;;;0,203;
150112;0600;;;0,193687;
150112;0700;;;0,168218;
150112;0800;;;0,133932;
150112;0900;;;0,127138;
150112;1000;;;0,138648;
150112;1100;;;0,140279;
150112;1200;;;0,147744;
150112;1300;;;0,132963;
150112;1400;;;0,136112;
150112;1500;;;8,94522;
150112;1600;;;0,115331;
150112;1700;;;0,063356;
150112;1800;;;0,0498792;
150112;1900;;;0,059443;
150112;2000;;;0,134976;
150112;2100;;;0,268189;
150112;2200;;;0,255687;
150112;2300;;;0,286407;
150113;0000;;;0,180396;
150113;0100;;;0,134212;
150113;0200;;;;
150113;0300;;;0,120404;
150113;0400;;;0,116;
150113;0500;;;0,116;
150113;0600;;;0,115324;
150113;0700;;;0,120449;
150113;0800;;;0,114589;
150113;0900;;;0,107231;
150113;1000;;;0,113883;
150113;1100;;;0,105688;
150113;1200;;;0,0980657;
150113;1300;;;0,10426;
150113;1400;;;0,100348;
150113;1500;;;0,0902587;
150113;1600;;;0,0786254;
150113;1700;;;0,0791249;
150113;1800;;;0,0949075;
150113;1900;;;0,0856943;
150113;2000;;;0,0823646;
150113;2100;;;0,0987819;
150113;2200;;;0,119528;
150113;2300;;;0,119502;
150114;0000;;;0,112983;
150114;0100;;;0,102;
150114;0200;;;0,102;
150114;0300;;;0,0974139;
150114;0400;;;0,107;
150114;0500;;;0,114997;
150114;0600;;;0,136527;
150114;0700;;;0,17104;
150114;0800;;;0,153101;
150114;0900;;;0,132334;
150114;1000;;;0,139749;
150114;1100;;;0,105949;
150114;1200;;;0,10114;
150114;1300;;;0,103692;
150114;1400;;;0,0947065;
150114;1500;;;0,0899565;
150114;1600;;;0,10864;
150114;1700;;;0,117707;
150114;1800;;;0,103655;
150114;1900;;;0,0933787;
150114;2000;;;0,122112;
150114;2100;;;0,190985;
150114;2200;;;0,230675;
150114;2300;;;0,271055;
150115;0000;;;0,132827;
150115;0100;;;0,112252;
150115;0200;;;0,113;
150115;0300;;;0,123656;
150115;0400;;;0,127;
150115;0500;;;0,118526;
150115;0600;;;0,116;
150115;0700;;;0,116283;
150115;0800;;;0,117;
150115;0900;;;0,117293;
150115;1000;;;0,136556;
150115;1100;;;;
150115;1200;;;;
150115;1300;;;;
150115;1400;;;;
150115;1500;;;;
150115;1600;;;;
150115;1700;;;;
150115;1800;;;;
150115;1900;;;;
150115;2000;;;;
150115;2100;;;;
150115;2200;;;;
150115;2300;;;;
150116;0000;;;;
150116;0100;;;;
150116;0200;;;;
150116;0300;;;;
150116;0400;;;;
150116;0500;;;;
150116;0600;;;;
150116;0700;;;;
150116;0800;;;;
150116;0900;;;;
150116;1000;;;;
150116;1100;;;;
150116;1200;;;;
150116;1300;;;;
150116;1400;;;0,10935;
150116;1500;;;0,0865537;
150116;1600;;;0,0764364;
150116;1700;;;0,057384;
150116;1800;;;0,0518886;
150116;1900;;;0,0557809;
150116;2000;;;0,0642958;
150116;2100;;;0,0971738;
150116;2200;;;0,102093;
150116;2300;;;0,0794752;
150117;0000;;;0,0730891;
150117;0100;;;0,0917566;
150117;0200;;;0,0919999;
150117;0300;;;0,0919999;
150117;0400;;;0,0919999;
150117;0500;;;0,0919999;
150117;0600;;;0,0919999;
150117;0700;;;0,0919999;
150117;0800;;;0,154233;
150117;0900;;;0,137034;
150117;1000;;;0,130471;
150117;1100;;;0,125858;
150117;1200;;;0,120954;
150117;1300;;;0,112807;
150117;1400;;;0,0995556;
150117;1500;;;0,102865;
150117;1600;;;0,108227;
150117;1700;;;0,0925765;
150117;1800;;;0,0904663;
150117;1900;;;0,150191;
150117;2000;;;0,158682;
150117;2100;;;0,172941;
150117;2200;;;0,186766;
150117;2300;;;0,188571;
150118;0000;;;0,170486;
150118;0100;;;0,126017;
150118;0200;;;0,127008;
150118;0300;;;0,128;
150118;0400;;;0,128;
150118;0500;;;0,115627;
150118;0600;;;0,126669;
150118;0700;;;0,128116;
150118;0800;;;0,151296;
150118;0900;;;0,120895;
150118;1000;;;0,111;
150118;1100;;;0,144307;
150118;1200;;;0,202471;
150118;1300;;;0,149834;
150118;1400;;;0,127936;
150118;1500;;;0,138601;
150118;1600;;;0,160451;
150118;1700;;;0,154632;
150118;1800;;;0,173032;
150118;1900;;;0,17615;
150118;2000;;;0,15703;
150118;2100;;;0,163113;
150118;2200;;;0,171604;
150118;2300;;;0,153778;
150119;0000;;;0,16654;
150119;0100;;;0,166895;
150119;0200;;;0,150673;
150119;0300;;;0,132168;
150119;0400;;;0,132757;
150119;0500;;;0,127713;
150119;0600;;;0,123873;
150119;0700;;;0,125;
150119;0800;;;0,129035;
150119;0900;;;0,131885;
150119;1000;;;0,145684;
150119;1100;;;0,14761;
150119;1200;;;0,143528;
150119;1300;;;0,137252;
150119;1400;;;0,125641;
150119;1500;;;0,118129;
150119;1600;;;0,125;
150119;1700;;;0,0982333;
150119;1800;;;6,63334;
150119;1900;;;0,072209;
150119;2000;;;0,0922544;
150119;2100;;;0,0954922;
150119;2200;;;0,122409;
150119;2300;;;0,126597;
150120;0000;;;0,124;
150120;0100;;;0,130238;
150120;0200;;;0,133497;
150120;0300;;;0,136;
150120;0400;;;0,14175;
150120;0500;;;0,137786;
150120;0600;;;0,141953;
150120;0700;;;0,151748;
150120;0800;;;0,147752;
150120;0900;;;0,14306;
150120;1000;;;0,122301;
150120;1100;;;0,125766;
150120;1200;;;0,137;
150120;1300;;;0,132086;
150120;1400;;;0,122666;
150120;1500;;;0,111027;
150120;1600;;;0,0865004;
150120;1700;;;0,0876251;
150120;1800;;;0,0956732;
150120;1900;;;0,0942687;
150120;2000;;;0,107078;
150120;2100;;;0,116591;
150120;2200;;;0,108744;
150120;2300;;;0,10585;
150121;0000;;;0,101666;
150121;0100;;;0,101459;
150121;0200;;;0,0999999;
150121;0300;;;0,0999999;
150121;0400;;;0,0991957;
150121;0500;;;0,102822;
150121;0600;;;0,106141;
150121;0700;;;0,121408;
150121;0800;;;0,128142;
150121;0900;;;0,133063;
150121;1000;;;0,126249;
150121;1100;;;0,120368;
150121;1200;;;0,131033;
150121;1300;;;0,112024;
150121;1400;;;0,111;
150121;1500;;;0,109909;
150121;1600;;;0,0986824;
150121;1700;;;0,0958368;
150121;1800;;;0,0992349;
150121;1900;;;0,123916;
150121;2000;;;0,226083;
150121;2100;;;0,204056;
150121;2200;;;0,185436;
150121;2300;;;0,151946;
150122;0000;;;0,12515;
150122;0100;;;0,115269;
150122;0200;;;0,105067;
150122;0300;;;0,105;
150122;0400;;;0,112696;
150122;0500;;;0,111822;
150122;0600;;;0,13448;
150122;0700;;;0,124215;
150122;0800;;;0,121164;
150122;0900;;;0,124986;
150122;1000;;;0,14242;
150122;1100;;;0,139428;
150122;1200;;;0,168424;
150122;1300;;;0,161062;
150122;1400;;;0,1362;
150122;1500;;;0,118158;
150122;1600;;;0,117181;
150122;1700;;;0,109627;
150122;1800;;;0,1022;
150122;1900;;;0,10807;
150122;2000;;;0,11746;
150122;2100;;;0,146197;
150122;2200;;;0,133066;
150122;2300;;;0,129017;
150123;0000;;;0,136517;
150123;0100;;;0,128131;
150123;0200;;;0,11808;
150123;0300;;;0,116;
150123;0400;;;0,116;
150123;0500;;;0,116;
150123;0600;;;0,116;
150123;0700;;;0,116;
150123;0800;;;0,116;
150123;0900;;;0,116;
150123;1000;;;0,116;
150123;1100;;;0,116;
150123;1200;;;0,116;
150123;1300;;;0,116;
150123;1400;;;0,116;
150123;1500;;;0,116;
150123;1600;;;0,116;
150123;1700;;;0,116;
150123;1800;;;0,116;
150123;1900;;;0,116;
150123;2000;;;0,116;
150123;2100;;;0,116;
150123;2200;;;0,116;
150123;2300;;;0,116;
150124;0000;;;0,116;
150124;0100;;;0,116;
150124;0200;;;0,116;
150124;0300;;;0,116;
150124;0400;;;0,116;
150124;0500;;;0,116;
150124;0600;;;0,116;
150124;0700;;;0,116;
150124;0800;;;0,116;
150124;0900;;;0,116;
150124;1000;;;0,116;
150124;1100;;;0,116;
150124;1200;;;0,116;
150124;1300;;;0,150921;
150124;1400;;;0,150834;
150124;1500;;;0,139235;
150124;1600;;;0,123535;
150124;1700;;;0,123;
150124;1800;;;0,0974683;
150124;1900;;;0,0892613;
150124;2000;;;0,123984;
150124;2100;;;0,128062;
150124;2200;;;0,134745;
150124;2300;;;0,148874;
150125;0000;;;0,155;
150125;0100;;;0,158595;
150125;0200;;;0,173384;
150125;0300;;;0,165519;
150125;0400;;;0,181278;
150125;0500;;;0,173798;
150125;0600;;;0,175882;
150125;0700;;;0,17496;
150125;0800;;;0,180021;
150125;0900;;;0,176196;
150125;1000;;;0,147644;
150125;1100;;;0,146498;
150125;1200;;;0,150675;
150125;1300;;;0,156768;
150125;1400;;;0,149939;
150125;1500;;;0,122922;
150125;1600;;;0,118;
150125;1700;;;0,118;
150125;1800;;;0,121002;
150125;1900;;;0,130984;
150125;2000;;;0,131;
150125;2100;;;0,18824;
150125;2200;;;0,188551;
150125;2300;;;0,195;
150126;0000;;;0,195;
150126;0100;;;0,172719;
150126;0200;;;0,173654;
150126;0300;;;0,162048;
150126;0400;;;0,162;
150126;0500;;;0,154053;
150126;0600;;;0,152142;
150126;0700;;;0,178465;
150126;0800;;;0,190637;
150126;0900;;;0,176205;
150126;1000;;;0,158639;
150126;1100;;;0,162026;
150126;1200;;;;
150126;1300;;;0,193444;
150126;1400;;;0,148792;
150126;1500;;;0,130037;
150126;1600;;;0,096231;
150126;1700;;;8,50005;
150126;1800;;;0,0758121;
150126;1900;;;0,105331;
150126;2000;;;0,122753;
150126;2100;;;0,145144;
150126;2200;;;0,206245;
150126;2300;;;0,210267;
150127;0000;;;0,187426;
150127;0100;;;0,174766;
150127;0200;;;0,194497;
150127;0300;;;0,22078;
150127;0400;;;0,205412;
150127;0500;;;0,168911;
150127;0600;;;0,168596;
150127;0700;;;0,158;
150127;0800;;;0,153451;
150127;0900;;;0,159704;
150127;1000;;;0,170091;
150127;1100;;;0,151589;
150127;1200;;;;
150127;1300;;;;
150127;1400;;;;
150127;1500;;;;
150127;1600;;;;
150127;1700;;;;
150127;1800;;;;
150127;1900;;;;
150127;2000;;;;
150127;2100;;;;
150127;2200;;;;
150127;2300;;;0,199428;
150128;0000;;;0,203534;
150128;0100;;;0,210571;
150128;0200;;;0,220783;
150128;0300;;;0,213565;
150128;0400;;;0,203035;
150128;0500;;;0,202;
150128;0600;;;0,202;
150128;0700;;;0,202931;
150128;0800;;;0,195823;
150128;0900;;;0,195;
150128;1000;;;0,199504;
150128;1100;;;0,202948;
150128;1200;;;0,206026;
150128;1300;;;0,207572;
150128;1400;;;0,19554;
150128;1500;;;0,193425;
150128;1600;;;0,185271;
150128;1700;;;0,176911;
150128;1800;;;0,162907;
150128;1900;;;0,176868;
150128;2000;;;0,184773;
150128;2100;;;0,211951;
150128;2200;;;0,218035;
150128;2300;;;0,21908;
150129;0000;;;0,043021;
150129;0100;;;;
150129;0200;;;;
150129;0300;;;;
150129;0400;;;;
150129;0500;;;;
150129;0600;;;;
150129;0700;;;;
150129;0800;;;;
150129;0900;;;;
150129;1000;;;;
150129;1100;;;;
150129;1200;;;;
150129;1300;;;;
150129;1400;;;;
150129;1500;;;;
150129;1600;;;;
150129;1700;;;;
150129;1800;;;;
150129;1900;;;;
150129;2000;;;;
150129;2100;;;;
150129;2200;;;;
150129;2300;;;0,102023;
150130;0000;;;0,146979;
150130;0100;;;0,159879;
150130;0200;;;0,119983;
150130;0300;;;0,127497;
150130;0400;;;0,128132;
150130;0500;;;0,132893;
150130;0600;;;0,168905;
150130;0700;;;0,264886;
150130;0800;;;0,221477;
150130;0900;;;0,170582;
150130;1000;;;0,184252;
150130;1100;;;0,170865;
150130;1200;;;0,142166;
150130;1300;;;0,140899;
150130;1400;;;0,11892;
150130;1500;;;0,112798;
150130;1600;;;0,138606;
150130;1700;;;0,149056;
150130;1800;;;0,156065;
150130;1900;;;0,155119;
150130;2000;;;0,153913;
150130;2100;;;0,190763;
150130;2200;;;0,196538;
150130;2300;;;0,182697;
150131;0000;;;0,187592;
150131;0100;;;0,177095;
150131;0200;;;0,181524;
150131;0300;;;0,187708;
150131;0400;;;0,197168;
150131;0500;;;0,206281;
150131;0600;;;0,215573;
150131;0700;;;0,213449;
150131;0800;;;0,212256;
150131;0900;;;0,10416;
150131;1000;;;0,107938;
150131;1100;;;0,116297;
150131;1200;;;0,111171;
150131;1300;;;0,105505;
150131;1400;;;0,122361;
150131;1500;;;0,118961;
150131;1600;;;0,127867;
150131;1700;;;0,148861;
150131;1800;;;0,142945;
150131;1900;;;0,131231;
150131;2000;;;0,133675;
150131;2100;;;0,136037;
150131;2200;;;0,337883;
150131;2300;;;0,274879;
150201;0000;;;0,23091;
150201;0100;;;0,225142;
150201;0200;;;0,212133;
150201;0300;;;0,139039;
150201;0400;;;0,113442;
150201;0500;;;0,113;
150201;0600;;;0,12191;
150201;0700;;;0,123037;
150201;0800;;;0,135387;
150201;0900;;;0,134318;
150201;1000;;;0,134626;
150201;1100;;;0,137208;
150201;1200;;;0,130074;
150201;1300;;;0,138482;
150201;1400;;;0,141713;
150201;1500;;;0,165553;
150201;1600;;;0,146964;
150201;1700;;;0,158539;
150201;1800;;;0,164955;
150201;1900;;;0,153089;
150201;2000;;;0,17019;
150201;2100;;;0,16407;
150201;2200;;;0,184551;
150201;2300;;;0,171668;
150202;0000;;;0,189298;
150202;0100;;;0,184137;
150202;0200;;;0,172337;
150202;0300;;;0,174935;
150202;0400;;;0,18365;
150202;0500;;;0,190134;
150202;0600;;;0,218483;
150202;0700;;;0,232911;
150202;0800;;;0,21226;
150202;0900;;;0,235426;
150202;1000;;;0,201245;
150202;1100;;;0,20926;
150202;1200;;;0,201255;
150202;1300;;;0,201;
150202;1400;;;0,201;
150202;1500;;;0,201;
150202;1600;;;0,198075;
150202;1700;;;0,169448;
150202;1800;;;0,159507;
150202;1900;;;0,154523;
150202;2000;;;0,167529;
150202;2100;;;0,169;
150202;2200;;;0,176712;
150202;2300;;;0,195;
150203;0000;;;0,195;
150203;0100;;;0,195;
150203;0200;;;0,195;
150203;0300;;;0,195;
150203;0400;;;0,195;
150203;0500;;;0,195;
150203;0600;;;0,208908;
150203;0700;;;0,229482;
150203;0800;;;0,259699;
150203;0900;;;0,223781;
150203;1000;;;0,203059;
150203;1100;;;0,213189;
150203;1200;;;0,219886;
150203;1300;;;0,2189;
150203;1400;;;0,211121;
150203;1500;;;0,199489;
150203;1600;;;0,198865;
150203;1700;;;0,190411;
150203;1800;;;0,160482;
150203;1900;;;0,147816;
150203;2000;;;0,152046;
150203;2100;;;0,151051;
150203;2200;;;0,167377;
150203;2300;;;0,191576;
150204;0000;;;0,191;
150204;0100;;;0,191;
150204;0200;;;0,191;
150204;0300;;;0,191;
150204;0400;;;0,191;
150204;0500;;;0,191;
150204;0600;;;0,197449;
150204;0700;;;0,233082;
150204;0800;;;0,257154;
150204;0900;;;0,181525;
150204;1000;;;0,154759;
150204;1100;;;0,155489;
150204;1200;;;0,155519;
150204;1300;;;0,152901;
150204;1400;;;0,125584;
150204;1500;;;0,118758;
150204;1600;;;0,0968503;
