FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141220;0100;;;;
141220;0200;;;3,21594;
141220;0300;;;3,78328;
141220;0400;;;3,78328;
141220;0500;;;3,78328;
141220;0600;;;3,78328;
141220;0700;;;3,78328;
141220;0800;;;3,78328;
141220;0900;;;3,78328;
141220;1000;;;3,78328;
141220;1100;;;3,78328;
141220;1200;;;3,78328;
141220;1300;;;3,78328;
141220;1400;;;3,78328;
141220;1500;;;3,91671;
141220;1600;;;4,53611;
141220;1700;;;4,66829;
141220;1800;;;4,66577;
141220;1900;;;4,6141;
141220;2000;;;4,65401;
141220;2100;;;4,67683;
141220;2200;;;4,72412;
141220;2300;;;4,72829;
141221;0000;;;4,75029;
141221;0100;;;4,79965;
141221;0200;;;4,74332;
141221;0300;;;4,70746;
141221;0400;;;4,72218;
141221;0500;;;4,73103;
141221;0600;;;4,72577;
141221;0700;;;4,7324;
141221;0800;;;4,73305;
141221;0900;;;4,74463;
141221;1000;;;4,73641;
141221;1100;;;4,67562;
141221;1200;;;4,68304;
141221;1300;;;4,68542;
141221;1400;;;4,76043;
141221;1500;;;4,82829;
141221;1600;;;4,8596;
141221;1700;;;4,87543;
141221;1800;;;4,77317;
141221;1900;;;4,7203;
141221;2000;;;4,60976;
141221;2100;;;4,64989;
141221;2200;;;4,74254;
141221;2300;;;4,71147;
141222;0000;;;4,70083;
141222;0100;;;4,67133;
141222;0200;;;4,6893;
141222;0300;;;4,69663;
141222;0400;;;4,71993;
141222;0500;;;4,74547;
141222;0600;;;4,7187;
141222;0700;;;4,76075;
141222;0800;;;4,76235;
141222;0900;;;4,73581;
141222;1000;;;4,69066;
141222;1100;;;4,68474;
141222;1200;;;4,69598;
141222;1300;;;4,71445;
141222;1400;;;4,72858;
141222;1500;;;5,03045;
141222;1600;;;6,4033;
141222;1700;;;5,11715;
141222;1800;;;;
141222;1900;;;;
141222;2000;;;;
141222;2100;;;;
141222;2200;;;;
141222;2300;;;;
141223;0000;;;;
141223;0100;;;;
141223;0200;;;;
141223;0300;;;;
141223;0400;;;;
141223;0500;;;;
141223;0600;;;;
141223;0700;;;;
141223;0800;;;;
141223;0900;;;;
141223;1000;;;;
141223;1100;;;;
141223;1200;;;;
141223;1300;;;;
141223;1400;;;;
141223;1500;;;;
141223;1600;;;;
141223;1700;;;;
141223;1800;;;;
141223;1900;;;;
141223;2000;;;;
141223;2100;;;;
141223;2200;;;;
141223;2300;;;;
141224;0000;;;;
141224;0100;;;;
141224;0200;;;;
141224;0300;;;;
141224;0400;;;;
141224;0500;;;;
141224;0600;;;;
141224;0700;;;;
141224;0800;;;;
141224;0900;;;;
141224;1000;;;;
141224;1100;;;;
141224;1200;;;;
141224;1300;;;;
141224;1400;;;;
141224;1500;;;;
141224;1600;;;;
141224;1700;;;;
141224;1800;;;;
141224;1900;;;;
141224;2000;;;;
141224;2100;;;;
141224;2200;;;;
141224;2300;;;;
141225;0000;;;;
141225;0100;;;;
141225;0200;;;;
141225;0300;;;;
141225;0400;;;;
141225;0500;;;;
141225;0600;;;;
141225;0700;;;;
141225;0800;;;;
141225;0900;;;;
141225;1000;;;;
141225;1100;;;;
141225;1200;;;;
141225;1300;;;;
141225;1400;;;;
141225;1500;;;;
141225;1600;;;;
141225;1700;;;;
141225;1800;;;;
141225;1900;;;;
