FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091023;0100;;;0,34;
091023;0200;;;0,331;
091023;0300;;;0,337;
091023;0400;;;0,339;
091023;0500;;;0,575;
091023;0600;;;0,342;
091023;0700;;;0,327;
091023;0800;;;2,247;
091023;0900;;;1,689;
091023;1000;;;0,86;
091023;1100;;;0,4;
091023;1200;;;0,447;
091023;1300;;;0,366;
091023;1400;;;0,333;
091023;1500;;;0,286;
091023;1600;;;0,306;
091023;1700;;;0,298;
091023;1800;;;0,295;
091023;1900;;;0,306;
091023;2000;;;0,29;
091023;2100;;;0,313;
091023;2200;;;2,674;
091023;2300;;;2,072;
091024;0000;;;1,507;
091024;0100;;;1,248;
091024;0200;;;0,794999;
091024;0300;;;0,754;
091024;0400;;;0,601999;
091024;0500;;;0,385;
091024;0600;;;0,612;
091024;0700;;;0,566;
091024;0800;;;0,582999;
091024;0900;;;0,776999;
091024;1000;;;0,615999;
091024;1100;;;0,717;
091024;1200;;;1,293;
091024;1300;;;0,646;
091024;1400;;;0,429;
091024;1500;;;0,356;
091024;1600;;;0,363;
091024;1700;;;0,362;
091024;1800;;;0,346;
091024;1900;;;0,436;
091024;2000;;;0,413;
091024;2100;;;1,208;
091024;2200;;;0,636;
091024;2300;;;0,461;
091025;0000;;;0,667;
091025;0100;;;0,537999;
091025;0200;;;0,672;
091025;0300;;;0,809;
091025;0400;;;0,556999;
091025;0500;;;0,743999;
091025;0600;;;0,667999;
091025;0700;;;0,641999;
091025;0800;;;0,561;
091025;0900;;;0,572;
091025;1000;;;0,48;
091025;1100;;;2,31;
091025;1200;;;0,461;
091025;1300;;;3,607;
091025;1400;;;1,209;
091025;1500;;;1,039;
091025;1600;;;0,377;
091025;1700;;;0,366;
091025;1800;;;6,504;
091025;1900;;;0,927999;
091025;2000;;;0,629;
091025;2100;;;2,288;
091025;2200;;;1,141;
091025;2300;;;0,478;
091026;0000;;;0,493;
091026;0100;;;0,374;
091026;0200;;;0,539;
091026;0300;;;0,832999;
091026;0400;;;0,721999;
091026;0500;;;0,549999;
091026;0600;;;0,556;
091026;0700;;;0,547;
091026;0800;;;0,754999;
091026;0900;;;0,556999;
091026;1000;;;0,679;
091026;1100;;;0,507;
091026;1200;;;0,342;
091026;1300;;;0,333;
091026;1400;;;0,358;
091026;1500;;;0,416;
091026;1600;;;0,617;
091026;1700;;;0,868999;
091026;1800;;;1,617;
091026;1900;;;1,916;
091026;2000;;;0,502;
091026;2100;;;0,496;
091026;2200;;;0,797999;
091026;2300;;;0,714999;
091027;0000;;;0,354;
091027;0100;;;0,596;
091027;0200;;;0,443;
091027;0300;;;0,426;
091027;0400;;;2,16;
091027;0500;;;0,870999;
091027;0600;;;0,494;
091027;0700;;;0,452;
091027;0800;;;0,544;
091027;0900;;;0,366;
091027;1000;;;0,352;
091027;1100;;;0,338;
091027;1200;;;0,342;
091027;1300;;;0,353;
091027;1400;;;0,341;
091027;1500;;;0,345;
091027;1600;;;0,419;
091027;1700;;;0,438;
091027;1800;;;0,455;
091027;1900;;;0,465;
091027;2000;;;0,558;
091027;2100;;;0,702;
091027;2200;;;0,559;
091027;2300;;;0,425;
091028;0000;;;0,395;
091028;0100;;;0,36;
091028;0200;;;0,359;
091028;0300;;;0,35;
091028;0400;;;0,368;
091028;0500;;;0,442;
091028;0600;;;0,424;
091028;0700;;;0,482;
091028;0800;;;0,446;
091028;0900;;;0,427;
091028;1000;;;0,414;
091028;1100;;;0,409;
091028;1200;;;0,433;
091028;1300;;;0,38;
091028;1400;;;0,362;
091028;1500;;;0,368;
091028;1600;;;0,37;
091028;1700;;;0,383;
091028;1800;;;0,4;
091028;1900;;;0,393;
091028;2000;;;0,419;
091028;2100;;;0,624;
091028;2200;;;0,471;
091028;2300;;;0,388;
091029;0000;;;0,4;
091029;0100;;;0,35;
091029;0200;;;0,372;
091029;0300;;;0,418;
091029;0400;;;0,408;
091029;0500;;;0,373;
091029;0600;;;0,38;
091029;0700;;;0,406;
091029;0800;;;0,401;
091029;0900;;;0,399;
091029;1000;;;0,398;
091029;1100;;;0,386;
091029;1200;;;0,386;
091029;1300;;;0,385;
091029;1400;;;0,384;
091029;1500;;;0,394;
091029;1600;;;0,395;
091029;1700;;;0,395;
091029;1800;;;0,401;
091029;1900;;;0,394;
091029;2000;;;0,398;
091029;2100;;;0,396;
091029;2200;;;0,407;
091029;2300;;;0,403;
091030;0000;;;0,724;
091030;0100;;;0,585999;
091030;0200;;;0,572;
091030;0300;;;0,412;
091030;0400;;;0,412;
091030;0500;;;0,707999;
091030;0600;;;0,446;
091030;0700;;;1,526;
091030;0800;;;0,615999;
091030;0900;;;0,712;
091030;1000;;;0,997999;
091030;1100;;;0,620999;
091030;1200;;;0,418;
091030;1300;;;0,398;
091030;1400;;;0,408;
091030;1500;;;0,415;
091030;1600;;;0,433;
091030;1700;;;0,411;
091030;1800;;;0,719;
091030;1900;;;0,995999;
091030;2000;;;0,837999;
091030;2100;;;0,421;
091030;2200;;;2,587;
091030;2300;;;1,291;
091031;0000;;;0,820999;
091031;0100;;;2,077;
091031;0200;;;0,964999;
091031;0300;;;0,552999;
091031;0400;;;0,721;
091031;0500;;;0,710999;
091031;0600;;;0,877999;
091031;0700;;;0,94;
091031;0800;;;0,695999;
091031;0900;;;0,627999;
091031;1000;;;0,398;
091031;1100;;;0,425;
091031;1200;;;0,393;
091031;1300;;;0,408;
091031;1400;;;0,399;
091031;1500;;;0,392;
091031;1600;;;0,409;
091031;1700;;;0,433;
091031;1800;;;0,441;
091031;1900;;;0,42;
091031;2000;;;0,477;
091031;2100;;;0,49;
091031;2200;;;0,45;
091031;2300;;;0,433;
091101;0000;;;0,435;
091101;0100;;;0,408;
091101;0200;;;0,397;
091101;0300;;;0,39;
091101;0400;;;0,976999;
091101;0500;;;0,49;
091101;0600;;;0,441;
091101;0700;;;0,406;
091101;0800;;;0,402;
091101;0900;;;0,411;
091101;1000;;;0,406;
091101;1100;;;0,423;
091101;1200;;;0,453;
091101;1300;;;0,459;
091101;1400;;;0,556;
091101;1500;;;0,47;
091101;1600;;;0,558;
091101;1700;;;0,431;
091101;1800;;;0,478;
091101;1900;;;0,495;
091101;2000;;;0,48;
091101;2100;;;0,371;
091101;2200;;;0,655;
091101;2300;;;0,476;
091102;0000;;;0,452;
091102;0100;;;0,472;
091102;0200;;;0,499;
091102;0300;;;1,437;
091102;0400;;;0,573;
091102;0500;;;0,743999;
091102;0600;;;1,364;
091102;0700;;;0,437;
091102;0800;;;0,502;
091102;0900;;;0,5;
091102;1000;;;0,888;
091102;1100;;;1,242;
091102;1200;;;1,442;
091102;1300;;;0,436;
091102;1400;;;0,367;
091102;1500;;;0,397;
091102;1600;;;0,518999;
091102;1700;;;1,762;
091102;1800;;;3,923;
091102;1900;;;15,99;
091102;2000;;;8,98999;
091102;2100;;;1,994;
091102;2200;;;0,681999;
091102;2300;;;0,537;
091103;0000;;;0,533;
091103;0100;;;0,669999;
091103;0200;;;0,672999;
091103;0300;;;0,532;
091103;0400;;;0,565;
091103;0500;;;0,437;
091103;0600;;;0,648;
091103;0700;;;0,778999;
091103;0800;;;0,934999;
091103;0900;;;0,75;
091103;1000;;;0,995999;
091103;1100;;;0,372;
091103;1200;;;0,365;
091103;1300;;;0,366;
091103;1400;;;0,383;
091103;1500;;;0,387;
091103;1600;;;0,387;
091103;1700;;;0,382;
091103;1800;;;0,373;
091103;1900;;;0,389;
091103;2000;;;0,408;
091103;2100;;;0,434;
091103;2200;;;0,418;
091103;2300;;;0,452;
091104;0000;;;0,404;
091104;0100;;;0,387;
091104;0200;;;0,385;
091104;0300;;;0,392;
091104;0400;;;0,392;
091104;0500;;;0,378;
091104;0600;;;0,39;
091104;0700;;;0,4;
091104;0800;;;0,4;
091104;0900;;;0,396;
091104;1000;;;0,418;
091104;1100;;;0,660999;
091104;1200;;;0,393;
091104;1300;;;2,585;
091104;1400;;;0,575999;
091104;1500;;;0,395;
091104;1600;;;0,372;
091104;1700;;;0,375;
091104;1800;;;0,37;
091104;1900;;;0,365;
091104;2000;;;0,372;
091104;2100;;;0,386;
091104;2200;;;0,695;
091104;2300;;;0,473;
091105;0000;;;0,422;
091105;0100;;;0,747999;
091105;0200;;;1,232;
091105;0300;;;0,794999;
091105;0400;;;0,563;
091105;0500;;;0,535999;
091105;0600;;;0,573;
091105;0700;;;0,674999;
091105;0800;;;0,589999;
091105;0900;;;1,111;
091105;1000;;;0,504;
091105;1100;;;0,407;
091105;1200;;;0,399;
091105;1300;;;0,387;
091105;1400;;;0,395;
091105;1500;;;0,4;
091105;1600;;;0,397;
091105;1700;;;0,397;
091105;1800;;;0,4;
091105;1900;;;0,395;
091105;2000;;;0,406;
091105;2100;;;0,444;
091105;2200;;;0,585999;
091105;2300;;;0,526999;
091106;0000;;;0,426;
091106;0100;;;0,402;
091106;0200;;;0,399;
091106;0300;;;0,397;
091106;0400;;;0,638;
091106;0500;;;0,44;
091106;0600;;;1,033;
091106;0700;;;0,648;
091106;0800;;;0,434;
091106;0900;;;0,4;
091106;1000;;;0,396;
091106;1100;;;0,422;
091106;1200;;;1,952;
091106;1300;;;1,597;
091106;1400;;;3,951;
091106;1500;;;3,021;
091106;1600;;;4,27599;
091106;1700;;;5,34299;
091106;1800;;;7,028;
091106;1900;;;11,64;
091106;2000;;;5,097;
091106;2100;;;0,740999;
091106;2200;;;0,757999;
091106;2300;;;1,034;
091107;0000;;;0,964;
091107;0100;;;0,947;
091107;0200;;;0,494;
091107;0300;;;0,473;
091107;0400;;;0,449;
091107;0500;;;0,461;
091107;0600;;;0,523999;
091107;0700;;;0,437;
091107;0800;;;0,423;
091107;0900;;;0,625999;
091107;1000;;;0,618999;
091107;1100;;;1,581;
091107;1200;;;3,484;
091107;1300;;;0,554999;
091107;1400;;;0,551999;
091107;1500;;;0,479;
091107;1600;;;0,565;
091107;1700;;;0,664;
091107;1800;;;0,494;
091107;1900;;;0,763;
091107;2000;;;6,32;
091107;2100;;;18,44;
091107;2200;;;8,87;
091107;2300;;;3,131;
091108;0000;;;1,216;
091108;0100;;;0,761999;
091108;0200;;;0,752;
091108;0300;;;0,563999;
091108;0400;;;0,525;
091108;0500;;;0,707;
091108;0600;;;0,771999;
091108;0700;;;0,7;
091108;0800;;;0,585999;
091108;0900;;;0,547999;
091108;1000;;;0,405;
091108;1100;;;0,398;
091108;1200;;;0,399;
091108;1300;;;0,402;
091108;1400;;;0,405;
091108;1500;;;0,398;
091108;1600;;;0,397;
091108;1700;;;0,398;
091108;1800;;;0,397;
091108;1900;;;0,402;
091108;2000;;;0,433;
091108;2100;;;0,433;
091108;2200;;;0,413;
091108;2300;;;0,405;
091109;0000;;;0,511999;
091109;0100;;;0,429;
091109;0200;;;0,404;
091109;0300;;;0,757999;
091109;0400;;;0,700999;
091109;0500;;;3,267;
091109;0600;;;0,681;
091109;0700;;;4,514;
091109;0800;;;0,967999;
091109;0900;;;0,676;
091109;1000;;;0,802999;
091109;1100;;;1,66;
091109;1200;;;1,13;
091109;1300;;;0,511;
091109;1400;;;0,459;
