FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091023;0100;;;8,85999;
091023;0200;;;11,54;
091023;0300;;;14,14;
091023;0400;;;11,5;
091023;0500;;;8,60999;
091023;0600;;;11,62;
091023;0700;;;24,69;
091023;0800;;;27,25;
091023;0900;;;15,04;
091023;1000;;;11,3;
091023;1100;;;11,59;
091023;1200;;;10,61;
091023;1300;;;13,05;
091023;1400;;;11,87;
091023;1500;;;10,53;
091023;1600;;;14,65;
091023;1700;;;16,65;
091023;1800;;;14,39;
091023;1900;;;20,68;
091023;2000;;;18,1;
091023;2100;;;18,63;
091023;2200;;;65,2799;
091023;2300;;;67,2599;
091024;0000;;;46,17;
091024;0100;;;45,1;
091024;0200;;;40,05;
091024;0300;;;34,21;
091024;0400;;;14,29;
091024;0500;;;21,48;
091024;0600;;;80,6;
091024;0700;;;60,98;
091024;0800;;;48,7599;
091024;0900;;;57,4399;
091024;1000;;;33,17;
091024;1100;;;8,39999;
091024;1200;;;10,35;
091024;1300;;;10,5;
091024;1400;;;10,22;
091024;1500;;;8,67;
091024;1600;;;16,58;
091024;1700;;;11,23;
091024;1800;;;9,76999;
091024;1900;;;8,32999;
091024;2000;;;6,878;
091024;2100;;;10,2;
091024;2200;;;11,99;
091024;2300;;;11,01;
091025;0000;;;16,62;
091025;0100;;;12,89;
091025;0200;;;22,3;
091025;0300;;;26,53;
091025;0400;;;16,13;
091025;0500;;;15,6;
091025;0600;;;13,63;
091025;0700;;;28,63;
091025;0800;;;21,29;
091025;0900;;;24,85;
091025;1000;;;6,32999;
091025;1100;;;9;
091025;1200;;;8,39999;
091025;1300;;;9,84999;
091025;1400;;;9,73999;
091025;1500;;;9,14999;
091025;1600;;;10,44;
091025;1700;;;10,52;
091025;1800;;;14,6;
091025;1900;;;5,267;
091025;2000;;;5,782;
091025;2100;;;7,16599;
091025;2200;;;5,834;
091025;2300;;;6,868;
091026;0000;;;13,06;
091026;0100;;;10,02;
091026;0200;;;12,46;
091026;0300;;;12,65;
091026;0400;;;10,84;
091026;0500;;;13,6;
091026;0600;;;15,82;
091026;0700;;;29,36;
091026;0800;;;41,99;
091026;0900;;;16,81;
091026;1000;;;23,41;
091026;1100;;;15,2;
091026;1200;;;12,11;
091026;1300;;;9,09999;
091026;1400;;;12,32;
091026;1500;;;15,23;
091026;1600;;;15,44;
091026;1700;;;15,84;
091026;1800;;;13,87;
091026;1900;;;13;
091026;2000;;;13,55;
091026;2100;;;5,185;
091026;2200;;;12,54;
091026;2300;;;10,89;
091027;0000;;;7,87399;
091027;0100;;;11,23;
091027;0200;;;14,74;
091027;0300;;;17,6;
091027;0400;;;10,22;
091027;0500;;;6,80099;
091027;0600;;;11,11;
091027;0700;;;38,22;
091027;0800;;;25,06;
091027;0900;;;24,02;
091027;1000;;;23,01;
091027;1100;;;13,7;
091027;1200;;;12,47;
091027;1300;;;12,18;
091027;1400;;;23,14;
091027;1500;;;10,29;
091027;1600;;;10,46;
091027;1700;;;15,92;
091027;1800;;;9,56;
