FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091023;0100;;;18,4238;
091023;0200;;;12,4974;
091023;0300;;;11,1952;
091023;0400;;;27,8768;
091023;0500;;;42,706;
091023;0600;;;33,012;
091023;0700;;;19,967;
091023;0800;;;43,4919;
091023;0900;;;98,3023;
091023;1000;;;166,999;
091023;1100;;;147,794;
091023;1200;;;65,5261;
091023;1300;;;23,842;
091023;1400;;;21,5626;
091023;1500;;;11,3656;
091023;1600;;;11,5175;
091023;1700;;;29,082;
091023;1800;;;16,1366;
091023;1900;;;17,2553;
091023;2000;;;12,3271;
091023;2100;;;6,94038;
091023;2200;;;16,5741;
091023;2300;;;13,134;
091024;0000;;;9,13332;
091024;0100;;;7,78401;
091024;0200;;;6,46354;
091024;0300;;;6,63383;
091024;0400;;;5,08804;
091024;0500;;;5,38409;
091024;0600;;;7,74733;
091024;0700;;;7,09233;
091024;0800;;;7,90715;
091024;0900;;;15,1698;
091024;1000;;;24,8376;
091024;1100;;;11,8267;
091024;1200;;;68,7488;
091024;1300;;;86,9053;
091024;1400;;;78,1283;
091024;1500;;;100,922;
091024;1600;;;100,346;
091024;1700;;;85,1238;
091024;1800;;;76,635;
091024;1900;;;67,7794;
091024;2000;;;40,8196;
091024;2100;;;16,9409;
091024;2200;;;12,7934;
091024;2300;;;12,3271;
091025;0000;;;11,321;
091025;0100;;;12,0651;
091025;0200;;;12,8013;
091025;0300;;;7,91239;
091025;0400;;;5,77186;
091025;0500;;;5,74827;
091025;0600;;;6,39018;
091025;0700;;;6,23821;
091025;0800;;;9,25121;
091025;0900;;;26,6716;
091025;1000;;;14,9811;
091025;1100;;;29,8942;
091025;1200;;;65,9716;
091025;1300;;;104,066;
091025;1400;;;69,9277;
091025;1500;;;66,941;
091025;1600;;;64,19;
091025;1700;;;89,6301;
091025;1800;;;62,3036;
091025;1900;;;17,009;
091025;2000;;;12,445;
091025;2100;;;12,859;
091025;2200;;;10,2337;
091025;2300;;;7,74995;
091026;0000;;;19,5295;
091026;0100;;;17,3784;
091026;0200;;;10,1446;
091026;0300;;;9,69137;
091026;0400;;;8,47832;
091026;0500;;;9,23811;
091026;0600;;;9,25645;
091026;0700;;;11,2765;
091026;0800;;;26,331;
091026;0900;;;17,9077;
091026;1000;;;55,8322;
091026;1100;;;48,7058;
091026;1200;;;11,2922;
091026;1300;;;9,05209;
091026;1400;;;33,5884;
091026;1500;;;24,5232;
091026;1600;;;98,8788;
091026;1700;;;64,2947;
091026;1800;;;54,7055;
091026;1900;;;69,6919;
091026;2000;;;52,9502;
091026;2100;;;49,9633;
091026;2200;;;52,6619;
091026;2300;;;23,318;
