FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090814;0100;;;;
090814;0200;;;;
090814;0300;;;;
090814;0400;;;;
090814;0500;;;;
090814;0600;;;;
090814;0700;;;;
090814;0800;;;;
090814;0900;;;;
090814;1000;;;;
090814;1100;;;;
090814;1200;;;;
090814;1300;;;;
090814;1400;;;;
090814;1500;;;;
090814;1600;;;;
090814;1700;;;;
090814;1800;;;;
090814;1900;;;;
090814;2000;;;;
090814;2100;;;;
090814;2200;;;;
090814;2300;;;;
090815;0000;;;;
090815;0100;;;;
090815;0200;;;;
090815;0300;;;;
090815;0400;;;;
090815;0500;;;;
090815;0600;;;;
090815;0700;;;;
090815;0800;;;;
090815;0900;;;;
090815;1000;;;;
090815;1100;;;;
090815;1200;;;;
090815;1300;;;;
090815;1400;;;;
090815;1500;;;;
090815;1600;;;;
090815;1700;;;;
090815;1800;;;;
090815;1900;;;;
090815;2000;;;;
090815;2100;;;;
090815;2200;;;;
090815;2300;;;;
090816;0000;;;;
090816;0100;;;;
090816;0200;;;;
090816;0300;;;;
090816;0400;;;;
090816;0500;;;;
090816;0600;;;;
090816;0700;;;;
090816;0800;;;;
090816;0900;;;;
090816;1000;;;;
090816;1100;;;;
090816;1200;;;;
090816;1300;;;;
090816;1400;;;;
090816;1500;;;;
090816;1600;;;;
090816;1700;;;;
090816;1800;;;;
090816;1900;;;;
090816;2000;;;;
090816;2100;;;;
090816;2200;;;;
090816;2300;;;;
090817;0000;;;;
090817;0100;;;;
090817;0200;;;;
090817;0300;;;;
090817;0400;;;;
090817;0500;;;;
090817;0600;;;;
090817;0700;;;;
090817;0800;;;;
090817;0900;;;;
090817;1000;;;;
090817;1100;;;;
090817;1200;;;;
090817;1300;;;;
090817;1400;;;;
090817;1500;;;;
090817;1600;;;;
090817;1700;;;;
090817;1800;;;;
090817;1900;;;;
090817;2000;;;;
090817;2100;;;;
090817;2200;;;;
090817;2300;;;;
090818;0000;;;;
090818;0100;;;;
090818;0200;;;;
090818;0300;;;;
090818;0400;;;;
090818;0500;;;;
090818;0600;;;;
090818;0700;;;;
090818;0800;;;;
090818;0900;;;;
090818;1000;;;;
090818;1100;;;;
090818;1200;;;;
090818;1300;;;;
090818;1400;;;;
090818;1500;;;;
090818;1600;;;;
090818;1700;;;;
090818;1800;;;;
090818;1900;;;;
090818;2000;;;;
090818;2100;;;;
090818;2200;;;;
090818;2300;;;;
090819;0000;;;;
090819;0100;;;;
090819;0200;;;;
090819;0300;;;;
090819;0400;;;;
090819;0500;;;;
090819;0600;;;;
090819;0700;;;;
090819;0800;;;;
090819;0900;;;;
090819;1000;;;;
090819;1100;;;;
090819;1200;;;;
090819;1300;;;;
090819;1400;;;;
090819;1500;;;;
090819;1600;;;;
090819;1700;;;;
090819;1800;;;;
090819;1900;;;;
090819;2000;;;;
090819;2100;;;;
090819;2200;;;;
090819;2300;;;;
090820;0000;;;;
090820;0100;;;;
090820;0200;;;;
090820;0300;;;;
090820;0400;;;;
090820;0500;;;;
090820;0600;;;;
090820;0700;;;;
090820;0800;;;;
090820;0900;;;;
090820;1000;;;;
090820;1100;;;;
090820;1200;;;;
090820;1300;;;;
090820;1400;;;;
090820;1500;;;;
090820;1600;;;;
090820;1700;;;;
090820;1800;;;;
090820;1900;;;;
090820;2000;;;;
090820;2100;;;;
090820;2200;;;;
090820;2300;;;;
090821;0000;;;;
090821;0100;;;;
090821;0200;;;;
090821;0300;;;;
090821;0400;;;;
090821;0500;;;;
090821;0600;;;;
090821;0700;;;;
090821;0800;;;;
090821;0900;;;;
090821;1000;;;;
090821;1100;;;;
090821;1200;;;;
090821;1300;;;;
090821;1400;;;;
090821;1500;;;;
090821;1600;;;;
090821;1700;;;;
090821;1800;;;;
090821;1900;;;;
090821;2000;;;;
090821;2100;;;;
090821;2200;;;;
090821;2300;;;;
090822;0000;;;;
090822;0100;;;;
090822;0200;;;;
090822;0300;;;;
090822;0400;;;;
090822;0500;;;;
090822;0600;;;;
090822;0700;;;;
090822;0800;;;;
090822;0900;;;;
090822;1000;;;;
090822;1100;;;;
090822;1200;;;;
090822;1300;;;;
090822;1400;;;;
090822;1500;;;;
090822;1600;;;;
090822;1700;;;;
090822;1800;;;;
090822;1900;;;;
090822;2000;;;;
090822;2100;;;;
090822;2200;;;;
090822;2300;;;;
090823;0000;;;;
090823;0100;;;;
090823;0200;;;;
090823;0300;;;;
090823;0400;;;;
090823;0500;;;;
090823;0600;;;;
090823;0700;;;;
090823;0800;;;;
090823;0900;;;;
090823;1000;;;;
090823;1100;;;;
090823;1200;;;;
090823;1300;;;;
090823;1400;;;;
090823;1500;;;;
090823;1600;;;;
090823;1700;;;;
090823;1800;;;;
090823;1900;;;;
090823;2000;;;;
090823;2100;;;;
090823;2200;;;;
090823;2300;;;;
090824;0000;;;;
090824;0100;;;;
090824;0200;;;;
090824;0300;;;;
090824;0400;;;;
090824;0500;;;;
090824;0600;;;;
090824;0700;;;;
090824;0800;;;;
090824;0900;;;;
090824;1000;;;;
090824;1100;;;;
090824;1200;;;;
090824;1300;;;;
090824;1400;;;;
090824;1500;;;;
090824;1600;;;;
090824;1700;;;;
090824;1800;;;;
090824;1900;;;;
090824;2000;;;;
090824;2100;;;;
090824;2200;;;;
090824;2300;;;;
090825;0000;;;;
090825;0100;;;;
090825;0200;;;;
090825;0300;;;;
090825;0400;;;;
090825;0500;;;;
090825;0600;;;;
090825;0700;;;;
090825;0800;;;;
090825;0900;;;;
090825;1000;;;;
090825;1100;;;;
090825;1200;;;;
090825;1300;;;;
090825;1400;;;;
090825;1500;;;;
090825;1600;;;;
090825;1700;;;;
090825;1800;;;;
090825;1900;;;;
090825;2000;;;;
090825;2100;;;;
090825;2200;;;;
090825;2300;;;;
090826;0000;;;;
090826;0100;;;;
090826;0200;;;;
090826;0300;;;;
090826;0400;;;;
090826;0500;;;;
090826;0600;;;;
090826;0700;;;;
090826;0800;;;;
090826;0900;;;;
090826;1000;;;;
090826;1100;;;;
090826;1200;;;;
090826;1300;;;;
090826;1400;;;;
090826;1500;;;;
090826;1600;;;;
090826;1700;;;;
090826;1800;;;;
090826;1900;;;;
090826;2000;;;;
090826;2100;;;;
090826;2200;;;;
090826;2300;;;;
090827;0000;;;;
090827;0100;;;;
090827;0200;;;;
090827;0300;;;;
090827;0400;;;;
090827;0500;;;;
090827;0600;;;;
090827;0700;;;;
090827;0800;;;;
090827;0900;;;;
090827;1000;;;;
090827;1100;;;;
090827;1200;;;;
090827;1300;;;;
090827;1400;;;;
090827;1500;;;;
090827;1600;;;;
090827;1700;;;;
090827;1800;;;;
090827;1900;;;;
090827;2000;;;;
090827;2100;;;;
090827;2200;;;;
090827;2300;;;;
090828;0000;;;;
090828;0100;;;;
090828;0200;;;;
090828;0300;;;;
090828;0400;;;;
090828;0500;;;;
090828;0600;;;;
090828;0700;;;;
090828;0800;;;;
090828;0900;;;;
090828;1000;;;;
090828;1100;;;;
090828;1200;;;;
090828;1300;;;;
090828;1400;;;;
090828;1500;;;;
090828;1600;;;;
090828;1700;;;;
090828;1800;;;;
090828;1900;;;;
090828;2000;;;;
090828;2100;;;;
090828;2200;;;;
090828;2300;;;;
090829;0000;;;;
090829;0100;;;;
090829;0200;;;;
090829;0300;;;;
090829;0400;;;;
090829;0500;;;;
090829;0600;;;;
090829;0700;;;;
090829;0800;;;;
090829;0900;;;;
090829;1000;;;;
090829;1100;;;;
090829;1200;;;;
090829;1300;;;;
090829;1400;;;;
090829;1500;;;;
090829;1600;;;;
090829;1700;;;;
090829;1800;;;;
090829;1900;;;;
090829;2000;;;;
090829;2100;;;;
090829;2200;;;;
090829;2300;;;;
090830;0000;;;;
090830;0100;;;;
090830;0200;;;;
090830;0300;;;;
090830;0400;;;;
090830;0500;;;;
090830;0600;;;;
090830;0700;;;;
090830;0800;;;;
090830;0900;;;;
090830;1000;;;;
090830;1100;;;;
090830;1200;;;;
090830;1300;;;;
090830;1400;;;;
090830;1500;;;;
090830;1600;;;;
090830;1700;;;;
090830;1800;;;;
090830;1900;;;;
090830;2000;;;;
090830;2100;;;;
090830;2200;;;;
090830;2300;;;;
090831;0000;;;;
090831;0100;;;;
090831;0200;;;;
090831;0300;;;;
090831;0400;;;;
090831;0500;;;;
090831;0600;;;;
090831;0700;;;;
090831;0800;;;;
090831;0900;;;;
090831;1000;;;;
090831;1100;;;;
090831;1200;;;;
090831;1300;;;;
090831;1400;;;;
090831;1500;;;;
090831;1600;;;;
090831;1700;;;;
090831;1800;;;;
090831;1900;;;;
090831;2000;;;;
090831;2100;;;;
090831;2200;;;;
090831;2300;;;;
090901;0000;;;;
090901;0100;;;;
090901;0200;;;;
090901;0300;;;;
090901;0400;;;;
090901;0500;;;;
090901;0600;;;;
090901;0700;;;;
090901;0800;;;;
090901;0900;;;;
090901;1000;;;;
090901;1100;;;;
090901;1200;;;;
090901;1300;;;;
090901;1400;;;;
090901;1500;;;;
090901;1600;;;;
090901;1700;;;;
090901;1800;;;;
090901;1900;;;;
090901;2000;;;;
090901;2100;;;;
090901;2200;;;;
090901;2300;;;;
090902;0000;;;;
