FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180326;0100;;;16;
180326;0200;;;6;
180326;0300;;;9;
180326;0400;;;8;
180326;0500;;;7;
180326;0600;;;12;
180326;0700;;;19;
180326;0800;;;7;
180326;0900;;;23;
180326;1000;;;34;
180326;1100;;;27;
180326;1200;;;17;
180326;1300;;;16;
180326;1400;;;24;
180326;1500;;;23;
180326;1600;;;25;
180326;1700;;;30;
180326;1800;;;45;
180326;1900;;;41;
180326;2000;;;32;
180326;2100;;;52;
180326;2200;;;60;
180326;2300;;;71;
180327;0000;;;45;
180327;0100;;;49;
180327;0200;;;31;
180327;0300;;;24;
180327;0400;;;28;
180327;0500;;;25;
180327;0600;;;35;
180327;0700;;;54;
180327;0800;;;40;
180327;0900;;;33;
180327;1000;;;41;
180327;1100;;;30;
180327;1200;;;24;
180327;1300;;;25;
180327;1400;;;19;
180327;1500;;;15;
180327;1600;;;18;
180327;1700;;;26;
180327;1800;;;35;
180327;1900;;;52;
180327;2000;;;86;
180327;2100;;;78;
180327;2200;;;48;
180327;2300;;;53;
180328;0000;;;59;
180328;0100;;;36;
180328;0200;;;42;
180328;0300;;;37;
180328;0400;;;39;
180328;0500;;;34;
180328;0600;;;49;
180328;0700;;;54;
180328;0800;;;37;
180328;0900;;;33;
180328;1000;;;57;
180328;1100;;;47;
180328;1200;;;26;
180328;1300;;;34;
180328;1400;;;20;
180328;1500;;;32;
180328;1600;;;27;
180328;1700;;;29;
180328;1800;;;52;
180328;1900;;;55;
180328;2000;;;50;
180328;2100;;;36;
180328;2200;;;41;
180328;2300;;;31;
180329;0000;;;22;
180329;0100;;;22;
180329;0200;;;21;
180329;0300;;;19;
180329;0400;;;11;
180329;0500;;;9;
180329;0600;;;12;
180329;0700;;;20;
180329;0800;;;29;
180329;0900;;;31;
180329;1000;;;32;
180329;1100;;;27;
180329;1200;;;20;
180329;1300;;;17;
180329;1400;;;22;
180329;1500;;;30;
180329;1600;;;24;
180329;1700;;;42;
180329;1800;;;48;
180329;1900;;;60;
180329;2000;;;63;
180329;2100;;;48;
180329;2200;;;38;
180329;2300;;;26;
180330;0000;;;21;
180330;0100;;;16;
180330;0200;;;16;
180330;0300;;;9;
180330;0400;;;13;
180330;0500;;;13;
180330;0600;;;10;
180330;0700;;;14;
180330;0800;;;12;
180330;0900;;;35;
180330;1000;;;46;
180330;1100;;;52;
180330;1200;;;30;
180330;1300;;;20;
180330;1400;;;16;
180330;1500;;;20;
180330;1600;;;18;
180330;1700;;;28;
180330;1800;;;33;
180330;1900;;;30;
180330;2000;;;23;
180330;2100;;;27;
180330;2200;;;24;
180330;2300;;;15;
180331;0000;;;9;
180331;0100;;;9;
180331;0200;;;12;
180331;0300;;;9;
180331;0400;;;2;
180331;0500;;;10;
180331;0600;;;7;
180331;0700;;;8;
180331;0800;;;4;
180331;0900;;;33;
