FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0100;;;0,0687931;
110601;0200;;;0,0982759;
110601;0300;;;0,0491379;
110601;0400;;;0,186724;
110601;0500;;;0,147414;
110601;0600;;;0;
110601;0700;;;0,0196552;
110601;0800;;;0,0393103;
110601;0900;;;0,255517;
110601;1000;;;0,226034;
110601;1100;;;0,186724;
110601;1200;;;0,147414;
110601;1300;;;0,235862;
110601;1400;;;0,127759;
110601;1500;;;0,176897;
110601;1600;;;0,255517;
110601;1700;;;0,353793;
110601;1800;;;0,235862;
110601;1900;;;0,255517;
110601;2000;;;0,108103;
110601;2100;;;0,0786207;
110601;2200;;;0,0884483;
110601;2300;;;0,0884483;
110602;0000;;;0,127759;
110602;0100;;;0,117931;
110602;0200;;;0,0786207;
110602;0300;;;0,0687931;
110602;0400;;;0,0491379;
110602;0500;;;0,0393103;
110602;0600;;;0,0294828;
110602;0700;;;0,0491379;
110602;0800;;;0,0491379;
110602;0900;;;0,147414;
110602;1000;;;0,0786207;
110602;1100;;;0,0491379;
110602;1200;;;0,0884483;
110602;1300;;;0,0884483;
110602;1400;;;0,127759;
110602;1500;;;0,176897;
110602;1600;;;0,0884483;
110602;1700;;;0,0589654;
110602;1800;;;0,0589654;
110602;1900;;;0,0589654;
110602;2000;;;0,0589654;
110602;2100;;;0,0491379;
110602;2200;;;0,0884483;
110602;2300;;;0,0786207;
110603;0000;;;0,0491379;
110603;0100;;;0,0294828;
110603;0200;;;0,0294828;
110603;0300;;;0,0294828;
110603;0400;;;0,0393103;
110603;0500;;;0,0393103;
110603;0600;;;0,0491379;
110603;0700;;;0,0393103;
110603;0800;;;0,0884483;
110603;0900;;;0,176897;
110603;1000;;;0,0884483;
110603;1100;;;0,108103;
110603;1200;;;0,0786207;
110603;1300;;;0,196552;
110603;1400;;;0,452069;
110603;1500;;;0,422586;
110603;1600;;;0,127759;
110603;1700;;;0,0687931;
110603;1800;;;0,796035;
110603;1900;;;0,550344;
110603;2000;;;0,196552;
110603;2100;;;0,196552;
110603;2200;;;0,265345;
110603;2300;;;0,186724;
110604;0000;;;0,275172;
110604;0100;;;0,265345;
110604;0200;;;0,511034;
110604;0300;;;0,334138;
110604;0400;;;0,235862;
110604;0500;;;0,343966;
110604;0600;;;0,176897;
110604;0700;;;0,117931;
110604;0800;;;0,0982759;
110604;0900;;;0,127759;
110604;1000;;;0,206379;
110604;1100;;;0,275172;
110604;1200;;;0,363621;
110604;1300;;;0,255517;
110604;1400;;;0,265345;
110604;1500;;;0,285;
110604;1600;;;0,24569;
110604;1700;;;0,334138;
110604;1800;;;0,334138;
110604;1900;;;0,393103;
110604;2000;;;0,501206;
110604;2100;;;0,422586;
110604;2200;;;0,304655;
110604;2300;;;0,363621;
110605;0000;;;0,265345;
110605;0100;;;0,24569;
110605;0200;;;0,0982759;
110605;0300;;;0,0786207;
110605;0400;;;0,0491379;
110605;0500;;;0,0393103;
110605;0600;;;0,0196552;
110605;0700;;;0,00982758;
110605;0800;;;0,0491379;
110605;0900;;;0,0491379;
110605;1000;;;0,0884483;
110605;1100;;;0,127759;
110605;1200;;;0,117931;
110605;1300;;;0,0982759;
110605;1400;;;0,117931;
110605;1500;;;0,127759;
110605;1600;;;0,127759;
110605;1700;;;0,216207;
110605;1800;;;0,452069;
110605;1900;;;0,402931;
110605;2000;;;0,265345;
110605;2100;;;0,186724;
110605;2200;;;0,0884483;
110605;2300;;;0,0786207;
110606;0000;;;0,0786207;
110606;0100;;;0,0393103;
110606;0200;;;0,0491379;
110606;0300;;;;
110606;0400;;;;
110606;0500;;;0,0196552;
110606;0600;;;0,0294828;
110606;0700;;;0,00982758;
110606;0800;;;0,0393103;
110606;0900;;;0,108103;
110606;1000;;;0,0982759;
110606;1100;;;0,108103;
110606;1200;;;0,117931;
110606;1300;;;0,0982759;
110606;1400;;;0,0786207;
110606;1500;;;0,0982759;
110606;1600;;;0,137586;
110606;1700;;;0,137586;
110606;1800;;;0,186724;
110606;1900;;;0,255517;
110606;2000;;;0,0786207;
110606;2100;;;0,117931;
110606;2200;;;0,0982759;
110606;2300;;;0,0294828;
110607;0000;;;0,00982758;
110607;0100;;;0;
110607;0200;;;0,0491379;
110607;0300;;;0,0491379;
110607;0400;;;0,0196552;
110607;0500;;;0,108103;
110607;0600;;;0,0196552;
110607;0700;;;0;
110607;0800;;;0,0687931;
110607;0900;;;0,0196552;
110607;1000;;;0,0687931;
110607;1100;;;0,147414;
110607;1200;;;0,117931;
110607;1300;;;0,137586;
110607;1400;;;0,176897;
110607;1500;;;0,167069;
110607;1600;;;0,0884483;
110607;1700;;;0,117931;
110607;1800;;;0,176897;
110607;1900;;;0,186724;
110607;2000;;;0,167069;
110607;2100;;;0,167069;
