FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0100;;;0,230994;
110601;0200;;;6,11384;
110601;0300;;;1,36948;
110601;0400;;;7,9417;
110601;0500;;;8,06136;
110601;0600;;;3,22769;
110601;0700;;;0,71258;
110601;0800;;;0,697164;
110601;0900;;;0,870343;
110601;1000;;;0,726684;
110601;1100;;;1,05468;
110601;1200;;;0,972272;
110601;1300;;;0,809912;
110601;1400;;;0,83476;
110601;1500;;;;
110601;1600;;;;
110601;1700;;;;
110601;1800;;;0,463956;
110601;1900;;;0,444112;
110601;2000;;;0,56539;
110601;2100;;;0,43501;
110601;2200;;;0,392534;
110601;2300;;;0,380152;
110602;0000;;;0,362932;
110602;0100;;;0,277406;
110602;0200;;;0,277488;
110602;0300;;;0,272568;
110602;0400;;;0,286426;
110602;0500;;;0,559978;
110602;0600;;;0,468712;
110602;0700;;;1,08994;
110602;0800;;;1,30519;
110602;0900;;;2,43729;
110602;1000;;;1,22614;
110602;1100;;;1,12323;
110602;1200;;;1,00926;
110602;1300;;;0,988184;
110602;1400;;;1,20557;
110602;1500;;;1,43878;
110602;1600;;;1,1079;
110602;1700;;;0,818855;
110602;1800;;;0,711185;
110602;1900;;;0,87756;
110602;2000;;;0,570146;
110602;2100;;;0,447064;
110602;2200;;;0,562683;
110602;2300;;;0,398766;
110603;0000;;;0,313404;
110603;0100;;;0,320292;
110603;0200;;;0,265024;
110603;0300;;;0,257398;
110603;0400;;;0,234848;
110603;0500;;;0,26814;
110603;0600;;;0,351206;
110603;0700;;;0,615082;
110603;0800;;;0,82164;
110603;0900;;;1,39564;
110603;1000;;;1,27904;
110603;1100;;;1,97726;
110603;1200;;;1,66755;
110603;1300;;;1,61885;
110603;1400;;;3,1739;
110603;1500;;;1,99834;
110603;1600;;;0,541938;
110603;1700;;;0,740213;
110603;1800;;;8,98856;
110603;1900;;;6,36796;
110603;2000;;;1,25042;
110603;2100;;;0,898392;
110603;2200;;;1,32242;
110603;2300;;;1,66009;
110604;0000;;;1,17399;
110604;0100;;;0,734555;
110604;0200;;;4,77428;
110604;0300;;;2,04164;
110604;0400;;;1,3138;
110604;0500;;;0,954967;
110604;0600;;;0,608768;
110604;0700;;;0,611555;
110604;0800;;;0,526686;
110604;0900;;;0,486588;
110604;1000;;;0,91348;
110604;1100;;;1,08913;
110604;1200;;;1,99277;
110604;1300;;;0,572851;
110604;1400;;;0,491098;
110604;1500;;;0,725617;
110604;1600;;;0,743575;
110604;1700;;;0,904951;
110604;1800;;;0,763993;
110604;1900;;;0,721928;
110604;2000;;;0,88396;
110604;2100;;;0,619428;
110604;2200;;;0,458216;
110604;2300;;;0,464858;
110605;0000;;;0,346696;
110605;0100;;;0,328492;
110605;0200;;;0,116358;
110605;0300;;;0,0712579;
110605;0400;;;0,0789659;
110605;0500;;;0,194996;
110605;0600;;;0,01025;
110605;0700;;;0,010168;
110605;0800;;;0,058384;
110605;0900;;;0,13079;
110605;1000;;;0,259202;
110605;1100;;;0,300284;
110605;1200;;;0,39729;
110605;1300;;;0,304794;
110605;1400;;;0,369328;
110605;1500;;;0,67937;
110605;1600;;;0,769405;
110605;1700;;;0,595566;
110605;1800;;;2,12946;
110605;1900;;;0,543413;
110605;2000;;;0,413772;
110605;2100;;;0,332018;
110605;2200;;;0,114964;
110605;2300;;;0,162196;
110606;0000;;;0,13653;
110606;0100;;;0,12505;
110606;0200;;;0,13161;
110606;0300;;;;
110606;0400;;;;
110606;0500;;;0,139564;
110606;0600;;;0,148748;
110606;0700;;;0,481996;
