FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0100;;;4,38232;
110601;0200;;;9,35898;
110601;0300;;;9,61739;
110601;0400;;;12,7366;
110601;0500;;;12,9466;
110601;0600;;;6,21648;
110601;0700;;;4,57184;
110601;0800;;;1,89784;
110601;0900;;;3,68759;
110601;1000;;;2,57141;
110601;1100;;;3,54709;
110601;1200;;;3,21141;
110601;1300;;;3,28725;
110601;1400;;;2,45841;
110601;1500;;;;
110601;1600;;;;
110601;1700;;;;
110601;1800;;;5,10284;
110601;1900;;;5,40149;
110601;2000;;;4,77982;
110601;2100;;;2,3705;
110601;2200;;;1,91442;
110601;2300;;;1,702;
110602;0000;;;1,3215;
110602;0100;;;0,958164;
110602;0200;;;0,572249;
110602;0300;;;0,481166;
110602;0400;;;0,459916;
110602;0500;;;1,15634;
110602;0600;;;1,101;
110602;0700;;;1,83609;
110602;0800;;;2,22825;
110602;0900;;;4,44234;
110602;1000;;;1,96425;
110602;1100;;;1,09616;
110602;1200;;;0,787664;
110602;1300;;;1,39734;
110602;1400;;;1,36159;
110602;1500;;;1,97816;
110602;1600;;;1,37459;
110602;1700;;;1,3445;
110602;1800;;;1,5045;
110602;1900;;;2,00359;
110602;2000;;;1,28259;
110602;2100;;;1,09859;
110602;2200;;;0,929415;
110602;2300;;;0,724999;
110603;0000;;;0,36875;
110603;0100;;;0,19275;
110603;0200;;;0,1655;
110603;0300;;;0,140916;
110603;0400;;;0,03925;
110603;0500;;;0,2235;
110603;0600;;;0,655749;
110603;0700;;;1,308;
110603;0800;;;1,76191;
110603;0900;;;3,57592;
110603;1000;;;1,13309;
110603;1100;;;3,081;
110603;1200;;;1,39184;
110603;1300;;;4,702;
110603;1400;;;7,89159;
110603;1500;;;9,79483;
110603;1600;;;2,745;
110603;1700;;;1,69684;
110603;1800;;;18,6842;
110603;1900;;;17,6725;
110603;2000;;;9,05334;
110603;2100;;;8,91808;
110603;2200;;;9,98866;
110603;2300;;;6,50648;
110604;0000;;;5,53011;
110604;0100;;;5,09234;
110604;0200;;;6,82808;
110604;0300;;;5,20824;
110604;0400;;;4,09859;
110604;0500;;;2,28459;
110604;0600;;;2,2455;
110604;0700;;;1,78984;
110604;0800;;;1,30709;
110604;0900;;;0,588585;
110604;1000;;;0,728914;
110604;1100;;;1,56891;
110604;1200;;;4,87417;
110604;1300;;;0,857084;
110604;1400;;;0,799914;
110604;1500;;;1,04559;
110604;1600;;;1,60509;
110604;1700;;;2,49675;
110604;1800;;;2,30091;
110604;1900;;;2,71866;
110604;2000;;;2,83542;
110604;2100;;;0,986164;
110604;2200;;;0,121666;
