FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130401;0100;3,30475;;;
130401;0200;2,39542;;;
130401;0300;1,85783;;;
130401;0400;2,31633;;;
130401;0500;4,56842;;;
130401;0600;14,5967;;;
130401;0700;17,9258;;;
130401;0800;9,91359;;;
130401;0900;7,38708;;;
130401;1000;3,79268;;;
130401;1100;3,69851;;;
130401;1200;3,62468;;;
130401;1300;2,98892;;;
130401;1400;4,29234;;;
130401;1500;5,96701;;;
130401;1600;4,50751;;;
130401;1700;7,57401;;;
130401;1800;10,4655;;;
130401;1900;13,955;;;
130401;2000;14,5058;;;
130401;2100;9,13359;;;
130401;2200;7,22549;;;
130401;2300;8,24126;;;
130402;0000;13,63;;;
130402;0100;15,4667;;;
130402;0200;13,5492;;;
130402;0300;14,6592;;;
130402;0400;25,0033;;;
130402;0500;37,4183;;;
130402;0600;47,9551;;;
130402;0700;74,9468;;;
130402;0800;74,2993;;;
130402;0900;27,175;;;
130402;1000;12,6342;;;
130402;1100;7,03693;;;
130402;1200;4,56134;;;
130402;1300;4,374;;;
130402;1400;3,74743;;;
130402;1500;3,46767;;;
130402;1600;4,64059;;;
130402;1700;5,32584;;;
130402;1800;15,6012;;;
130402;1900;67,2693;;;
130402;2000;73,7876;;;
130402;2100;66,5059;;;
130402;2200;25,7883;;;
130402;2300;58,7676;;;
130403;0000;66,2909;;;
130403;0100;49,1826;;;
130403;0200;33,6357;;;
130403;0300;31,6358;;;
130403;0400;27,0417;;;
130403;0500;29,9033;;;
130403;0600;49,5301;;;
130403;0700;91,2767;;;
130403;0800;95,5183;;;
130403;0900;61,3101;;;
130403;1000;14,8233;;;
130403;1100;13,1425;;;
130403;1200;9,58501;;;
130403;1300;8,14185;;;
130403;1400;4,50526;;;
130403;1500;3,22667;;;
130403;1600;4,85484;;;
130403;1700;8,04417;;;
130403;1800;8,70226;;;
130403;1900;10,857;;;
130403;2000;8,34001;;;
130403;2100;14,4877;;;
130403;2200;21,9983;;;
130403;2300;15,9875;;;
130404;0000;8,07184;;;
130404;0100;11,2686;;;
130404;0200;5,25143;;;
130404;0300;3,7315;;;
130404;0400;8,16801;;;
130404;0500;11,3158;;;
130404;0600;17,97;;;
130404;0700;14,0593;;;
130404;0800;9,44676;;;
130404;0900;10,1642;;;
130404;1000;7,81576;;;
130404;1100;6,41117;;;
130404;1200;3,44508;;;
130404;1300;4,01808;;;
130404;1400;3,8335;;;
130404;1500;4,73709;;;
130404;1600;7,01826;;;
130404;1700;7,75376;;;
130404;1800;7,55701;;;
130404;1900;8,46877;;;
130404;2000;14,2222;;;
130404;2100;7,46484;;;
130404;2200;9,60909;;;
130404;2300;22,3992;;;
130405;0000;22,2133;;;
130405;0100;15,6133;;;
130405;0200;17,3542;;;
130405;0300;22,2717;;;
130405;0400;18,34;;;
130405;0500;24,1542;;;
130405;0600;39,0168;;;
130405;0700;52,3643;;;
130405;0800;53,8159;;;
130405;0900;63,8926;;;
130405;1000;56,4858;;;
130405;1100;51,9418;;;
130405;1200;27,3533;;;
130405;1300;12,038;;;
130405;1400;7,09825;;;
130405;1500;7,73167;;;
130405;1600;7,98859;;;
130405;1700;16,9933;;;
130405;1800;25,5158;;;
130405;1900;45,3199;;;
130405;2000;87,41;;;
130405;2100;57,8625;;;
130405;2200;60,7693;;;
130405;2300;66,8142;;;
130406;0000;37,6284;;;
130406;0100;22,7467;;;
130406;0200;18,4917;;;
130406;0300;19,6017;;;
130406;0400;27,4583;;;
130406;0500;29,93;;;
130406;0600;30,9367;;;
130406;0700;56,0182;;;
130406;0800;35,2892;;;
130406;0900;21,71;;;
130406;1000;5,72501;;;
130406;1100;4,25975;;;
130406;1200;3,54342;;;
130406;1300;3,03725;;;
130406;1400;3,06292;;;
130406;1500;3,42775;;;
130406;1600;3,73842;;;
130406;1700;4,34251;;;
130406;1800;7,80183;;;
130406;1900;15,9325;;;
130406;2000;44,0433;;;
130406;2100;16,7208;;;
130406;2200;9,92625;;;
130406;2300;9,31317;;;
130407;0000;9,88293;;;
130407;0100;5,82526;;;
130407;0200;7,50359;;;
130407;0300;10,68;;;
130407;0400;17,0983;;;
130407;0500;20,0283;;;
130407;0600;17,94;;;
130407;0700;11,4578;;;
130407;0800;5,28049;;;
130407;0900;3,75583;;;
