FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
991231;0100;14;;;
991231;0200;14;;;
991231;0300;14;;;
991231;0400;14;;;
991231;0500;14;;;
991231;0600;14;;;
991231;0700;14;;;
991231;0800;14;;;
991231;0900;14;;;
991231;1000;14;;;
991231;1100;14;;;
991231;1200;14;;;
991231;1300;14;;;
991231;1400;14;;;
991231;1500;14;;;
991231;1600;14;;;
991231;1700;14;;;
991231;1800;14;;;
991231;1900;14;;;
991231;2000;14;;;
991231;2100;14;;;
991231;2200;14;;;
991231;2300;14;;;
000101;0000;14;;;
000101;0100;14;;;
000101;0200;14;;;
000101;0300;14;;;
000101;0400;14;;;
000101;0500;14;;;
000101;0600;14;;;
000101;0700;14;;;
000101;0800;14;;;
000101;0900;14;;;
000101;1000;14;;;
000101;1100;14;;;
000101;1200;;;;
000101;1300;14;;;
000101;1400;14;;;
000101;1500;14;;;
000101;1600;14;;;
000101;1700;14;;;
000101;1800;14;;;
000101;1900;14;;;
000101;2000;14;;;
000101;2100;14;;;
000101;2200;14;;;
000101;2300;14;;;
000102;0000;14;;;
000102;0100;14;;;
000102;0200;14;;;
000102;0300;14;;;
000102;0400;14;;;
000102;0500;14;;;
000102;0600;14;;;
000102;0700;14;;;
000102;0800;14;;;
000102;0900;;;;
000102;1000;14;;;
000102;1100;14;;;
000102;1200;14;;;
000102;1300;14;;;
000102;1400;14;;;
000102;1500;;;;
000102;1600;;;;
000102;1700;14;;;
000102;1800;14;;;
000102;1900;;;;
000102;2000;14;;;
000102;2100;14;;;
000102;2200;14;;;
000102;2300;14;;;
000103;0000;;;;
000103;0100;14;;;
000103;0200;14;;;
000103;0300;14;;;
000103;0400;14;;;
000103;0500;14;;;
000103;0600;14;;;
000103;0700;14;;;
000103;0800;14;;;
000103;0900;14;;;
000103;1000;14;;;
000103;1100;14;;;
000103;1200;14;;;
000103;1300;14;;;
000103;1400;14;;;
000103;1500;14;;;
000103;1600;14;;;
000103;1700;;;;
000103;1800;14;;;
000103;1900;14;;;
000103;2000;;;;
000103;2100;14;;;
000103;2200;14;;;
000103;2300;14;;;
000104;0000;;;;
000104;0100;;;;
000104;0200;14;;;
000104;0300;14;;;
000104;0400;14;;;
000104;0500;14;;;
000104;0600;14;;;
000104;0700;14;;;
000104;0800;14;;;
000104;0900;14;;;
000104;1000;;;;
000104;1100;;;;
000104;1200;14;;;
000104;1300;14;;;
000104;1400;14;;;
000104;1500;14;;;
000104;1600;14;;;
000104;1700;14;;;
000104;1800;;;;
000104;1900;;;;
000104;2000;14;;;
000104;2100;14;;;
000104;2200;;;;
000104;2300;14;;;
000105;0000;14;;;
000105;0100;14;;;
000105;0200;;;;
000105;0300;;;;
000105;0400;14;;;
000105;0500;14;;;
000105;0600;14;;;
000105;0700;14;;;
000105;0800;14;;;
000105;0900;14;;;
000105;1000;14;;;
000105;1100;14;;;
000105;1200;14;;;
000105;1300;14;;;
000105;1400;;;;
000105;1500;14;;;
000105;1600;14;;;
000105;1700;14;;;
000105;1800;14;;;
000105;1900;;;;
000105;2000;14;;;
000105;2100;14;;;
000105;2200;;;;
000105;2300;14;;;
000106;0000;14;;;
000106;0100;14;;;
000106;0200;;;;
000106;0300;;;;
000106;0400;14;;;
000106;0500;14;;;
000106;0600;;;;
000106;0700;14;;;
000106;0800;14;;;
000106;0900;14;;;
000106;1000;14;;;
000106;1100;14;;;
000106;1200;14;;;
000106;1300;14;;;
000106;1400;14;;;
000106;1500;14;;;
000106;1600;14;;;
000106;1700;14;;;
000106;1800;14;;;
000106;1900;;;;
000106;2000;14;;;
000106;2100;14;;;
000106;2200;14;;;
000106;2300;;;;
000107;0000;14;;;
000107;0100;14;;;
000107;0200;;;;
000107;0300;14;;;
000107;0400;;;;
000107;0500;14;;;
000107;0600;;;;
000107;0700;14;;;
000107;0800;;;;
000107;0900;14;;;
000107;1000;;;;
000107;1100;14;;;
000107;1200;14;;;
000107;1300;;;;
000107;1400;14;;;
000107;1500;14;;;
000107;1600;14;;;
000107;1700;14;;;
000107;1800;14;;;
000107;1900;14;;;
000107;2000;14;;;
000107;2100;14;;;
000107;2200;14;;;
000107;2300;;;;
000108;0000;;;;
000108;0100;14;;;
000108;0200;14;;;
000108;0300;14;;;
000108;0400;14;;;
000108;0500;;;;
000108;0600;;;;
000108;0700;14;;;
000108;0800;;;;
000108;0900;14;;;
000108;1000;14;;;
000108;1100;14;;;
000108;1200;;;;
000108;1300;14;;;
000108;1400;14;;;
000108;1500;14;;;
000108;1600;14;;;
000108;1700;14;;;
000108;1800;14;;;
000108;1900;14;;;
000108;2000;;;;
000108;2100;14;;;
000108;2200;;;;
000108;2300;;;;
000109;0000;14;;;
000109;0100;14;;;
000109;0200;;;;
000109;0300;14;;;
000109;0400;;;;
000109;0500;14;;;
000109;0600;14;;;
000109;0700;14;;;
000109;0800;14;;;
000109;0900;14;;;
000109;1000;;;;
000109;1100;;;;
000109;1200;;;;
000109;1300;14;;;
000109;1400;14;;;
000109;1500;;;;
000109;1600;;;;
000109;1700;;;;
000109;1800;14;;;
000109;1900;14;;;
000109;2000;14;;;
000109;2100;14;;;
000109;2200;14;;;
000109;2300;;;;
000110;0000;14;;;
000110;0100;;;;
000110;0200;14;;;
000110;0300;14;;;
000110;0400;;;;
000110;0500;14;;;
000110;0600;14;;;
000110;0700;14;;;
000110;0800;14;;;
000110;0900;14;;;
000110;1000;14;;;
000110;1100;14;;;
000110;1200;;;;
000110;1300;14;;;
000110;1400;14;;;
000110;1500;14;;;
000110;1600;;;;
000110;1700;14;;;
000110;1800;;;;
000110;1900;;;;
000110;2000;;;;
000110;2100;;;;
000110;2200;14;;;
000110;2300;;;;
000111;0000;14;;;
000111;0100;;;;
000111;0200;14;;;
000111;0300;14;;;
000111;0400;14;;;
000111;0500;14;;;
000111;0600;14;;;
000111;0700;;;;
000111;0800;14;;;
000111;0900;14;;;
000111;1000;;;;
000111;1100;14;;;
000111;1200;14;;;
000111;1300;14;;;
000111;1400;;;;
000111;1500;;;;
000111;1600;14;;;
000111;1700;14;;;
000111;1800;;;;
000111;1900;;;;
000111;2000;;;;
000111;2100;;;;
000111;2200;14;;;
000111;2300;14;;;
000112;0000;14;;;
000112;0100;14;;;
000112;0200;14;;;
000112;0300;14;;;
000112;0400;14;;;
000112;0500;;;;
000112;0600;14;;;
000112;0700;14;;;
000112;0800;14;;;
000112;0900;14;;;
000112;1000;14;;;
000112;1100;14;;;
000112;1200;14;;;
000112;1300;14;;;
000112;1400;;;;
000112;1500;14;;;
000112;1600;14;;;
000112;1700;14;;;
000112;1800;14;;;
000112;1900;14;;;
000112;2000;;;;
000112;2100;14;;;
000112;2200;14;;;
000112;2300;14;;;
000113;0000;14;;;
000113;0100;14;;;
000113;0200;14;;;
000113;0300;14;;;
000113;0400;;;;
000113;0500;14;;;
000113;0600;;;;
000113;0700;;;;
000113;0800;14;;;
000113;0900;14;;;
000113;1000;;;;
000113;1100;14;;;
000113;1200;14;;;
000113;1300;14;;;
000113;1400;14;;;
000113;1500;14;;;
000113;1600;;;;
000113;1700;14;;;
000113;1800;14;;;
000113;1900;14;;;
000113;2000;14;;;
000113;2100;;;;
000113;2200;;;;
000113;2300;14;;;
000114;0000;14;;;
000114;0100;14;;;
000114;0200;;;;
000114;0300;;;;
000114;0400;;;;
000114;0500;14;;;
000114;0600;14;;;
000114;0700;14;;;
000114;0800;;;;
000114;0900;14;;;
000114;1000;;;;
000114;1100;14;;;
000114;1200;14;;;
000114;1300;14;;;
000114;1400;;;;
000114;1500;14;;;
000114;1600;14;;;
000114;1700;14;;;
000114;1800;14;;;
000114;1900;;;;
000114;2000;;;;
000114;2100;;;;
000114;2200;14;;;
000114;2300;14;;;
000115;0000;14;;;
000115;0100;;;;
000115;0200;14;;;
000115;0300;14;;;
000115;0400;14;;;
000115;0500;14;;;
000115;0600;14;;;
000115;0700;;;;
000115;0800;14;;;
000115;0900;;;;
000115;1000;14;;;
000115;1100;;;;
000115;1200;;;;
000115;1300;;;;
000115;1400;;;;
000115;1500;;;;
000115;1600;;;;
000115;1700;14;;;
000115;1800;14;;;
000115;1900;14;;;
000115;2000;14;;;
000115;2100;14;;;
000115;2200;;;;
000115;2300;14;;;
000116;0000;14;;;
000116;0100;14;;;
000116;0200;14;;;
000116;0300;14;;;
000116;0400;14;;;
000116;0500;14;;;
000116;0600;;;;
000116;0700;14;;;
000116;0800;;;;
000116;0900;14;;;
000116;1000;;;;
000116;1100;14;;;
000116;1200;14;;;
000116;1300;14;;;
000116;1400;14;;;
000116;1500;14;;;
000116;1600;;;;
000116;1700;14;;;
000116;1800;14;;;
000116;1900;;;;
000116;2000;14;;;
000116;2100;;;;
000116;2200;14;;;
000116;2300;;;;
000117;0000;14;;;
000117;0100;14;;;
000117;0200;14;;;
000117;0300;14;;;
000117;0400;14;;;
000117;0500;;;;
000117;0600;14;;;
000117;0700;14;;;
000117;0800;14;;;
000117;0900;;;;
000117;1000;14;;;
000117;1100;;;;
000117;1200;;;;
000117;1300;;;;
000117;1400;;;;
000117;1500;;;;
000117;1600;14;;;
000117;1700;;;;
000117;1800;;;;
000117;1900;14;;;
000117;2000;;;;
000117;2100;14;;;
000117;2200;;;;
000117;2300;14;;;
000118;0000;14;;;
000118;0100;14;;;
000118;0200;14;;;
000118;0300;14;;;
000118;0400;14;;;
000118;0500;14;;;
000118;0600;14;;;
000118;0700;14;;;
000118;0800;;;;
000118;0900;14;;;
000118;1000;;;;
000118;1100;14;;;
000118;1200;14;;;
000118;1300;14;;;
000118;1400;14;;;
000118;1500;14;;;
000118;1600;;;;
000118;1700;;;;
000118;1800;;;;
000118;1900;;;;
000118;2000;14;;;
000118;2100;14;;;
000118;2200;;;;
000118;2300;14;;;
000119;0000;14;;;
000119;0100;14;;;
000119;0200;14;;;
000119;0300;14;;;
000119;0400;14;;;
000119;0500;;;;
000119;0600;;;;
000119;0700;14;;;
000119;0800;14;;;
000119;0900;;;;
000119;1000;14;;;
000119;1100;;;;
000119;1200;14;;;
000119;1300;14;;;
000119;1400;14;;;
000119;1500;14;;;
000119;1600;;;;
000119;1700;14;;;
000119;1800;14;;;
000119;1900;;;;
000119;2000;14;;;
000119;2100;;;;
000119;2200;14;;;
000119;2300;14;;;
000120;0000;14;;;
000120;0100;;;;
000120;0200;14;;;
000120;0300;14;;;
000120;0400;14;;;
000120;0500;;;;
000120;0600;;;;
000120;0700;;;;
000120;0800;14;;;
000120;0900;14;;;
000120;1000;14;;;
000120;1100;14;;;
000120;1200;14;;;
000120;1300;;;;
000120;1400;14;;;
000120;1500;14;;;
000120;1600;14;;;
000120;1700;14;;;
000120;1800;14;;;
000120;1900;;;;
000120;2000;14;;;
000120;2100;;;;
000120;2200;;;;
000120;2300;;;;
000121;0000;14;;;
000121;0100;;;;
000121;0200;;;;
000121;0300;14;;;
000121;0400;;;;
000121;0500;;;;
000121;0600;14;;;
000121;0700;14;;;
000121;0800;14;;;
000121;0900;;;;
000121;1000;;;;
000121;1100;14;;;
000121;1200;14;;;
000121;1300;14;;;
000121;1400;;;;
000121;1500;14;;;
000121;1600;;;;
000121;1700;14;;;
000121;1800;14;;;
000121;1900;14;;;
000121;2000;;;;
000121;2100;;;;
000121;2200;14;;;
000121;2300;14;;;
000122;0000;14;;;
000122;0100;14;;;
000122;0200;14;;;
000122;0300;;;;
000122;0400;;;;
000122;0500;14;;;
000122;0600;;;;
000122;0700;14;;;
