FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130321;0100;;0,786;;
130321;0200;;0,786;;
130321;0300;;0,524;;
130321;0400;;1,31;;
130321;0500;;1,31;;
130321;0600;;0,786;;
130321;0700;;2,358;;
130321;0800;;2,096;;
130321;0900;;1,31;;
130321;1000;;1,31;;
130321;1100;;1,048;;
130321;1200;;1,834;;
130321;1300;;1,572;;
130321;1400;;1,31;;
130321;1500;;1,048;;
130321;1600;;1,048;;
130321;1700;;1,572;;
130321;1800;;3,144;;
130321;1900;;0,786;;
130321;2000;;1,048;;
130321;2100;;1,048;;
130321;2200;;1,048;;
130321;2300;;1,048;;
130322;0000;;0,786;;
130322;0100;;0,786;;
130322;0200;;3,668;;
130322;0300;;5,764;;
130322;0400;;4,978;;
130322;0500;;0,786;;
130322;0600;;3,406;;
130322;0700;;2,358;;
130322;0800;;3,144;;
130322;0900;;1,048;;
130322;1000;;1,31;;
130322;1100;;1,834;;
130322;1200;;1,31;;
130322;1300;;1,572;;
130322;1400;;1,572;;
130322;1500;;1,834;;
130322;1600;;1,834;;
130322;1700;;1,048;;
130322;1800;;0,786;;
130322;1900;;2,096;;
130322;2000;;3,93;;
130322;2100;;3,144;;
130322;2200;;3,93;;
130322;2300;;3,668;;
130323;0000;;4,454;;
130323;0100;;4,454;;
130323;0200;;3,93;;
130323;0300;;3,406;;
130323;0400;;2,62;;
130323;0500;;7,33601;;
130323;0600;;2,882;;
130323;0700;;3,93;;
130323;0800;;4,716;;
130323;0900;;4,192;;
130323;1000;;3,668;;
130323;1100;;2,358;;
130323;1200;;2,096;;
130323;1300;;1,31;;
130323;1400;;1,834;;
130323;1500;;1,048;;
130323;1600;;1,31;;
130323;1700;;1,048;;
130323;1800;;1,31;;
130323;1900;;1,834;;
130323;2000;;3,144;;
130323;2100;;3,406;;
130323;2200;;3,406;;
130323;2300;;4,192;;
130324;0000;;2,096;;
130324;0100;;1,048;;
130324;0200;;1,048;;
130324;0300;;1,048;;
130324;0400;;0,786;;
130324;0500;;0,524;;
130324;0600;;0,786;;
130324;0700;;0,786;;
130324;0800;;4,192;;
130324;0900;;3,668;;
130324;1000;;4,192;;
130324;1100;;2,096;;
130324;1200;;1,572;;
130324;1300;;2,096;;
130324;1400;;1,572;;
130324;1500;;1,31;;
130324;1600;;1,31;;
130324;1700;;1,048;;
130324;1800;;0,524;;
130324;1900;;1,048;;
130324;2000;;2,882;;
130324;2100;;0,786;;
130324;2200;;0,786;;
130324;2300;;0,524;;
