FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130322;0100;33;;;
130322;0200;25;;;
130322;0300;23;;;
130322;0400;20;;;
130322;0500;19;;;
130322;0600;23;;;
130322;0700;32;;;
130322;0800;42;;;
130322;0900;29;;;
130322;1000;31;;;
130322;1100;26;;;
130322;1200;32;;;
130322;1300;28;;;
130322;1400;26;;;
130322;1500;31;;;
130322;1600;34;;;
130322;1700;38;;;
130322;1800;47;;;
130322;1900;67;;;
130322;2000;86;;;
130322;2100;95;;;
130322;2200;119;;;
130322;2300;111;;;
130323;0000;74;;;
130323;0100;54;;;
130323;0200;47;;;
130323;0300;32;;;
130323;0400;25;;;
130323;0500;24;;;
130323;0600;23;;;
130323;0700;29;;;
130323;0800;39;;;
130323;0900;32;;;
130323;1000;31;;;
130323;1100;32;;;
130323;1200;33;;;
130323;1300;31;;;
130323;1400;36;;;
130323;1500;30;;;
130323;1600;39;;;
130323;1700;39;;;
130323;1800;50;;;
130323;1900;63;;;
130323;2000;85;;;
130323;2100;124;;;
130323;2200;135;;;
130323;2300;129;;;
130324;0000;103;;;
130324;0100;84;;;
130324;0200;90;;;
130324;0300;90;;;
130324;0400;70;;;
130324;0500;63;;;
130324;0600;58;;;
130324;0700;53;;;
130324;0800;44;;;
130324;0900;51;;;
130324;1000;36;;;
130324;1100;25;;;
130324;1200;21;;;
130324;1300;32;;;
130324;1400;28;;;
130324;1500;23;;;
130324;1600;20;;;
130324;1700;29;;;
130324;1800;23;;;
130324;1900;26;;;
130324;2000;51;;;
130324;2100;73;;;
130324;2200;34;;;
130324;2300;21;;;
130325;0000;12;;;
130325;0100;18;;;
130325;0200;19;;;
130325;0300;12;;;
130325;0400;16;;;
130325;0500;17;;;
130325;0600;12;;;
130325;0700;20;;;
130325;0800;19;;;
130325;0900;19;;;
130325;1000;16;;;
130325;1100;23;;;
130325;1200;35;;;
130325;1300;43;;;
130325;1400;41;;;
130325;1500;50;;;
130325;1600;48;;;
130325;1700;52;;;
130325;1800;51;;;
130325;1900;51;;;
130325;2000;61;;;
130325;2100;104;;;
130325;2200;93;;;
130325;2300;56;;;
130326;0000;40;;;
130326;0100;41;;;
130326;0200;48;;;
130326;0300;45;;;
130326;0400;37;;;
130326;0500;30;;;
130326;0600;36;;;
130326;0700;39;;;
130326;0800;41;;;
130326;0900;31;;;
130326;1000;29;;;
130326;1100;35;;;
130326;1200;29;;;
130326;1300;28;;;
130326;1400;34;;;
130326;1500;34;;;
130326;1600;39;;;
130326;1700;49;;;
130326;1800;58;;;
130326;1900;81;;;
130326;2000;111;;;
130326;2100;98;;;
130326;2200;111;;;
130326;2300;121;;;
130327;0000;119;;;
130327;0100;97;;;
130327;0200;76;;;
130327;0300;65;;;
130327;0400;61;;;
130327;0500;60;;;
130327;0600;56;;;
130327;0700;58;;;
130327;0800;57;;;
130327;0900;45;;;
130327;1000;31;;;
130327;1100;47;;;
130327;1200;59;;;
130327;1300;55;;;
130327;1400;49;;;
130327;1500;45;;;
130327;1600;42;;;
130327;1700;42;;;
130327;1800;48;;;
130327;1900;95;;;
130327;2000;135;;;
130327;2100;130;;;
130327;2200;176;;;
130327;2300;138;;;
130328;0000;109;;;
130328;0100;98;;;
130328;0200;98;;;
130328;0300;91;;;
130328;0400;78;;;
130328;0500;70;;;
130328;0600;59;;;
130328;0700;64;;;
130328;0800;82;;;
130328;0900;64;;;
130328;1000;65;;;
130328;1100;48;;;
130328;1200;63;;;
130328;1300;63;;;
130328;1400;67;;;
130328;1500;66;;;
130328;1600;58;;;
130328;1700;61;;;
130328;1800;62;;;
130328;1900;66;;;
130328;2000;43;;;
130328;2100;47;;;
130328;2200;52;;;
130328;2300;75;;;
130329;0000;59;;;
130329;0100;39;;;
130329;0200;45;;;
130329;0300;48;;;
130329;0400;37;;;
130329;0500;25;;;
130329;0600;25;;;
130329;0700;31;;;
130329;0800;39;;;
130329;0900;37;;;
130329;1000;42;;;
130329;1100;43;;;
130329;1200;36;;;
130329;1300;36;;;
130329;1400;41;;;
130329;1500;39;;;
130329;1600;34;;;
130329;1700;36;;;
130329;1800;34;;;
130329;1900;42;;;
130329;2000;60;;;
130329;2100;83;;;
130329;2200;88;;;
130329;2300;91;;;
130330;0000;75;;;
130330;0100;62;;;
130330;0200;51;;;
130330;0300;53;;;
130330;0400;47;;;
130330;0500;47;;;
130330;0600;37;;;
130330;0700;31;;;
130330;0800;40;;;
130330;0900;25;;;
130330;1000;23;;;
130330;1100;23;;;
130330;1200;20;;;
130330;1300;18;;;
130330;1400;21;;;
130330;1500;19;;;
130330;1600;20;;;
130330;1700;23;;;
130330;1800;32;;;
130330;1900;39;;;
130330;2000;47;;;
130330;2100;49;;;
130330;2200;64;;;
130330;2300;66;;;
130331;0000;52;;;
130331;0100;34;;;
130331;0200;27;;;
130331;0300;32;;;
130331;0400;39;;;
130331;0500;32;;;
130331;0600;24;;;
130331;0700;23;;;
130331;0800;25;;;
130331;0900;25;;;
130331;1000;29;;;
130331;1100;29;;;
130331;1200;25;;;
130331;1300;23;;;
130331;1400;17;;;
130331;1500;22;;;
130331;1600;22;;;
130331;1700;22;;;
130331;1800;32;;;
130331;1900;35;;;
130331;2000;24;;;
130331;2100;15;;;
130331;2200;13;;;
130331;2300;9;;;
130401;0000;1;;;
130401;0100;7;;;
130401;0200;7;;;
130401;0300;4;;;
130401;0400;4;;;
130401;0500;6;;;
130401;0600;14;;;
130401;0700;19;;;
130401;0800;36;;;
130401;0900;16;;;
130401;1000;13;;;
130401;1100;18;;;
130401;1200;21;;;
130401;1300;26;;;
130401;1400;23;;;
130401;1500;25;;;
130401;1600;31;;;
130401;1700;40;;;
130401;1800;50;;;
130401;1900;48;;;
130401;2000;49;;;
130401;2100;34;;;
130401;2200;31;;;
130401;2300;26;;;
130402;0000;28;;;
130402;0100;23;;;
130402;0200;33;;;
130402;0300;27;;;
130402;0400;27;;;
130402;0500;26;;;
130402;0600;27;;;
130402;0700;41;;;
130402;0800;74;;;
130402;0900;69;;;
130402;1000;54;;;
130402;1100;60;;;
130402;1200;51;;;
130402;1300;44;;;
130402;1400;57;;;
130402;1500;48;;;
130402;1600;69;;;
130402;1700;72;;;
130402;1800;65;;;
130402;1900;81;;;
130402;2000;95;;;
130402;2100;104;;;
130402;2200;112;;;
130402;2300;103;;;
130403;0000;81;;;
130403;0100;68;;;
130403;0200;67;;;
130403;0300;67;;;
130403;0400;59;;;
130403;0500;50;;;
130403;0600;46;;;
130403;0700;53;;;
130403;0800;57;;;
130403;0900;73;;;
130403;1000;66;;;
130403;1100;61;;;
130403;1200;78;;;
130403;1300;79;;;
130403;1400;80;;;
130403;1500;60;;;
130403;1600;60;;;
130403;1700;70;;;
130403;1800;78;;;
130403;1900;70;;;
130403;2000;78;;;
130403;2100;102;;;
130403;2200;81;;;
130403;2300;51;;;
130404;0000;34;;;
130404;0100;34;;;
130404;0200;32;;;
130404;0300;37;;;
130404;0400;31;;;
130404;0500;28;;;
130404;0600;30;;;
130404;0700;48;;;
130404;0800;61;;;
130404;0900;48;;;
130404;1000;39;;;
130404;1100;33;;;
130404;1200;34;;;
130404;1300;38;;;
130404;1400;37;;;
130404;1500;42;;;
130404;1600;50;;;
130404;1700;49;;;
130404;1800;50;;;
130404;1900;53;;;
