FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090201;0000;;28,8385;;
090202;0000;;38,3914;;
090203;0000;;29,5346;;
090204;0000;;29,6859;;
090205;0000;;34,6904;;
090206;0000;;38,1288;;
090207;0000;;41,2992;;
090208;0000;;38,5891;;
090209;0000;;36,7028;;
090210;0000;;44,4889;;
090211;0000;;44,1172;;
090212;0000;;48,2825;;
090213;0000;;40,8822;;
090214;0000;;44,0227;;
090215;0000;;31,9398;;
090216;0000;;28,5753;;
090217;0000;;37,0175;;
090218;0000;;24,6065;;
090219;0000;;32,0739;;
090220;0000;;34,03;;
090221;0000;;36,6381;;
090222;0000;;40,2559;;
090223;0000;;36,1926;;
090224;0000;;33,8942;;
090225;0000;;32,41;;
090226;0000;;35,874;;
090227;0000;;28,709;;
090228;0000;;18,9672;;
090301;0000;;22,3825;;
090302;0000;;27,3558;;
090303;0000;;26,2926;;
090304;0000;;43,6689;;
090305;0000;;56,4294;;
090306;0000;;45,9324;;
090307;0000;;48,3348;;
090308;0000;;50,6257;;
090309;0000;;42,3272;;
090310;0000;;19,8264;;
090311;0000;;36,5708;;
090312;0000;;46,4674;;
090313;0000;;41,6478;;
090314;0000;;42,1065;;
090315;0000;;40,3849;;
090316;0000;;35,8684;;
090317;0000;;33,7776;;
090318;0000;;35,0981;;
090319;0000;;41,8291;;
090320;0000;;38,8534;;
090321;0000;;38,4767;;
090322;0000;;37,5269;;
090323;0000;;33,5455;;
090324;0000;;44,2857;;
090325;0000;;69,958;;
090326;0000;;64,7255;;
090327;0000;;45,735;;
090328;0000;;49,8412;;
090329;0000;;33,5968;;
090330;0000;;53,2974;;
090331;0000;;33,5479;;
090401;0000;;;;
090402;0000;;;;
090403;0000;;;;
090404;0000;;;;
090405;0000;;;;
090406;0000;;;;
090407;0000;;;;
090408;0000;;;;
090409;0000;;;;
090410;0000;;;;
090411;0000;;;;
090412;0000;;;;
090413;0000;;;;
090414;0000;;;;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;;
090424;0000;;;;
090425;0000;;;;
090426;0000;;;;
090427;0000;;;;
090428;0000;;;;
090429;0000;;;;
090430;0000;;;;
090501;0000;;90,595;;
090502;0000;;57,8592;;
090503;0000;;43,0325;;
090504;0000;;19,6146;;
090505;0000;;34,8892;;
090506;0000;;63,2659;;
090507;0000;;67,6871;;
090508;0000;;107,943;;
090509;0000;;93,9607;;
090510;0000;;98,386;;
090511;0000;;59,3641;;
090512;0000;;28,6394;;
090513;0000;;13,9513;;
090514;0000;;42,4448;;
090515;0000;;79,7787;;
090516;0000;;54,9802;;
090517;0000;;20,0518;;
090518;0000;;35,1026;;
090519;0000;;70,4918;;
090520;0000;;100,789;;
090521;0000;;139,271;;
090522;0000;;140,552;;
090523;0000;;145,156;;
090524;0000;;135,046;;
090525;0000;;67,116;;
090526;0000;;34,9739;;
090527;0000;;28,2723;;
090528;0000;;62,9;;
090529;0000;;90,1022;;
090530;0000;;86,5741;;
