FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090201;0000;;1,5066;;
090202;0000;;3,72194;;
090203;0000;;2,98357;;
090204;0000;;3,14502;;
090205;0000;;3,47678;;
090206;0000;;4,9007;;
090207;0000;;5,4122;;
090208;0000;;5,29566;;
090209;0000;;3,4692;;
090210;0000;;5,01637;;
090211;0000;;4,97985;;
090212;0000;;5,9714;;
090213;0000;;3,98955;;
090214;0000;;2,48233;;
090215;0000;;0,490854;;
090216;0000;;2,92318;;
090217;0000;;5,34257;;
090218;0000;;1,22281;;
090219;0000;;3,39816;;
090220;0000;;3,48837;;
090221;0000;;4,20904;;
090222;0000;;3,02824;;
090223;0000;;2,40654;;
090224;0000;;2,07556;;
090225;0000;;4,19257;;
090226;0000;;3,53421;;
090227;0000;;1,50114;;
090228;0000;;0,777009;;
090301;0000;;2,76664;;
090302;0000;;2,83887;;
090303;0000;;1,40227;;
090304;0000;;6,96729;;
090305;0000;;5,24109;;
090306;0000;;8,11853;;
090307;0000;;7,1082;;
090308;0000;;7,91338;;
090309;0000;;2,88324;;
090310;0000;;0,882176;;
090311;0000;;9,51764;;
090312;0000;;9,89557;;
090313;0000;;7,53392;;
090314;0000;;4,68945;;
090315;0000;;5,64233;;
090316;0000;;5,18813;;
090317;0000;;7,86552;;
090318;0000;;9,29965;;
090319;0000;;5,48397;;
090320;0000;;11,7496;;
090321;0000;;10,7277;;
090322;0000;;8,39369;;
090323;0000;;8,65811;;
090324;0000;;4,82799;;
090325;0000;;13,9536;;
090326;0000;;9,99487;;
090327;0000;;4,39447;;
090328;0000;;5,78795;;
090329;0000;;4,29961;;
090330;0000;;5,95837;;
090331;0000;;3,71199;;
090401;0000;;;;
090402;0000;;;;
090403;0000;;;;
090404;0000;;;;
090405;0000;;;;
090406;0000;;;;
090407;0000;;;;
090408;0000;;;;
090409;0000;;;;
090410;0000;;;;
090411;0000;;;;
090412;0000;;;;
090413;0000;;;;
090414;0000;;;;
090415;0000;;;;
090416;0000;;;;
090417;0000;;;;
090418;0000;;;;
090419;0000;;;;
090420;0000;;;;
090421;0000;;;;
090422;0000;;;;
090423;0000;;;;
090424;0000;;;;
090425;0000;;;;
090426;0000;;;;
090427;0000;;;;
090428;0000;;;;
090429;0000;;;;
090430;0000;;;;
090501;0000;;6,85921;;
090502;0000;;1,6638;;
090503;0000;;3,27987;;
090504;0000;;5,31292;;
090505;0000;;6,38188;;
090506;0000;;8,35217;;
090507;0000;;10,341;;
090508;0000;;9,2628;;
090509;0000;;6,79271;;
090510;0000;;10,9565;;
090511;0000;;9,44852;;
090512;0000;;5,23008;;
090513;0000;;4,01858;;
090514;0000;;4,13203;;
090515;0000;;8,70093;;
090516;0000;;7,98951;;
090517;0000;;3,45591;;
090518;0000;;4,58974;;
090519;0000;;9,50293;;
090520;0000;;9,23677;;
090521;0000;;7,4766;;
090522;0000;;7,24168;;
090523;0000;;7,63438;;
090524;0000;;5,8187;;
090525;0000;;4,41248;;
090526;0000;;4,65465;;
090527;0000;;4,73576;;
090528;0000;;3,67249;;
090529;0000;;9,94688;;
090530;0000;;10,8041;;
