FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090601;0000;;0,235562;;
090602;0000;;0,396276;;
090603;0000;;2,20871;;
090604;0000;;3,41876;;
090605;0000;;2,1247;;
090606;0000;;2,19351;;
090607;0000;;0,514184;;
090608;0000;;1,42166;;
090609;0000;;1,17243;;
090610;0000;;1,06383;;
090611;0000;;;;
090612;0000;;1,70675;;
090613;0000;;5,41222;;
090614;0000;;1,77748;;
090615;0000;;3,94725;;
090616;0000;;1,50266;;
090617;0000;;3,66799;;
090618;0000;;3,59264;;
090619;0000;;1,89716;;
090620;0000;;3,81649;;
090621;0000;;2,30111;;
090622;0000;;2,05487;;
090623;0000;;1,84308;;
090624;0000;;3,24734;;
090625;0000;;2,47098;;
090626;0000;;1,55142;;
090627;0000;;2,95328;;
090628;0000;;0,733599;;
090629;0000;;2,31625;;
