FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040122;0100;;0,0217455;;
040122;0200;;0,0031065;;
040122;0300;;0,0106275;;
040122;0400;;0,002943;;
040122;0500;;0,0125895;;
040122;0600;;0,004251;;
040122;0700;;0,0201105;;
040122;0800;;0,00784798;;
040122;0900;;0,0122625;;
040122;1000;;0,017985;;
040122;1100;;0,011118;;
040122;1200;;0,011118;;
040122;1300;;0,010791;;
040122;1400;;0,016023;;
040122;1500;;;;
040122;1600;;0,0210915;;
040122;1700;;;;
040122;1800;;0,017658;;
040122;1900;;0,00572249;;
040122;2000;;0,0103005;;
040122;2100;;0,005886;;
040122;2200;;0,0227265;;
040122;2300;;0,017658;;
040123;0000;;0,0188025;;
040123;0100;;0,010791;;
040123;0200;;0,01635;;
040123;0300;;0,00817499;;
040123;0400;;0,0178215;;
040123;0500;;0,0001635;;
040123;0600;;0,024198;;
040123;0700;;0,00653999;;
040123;0800;;0,01962;;
040123;0900;;0,01635;;
040123;1000;;0,0158595;;
040123;1100;;;;
040123;1200;;;;
040123;1300;;0,015042;;
040123;1400;;0,008829;;
040123;1500;;0,030411;;
040123;1600;;0,00539549;;
040123;1700;;0,028122;;
040123;1800;;0,007521;;
040123;1900;;0,0318825;;
040123;2000;;0,014388;;
040123;2100;;0,020928;;
040123;2200;;0,022563;;
040123;2300;;0,017004;;
040124;0000;;0,018312;;
040124;0100;;0,00539549;;
040124;0200;;0,0148785;;
040124;0300;;0,007521;;
040124;0400;;0,0273045;;
040124;0500;;0,0024525;;
040124;0600;;0,027141;;
040124;0700;;0,00621299;;
040124;0800;;0,0165135;;
040124;0900;;0,01308;;
040124;1000;;0,017004;;
040124;1100;;0,019947;;
040124;1200;;0,012426;;
040124;1300;;0,0201105;;
040124;1400;;0,00621299;;
040124;1500;;0,0165135;;
040124;1600;;0,00621299;;
040124;1700;;0,024198;;
040124;1800;;0,0145515;;
040124;1900;;0,024198;;
040124;2000;;0,0103005;;
040124;2100;;0,027468;;
040124;2200;;0,015696;;
040124;2300;;0,013734;;
040125;0000;;0,0155325;;
040125;0100;;0,0060495;;
040125;0200;;0,018312;;
040125;0300;;0,008829;;
040125;0400;;0,0184755;;
040125;0500;;;;
040125;0600;;0,0295935;;
040125;0700;;0,0024525;;
040125;0800;;0,015042;;
040125;0900;;0,00850198;;
040125;1000;;0,014715;;
040125;1100;;0,0112815;;
040125;1200;;0,015042;;
040125;1300;;0,018639;;
040125;1400;;0;;
040125;1500;;0,0256695;;
040125;1600;;0,0011445;;
040125;1700;;0,024198;;
040125;1800;;0,008829;;
040125;1900;;0,0292665;;
040125;2000;;0,0142245;;
040125;2100;;0,0181485;;
040125;2200;;0,012426;;
040125;2300;;0,0125895;;
040126;0000;;0,0227265;;
040126;0100;;0,012426;;
040126;0200;;0,017331;;
040126;0300;;0,0060495;;
040126;0400;;0,017331;;
040126;0500;;;;
040126;0600;;0,027795;;
040126;0700;;;;
040126;0800;;0,022563;;
040126;0900;;0,016677;;
040126;1000;;0,019293;;
040126;1100;;0,012753;;
040126;1200;;0,0184755;;
040126;1300;;0,0165135;;
040126;1400;;0,0116085;;
040126;1500;;0,029103;;
040126;1600;;0,00964649;;
040126;1700;;0,0240345;;
040126;1800;;0,024525;;
040126;1900;;0,0570615;;
040126;2000;;0,0397305;;
040126;2100;;0,024852;;
040126;2200;;0,0103005;;
040126;2300;;0,0210915;;
040127;0000;;0,0132435;;
040127;0100;;0,0027795;;
040127;0200;;0,0191295;;
040127;0300;;0,0024525;;
040127;0400;;0,012753;;
040127;0500;;0,0044145;;
040127;0600;;0,0240345;;
040127;0700;;;;
040127;0800;;0,024852;;
040127;0900;;0,00490499;;
040127;1000;;0,0155325;;
040127;1100;;0,017331;;
040127;1200;;0,0165135;;
040127;1300;;0,0181485;;
040127;1400;;0,011772;;
040127;1500;;0,0233805;;
040127;1600;;0,006867;;
040127;1700;;0,0266505;;
040127;1800;;;;
040127;1900;;0,0217455;;
040127;2000;;0,010464;;
040127;2100;;0,023871;;
040127;2200;;0,0119355;;
040127;2300;;0,0178215;;
040128;0000;;0,0093195;;
040128;0100;;0,00850198;;
040128;0200;;0,018639;;
040128;0300;;0,0050685;;
040128;0400;;0,014061;;
040128;0500;;;;
040128;0600;;0,0227265;;
040128;0700;;;;
040128;0800;;0,0276315;;
040128;0900;;0,00866549;;
040128;1000;;0,0152055;;
040128;1100;;0,0112815;;
040128;1200;;0,013734;;
040128;1300;;0,016677;;
040128;1400;;0,014715;;
040128;1500;;0,0103005;;
040128;1600;;0,00490499;;
040128;1700;;0,0233805;;
040128;1800;;0,002616;;
040128;1900;;0,027141;;
040128;2000;;0,01308;;
040128;2100;;0,0188025;;
040128;2200;;0,010464;;
040128;2300;;0,022563;;
040129;0000;;0,0188025;;
040129;0100;;0,0047415;;
040129;0200;;0,015696;;
040129;0300;;0,0122625;;
040129;0400;;0,0207645;;
040129;0500;;0,0027795;;
040129;0600;;0,0237075;;
040129;0700;;0,001308;;
040129;0800;;0,0273045;;
040129;0900;;0,00703049;;
040129;1000;;0;;
040129;1100;;;;
