FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040121;0100;;1,40945;;
040121;0200;;1,5436;;
040121;0300;;1,49292;;
040121;0400;;1,45867;;
040121;0500;;1,54802;;
040121;0600;;1,566;;
040121;0700;;1,50829;;
040121;0800;;1,50567;;
040121;0900;;1,3089;;
040121;1000;;1,18603;;
040121;1100;;1,14499;;
040121;1200;;1,2686;;
040121;1300;;1,53894;;
040121;1400;;1,81681;;
040121;1500;;1,67105;;
040121;1600;;1,91058;;
040121;1700;;1,83145;;
040121;1800;;1,32165;;
040121;1900;;1,18963;;
040121;2000;;1,1172;;
040121;2100;;1,06079;;
040121;2200;;1,007;;
040121;2300;;1,06455;;
040122;0000;;1,01566;;
040122;0100;;1,06439;;
040122;0200;;1,00602;;
040122;0300;;1,03136;;
040122;0400;;1,06291;;
040122;0500;;1,06553;;
040122;0600;;1,00438;;
040122;0700;;1,03855;;
040122;0800;;1,01141;;
040122;0900;;1,04673;;
040122;1000;;1,11899;;
040122;1100;;1,0979;;
040122;1200;;1,12275;;
040122;1300;;1,16723;;
040122;1400;;1,03904;;
040122;1500;;1,2153;;
040122;1600;;1,3098;;
040122;1700;;1,20352;;
040122;1800;;1,25895;;
040122;1900;;1,05212;;
040122;2000;;0,991301;;
040122;2100;;0,963342;;
040122;2200;;1,52693;;
040122;2300;;1,52186;;
040123;0000;;1,3268;;
040123;0100;;1,38419;;
040123;0200;;1,32435;;
040123;0300;;1,31617;;
040123;0400;;1,32582;;
040123;0500;;1,30816;;
040123;0600;;1,3976;;
040123;0700;;1,44534;;
040123;0800;;1,39302;;
040123;0900;;1,38975;;
040123;1000;;1,45466;;
040123;1100;;;;
040123;1200;;;;
040123;1300;;1,59233;;
040123;1400;;1,4975;;
040123;1500;;1,59674;;
040123;1600;;2,14561;;
040123;1700;;1,71021;;
040123;1800;;1,25519;;
040123;1900;;1,14368;;
040123;2000;;0,995386;;
040123;2100;;1,00193;;
040123;2200;;1,15742;;
040123;2300;;1,10493;;
040124;0000;;1,23998;;
040124;0100;;1,36637;;
040124;0200;;1,45319;;
040124;0300;;1,71577;;
040124;0400;;1,76318;;
040124;0500;;1,88565;;
040124;0600;;1,80488;;
040124;0700;;1,84395;;
040124;0800;;1,95235;;
040124;0900;;1,25405;;
040124;1000;;1,1288;;
040124;1100;;1,13175;;
040124;1200;;1,05883;;
040124;1300;;1,07223;;
040124;1400;;1,57418;;
040124;1500;;1,69092;;
040124;1600;;2,26137;;
040124;1700;;2,49779;;
040124;1800;;1,53118;;
040124;1900;;1,3322;;
040124;2000;;0,991301;;
040124;2100;;1,00847;;
040124;2200;;1,3873;;
040124;2300;;1,0791;;
040125;0000;;1,15823;;
040125;0100;;1,50387;;
040125;0200;;1,54965;;
040125;0300;;1,31683;;
040125;0400;;1,13028;;
040125;0500;;1,1082;;
040125;0600;;1,13191;;
040125;0700;;1,29508;;
040125;0800;;1,21121;;
040125;0900;;1,15611;;
040125;1000;;0,995877;;
040125;1100;;0,992281;;
040125;1200;;1,15251;;
040125;1300;;1,5781;;
040125;1400;;1,95955;;
040125;1500;;2,03002;;
040125;1600;;2,1255;;
040125;1700;;2,76282;;
040125;1800;;1,695;;
040125;1900;;1,33727;;
040125;2000;;0,995224;;
040125;2100;;0,999146;;
040125;2200;;1,2166;;
