FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040121;0100;;2,62055;;
040121;0200;;7,35319;;
040121;0300;;7,30418;;
040121;0400;;10,4975;;
040121;0500;;10,3923;;
040121;0600;;9,21689;;
040121;0700;;8,24553;;
040121;0800;;7,01627;;
040121;0900;;7,42052;;
040121;1000;;7,9837;;
040121;1100;;6,23392;;
040121;1200;;5,1301;;
040121;1300;;5,71548;;
040121;1400;;5,90513;;
040121;1500;;6,89162;;
040121;1600;;;;
040121;1700;;;;
040121;1800;;4,0449;;
040121;1900;;4,04458;;
040121;2000;;3,68061;;
040121;2100;;4,91417;;
040121;2200;;4,17081;;
040121;2300;;2,19038;;
040122;0000;;1,75994;;
040122;0100;;2,33157;;
040122;0200;;2,49932;;
040122;0300;;3,8675;;
040122;0400;;4,0929;;
040122;0500;;4,19669;;
040122;0600;;4,3875;;
040122;0700;;5,53644;;
040122;0800;;4,5556;;
040122;0900;;5,90276;;
040122;1000;;4,93163;;
040122;1100;;3,90165;;
040122;1200;;3,80264;;
040122;1300;;3,23731;;
040122;1400;;1,10931;;
040122;1500;;1,79873;;
040122;1600;;2,59622;;
040122;1700;;3,56167;;
040122;1800;;2,78432;;
040122;1900;;2,50407;;
040122;2000;;3,28056;;
040122;2100;;3,32054;;
040122;2200;;3,93706;;
040122;2300;;3,13775;;
040123;0000;;3,02845;;
040123;0100;;3,25374;;
040123;0200;;2,74371;;
040123;0300;;2,18091;;
040123;0400;;2,26443;;
040123;0500;;2,45324;;
040123;0600;;2,19679;;
040123;0700;;2,23183;;
040123;0800;;1,62837;;
040123;0900;;1,28402;;
040123;1000;;1,3534;;
040123;1100;;1,72929;;
040123;1200;;1,75355;;
040123;1300;;1,57352;;
040123;1400;;2,13878;;
040123;1500;;0,803115;;
040123;1600;;1,32986;;
040123;1700;;1,44504;;
040123;1800;;0,797623;;
040123;1900;;2,6193;;
040123;2000;;2,35433;;
040123;2100;;2,87897;;
040123;2200;;2,53123;;
040123;2300;;3,15879;;
040124;0000;;2,90188;;
040124;0100;;0,691749;;
040124;0200;;1,87888;;
040124;0300;;2,21304;;
040124;0400;;2,61692;;
040124;0500;;3,15973;;
040124;0600;;4,33439;;
040124;0700;;8,64496;;
040124;0800;;7,64487;;
040124;0900;;3,9556;;
040124;1000;;5,14465;;
040124;1100;;2,24142;;
040124;1200;;1,9716;;
040124;1300;;1,41339;;
040124;1400;;2,24529;;
040124;1500;;3,18933;;
040124;1600;;2,999;;
040124;1700;;1,75663;;
040124;1800;;2,3907;;
040124;1900;;2,18096;;
040124;2000;;3,47243;;
040124;2100;;2,48951;;
040124;2200;;2,31699;;
040124;2300;;2,81524;;
040125;0000;;3,05639;;
040125;0100;;5,64941;;
040125;0200;;6,08413;;
040125;0300;;3,85308;;
040125;0400;;5,47816;;
040125;0500;;3,82478;;
040125;0600;;4,13833;;
040125;0700;;3,11116;;
040125;0800;;3,69527;;
040125;0900;;3,23838;;
040125;1000;;2,14155;;
040125;1100;;3,68462;;
040125;1200;;2,50037;;
040125;1300;;2,05807;;
040125;1400;;0,970424;;
040125;1500;;1,22648;;
040125;1600;;1,22378;;
040125;1700;;1,51858;;
040125;1800;;1,60244;;
040125;1900;;1,09619;;
040125;2000;;1,43697;;
040125;2100;;1,18135;;
040125;2200;;1,03985;;
040125;2300;;0,608836;;
040126;0000;;0,837318;;
040126;0100;;1,11627;;
040126;0200;;3,06673;;
040126;0300;;3,56362;;
040126;0400;;0,87278;;
040126;0500;;0,891852;;
040126;0600;;1,58241;;
040126;0700;;2,39481;;
040126;0800;;2,95736;;
040126;0900;;4,79709;;
040126;1000;;2,53564;;
040126;1100;;1,66345;;
040126;1200;;0,758052;;
040126;1300;;0,420341;;
040126;1400;;1,09116;;
040126;1500;;2,2268;;
040126;1600;;1,84547;;
040126;1700;;1,12615;;
040126;1800;;1,93811;;
040126;1900;;2,39911;;
040126;2000;;3,53219;;
040126;2100;;2,5984;;
040126;2200;;5,7477;;
040126;2300;;6,85026;;
040127;0000;;9,02089;;
040127;0100;;7,0301;;
040127;0200;;2,49269;;
040127;0300;;2,71927;;
040127;0400;;3,35381;;
040127;0500;;5,91869;;
040127;0600;;7,73508;;
040127;0700;;8,91788;;
040127;0800;;9,3167;;
040127;0900;;11,1508;;
040127;1000;;6,78461;;
