FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
030401;0000;;77,5;;
030501;0000;;71,3333;;
030601;0000;;35;;
030701;0000;;37,2222;;
030801;0000;;48,1818;;
030901;0000;;37,6667;;
031001;0000;;43,8889;;
031101;0000;;41,4;;
031201;0000;;55,3;;
040101;0000;;51,2;;
040201;0000;;50,3333;;
040301;0000;;44,5455;;
040401;0000;;32,2;;
040501;0000;;57,2;;
040601;0000;;30,3333;;
040701;0000;;32,5556;;
040801;0000;;34,2;;
040901;0000;;28,2;;
041001;0000;;30,7778;;
041101;0000;;37,1;;
041201;0000;;44;;
050101;0000;;56,8;;
050201;0000;;48,5556;;
050301;0000;;44,5;;
050401;0000;;45,5;;
050501;0000;;24,4545;;
050601;0000;;28,3333;;
050701;0000;;39,7778;;
050801;0000;;28,1111;;
050901;0000;;;;
051001;0000;;29,4;;
051101;0000;;36;;
051201;0000;;39,8;;
060101;0000;;46,9;;
060201;0000;;45,5556;;
060301;0000;;52,2;;
060401;0000;;52,2;;
060501;0000;;50,8;;
060601;0000;;36,9;;
060701;0000;;30,7778;;
060801;0000;;32,2;;
060901;0000;;34,6667;;
061001;0000;;28,6;;
061101;0000;;36,1;;
061201;0000;;37,1818;;
070101;0000;;42,8;;
070201;0000;;30,375;;
070301;0000;;40,5455;;
070401;0000;;45,4;;
070501;0000;;68,5;;
070601;0000;;38,8;;
070701;0000;;28,375;;
070801;0000;;34,9;;
070901;0000;;43,4444;;
071001;0000;;42;;
071101;0000;;37,6667;;
071201;0000;;42,1111;;
080101;0000;;48;;
080201;0000;;50,2222;;
080301;0000;;39,0909;;
080401;0000;;;;
080501;0000;;44,7778;;
080601;0000;;31,8;;
080701;0000;;42,5;;
080801;0000;;30,6364;;
080901;0000;;37,3333;;
081001;0000;;33,7;;
081101;0000;;35;;
081201;0000;;36,2;;
090101;0000;;;;
090201;0000;;;;
090301;0000;;;;
090401;0000;;;;
090501;0000;;;;
090601;0000;;;;
090701;0000;;;;
090801;0000;;;;
090901;0000;;;;
091001;0000;;;;
091101;0000;;;;
091201;0000;;;;
100101;0000;;;;
100201;0000;;;;
100301;0000;;;;
100401;0000;;;;
100501;0000;;;;
100601;0000;;;;
100701;0000;;;;
100801;0000;;;;
100901;0000;;;;
101001;0000;;;;
101101;0000;;;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;;;
120901;0000;;;;
121001;0000;;;;
121101;0000;;;;
121201;0000;;;;
130101;0000;;;;
130201;0000;;;;
130301;0000;;;;
130401;0000;;;;
130501;0000;;;;
130601;0000;;;;
130701;0000;;;39,4;
130801;0000;;;45,8;
130901;0000;;;32,1111;
131001;0000;;;40,4545;
131101;0000;;;41,6667;
131201;0000;;;;
140101;0000;;;56,1;
140201;0000;;;41,6;
140301;0000;;;54,4444;
140401;0000;;;58,4444;
140501;0000;;;;
140601;0000;;;43,7778;
140701;0000;;;37;
140801;0000;;;44,9;
140901;0000;;;;
141001;0000;;;33,3333;
141101;0000;;;;
141201;0000;;;34,875;
150101;0000;;;54,4;
150201;0000;;;50;
150301;0000;;;53;
150401;0000;;;55,6;
150501;0000;;;58;
