FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
081001;0100;;0,43;;
081001;0200;;0,509998;;
081001;0300;;0,509998;;
081001;0400;;0,49;;
081001;0500;;0,45;;
081001;0600;;0,44;;
081001;0700;;0,48;;
081001;0800;;0,45;;
081001;0900;;0,43;;
081001;1000;;0,44;;
081001;1100;;0,41;;
081001;1200;;0,39;;
081001;1300;;0,37;;
081001;1400;;0,37;;
081001;1500;;0,36;;
081001;1600;;0,34;;
081001;1700;;0,34;;
081001;1800;;0,4;;
081001;1900;;0,43;;
081001;2000;;0,38;;
081001;2100;;0,45;;
081001;2200;;0,47;;
081001;2300;;0,42;;
081002;0000;;0,42;;
081002;0100;;0,4;;
081002;0200;;0,39;;
081002;0300;;0,38;;
081002;0400;;0,37;;
081002;0500;;0,37;;
081002;0600;;0,38;;
081002;0700;;0,47;;
081002;0800;;0,41;;
081002;0900;;0,41;;
081002;1000;;0,39;;
081002;1100;;0,38;;
081002;1200;;0,37;;
081002;1300;;0,38;;
081002;1400;;0,38;;
081002;1500;;0,38;;
081002;1600;;0,39;;
081002;1700;;0,43;;
081002;1800;;0,47;;
081002;1900;;0,46;;
081002;2000;;0,42;;
081002;2100;;0,48;;
081002;2200;;0,48;;
081002;2300;;0,42;;
081003;0000;;0,4;;
081003;0100;;0,41;;
081003;0200;;0,39;;
081003;0300;;0,38;;
081003;0400;;0,39;;
081003;0500;;0,39;;
081003;0600;;0,39;;
081003;0700;;0,43;;
081003;0800;;0,47;;
081003;0900;;0,41;;
081003;1000;;0,41;;
081003;1100;;0,4;;
081003;1200;;0,39;;
081003;1300;;0,38;;
081003;1400;;0,37;;
081003;1500;;0,37;;
081003;1600;;0,37;;
081003;1700;;0,47;;
081003;1800;;0,41;;
081003;1900;;0,42;;
081003;2000;;0,39;;
081003;2100;;0,4;;
081003;2200;;0,4;;
081003;2300;;0,4;;
081004;0000;;0,43;;
081004;0100;;0,41;;
081004;0200;;0,39;;
