FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
081001;0100;;6,65479;;
081001;0200;;6,681;;
081001;0300;;6,78579;;
081001;0400;;6,23559;;
081001;0500;;6,23559;;
081001;0600;;6,4452;;
081001;0700;;7,44079;;
081001;0800;;10,6372;;
081001;0900;;14,0956;;
081001;1000;;23,58;;
081001;1100;;21,1958;;
081001;1200;;13,624;;
081001;1300;;10,5848;;
081001;1400;;8,90799;;
081001;1500;;9,825;;
081001;1600;;10,5324;;
081001;1700;;11,6852;;
081001;1800;;10,1394;;
081001;1900;;10,4276;;
081001;2000;;8,75079;;
081001;2100;;7,54559;;
081001;2200;;7,36219;;
081001;2300;;7,2312;;
081002;0000;;6,75959;;
081002;0100;;6,681;;
081002;0200;;6,52379;;
081002;0300;;6,5762;;
081002;0400;;10,48;;
081002;0500;;6,2094;;
081002;0600;;6,5762;;
081002;0700;;9,17;;
081002;0800;;21,1172;;
081002;0900;;19,4666;;
081002;1000;;20,1478;;
081002;1100;;15,8248;;
081002;1200;;13,2834;;
081002;1300;;11,397;;
081002;1400;;9,45819;;
081002;1500;;8,4102;;
081002;1600;;6,89059;;
081002;1700;;9,7726;;
081002;1800;;9,301;;
081002;1900;;11,004;;
081002;2000;;10,5586;;
081002;2100;;18,5496;;
081002;2200;;11,004;;
081002;2300;;11,79;;
081003;0000;;11,7376;;
081003;0100;;12,1568;;
081003;0200;;16,7942;;
081003;0300;;13,7288;;
081003;0400;;15,4842;;
081003;0500;;18,209;;
081003;0600;;19,5714;;
081003;0700;;16,375;;
081003;0800;;14,0432;;
081003;0900;;16,8728;;
081003;1000;;15,7724;;
081003;1100;;12,7856;;
081003;1200;;12,969;;
081003;1300;;9,5892;;
081003;1400;;8,61979;;
081003;1500;;9,14379;;
081003;1600;;8,80319;;
081003;1700;;12,1044;;
081003;1800;;9,51059;;
081003;1900;;8,67219;;
081003;2000;;13,886;;
081003;2100;;16,375;;
081003;2200;;15,8772;;
081003;2300;;10,5586;;
081004;0000;;7,205;;
081004;0100;;6,75959;;
081004;0200;;6,89059;;
081004;0300;;6,52379;;
081004;0400;;6,4976;;
081004;0500;;6,23559;;
081004;0600;;7,1002;;
081004;0700;;9,2486;;
081004;0800;;13,755;;
081004;0900;;11,8686;;
081004;1000;;13,2834;;
081004;1100;;14,017;;
081004;1200;;11,79;;
081004;1300;;10,6372;;
081004;1400;;17,03;;
081004;1500;;17,7112;;
081004;1600;;16,244;;
081004;1700;;11,6328;;
081004;1800;;12,0782;;
081004;1900;;13,6764;;
081004;2000;;9,301;;
081004;2100;;8,56739;;
081004;2200;;7,25739;;
081004;2300;;6,812;;
081005;0000;;6,36659;;
081005;0100;;6,2094;;
081005;0200;;6,6286;;
081005;0300;;6,52379;;
081005;0400;;6,5762;;
081005;0500;;7,30979;;
081005;0600;;8,6984;;
081005;0700;;10,5062;;
081005;0800;;11,8948;;
081005;0900;;10,8468;;
081005;1000;;9,09139;;
081005;1100;;7,9386;;
081005;1200;;8,85559;;
081005;1300;;7,991;;
081005;1400;;8,61979;;
081005;1500;;9,0652;;
081005;1600;;9,6678;;
081005;1700;;10,2966;;
081005;1800;;8,8818;;
081005;1900;;9,92979;;
081005;2000;;9,1962;;
081005;2100;;7,1526;;
081005;2200;;7,25739;;
081005;2300;;7,1002;;
081006;0000;;6,6286;;
081006;0100;;6,2094;;
081006;0200;;6,23559;;
081006;0300;;5,81639;;
081006;0400;;6,0784;;
081006;0500;;5,9212;;
081006;0600;;6,10459;;
081006;0700;;8,80319;;
081006;0800;;12,9952;;
081006;0900;;17,3706;;
081006;1000;;17,161;;
081006;1100;;11,3708;;
081006;1200;;12,2878;;
081006;1300;;13,3096;;
081006;1400;;13,9908;;
081006;1500;;13,4144;;
081006;1600;;13,5978;;
081006;1700;;17,7112;;
081006;1800;;11,2922;;
081006;1900;;10,1394;;
081006;2000;;9,27479;;
081006;2100;;8,4626;;
081006;2200;;7,91239;;
081006;2300;;7,2836;;
081007;0000;;6,7334;;
081007;0100;;6,18319;;
081007;0200;;6,026;;
081007;0300;;6,0784;;
081007;0400;;6,10459;;
081007;0500;;6,18319;;
081007;0600;;6,13079;;
081007;0700;;8,09579;;
081007;0800;;27,4576;;
081007;0900;;37,335;;
081007;1000;;26,6716;;
081007;1100;;15,5104;;
081007;1200;;13,0214;;
081007;1300;;12,9952;;
081007;1400;;16,9514;;
081007;1500;;13,8074;;
081007;1600;;12,5236;;
081007;1700;;11,3184;;
081007;1800;;9,1962;;
081007;1900;;8,6984;;
081007;2000;;16,8728;;
081007;2100;;11,3446;;
081007;2200;;10,48;;
081007;2300;;9,37959;;
081008;0000;;6,65479;;
081008;0100;;6,52379;;
081008;0200;;18,3924;;
081008;0300;;11,1874;;
081008;0400;;12,5498;;
081008;0500;;23,711;;
081008;0600;;5,76399;;
081008;0700;;6,10459;;
081008;0800;;6,4452;;
081008;0900;;6,8644;;
081008;1000;;9,7726;;
081008;1100;;7,7552;;
081008;1200;;7,2312;;
081008;1300;;7,5718;;
081008;1400;;8,8294;;
081008;1500;;9,87739;;
081008;1600;;11,659;;
081008;1700;;11,9996;;
081008;1800;;27,3266;;
081008;1900;;12,9166;;
081008;2000;;13,1786;;
081008;2100;;9,51059;;
081008;2200;;6,75959;;
081008;2300;;6,7334;;
081009;0000;;6,13079;;
081009;0100;;5,895;;
081009;0200;;5,7378;;
081009;0300;;6,75959;;
081009;0400;;9,27479;;
081009;0500;;10,4538;;
081009;0600;;9,37959;;
081009;0700;;10,8992;;
081009;0800;;13,9646;;
081009;0900;;11,3446;;
081009;1000;;9,0652;;
081009;1100;;7,991;;
081009;1200;;17,4754;;
081009;1300;;15,3794;;
081009;1400;;12,969;;
081009;1500;;12,6022;;
081009;1600;;13,2834;;
081009;1700;;11,6328;;
081009;1800;;9,3534;;
081009;1900;;7,12639;;
081009;2000;;7,0478;;
081009;2100;;6,3142;;
081009;2200;;6,026;;
081009;2300;;5,7902;;
081010;0000;;5,63299;;
081010;0100;;5,7902;;
081010;0200;;5,44959;;
081010;0300;;5,34479;;
081010;0400;;5,81639;;
081010;0500;;5,1614;;
081010;0600;;5,86879;;
081010;0700;;9,5892;;
081010;0800;;20,698;;
081010;0900;;23,4228;;
081010;1000;;31,9116;;
081010;1100;;24,4708;;
081010;1200;;11,9996;;
081010;1300;;14,0432;;
081010;1400;;8,1744;;
081010;1500;;7,3884;;
081010;1600;;7,07399;;
081010;1700;;6,47139;;
081010;1800;;6,3928;;
081010;1900;;6,7334;;
081010;2000;;6,10459;;
081010;2100;;11,4232;;
081010;2200;;7,30979;;
081010;2300;;5,86879;;
081011;0000;;5,502;;
081011;0100;;5,2138;;
081011;0200;;5,1876;;
081011;0300;;5,1614;;
081011;0400;;5,34479;;
081011;0500;;7,49319;;
081011;0600;;22,1128;;
081011;0700;;12,1044;;
081011;0800;;24,6279;;
081011;0900;;13,231;;
081011;1000;;12,8118;;
081011;1100;;7,336;;
081011;1200;;9,17;;
081011;1300;;12,2354;;
081011;1400;;10,8206;;
081011;1500;;8,1744;;
081011;1600;;7,49319;;
081011;1700;;15,2222;;
081011;1800;;13,9122;;
081011;1900;;14,541;;
081011;2000;;7,02159;;
081011;2100;;6,55;;
081011;2200;;6,3142;;
081011;2300;;5,9212;;
081012;0000;;5,8426;;
081012;0100;;5,6592;;
081012;0200;;5,6592;;
081012;0300;;5,44959;;
081012;0400;;5,4234;;
081012;0500;;5,34479;;
081012;0600;;5,39719;;
081012;0700;;6,70719;;
081012;0800;;8,90799;;
081012;0900;;11,0826;;
081012;1000;;7,02159;;
081012;1100;;11,7376;;
081012;1200;;10,4014;;
081012;1300;;11,5542;;
081012;1400;;9,69399;;
081012;1500;;6,2618;;
081012;1600;;5,502;;
081012;1700;;5,52819;;
081012;1800;;5,34479;;
081012;1900;;5,502;;
081012;2000;;5,6068;;
081012;2100;;7,65039;;
081012;2200;;13,1262;;
081012;2300;;8,06959;;
081013;0000;;5,99979;;
081013;0100;;5,52819;;
081013;0200;;5,9212;;
081013;0300;;5,81639;;
081013;0400;;5,6068;;
081013;0500;;10,2704;;
081013;0600;;15,72;;
081013;0700;;12,576;;
081013;0800;;34,715;;
081013;0900;;18,34;;
081013;1000;;13,886;;
081013;1100;;;;
081013;1200;;11,004;;
081013;1300;;15,196;;
081013;1400;;10,611;;
081013;1500;;11,8424;;
081013;1600;;10,7158;;
081013;1700;;13,1524;;
081013;1800;;13,8074;;
081013;1900;;14,0956;;
081013;2000;;8,6984;;
081013;2100;;6,7334;;
081013;2200;;5,94739;;
081013;2300;;5,502;;
081014;0000;;5,371;;
081014;0100;;5,1876;;
081014;0200;;5,109;;
081014;0300;;5,0566;;
081014;0400;;4,8994;;
081014;0500;;5,0042;;
081014;0600;;5,371;;
081014;0700;;5,502;;
081014;0800;;9,17;;
081014;0900;;16,3488;;
081014;1000;;;;
081014;1100;;;;
081014;1200;;10,48;;
081014;1300;;8,8818;;
081014;1400;;9,0128;;
081014;1500;;9,98219;;
081014;1600;;9,64159;;
081014;1700;;8,9342;;
081014;1800;;10,218;;
081014;1900;;11,8686;;
081014;2000;;11,2922;;
081014;2100;;7,02159;;
081014;2200;;13,5192;;
081014;2300;;8,90799;;
081015;0000;;5,9212;;
081015;0100;;5,86879;;
081015;0200;;5,6592;;
081015;0300;;5,3186;;
081015;0400;;5,2662;;
081015;0500;;5,29239;;
081015;0600;;5,2662;;
081015;0700;;5,7378;;
081015;0800;;7,6242;;
081015;0900;;18,864;;
081015;1000;;20,5932;;
081015;1100;;24,2611;;
081015;1200;;11,3708;;
081015;1300;;12,6284;;
081015;1400;;18,6282;;
081015;1500;;16,9776;;
081015;1600;;14,3838;;
081015;1700;;15,0912;;
081015;1800;;13,0738;;
081015;1900;;12,4188;;
081015;2000;;12,8904;;
081015;2100;;9,09139;;
081015;2200;;7,336;;
081015;2300;;6,4452;;
081016;0000;;5,7902;;
081016;0100;;5,68539;;
081016;0200;;5,6068;;
081016;0300;;5,3186;;
081016;0400;;5,3186;;
081016;0500;;5,44959;;
081016;0600;;5,5544;;
081016;0700;;5,8426;;
081016;0800;;12,6546;;
081016;0900;;26,3048;;
081016;1000;;54,6532;;
081016;1100;;45,6141;;
081016;1200;;22,401;;
081016;1300;;16,6894;;
081016;1400;;17,8946;;
081016;1500;;18,078;;
081016;1600;;17,2134;;
081016;1700;;15,9296;;
081016;1800;;16,637;;
081016;1900;;24,6542;;
081016;2000;;54,3125;;
081016;2100;;31,44;;
081016;2200;;14,9864;;
081016;2300;;7,9386;;
081017;0000;;6,34039;;
081017;0100;;6,10459;;
081017;0200;;5,5544;;
081017;0300;;5,58059;;
081017;0400;;5,39719;;
081017;0500;;5,1352;;
081017;0600;;5,86879;;
081017;0700;;5,76399;;
081017;0800;;14,9864;;
081017;0900;;22,2438;;
081017;1000;;24,2611;;
081017;1100;;20,3312;;
081017;1200;;18,209;;
081017;1300;;16,5584;;
081017;1400;;19,2832;;
081017;1500;;21,8508;;
081017;1600;;22,3747;;
081017;1700;;21,1696;;
081017;1800;;15,851;;
081017;1900;;10,4538;;
081017;2000;;9,69399;;
081017;2100;;10,349;;
081017;2200;;9,51059;;
081017;2300;;7,3884;;
081018;0000;;6,2094;;
081018;0100;;5,895;;
081018;0200;;5,5544;;
081018;0300;;5,6068;;
081018;0400;;5,24;;
081018;0500;;5,24;;
081018;0600;;5,6068;;
081018;0700;;6,026;;
081018;0800;;43,5705;;
081018;0900;;44,9068;;
081018;1000;;31,9902;;
081018;1100;;20,3312;;
081018;1200;;16,375;;
081018;1300;;13,4668;;
081018;1400;;15,982;;
081018;1500;;13,5192;;
081018;1600;;11,5018;;
081018;1700;;9,432;;
081018;1800;;9,79879;;
081018;1900;;8,8818;;
081018;2000;;8,9342;;
