FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
020201;0000;;42,7;;
020301;0000;;48;;
020401;0000;;51,5;;
020501;0000;;63,5;;
020601;0000;;68,7;;
020701;0000;;56,7273;;
020801;0000;;45,7;;
020901;0000;;38,3;;
021001;0000;;34,7778;;
021101;0000;;38,3;;
021201;0000;;38,2727;;
030101;0000;;41,9;;
030201;0000;;51;;
030301;0000;;42,0909;;
030401;0000;;72,4;;
030501;0000;;89,7;;
030601;0000;;63,8;;
030701;0000;;73,9;;
030801;0000;;50,5455;;
030901;0000;;37,1;;
031001;0000;;41,2222;;
031101;0000;;29,2;;
031201;0000;;38,7778;;
040101;0000;;32,0909;;
040201;0000;;52,1111;;
040301;0000;;44,2727;;
040401;0000;;38,7;;
040501;0000;;86,6;;
040601;0000;;79,5;;
040701;0000;;47;;
040801;0000;;46,0909;;
040901;0000;;34;;
041001;0000;;;;
041101;0000;;34,4;;
041201;0000;;37,5455;;
050101;0000;;45,3;;
050201;0000;;42,75;;
050301;0000;;45,2727;;
050401;0000;;54,3;;
050501;0000;;50;;
050601;0000;;49,9;;
050701;0000;;58,2;;
050801;0000;;45,2;;
050901;0000;;31,9;;
051001;0000;;30,1111;;
051101;0000;;28,6;;
051201;0000;;30,1;;
060101;0000;;38;;
060201;0000;;34,5556;;
060301;0000;;46,5;;
060401;0000;;51,5556;;
060501;0000;;76,0909;;
060601;0000;;52,7;;
060701;0000;;41,6;;
060801;0000;;44;;
060901;0000;;31,1;;
061001;0000;;26,5455;;
061101;0000;;18,8;;
061201;0000;;29,7;;
070101;0000;;32,7;;
070201;0000;;29,1;;
070301;0000;;40,5;;
070401;0000;;44,1;;
070501;0000;;63,8;;
070601;0000;;62,0909;;
070701;0000;;73,1;;
070801;0000;;46,6;;
070901;0000;;31;;
071001;0000;;27,7;;
071101;0000;;28,8889;;
071201;0000;;33,3;;
080101;0000;;37,5;;
080201;0000;;36,5;;
080301;0000;;43,2;;
080401;0000;;43,5;;
080501;0000;;64,6;;
080601;0000;;76;;
080701;0000;;51,6364;;
080801;0000;;36,4;;
080901;0000;;38,4;;
081001;0000;;32,8;;
081101;0000;;29,4;;
081201;0000;;31,3222;;
090101;0000;;40,06;;
090201;0000;;33,7555;;
090301;0000;;43,1727;;
090401;0000;;50,51;;
090501;0000;;69,4299;;
090601;0000;;72,7299;;
090701;0000;;45,2;;
090801;0000;;39,2091;;
090901;0000;;33,44;;
091001;0000;;27,33;;
091101;0000;;28,54;;
091201;0000;;36,93;;
