FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000510;0100;;0,14;;
000510;0200;;0,17;;
000510;0300;;0,16;;
000510;0400;;0,14;;
000510;0500;;0,23;;
000510;0600;;0,16;;
000510;0700;;0,36;;
000510;0800;;0,3;;
000510;0900;;0,14;;
000510;1000;;0,05;;
000510;1100;;0,0799998;;
000510;1200;;0,04;;
000510;1300;;0,0599999;;
000510;1400;;0,0599999;;
000510;1500;;0,04;;
000510;1600;;0,0699998;;
000510;1700;;0,11;;
000510;1800;;0,21;;
000510;1900;;;;
000510;2000;;0,14;;
000510;2100;;1,82;;
000510;2200;;0,29;;
000510;2300;;1,75;;
000511;0000;;0,26;;
000511;0100;;0,24;;
000511;0200;;0,19;;
000511;0300;;0,38;;
000511;0400;;0,21;;
000511;0500;;0,38;;
000511;0600;;0,36;;
000511;0700;;0,49;;
000511;0800;;0,34;;
000511;0900;;0,19;;
000511;1000;;0,21;;
000511;1100;;0,17;;
000511;1200;;0,11;;
000511;1300;;0,14;;
000511;1400;;0,11;;
000511;1500;;0,11;;
000511;1600;;0,11;;
000511;1700;;0,0699998;;
000511;1800;;0,13;;
000511;1900;;0,18;;
000511;2000;;0,23;;
000511;2100;;;;
000511;2200;;0,2;;
000511;2300;;0,2;;
000512;0000;;0,37;;
000512;0100;;0,11;;
000512;0200;;0,14;;
000512;0300;;0,17;;
000512;0400;;0,11;;
000512;0500;;0,32;;
000512;0600;;0,19;;
000512;0700;;0,18;;
000512;0800;;0,24;;
000512;0900;;0,0899998;;
000512;1000;;;;
000512;1100;;0,19;;
000512;1200;;0,23;;
000512;1300;;0,14;;
000512;1400;;0,15;;
000512;1500;;0,13;;
000512;1600;;0,24;;
000512;1700;;0,24;;
000512;1800;;0,3;;
000512;1900;;0,41;;
000512;2000;;0,22;;
000512;2100;;0,16;;
000512;2200;;;;
000512;2300;;0,35;;
000513;0000;;0,22;;
000513;0100;;0,19;;
000513;0200;;0,17;;
000513;0300;;0,27;;
000513;0400;;0,0799998;;
000513;0500;;0,14;;
000513;0600;;0,28;;
000513;0700;;0,15;;
000513;0800;;0,21;;
000513;0900;;0,0999998;;
000513;1000;;0,12;;
000513;1100;;0,0699998;;
000513;1200;;0,03;;
000513;1300;;0,0799998;;
000513;1400;;0,0599999;;
000513;1500;;0,0699998;;
000513;1600;;0,11;;
000513;1700;;0,0899998;;
000513;1800;;0,0699998;;
000513;1900;;0,13;;
000513;2000;;0,26;;
000513;2100;;0,19;;
000513;2200;;0,18;;
000513;2300;;0,15;;
000514;0000;;0,21;;
000514;0100;;0,17;;
000514;0200;;0,15;;
000514;0300;;0,15;;
000514;0400;;;;
000514;0500;;0,16;;
000514;0600;;0,12;;
000514;0700;;0,31;;
000514;0800;;0,26;;
000514;0900;;0,3;;
000514;1000;;0,18;;
000514;1100;;0,16;;
000514;1200;;0,0699998;;
000514;1300;;0,0999998;;
000514;1400;;0,0999998;;
000514;1500;;0,0999998;;
000514;1600;;;;
000514;1700;;0,14;;
000514;1800;;0,0799998;;
000514;1900;;1,65;;
000514;2000;;0,17;;
000514;2100;;0,13;;
