FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
020501;0100;;1,59574;;
020501;0200;;1,59574;;
020501;0300;;1,59574;;
020501;0400;;1,59574;;
020501;0500;;1,06383;;
020501;0600;;1,06383;;
020501;0700;;1,06383;;
020501;0800;;1,59574;;
020501;0900;;5,85106;;
020501;1000;;3,7234;;
020501;1100;;2,12766;;
020501;1200;;2,12766;;
020501;1300;;0,531915;;
020501;1400;;0,531915;;
020501;1500;;0,531915;;
020501;1600;;0,531915;;
020501;1700;;1,06383;;
020501;1800;;2,65957;;
020501;1900;;5,31915;;
020501;2000;;3,7234;;
020501;2100;;3,7234;;
020501;2200;;3,7234;;
020501;2300;;3,19149;;
020502;0000;;2,65957;;
020502;0100;;2,12766;;
020502;0200;;2,12766;;
020502;0300;;2,12766;;
020502;0400;;1,59574;;
020502;0500;;2,12766;;
020502;0600;;2,12766;;
020502;0700;;1,59574;;
020502;0800;;2,12766;;
020502;0900;;4,78722;;
020502;1000;;4,25532;;
020502;1100;;4,78722;;
020502;1200;;4,25532;;
020502;1300;;2,65957;;
020502;1400;;1,59574;;
020502;1500;;1,06383;;
020502;1600;;1,59574;;
020502;1700;;1,59574;;
020502;1800;;3,19149;;
020502;1900;;2,65957;;
020502;2000;;3,7234;;
020502;2100;;3,19149;;
020502;2200;;3,7234;;
020502;2300;;2,12766;;
020503;0000;;1,59574;;
020503;0100;;2,12766;;
020503;0200;;1,06383;;
020503;0300;;1,06383;;
020503;0400;;1,06383;;
020503;0500;;1,59574;;
020503;0600;;1,06383;;
020503;0700;;1,59574;;
020503;0800;;1,59574;;
020503;0900;;4,78722;;
020503;1000;;4,78722;;
020503;1100;;4,25532;;
020503;1200;;3,7234;;
020503;1300;;2,65957;;
020503;1400;;1,59574;;
020503;1500;;1,06383;;
020503;1600;;2,12766;;
020503;1700;;2,12766;;
020503;1800;;5,31915;;
020503;1900;;5,31915;;
020503;2000;;5,31915;;
020503;2100;;4,25532;;
020503;2200;;2,65957;;
020503;2300;;2,12766;;
020504;0000;;2,12766;;
020504;0100;;1,59574;;
020504;0200;;1,59574;;
020504;0300;;1,06383;;
020504;0400;;1,06383;;
020504;0500;;1,06383;;
020504;0600;;1,59574;;
020504;0700;;1,59574;;
020504;0800;;2,12766;;
020504;0900;;4,78722;;
020504;1000;;4,25532;;
020504;1100;;3,19149;;
020504;1200;;2,65957;;
020504;1300;;1,59574;;
020504;1400;;1,59574;;
020504;1500;;2,12766;;
020504;1600;;1,06383;;
020504;1700;;1,59574;;
