FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
981015;0100;;20,932;;
981015;0200;;18,3155;;
981015;0300;;15,699;;
981015;0400;;18,3155;;
981015;0500;;36,631;;
981015;0600;;41,8639;;
981015;0700;;49,7134;;
981015;0800;;39,2473;;
981015;0900;;23,5485;;
981015;1000;;13,0825;;
981015;1100;;13,0825;;
981015;1200;;10,466;;
981015;1300;;10,466;;
981015;1400;;7,84949;;
981015;1500;;7,84949;;
981015;1600;;10,466;;
981015;1700;;2,6165;;
981015;1800;;5,233;;
981015;1900;;5,233;;
981015;2000;;5,233;;
981015;2100;;5,233;;
981015;2200;;2,6165;;
981015;2300;;2,6165;;
981016;0000;;2,6165;;
981016;0100;;2,6165;;
981016;0200;;2,6165;;
981016;0300;;2,6165;;
981016;0400;;2,6165;;
981016;0500;;2,6165;;
981016;0600;;5,233;;
981016;0700;;7,84949;;
981016;0800;;13,0825;;
981016;0900;;20,932;;
981016;1000;;18,3155;;
981016;1100;;18,3155;;
981016;1200;;13,0825;;
981016;1300;;7,84949;;
981016;1400;;7,84949;;
981016;1500;;5,233;;
981016;1600;;5,233;;
981016;1700;;10,466;;
981016;1800;;13,0825;;
981016;1900;;23,5485;;
981016;2000;;62,7959;;
981016;2100;;47,0971;;
981016;2200;;34,0144;;
981016;2300;;26,1649;;
981017;0000;;18,3155;;
981017;0100;;10,466;;
981017;0200;;7,84949;;
981017;0300;;7,84949;;
981017;0400;;5,233;;
981017;0500;;5,233;;
981017;0600;;10,466;;
981017;0700;;26,1649;;
981017;0800;;36,631;;
981017;0900;;28,7815;;
981017;1000;;57,5629;;
981017;1100;;86,3444;;
981017;1200;;68,0288;;
981017;1300;;28,7815;;
981017;1400;;15,699;;
981017;1500;;20,932;;
981017;1600;;23,5485;;
981017;1700;;65,4124;;
981017;1800;;39,2473;;
981017;1900;;10,466;;
981017;2000;;10,466;;
981017;2100;;10,466;;
981017;2200;;10,466;;
981017;2300;;26,1649;;
981018;0000;;26,1649;;
981018;0100;;23,5485;;
981018;0200;;20,932;;
981018;0300;;15,699;;
981018;0400;;15,699;;
981018;0500;;13,0825;;
981018;0600;;18,3155;;
981018;0700;;18,3155;;
981018;0800;;26,1649;;
981018;0900;;31,3981;;
981018;1000;;23,5485;;
981018;1100;;13,0825;;
981018;1200;;9,99998;;
981018;1300;;7,84949;;
981018;1400;;5,233;;
981018;1500;;5,233;;
981018;1600;;5,233;;
981018;1700;;2,6165;;
981018;1800;;5,233;;
981018;1900;;5,233;;
981018;2000;;5,233;;
981018;2100;;10,466;;
981018;2200;;18,3155;;
981018;2300;;57,5629;;
981019;0000;;44,4805;;
981019;0100;;23,5485;;
981019;0200;;15,699;;
981019;0300;;13,0825;;
981019;0400;;13,0825;;
981019;0500;;10,466;;
981019;0600;;13,0825;;
981019;0700;;13,0825;;
981019;0800;;13,0825;;
981019;0900;;15,699;;
981019;1000;;13,0825;;
981019;1100;;15,699;;
981019;1200;;13,0825;;
981019;1300;;10,466;;
981019;1400;;7,84949;;
981019;1500;;5,233;;
981019;1600;;5,233;;
981019;1700;;2,6165;;
981019;1800;;2,6165;;
981019;1900;;5,233;;
981019;2000;;5,233;;
981019;2100;;2,6165;;
981019;2200;;2,6165;;
981019;2300;;2,6165;;
981020;0000;;2,6165;;
981020;0100;;2,6165;;
981020;0200;;2,6165;;
981020;0300;;2,6165;;
981020;0400;;2,6165;;
981020;0500;;2,6165;;
981020;0600;;5,233;;
981020;0700;;7,84949;;
981020;0800;;15,699;;
981020;0900;;18,3155;;
981020;1000;;41,8639;;
981020;1100;;99,4268;;
981020;1200;;86,3444;;
981020;1300;;54,9464;;
981020;1400;;65,4124;;
981020;1500;;44,4805;;
981020;1600;;26,1649;;
981020;1700;;18,3155;;
981020;1800;;15,699;;
981020;1900;;68,0288;;
981020;2000;;47,0971;;
981020;2100;;28,7815;;
981020;2200;;26,1649;;
981020;2300;;26,1649;;
981021;0000;;47,0971;;
981021;0100;;20,932;;
981021;0200;;20,932;;
981021;0300;;15,699;;
981021;0400;;15,699;;
981021;0500;;15,699;;
981021;0600;;23,5485;;
981021;0700;;20,932;;
981021;0800;;75,8783;;
981021;0900;;96,8105;;
981021;1000;;39,2473;;
981021;1100;;23,5485;;
981021;1200;;26,1649;;
981021;1300;;18,3155;;
981021;1400;;15,699;;
981021;1500;;13,0825;;
981021;1600;;5,233;;
981021;1700;;5,233;;
981021;1800;;5,233;;
981021;1900;;5,233;;
981021;2000;;7,84949;;
981021;2100;;7,84949;;
981021;2200;;10,466;;
981021;2300;;10,466;;
981022;0000;;7,84949;;
981022;0100;;7,84949;;
981022;0200;;5,233;;
981022;0300;;5,233;;
981022;0400;;5,233;;
981022;0500;;5,233;;
981022;0600;;2,6165;;
981022;0700;;5,233;;
981022;0800;;10,466;;
981022;0900;;26,1649;;
981022;1000;;28,7815;;
981022;1100;;31,3981;;
981022;1200;;28,7815;;
981022;1300;;28,7815;;
981022;1400;;28,7815;;
981022;1500;;15,699;;
981022;1600;;13,0825;;
981022;1700;;7,84949;;
981022;1800;;7,84949;;
981022;1900;;13,0825;;
981022;2000;;10,466;;
981022;2100;;7,84949;;
981022;2200;;7,84949;;
981022;2300;;5,233;;
981023;0000;;5,233;;
981023;0100;;5,233;;
981023;0200;;2,6165;;
981023;0300;;2,6165;;
981023;0400;;2,6165;;
981023;0500;;5,233;;
981023;0600;;7,84949;;
981023;0700;;15;;
981023;0800;;18,3155;;
981023;0900;;20,932;;
981023;1000;;39,2473;;
981023;1100;;18,3155;;
981023;1200;;18,3155;;
981023;1300;;18,3155;;
