FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160301;0100;;;0,118;
160301;0200;;;0,118;
160301;0300;;;0,118;
160301;0400;;;0,118;
160301;0500;;;0,127;
160301;0600;;;0,124;
160301;0700;;;0,118;
160301;0800;;;0,133;
160301;0900;;;0,124;
160301;1000;;;0,127;
160301;1100;;;0,149;
160301;1200;;;0,119;
160301;1300;;;0,118;
160301;1400;;;0,118;
160301;1500;;;0,118;
160301;1600;;;0,118;
160301;1700;;;0,119;
160301;1800;;;0,119;
160301;1900;;;0,123;
160301;2000;;;0,121;
160301;2100;;;0,141;
160301;2200;;;0,16;
160301;2300;;;0,119;
160302;0000;;;0,119;
160302;0100;;;0,123;
160302;0200;;;0,121;
160302;0300;;;0,121;
160302;0400;;;0,12;
160302;0500;;;0,12;
160302;0600;;;0,127;
160302;0700;;;0,12;
160302;0800;;;0,12;
160302;0900;;;0,122;
160302;1000;;;0,124;
160302;1100;;;0,125;
160302;1200;;;0,134;
160302;1300;;;0,13;
160302;1400;;;0,139;
160302;1500;;;0,136;
160302;1600;;;0,134;
160302;1700;;;0,135;
160302;1800;;;0,136;
160302;1900;;;0,136;
160302;2000;;;0,137;
160302;2100;;;0,137;
160302;2200;;;0,149;
160302;2300;;;0,148;
160303;0000;;;0,149;
160303;0100;;;0,149;
160303;0200;;;0,149;
160303;0300;;;0,149;
160303;0400;;;0,149;
160303;0500;;;0,149;
160303;0600;;;0,149;
160303;0700;;;0,148;
160303;0800;;;0,149;
160303;0900;;;;
160303;1000;;;;
160303;1100;;;;
160303;1200;;;;
160303;1300;;;;
160303;1400;;;0,151;
160303;1500;;;0,15;
160303;1600;;;;
160303;1700;;;;
160303;1800;;;;
160303;1900;;;;
160303;2000;;;;
160303;2100;;;;
160303;2200;;;;
160303;2300;;;;
160304;0000;;;;
160304;0100;;;;
160304;0200;;;;
160304;0300;;;;
160304;0400;;;;
160304;0500;;;;
160304;0600;;;;
160304;0700;;;;
160304;0800;;;;
160304;0900;;;;
160304;1000;;;;
160304;1100;;;;
160304;1200;;;;
160304;1300;;;;
160304;1400;;;;
160304;1500;;;;
160304;1600;;;;
160304;1700;;;;
160304;1800;;;0,331;
160304;1900;;;0,339;
160304;2000;;;0,341;
160304;2100;;;0,344;
160304;2200;;;0,347;
160304;2300;;;0,346;
160305;0000;;;0,297;
160305;0100;;;0,319;
160305;0200;;;0,33;
160305;0300;;;0,327;
160305;0400;;;0,317;
160305;0500;;;0,328;
160305;0600;;;0,316;
160305;0700;;;0,376;
160305;0800;;;0,395;
160305;0900;;;0,329;
160305;1000;;;0,313;
160305;1100;;;0,309;
160305;1200;;;0,299;
160305;1300;;;0,298;
160305;1400;;;0,305;
160305;1500;;;0,303;
160305;1600;;;0,299;
160305;1700;;;0,318;
160305;1800;;;0,324;
160305;1900;;;0,328;
160305;2000;;;0,328;
160305;2100;;;0,311;
160305;2200;;;0,324;
160305;2300;;;0,31;
160306;0000;;;0,298;
160306;0100;;;0,3;
160306;0200;;;0,304;
160306;0300;;;0,297;
160306;0400;;;0,306;
160306;0500;;;0,31;
160306;0600;;;0,31;
160306;0700;;;0,318;
160306;0800;;;0,316;
160306;0900;;;0,313;
160306;1000;;;0,309;
160306;1100;;;0,304;
160306;1200;;;0,288;
160306;1300;;;0,301;
160306;1400;;;0,31;
160306;1500;;;0,308;
160306;1600;;;0,302;
160306;1700;;;0,309;
160306;1800;;;0,322;
160306;1900;;;0,34;
160306;2000;;;0,316;
160306;2100;;;0,892;
160306;2200;;;0,419;
160306;2300;;;0,375;
160307;0000;;;0,38;
160307;0100;;;0,379;
160307;0200;;;0,385;
160307;0300;;;0,324;
160307;0400;;;0,332;
160307;0500;;;0,323;
160307;0600;;;0,332;
160307;0700;;;0,354;
160307;0800;;;0,343;
160307;0900;;;0,328;
160307;1000;;;0,323;
160307;1100;;;0,296;
160307;1200;;;0,302;
160307;1300;;;0,31;
160307;1400;;;0,313;
160307;1500;;;0,308;
160307;1600;;;0,312;
160307;1700;;;0,31;
160307;1800;;;0,297;
160307;1900;;;0,315;
160307;2000;;;0,316;
160307;2100;;;0,323;
160307;2200;;;0,34;
160307;2300;;;0,741;
160308;0000;;;0,297;
160308;0100;;;0,398;
160308;0200;;;0,456;
160308;0300;;;0,342;
160308;0400;;;0,451;
160308;0500;;;0,328;
160308;0600;;;0,315;
160308;0700;;;0,326;
160308;0800;;;0,307;
160308;0900;;;0,32;
160308;1000;;;0,328;
160308;1100;;;0,324;
160308;1200;;;0,273;
160308;1300;;;0,292;
160308;1400;;;0,296;
160308;1500;;;0,304;
160308;1600;;;0,291;
160308;1700;;;0,275;
160308;1800;;;0,274;
160308;1900;;;0,28;
160308;2000;;;0,287;
160308;2100;;;0,286;
160308;2200;;;0,349;
160308;2300;;;0,336;
160309;0000;;;0,306;
160309;0100;;;0,338;
160309;0200;;;0,32;
160309;0300;;;0,327;
160309;0400;;;0,333;
160309;0500;;;0,343;
160309;0600;;;0,338;
160309;0700;;;0,446;
160309;0800;;;0,356;
160309;0900;;;0,333;
160309;1000;;;0,342;
160309;1100;;;0,329;
160309;1200;;;0,292;
160309;1300;;;0,292;
160309;1400;;;0,296;
160309;1500;;;0,304;
160309;1600;;;0,29;
160309;1700;;;0,291;
160309;1800;;;0,29;
160309;1900;;;0,295;
160309;2000;;;0,297;
160309;2100;;;0,299;
160309;2200;;;0,399;
160309;2300;;;0,442;
160310;0000;;;0,272;
160310;0100;;;0,28;
160310;0200;;;0,282;
160310;0300;;;0,316;
160310;0400;;;0,35;
160310;0500;;;0,309;
160310;0600;;;0,287;
160310;0700;;;0,281;
160310;0800;;;0,283;
160310;0900;;;0,289;
160310;1000;;;0,316;
160310;1100;;;0,301;
160310;1200;;;;
160310;1300;;;;
160310;1400;;;;
160310;1500;;;0,14;
160310;1600;;;0,143;
160310;1700;;;0,143;
160310;1800;;;0,141;
160310;1900;;;0,143;
160310;2000;;;0,165;
160310;2100;;;0,14;
160310;2200;;;0,145;
160310;2300;;;0,147;
160311;0000;;;0,152;
160311;0100;;;0,146;
160311;0200;;;0,146;
160311;0300;;;0,147;
160311;0400;;;0,147;
160311;0500;;;0,158;
160311;0600;;;0,147;
160311;0700;;;0,147;
160311;0800;;;0,154;
160311;0900;;;0,155;
160311;1000;;;0,163;
160311;1100;;;0,153;
160311;1200;;;0,151;
160311;1300;;;0,15;
160311;1400;;;0,153;
160311;1500;;;0,151;
160311;1600;;;0,155;
160311;1700;;;0,152;
160311;1800;;;0,151;
160311;1900;;;0,151;
160311;2000;;;0,151;
160311;2100;;;0,151;
160311;2200;;;0,151;
160311;2300;;;0,151;
160312;0000;;;0,152;
160312;0100;;;0,158;
160312;0200;;;0,159;
160312;0300;;;0,158;
160312;0400;;;0,158;
160312;0500;;;0,158;
160312;0600;;;0,158;
160312;0700;;;0,158;
160312;0800;;;0,158;
160312;0900;;;0,158;
160312;1000;;;0,158;
160312;1100;;;0,158;
160312;1200;;;0,156;
160312;1300;;;0,156;
160312;1400;;;0,156;
160312;1500;;;0,156;
160312;1600;;;0,157;
160312;1700;;;0,158;
160312;1800;;;0,157;
160312;1900;;;0,159;
160312;2000;;;0,205;
160312;2100;;;0,186;
160312;2200;;;0,163;
160312;2300;;;0,161;
160313;0000;;;0,162;
160313;0100;;;0,16;
160313;0200;;;0,162;
160313;0300;;;0,161;
160313;0400;;;0,162;
160313;0500;;;0,167;
160313;0600;;;0,166;
160313;0700;;;0,179;
160313;0800;;;0,33;
160313;0900;;;0,35;
160313;1000;;;0,351;
160313;1100;;;0,388;
160313;1200;;;0,362;
160313;1300;;;0,359;
160313;1400;;;0,367;
160313;1500;;;0,313;
160313;1600;;;0,314;
160313;1700;;;0,32;
160313;1800;;;0,33;
160313;1900;;;0,323;
160313;2000;;;0,322;
160313;2100;;;0,32;
160313;2200;;;0,333;
160313;2300;;;0,392;
160314;0000;;;0,331;
160314;0100;;;0,33;
160314;0200;;;0,336;
160314;0300;;;0,332;
160314;0400;;;0,351;
160314;0500;;;0,334;
160314;0600;;;0,353;
160314;0700;;;0,336;
160314;0800;;;0,339;
160314;0900;;;0,353;
160314;1000;;;0,342;
160314;1100;;;0,346;
160314;1200;;;0,337;
160314;1300;;;0,328;
160314;1400;;;0,335;
160314;1500;;;0,341;
160314;1600;;;0,338;
160314;1700;;;0,341;
160314;1800;;;0,323;
160314;1900;;;0,328;
160314;2000;;;0,326;
160314;2100;;;0,327;
160314;2200;;;0,329;
160314;2300;;;0,328;
160315;0000;;;0,32;
160315;0100;;;0,321;
160315;0200;;;0,337;
160315;0300;;;0,328;
160315;0400;;;0,331;
160315;0500;;;0,329;
160315;0600;;;0,34;
160315;0700;;;0,338;
160315;0800;;;0,337;
160315;0900;;;0,36;
160315;1000;;;0,372;
160315;1100;;;0,35;
160315;1200;;;0,326;
160315;1300;;;0,317;
160315;1400;;;0,326;
160315;1500;;;0,331;
160315;1600;;;0,331;
160315;1700;;;0,34;
160315;1800;;;0,346;
160315;1900;;;0,339;
160315;2000;;;0,325;
160315;2100;;;0,32;
160315;2200;;;0,332;
160315;2300;;;0,342;
160316;0000;;;0,326;
