FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
071222;0100;;0,0819999;;
071222;0200;;0,049;;
071222;0300;;0,028;;
071222;0400;;0,011;;
071222;0500;;0,013;;
071222;0600;;0,025;;
071222;0700;;0,029;;
071222;0800;;0,147;;
071222;0900;;0,126;;
071222;1000;;0,127;;
071222;1100;;0,114;;
071222;1200;;0,0779998;;
071222;1300;;0,139;;
071222;1400;;0,108;;
071222;1500;;0,081;;
071222;1600;;0,0669998;;
071222;1700;;0,054;;
071222;1800;;0,047;;
071222;1900;;0,071;;
071222;2000;;0,086;;
071222;2100;;0,0919999;;
071222;2200;;0,074;;
071222;2300;;0,12;;
071223;0000;;0,192;;
071223;0100;;0,166;;
071223;0200;;0,149;;
071223;0300;;0,149;;
071223;0400;;0,139;;
071223;0500;;0,145;;
071223;0600;;0,166;;
071223;0700;;0,183;;
071223;0800;;0,146;;
071223;0900;;0,122;;
071223;1000;;0,0929998;;
071223;1100;;0,0749998;;
071223;1200;;0,0549999;;
071223;1300;;0,034;;
071223;1400;;0,02;;
071223;1500;;0,013;;
071223;1600;;0,013;;
071223;1700;;0,013;;
071223;1800;;0,00899999;;
071223;1900;;0,014;;
071223;2000;;0,031;;
071223;2100;;0,0459999;;
071223;2200;;0,0549999;;
071223;2300;;0,0599999;;
071224;0000;;0,11;;
071224;0100;;0,109;;
071224;0200;;0,079;;
071224;0300;;0,0869999;;
071224;0400;;0,0929998;;
071224;0500;;0,0779998;;
071224;0600;;0,0829998;;
071224;0700;;0,0979998;;
071224;0800;;0,0749998;;
071224;0900;;0,0549999;;
071224;1000;;0,051;;
071224;1100;;0,036;;
071224;1200;;0,029;;
071224;1300;;0,016;;
071224;1400;;0,00999999;;
071224;1500;;0;;
071224;1600;;0,003;;
071224;1700;;0,018;;
071224;1800;;0,037;;
071224;1900;;0,049;;
071224;2000;;0,059;;
071224;2100;;0,073;;
071224;2200;;0,058;;
071224;2300;;0,054;;
071225;0000;;0,104;;
071225;0100;;0,104;;
071225;0200;;0,099;;
071225;0300;;0,102;;
071225;0400;;0,103;;
071225;0500;;0,0999998;;
071225;0600;;0,103;;
071225;0700;;0,102;;
071225;0800;;0,0899998;;
071225;0900;;0,0879998;;
071225;1000;;0,073;;
071225;1100;;0,071;;
071225;1200;;0,061;;
071225;1300;;0,034;;
071225;1400;;0,014;;
071225;1500;;0;;
071225;1600;;0,016;;
071225;1700;;0,025;;
071225;1800;;0,021;;
071225;1900;;0,00899999;;
071225;2000;;0,025;;
071225;2100;;0,0639999;;
071225;2200;;0,063;;
071225;2300;;0,054;;
071226;0000;;0,0459999;;
071226;0100;;0,039;;
071226;0200;;0,039;;
071226;0300;;0,0409999;;
071226;0400;;0,051;;
071226;0500;;0,053;;
071226;0600;;0,053;;
071226;0700;;0,0689999;;
071226;0800;;0,058;;
071226;0900;;0,0549999;;
071226;1000;;0,035;;
071226;1100;;0,036;;
071226;1200;;0,029;;
071226;1300;;0,019;;
071226;1400;;0,00799999;;
071226;1500;;0,042;;
071226;1600;;0,033;;
071226;1700;;0,033;;
071226;1800;;0,05;;
071226;1900;;0,0829998;;
071226;2000;;0,107;;
071226;2100;;0,117;;
071226;2200;;0,111;;
071226;2300;;0,137;;
071227;0000;;0,039;;
071227;0100;;0,031;;
071227;0200;;0,044;;
071227;0300;;0,05;;
071227;0400;;0,049;;
071227;0500;;0,0639999;;
071227;0600;;0,0749998;;
071227;0700;;0,0819999;;
071227;0800;;0,052;;
071227;0900;;0,005;;
071227;1000;;0,016;;
071227;1100;;0,021;;
071227;1200;;0,03;;
071227;1300;;0,0319999;;
071227;1400;;0,027;;
071227;1500;;0,0409999;;
071227;1600;;0,0639999;;
071227;1700;;0,0639999;;
071227;1800;;0,0819999;;
071227;1900;;0,101;;
071227;2000;;0,111;;
071227;2100;;0,136;;
071227;2200;;0,128;;
071227;2300;;0,137;;
071228;0000;;0,0599999;;
071228;0100;;0,043;;
071228;0200;;0,0409999;;
071228;0300;;0,047;;
071228;0400;;0,05;;
071228;0500;;0,0649998;;
071228;0600;;0,0829998;;
071228;0700;;0,096;;
071228;0800;;0,0919999;;
071228;0900;;0,081;;
071228;1000;;0,061;;
071228;1100;;0,038;;
071228;1200;;0,027;;
071228;1300;;0,013;;
071228;1400;;0,002;;
071228;1500;;0,00399999;;
071228;1600;;0,002;;
071228;1700;;0,011;;
071228;1800;;0,02;;
071228;1900;;0,059;;
071228;2000;;0,0599999;;
071228;2100;;0,0639999;;
071228;2200;;0,061;;
071228;2300;;0,0649998;;
071229;0000;;0,0749998;;
071229;0100;;0,0769999;;
071229;0200;;0,0799998;;
071229;0300;;0,0849998;;
071229;0400;;0,063;;
071229;0500;;0,063;;
071229;0600;;0,074;;
071229;0700;;0,081;;
071229;0800;;0,0929998;;
071229;0900;;0,0999998;;
071229;1000;;0,0819999;;
071229;1100;;0,0459999;;
071229;1200;;0,013;;
071229;1300;;0,00399999;;
071229;1400;;0,003;;
071229;1500;;0,00799999;;
071229;1600;;0,022;;
071229;1700;;0,029;;
071229;1800;;0,018;;
071229;1900;;0,021;;
