FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0100;;8,89998;;
090901;0200;;8,39998;;
090901;0300;;8;;
090901;0400;;7,39999;;
090901;0500;;7,3;;
090901;0600;;7,5;;
090901;0700;;8,39998;;
090901;0800;;7,89999;;
090901;0900;;7,89999;;
090901;1000;;12,8;;
090901;1100;;11,2;;
090901;1200;;10,4;;
090901;1300;;10,7;;
090901;1400;;11,6;;
090901;1500;;13,4;;
090901;1600;;12,2;;
090901;1700;;10,9;;
090901;1800;;11,4;;
090901;1900;;11,5;;
090901;2000;;9,89998;;
090901;2100;;10,9;;
090901;2200;;12,1;;
090901;2300;;12,2;;
090902;0000;;13,8;;
090902;0100;;11,2;;
090902;0200;;12,4;;
090902;0300;;11,2;;
090902;0400;;9,09998;;
090902;0500;;9,2;;
090902;0600;;8,79999;;
090902;0700;;10,4;;
090902;0800;;13,8;;
090902;0900;;15,2;;
090902;1000;;14,9;;
090902;1100;;13,1;;
090902;1200;;10,8;;
090902;1300;;9,39998;;
090902;1400;;10,3;;
090902;1500;;11,3;;
090902;1600;;10,3;;
090902;1700;;7,8;;
090902;1800;;6,8;;
090902;1900;;6,2;;
090902;2000;;8,59998;;
090902;2100;;9,89998;;
090902;2200;;9,5;;
090902;2300;;8,5;;
090903;0000;;7,89999;;
090903;0100;;7;;
090903;0200;;6,5;;
090903;0300;;6,5;;
090903;0400;;6,89999;;
090903;0500;;7,2;;
090903;0600;;8,59998;;
090903;0700;;9,39998;;
090903;0800;;8,09998;;
090903;0900;;7,7;;
090903;1000;;9,2;;
090903;1100;;10,1;;
090903;1200;;12,8;;
090903;1300;;13,1;;
090903;1400;;13,5;;
090903;1500;;14,2;;
090903;1600;;12,8;;
090903;1700;;11,2;;
090903;1800;;9,39998;;
090903;1900;;7,5;;
090903;2000;;6,8;;
090903;2100;;7,1;;
090903;2200;;7,2;;
090903;2300;;6,39999;;
090904;0000;;5,3;;
090904;0100;;5,3;;
090904;0200;;5,5;;
090904;0300;;5,6;;
090904;0400;;6,2;;
090904;0500;;7,1;;
090904;0600;;7;;
090904;0700;;7,1;;
090904;0800;;8,09998;;
090904;0900;;9,7;;
090904;1000;;13,6;;
090904;1100;;14,6;;
090904;1200;;13,9;;
090904;1300;;14;;
090904;1400;;15,3;;
090904;1500;;14,9;;
090904;1600;;13,4;;
090904;1700;;13,2;;
090904;1800;;12,9;;
090904;1900;;12,6;;
090904;2000;;12,9;;
090904;2100;;12,1;;
090904;2200;;11,4;;
090904;2300;;10;;
090905;0000;;9,09998;;
090905;0100;;8,7;;
090905;0200;;8,7;;
