FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160121;0100;;;;
160121;0200;;;;
160121;0300;;;;
160121;0400;;;;
160121;0500;;;;
160121;0600;;;;
160121;0700;;;;
160121;0800;;;;
160121;0900;;;;
160121;1000;;;;
160121;1100;;;;
160121;1200;;;;
160121;1300;;;;
160121;1400;;;;
160121;1500;;;;
160121;1600;;;;
160121;1700;;;;
160121;1800;;;;
160121;1900;;;;
160121;2000;;;;
160121;2100;;;;
160121;2200;;;;
160121;2300;;;;
160122;0000;;;;
160122;0100;;;;
160122;0200;;;;
160122;0300;;;;
160122;0400;;;;
160122;0500;;;;
160122;0600;;;;
160122;0700;;;;
160122;0800;;;;
160122;0900;;;;
160122;1000;;;;
160122;1100;;;;
160122;1200;;;;
160122;1300;;;;
160122;1400;;;;
160122;1500;;;;
160122;1600;;;;
160122;1700;;;;
160122;1800;;;;
160122;1900;;;;
160122;2000;;;;
160122;2100;;;;
160122;2200;;;;
160122;2300;;;;
160123;0000;;;;
160123;0100;;;;
160123;0200;;;;
160123;0300;;;;
160123;0400;;;;
160123;0500;;;;
160123;0600;;;;
160123;0700;;;;
160123;0800;;;;
160123;0900;;;;
160123;1000;;;;
160123;1100;;;;
160123;1200;;;;
160123;1300;;;;
160123;1400;;;;
160123;1500;;;;
160123;1600;;;;
160123;1700;;;;
160123;1800;;;;
160123;1900;;;;
160123;2000;;;;
160123;2100;;;;
160123;2200;;;;
160123;2300;;;;
160124;0000;;;;
160124;0100;;;;
160124;0200;;;;
160124;0300;;;;
160124;0400;;;;
160124;0500;;;;
160124;0600;;;;
160124;0700;;;;
160124;0800;;;;
160124;0900;;;;
160124;1000;;;;
160124;1100;;;;
160124;1200;;;;
160124;1300;;;;
160124;1400;;;;
160124;1500;;;;
160124;1600;;;;
160124;1700;;;;
160124;1800;;;;
160124;1900;;;;
160124;2000;;;;
160124;2100;;;;
160124;2200;;;;
160124;2300;;;;
160125;0000;;;;
160125;0100;;;;
160125;0200;;;;
160125;0300;;;;
160125;0400;;;;
160125;0500;;;;
160125;0600;;;;
160125;0700;;;;
160125;0800;;;;
160125;0900;;;;
160125;1000;;;;
160125;1100;;;;
160125;1200;;;;
160125;1300;;;;
160125;1400;;;;
160125;1500;;;;
160125;1600;;;;
160125;1700;;;;
160125;1800;;;;
160125;1900;;;;
160125;2000;;;;
160125;2100;;;;
160125;2200;;;;
160125;2300;;;;
160126;0000;;;;
160126;0100;;;;
160126;0200;;;;
160126;0300;;;;
160126;0400;;;;
160126;0500;;;;
160126;0600;;;;
160126;0700;;;;
160126;0800;;;;
160126;0900;;;;
160126;1000;;;;
160126;1100;;;;
160126;1200;;;;
160126;1300;;;;
160126;1400;;;;
160126;1500;;;;
160126;1600;;;;
160126;1700;;;;
160126;1800;;;;
160126;1900;;;;
160126;2000;;;;
160126;2100;;;;
160126;2200;;;;
160126;2300;;;;
160127;0000;;;;
160127;0100;;;;
160127;0200;;;;
160127;0300;;;;
160127;0400;;;;
160127;0500;;;;
160127;0600;;;;
160127;0700;;;;
160127;0800;;;;
160127;0900;;;;
160127;1000;;;;
160127;1100;;;;
160127;1200;;;;
160127;1300;;;;
160127;1400;;;;
160127;1500;;;;
160127;1600;;;;
160127;1700;;;;
160127;1800;;;;
160127;1900;;;;
160127;2000;;;;
160127;2100;;;;
160127;2200;;;;
160127;2300;;;;
160128;0000;;;;
160128;0100;;;;
160128;0200;;;;
160128;0300;;;;
160128;0400;;;;
160128;0500;;;;
160128;0600;;;;
160128;0700;;;;
160128;0800;;;;
160128;0900;;;;
160128;1000;;;;
160128;1100;;;;
160128;1200;;;;
160128;1300;;;;
160128;1400;;;;
160128;1500;;;;
160128;1600;;;;
160128;1700;;;;
160128;1800;;;;
160128;1900;;;;
160128;2000;;;;
160128;2100;;;;
160128;2200;;;;
160128;2300;;;;
160129;0000;;;;
160129;0100;;;;
160129;0200;;;;
160129;0300;;;;
160129;0400;;;;
160129;0500;;;;
160129;0600;;;;
160129;0700;;;;
160129;0800;;;;
160129;0900;;;;
160129;1000;;;;
160129;1100;;;;
160129;1200;;;;
160129;1300;;;;
160129;1400;;;;
160129;1500;;;;
160129;1600;;;;
160129;1700;;;;
160129;1800;;;;
160129;1900;;;;
160129;2000;;;;
160129;2100;;;;
160129;2200;;;;
160129;2300;;;;
160130;0000;;;;
160130;0100;;;;
160130;0200;;;;
160130;0300;;;;
160130;0400;;;;
160130;0500;;;;
160130;0600;;;;
160130;0700;;;;
160130;0800;;;;
160130;0900;;;;
160130;1000;;;;
160130;1100;;;;
160130;1200;;;;
160130;1300;;;;
160130;1400;;;;
160130;1500;;;;
160130;1600;;;;
160130;1700;;;;
160130;1800;;;;
160130;1900;;;;
160130;2000;;;;
160130;2100;;;;
160130;2200;;;;
160130;2300;;;;
160131;0000;;;;
160131;0100;;;;
160131;0200;;;;
160131;0300;;;;
160131;0400;;;;
160131;0500;;;;
160131;0600;;;;
160131;0700;;;;
160131;0800;;;;
160131;0900;;;;
160131;1000;;;;
160131;1100;;;;
160131;1200;;;;
160131;1300;;;;
160131;1400;;;;
160131;1500;;;;
160131;1600;;;;
160131;1700;;;;
160131;1800;;;;
160131;1900;;;;
160131;2000;;;;
160131;2100;;;;
160131;2200;;;;
160131;2300;;;;
160201;0000;;;;
160201;0100;;;;
160201;0200;;1,04682;;
160201;0300;;4,16906;;
160201;0400;;10,9358;;
160201;0500;;10,675;;
160201;0600;;10,4323;;
160201;0700;;16,3068;;
160201;0800;;19,9202;;
160201;0900;;13,3267;;
160201;1000;;7,39564;;
160201;1100;;5,4212;;
160201;1200;;5,73499;;
160201;1300;;5,79506;;
160201;1400;;6,51761;;
160201;1500;;6,88499;;
160201;1600;;9,40346;;
160201;1700;;14,3252;;
160201;1800;;16,9433;;
160201;1900;;15,3933;;
160201;2000;;15,481;;
160201;2100;;15,6195;;
160201;2200;;16,6683;;
160201;2300;;21,6101;;
160202;0000;;28,1405;;
160202;0100;;29,12;;
160202;0200;;25,9807;;
160202;0300;;23,3487;;
160202;0400;;25,5176;;
160202;0500;;26,7522;;
160202;0600;;25,9751;;
160202;0700;;22,6327;;
