FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0100;;14;;
000101;0200;;14;;
000101;0300;;13;;
000101;0400;;8,99998;;
000101;0500;;5,99998;;
000101;0600;;4,00001;;
000101;0700;;3;;
000101;0800;;3;;
000101;0900;;3;;
000101;1000;;4,00001;;
000101;1100;;3;;
000101;1200;;2;;
000101;1300;;0,999998;;
000101;1400;;2;;
000101;1500;;5,00001;;
000101;1600;;5,99998;;
000101;1700;;5,00001;;
000101;1800;;4,00001;;
000101;1900;;4,00001;;
000101;2000;;2;;
000101;2100;;2;;
000101;2200;;3;;
000101;2300;;3;;
000102;0000;;3;;
000102;0100;;3;;
000102;0200;;4,00001;;
000102;0300;;5,00001;;
000102;0400;;5,00001;;
000102;0500;;3;;
000102;0600;;2;;
000102;0700;;5,99998;;
000102;0800;;31,9999;;
000102;0900;;5,00001;;
000102;1000;;2;;
000102;1100;;3;;
000102;1200;;5,99998;;
000102;1300;;5,00001;;
000102;1400;;5,00001;;
000102;1500;;5,00001;;
000102;1600;;5,00001;;
000102;1700;;4,00001;;
000102;1800;;4,00001;;
000102;1900;;3;;
000102;2000;;3;;
000102;2100;;3;;
000102;2200;;3;;
000102;2300;;3;;
000103;0000;;4,00001;;
000103;0100;;4,00001;;
000103;0200;;3;;
000103;0300;;3;;
000103;0400;;3;;
000103;0500;;4,00001;;
000103;0600;;4,00001;;
000103;0700;;5,00001;;
000103;0800;;4,00001;;
000103;0900;;;;
000103;1000;;0,999998;;
000103;1100;;0,999998;;
000103;1200;;0,999998;;
000103;1300;;5,00001;;
000103;1400;;14;;
000103;1500;;8,99998;;
000103;1600;;9,99998;;
000103;1700;;7,99998;;
000103;1800;;6,99998;;
000103;1900;;5,99998;;
000103;2000;;6,99998;;
000103;2100;;7,99998;;
000103;2200;;7,99998;;
000103;2300;;7,99998;;
000104;0000;;8,99998;;
000104;0100;;11;;
000104;0200;;12;;
000104;0300;;8,99998;;
000104;0400;;9,99998;;
000104;0500;;95,9999;;
000104;0600;;60,0001;;
000104;0700;;52,9999;;
000104;0800;;45,0001;;
000104;0900;;34;;
000104;1000;;15;;
000104;1100;;9,99998;;
000104;1200;;7,99998;;
000104;1300;;9,99998;;
000104;1400;;7,99998;;
000104;1500;;5,99998;;
000104;1600;;5,99998;;
000104;1700;;4,00001;;
000104;1800;;3;;
000104;1900;;2;;
000104;2000;;2;;
000104;2100;;2;;
000104;2200;;5,00001;;
000104;2300;;8,99998;;
000105;0000;;7,99998;;
000105;0100;;8,99998;;
000105;0200;;13;;
000105;0300;;5,99998;;
000105;0400;;4,00001;;
000105;0500;;9,99998;;
000105;0600;;13;;
000105;0700;;47,9999;;
000105;0800;;;;
000105;0900;;48,9999;;
000105;1000;;21;;
000105;1100;;8,99998;;
000105;1200;;5,00001;;
000105;1300;;5,99998;;
000105;1400;;5,00001;;
000105;1500;;4,00001;;
000105;1600;;2;;
000105;1700;;2;;
000105;1800;;2;;
000105;1900;;0,999998;;
000105;2000;;2;;
000105;2100;;2;;
000105;2200;;4,00001;;
000105;2300;;4,00001;;
000106;0000;;5,00001;;
000106;0100;;5,00001;;
000106;0200;;5,99998;;
000106;0300;;5,00001;;
000106;0400;;3;;
000106;0500;;8,99998;;
000106;0600;;8,99998;;
000106;0700;;14;;
000106;0800;;31,0001;;
000106;0900;;34;;
000106;1000;;19;;
000106;1100;;4,00001;;
000106;1200;;2;;
000106;1300;;0,999998;;
000106;1400;;4,00001;;
000106;1500;;2;;
000106;1600;;0,999998;;
000106;1700;;0,999998;;
000106;1800;;0,999998;;
000106;1900;;0;;
000106;2000;;0,999998;;
000106;2100;;2;;
000106;2200;;3;;
000106;2300;;3;;
000107;0000;;3;;
000107;0100;;3;;
000107;0200;;4,00001;;
000107;0300;;4,00001;;
000107;0400;;5,99998;;
000107;0500;;25;;
000107;0600;;18;;
000107;0700;;35;;
000107;0800;;48,9999;;
000107;0900;;44;;
000107;1000;;12;;
000107;1100;;6,99998;;
000107;1200;;5,00001;;
000107;1300;;5,99998;;
000107;1400;;7,99998;;
000107;1500;;4,00001;;
000107;1600;;4,00001;;
000107;1700;;4,00001;;
000107;1800;;3;;
000107;1900;;2;;
000107;2000;;2;;
000107;2100;;0,999998;;
000107;2200;;0,999998;;
000107;2300;;0;;
000108;0000;;0;;
000108;0100;;0,999998;;
000108;0200;;0,999998;;
000108;0300;;2;;
000108;0400;;2;;
000108;0500;;3;;
000108;0600;;15;;
000108;0700;;38;;
000108;0800;;93,9997;;
000108;0900;;58;;
000108;1000;;12;;
000108;1100;;4,00001;;
000108;1200;;4,00001;;
000108;1300;;5,00001;;
000108;1400;;5,00001;;
000108;1500;;3;;
000108;1600;;2;;
000108;1700;;2;;
000108;1800;;3;;
000108;1900;;2;;
000108;2000;;3;;
000108;2100;;0,999998;;
000108;2200;;2;;
000108;2300;;;;
000109;0000;;;;
000109;0100;;;;
000109;0200;;;;
000109;0300;;;;
000109;0400;;;;
000109;0500;;;;
000109;0600;;;;
000109;0700;;;;
000109;0800;;;;
000109;0900;;;;
000109;1000;;;;
000109;1100;;;;
000109;1200;;;;
000109;1300;;;;
000109;1400;;;;
000109;1500;;;;
000109;1600;;;;
000109;1700;;;;
000109;1800;;;;
000109;1900;;;;
000109;2000;;;;
000109;2100;;;;
000109;2200;;;;
000109;2300;;5,00001;;
000110;0000;;4,00001;;
000110;0100;;3;;
000110;0200;;2;;
000110;0300;;2;;
000110;0400;;4,00001;;
000110;0500;;18;;
000110;0600;;23;;
000110;0700;;26;;
000110;0800;;54;;
000110;0900;;34;;
000110;1000;;15;;
000110;1100;;15;;
000110;1200;;16;;
000110;1300;;12;;
000110;1400;;;;
000110;1500;;5,00001;;
000110;1600;;4,00001;;
000110;1700;;2;;
000110;1800;;2;;
000110;1900;;2;;
000110;2000;;0,999998;;
000110;2100;;0,999998;;
000110;2200;;0;;
000110;2300;;0;;
000111;0000;;0,999998;;
000111;0100;;0,999998;;
000111;0200;;0,999998;;
000111;0300;;15;;
000111;0400;;26;;
000111;0500;;12;;
000111;0600;;14;;
000111;0700;;19;;
000111;0800;;110;;
000111;0900;;85,9999;;
000111;1000;;;;
000111;1100;;13;;
000111;1200;;9,99998;;
000111;1300;;5,99998;;
000111;1400;;4,00001;;
000111;1500;;4,00001;;
000111;1600;;3;;
000111;1700;;2;;
000111;1800;;2;;
000111;1900;;3;;
000111;2000;;3;;
000111;2100;;4,00001;;
000111;2200;;3;;
000111;2300;;4,00001;;
000112;0000;;5,99998;;
000112;0100;;20;;
000112;0200;;26,9999;;
000112;0300;;13;;
000112;0400;;14;;
000112;0500;;5,99998;;
000112;0600;;5,99998;;
000112;0700;;17;;
000112;0800;;40,9998;;
000112;0900;;26,9999;;
000112;1000;;19;;
000112;1100;;8,99998;;
000112;1200;;5,99998;;
000112;1300;;5,99998;;
000112;1400;;;;
000112;1500;;4,00001;;
000112;1600;;3;;
000112;1700;;2;;
000112;1800;;3;;
000112;1900;;0;;
000112;2000;;0;;
000112;2100;;0;;
000112;2200;;0;;
000112;2300;;0,999998;;
000113;0000;;0,999998;;
000113;0100;;0,999998;;
000113;0200;;0;;
000113;0300;;0;;
000113;0400;;0,999998;;
000113;0500;;0,999998;;
000113;0600;;0,999998;;
000113;0700;;2;;
000113;0800;;30;;
000113;0900;;5,00001;;
000113;1000;;7,99998;;
000113;1100;;9,99998;;
000113;1200;;7,99998;;
000113;1300;;6,99998;;
000113;1400;;5,00001;;
000113;1500;;4,00001;;
000113;1600;;3;;
000113;1700;;3;;
000113;1800;;3;;
000113;1900;;0,999998;;
000113;2000;;3;;
000113;2100;;5,99998;;
000113;2200;;5,00001;;
000113;2300;;3;;
000114;0000;;3;;
000114;0100;;3;;
000114;0200;;3;;
000114;0300;;5,00001;;
000114;0400;;5,99998;;
000114;0500;;15;;
000114;0600;;8,99998;;
000114;0700;;;;
000114;0800;;4,00001;;
000114;0900;;4,00001;;
000114;1000;;6,99998;;
000114;1100;;8,99998;;
