FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100701;0100;;1,6046;;
100701;0200;;1,58373;;
100701;0300;;1,55374;;
100701;0400;;1,54366;;
100701;0500;;1,62377;;
100701;0600;;1,66918;;
100701;0700;;1,71832;;
100701;0800;;1,76679;;
100701;0900;;1,60858;;
100701;1000;;1,59742;;
100701;1100;;1,64838;;
100701;1200;;1,64763;;
100701;1300;;1,64144;;
100701;1400;;1,63294;;
100701;1500;;1,68289;;
100701;1600;;1,68876;;
100701;1700;;1,67191;;
100701;1800;;1,64862;;
100701;1900;;1,62401;;
100701;2000;;1,60776;;
100701;2100;;1,57885;;
100701;2200;;1,62715;;
100701;2300;;1,59264;;
100702;0000;;1,55168;;
100702;0100;;1,57207;;
100702;0200;;1,6232;;
100702;0300;;1,65168;;
100702;0400;;1,64359;;
100702;0500;;1,63045;;
100702;0600;;1,59842;;
100702;0700;;1,66779;;
100702;0800;;1,70659;;
100702;0900;;1,58883;;
100702;1000;;1,66044;;
100702;1100;;1,65176;;
100702;1200;;1,63541;;
100702;1300;;1,62806;;
100702;1400;;1,63797;;
100702;1500;;1,67612;;
100702;1600;;1,66176;;
100702;1700;;1,69586;;
100702;1800;;1,58644;;
100702;1900;;1,73945;;
100702;2000;;1,84457;;
100702;2100;;1,82971;;
100702;2200;;1,6776;;
100702;2300;;1,73806;;
100703;0000;;1,66159;;
100703;0100;;1,66432;;
100703;0200;;1,61295;;
100703;0300;;1,6208;;
100703;0400;;1,61807;;
100703;0500;;1,58067;;
100703;0600;;1,64979;;
100703;0700;;1,71245;;
100703;0800;;1,73186;;
100703;0900;;1,70164;;
100703;1000;;1,66786;;
100703;1100;;1,66894;;
100703;1200;;1,61345;;
100703;1300;;1,58388;;
100703;1400;;1,55077;;
100703;1500;;1,55795;;
100703;1600;;1,59297;;
100703;1700;;1,54376;;
100703;1800;;1,58545;;
100703;1900;;1,55326;;
100703;2000;;1,52179;;
100703;2100;;1,54036;;
100703;2200;;1,55994;;
100703;2300;;1,54185;;
100704;0000;;1,54706;;
100704;0100;;1,55465;;
100704;0200;;1,55036;;
100704;0300;;1,53433;;
100704;0400;;1,5222;;
100704;0500;;1,49181;;
100704;0600;;1,47621;;
100704;0700;;1,49866;;
100704;0800;;1,5042;;
100704;0900;;1,51204;;
100704;1000;;1,48215;;
100704;1100;;1,50139;;
100704;1200;;1,49891;;
100704;1300;;1,4748;;
100704;1400;;1,48413;;
100704;1500;;1,4947;;
100704;1600;;1,51122;;
100704;1700;;1,49289;;
100704;1800;;1,56705;;
100704;1900;;1,5355;;
100704;2000;;1,51815;;
100704;2100;;1,50701;;
100704;2200;;1,49206;;
100704;2300;;1,47744;;
100705;0000;;1,49;;
100705;0100;;1,52485;;
100705;0200;;1,51048;;
100705;0300;;1,56035;;
100705;0400;;1,58644;;
100705;0500;;1,57274;;
100705;0600;;1,60073;;
100705;0700;;1,57241;;
100705;0800;;1,63914;;
100705;0900;;1,5838;;
100705;1000;;1,53632;;
100705;1100;;1,48199;;
100705;1200;;1,50354;;
100705;1300;;1,5094;;
100705;1400;;1,50701;;
100705;1500;;1,56233;;
100705;1600;;1,56786;;
100705;1700;;1,55713;;
100705;1800;;1,517;;
100705;1900;;1,53294;;
100705;2000;;1,58421;;
100705;2100;;1,5777;;
100705;2200;;1,55168;;
100705;2300;;1,58009;;
100706;0000;;1,52071;;
100706;0100;;1,51279;;
100706;0200;;1,57001;;
100706;0300;;1,53797;;
100706;0400;;1,51403;;
100706;0500;;1,5582;;
100706;0600;;1,52385;;
100706;0700;;1,54854;;
100706;0800;;1,53301;;
100706;0900;;1,52023;;
100706;1000;;1,50924;;
100706;1100;;1,499;;
100706;1200;;1,46721;;
100706;1300;;1,4966;;
100706;1400;;1,47769;;
100706;1500;;1,49949;;
100706;1600;;1,51353;;
100706;1700;;1,47695;;
100706;1800;;1,49594;;
100706;1900;;1,49941;;
100706;2000;;1,47546;;
100706;2100;;1,47612;;
100706;2200;;1,48768;;
100706;2300;;1,48678;;
100707;0000;;1,51435;;
100707;0100;;1,53864;;
100707;0200;;1,52897;;
100707;0300;;1,53945;;
100707;0400;;1,53179;;
100707;0500;;1,55036;;
100707;0600;;1,56877;;
100707;0700;;1,57109;;
100707;0800;;1,64359;;
100707;0900;;1,64103;;
100707;1000;;1,51551;;
100707;1100;;1,62394;;
100707;1200;;1,60783;;
100707;1300;;1,6293;;
100707;1400;;1,60213;;
100707;1500;;1,56992;;
100707;1600;;1,60807;;
100707;1700;;1,70767;;
100707;1800;;1,55986;;
100707;1900;;1,59908;;
100707;2000;;1,59833;;
100707;2100;;1,74161;;
100707;2200;;1,65498;;
100707;2300;;1,62203;;
100708;0000;;1,58414;;
100708;0100;;1,56779;;
100708;0200;;1,59091;;
100708;0300;;1,64747;;
100708;0400;;1,64845;;
