FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
070801;0100;;1,87644;;
070801;0200;;1,84297;;
070801;0300;;1,87935;;
070801;0400;;1,8072;;
070801;0500;;1,79971;;
070801;0600;;1,79573;;
070801;0700;;1,8113;;
070801;0800;;1,82726;;
070801;0900;;1,82604;;
070801;1000;;1,83536;;
070801;1100;;1,83571;;
070801;1200;;1,83571;;
070801;1300;;1,84841;;
070801;1400;;1,7568;;
070801;1500;;1,755;;
070801;1600;;1,762;;
070801;1700;;1,76224;;
070801;1800;;1,80345;;
070801;1900;;1,82303;;
070801;2000;;1,85142;;
070801;2100;;1,8095;;
070801;2200;;1,91391;;
070801;2300;;1,87233;;
070802;0000;;1,84491;;
070802;0100;;1,87535;;
070802;0200;;1,96695;;
070802;0300;;1,85941;;
070802;0400;;1,87995;;
070802;0500;;2,01565;;
070802;0600;;1,90798;;
070802;0700;;1,84744;;
070802;0800;;1,83886;;
070802;0900;;1,9006;;
070802;1000;;1,83185;;
070802;1100;;1,8043;;
070802;1200;;1,74594;;
070802;1300;;1,72358;;
070802;1400;;1,70098;;
070802;1500;;1,69795;;
070802;1600;;1,69457;;
070802;1700;;1,74557;;
070802;1800;;1,73579;;
070802;1900;;1,72454;;
070802;2000;;1,75463;;
070802;2100;;1,75221;;
070802;2200;;1,82133;;
070802;2300;;1,83512;;
070803;0000;;1,7712;;
070803;0100;;1,78279;;
070803;0200;;1,81832;;
070803;0300;;1,78111;;
070803;0400;;1,77518;;
070803;0500;;1,74944;;
070803;0600;;1,76792;;
070803;0700;;1,7805;;
070803;0800;;1,77348;;
070803;0900;;1,76479;;
070803;1000;;1,77191;;
070803;1100;;1,76418;;
070803;1200;;1,73783;;
070803;1300;;1,74364;;
070803;1400;;;;
070803;1500;;1,84407;;
070803;1600;;1,85398;;
070803;1700;;1,85398;;
070803;1800;;1,85498;;
070803;1900;;1,89264;;
070803;2000;;1,86959;;
070803;2100;;1,87454;;
070803;2200;;1,9137;;
070803;2300;;1,89783;;
070804;0000;;1,86959;;
070804;0100;;2,08661;;
070804;0200;;2,01973;;
070804;0300;;2,09404;;
070804;0400;;1,94689;;
070804;0500;;1,93054;;
070804;0600;;1,92236;;
070804;0700;;1,95456;;
070804;0800;;1,98653;;
070804;0900;;1,98454;;
070804;1000;;2,00436;;
070804;1100;;2,0046;;
070804;1200;;2,00436;;
070804;1300;;2,05291;;
070804;1400;;1,87232;;
070804;1500;;1,86018;;
070804;1600;;1,85424;;
070804;1700;;1,85473;;
070804;1800;;1,90304;;
070804;1900;;1,96695;;
070804;2000;;1,9942;;
070804;2100;;1,93474;;
070804;2200;;1,97092;;
070804;2300;;2,00932;;
070805;0000;;1,95011;;
