FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200425;0100;;;10;
200425;0200;;;8;
200425;0300;;;11;
200425;0400;;;8;
200425;0500;;;6;
200425;0600;;;11;
200425;0700;;;20;
200425;0800;;;6;
200425;0900;;;20;
200425;1000;;;14;
200425;1100;;;9;
200425;1200;;;4;
200425;1300;;;2;
200425;1400;;;3;
200425;1500;;;3;
200425;1600;;;1;
200425;1700;;;11;
200425;1800;;;9;
200425;1900;;;13;
200425;2000;;;13;
200425;2100;;;10;
200425;2200;;;11;
200425;2300;;;7;
200426;0000;;;10;
200426;0100;;;6;
200426;0200;;;3;
200426;0300;;;4;
200426;0400;;;3;
200426;0500;;;4;
200426;0600;;;4;
200426;0700;;;4;
200426;0800;;;4;
200426;0900;;;8;
200426;1000;;;9;
200426;1100;;;8;
200426;1200;;;4;
200426;1300;;;2;
200426;1400;;;1;
200426;1500;;;1;
200426;1600;;;1;
200426;1700;;;1;
200426;1800;;;1;
200426;1900;;;1;
200426;2000;;;6;
200426;2100;;;9;
200426;2200;;;13;
200426;2300;;;11;
200427;0000;;;15;
200427;0100;;;8;
200427;0200;;;4;
200427;0300;;;3;
200427;0400;;;5;
200427;0500;;;4;
200427;0600;;;3;
200427;0700;;;1;
200427;0800;;;21;
200427;0900;;;12;
200427;1000;;;8;
200427;1100;;;4;
200427;1200;;;5;
200427;1300;;;1;
200427;1400;;;1;
200427;1500;;;9;
200427;1600;;;6;
200427;1700;;;5;
200427;1800;;;4;
200427;1900;;;6;
200427;2000;;;4;
200427;2100;;;4;
200427;2200;;;6;
200427;2300;;;5;
200428;0000;;;5;
200428;0100;;;5;
200428;0200;;;5;
200428;0300;;;3;
200428;0400;;;10;
200428;0500;;;10;
200428;0600;;;6;
200428;0700;;;14;
200428;0800;;;8;
200428;0900;;;4;
200428;1000;;;5;
200428;1100;;;3;
200428;1200;;;3;
200428;1300;;;4;
200428;1400;;;5;
200428;1500;;;2;
200428;1600;;;1;
200428;1700;;;5;
200428;1800;;;21;
200428;1900;;;14;
200428;2000;;;14;
200428;2100;;;10;
200428;2200;;;13;
200428;2300;;;9;
200429;0000;;;6;
200429;0100;;;3;
200429;0200;;;2;
200429;0300;;;6;
200429;0400;;;8;
200429;0500;;;6;
200429;0600;;;9;
200429;0700;;;10;
200429;0800;;;25;
200429;0900;;;20;
200429;1000;;;15;
200429;1100;;;10;
200429;1200;;;18;
200429;1300;;;7;
200429;1400;;;6;
200429;1500;;;8;
200429;1600;;;11;
200429;1700;;;10;
200429;1800;;;13;
200429;1900;;;13;
200429;2000;;;10;
200429;2100;;;14;
200429;2200;;;26;
200429;2300;;;18;
200430;0000;;;18;
200430;0100;;;13;
200430;0200;;;10;
200430;0300;;;12;
200430;0400;;;7;
200430;0500;;;6;
200430;0600;;;9;
200430;0700;;;19;
200430;0800;;;2;
200430;0900;;;17;
200430;1000;;;15;
200430;1100;;;13;
200430;1200;;;11;
200430;1300;;;9;
200430;1400;;;8;
200430;1500;;;10;
200430;1600;;;14;
200430;1700;;;13;
200430;1800;;;21;
200430;1900;;;27;
200430;2000;;;32;
200430;2100;;;18;
200430;2200;;;21;
200430;2300;;;21;
200501;0000;;;22;
200501;0100;;;10;
200501;0200;;;14;
200501;0300;;;13;
200501;0400;;;16;
200501;0500;;;14;
200501;0600;;;14;
200501;0700;;;16;
200501;0800;;;11;
200501;0900;;;36;
200501;1000;;;66;
200501;1100;;;23;
200501;1200;;;19;
200501;1300;;;16;
200501;1400;;;16;
200501;1500;;;22;
200501;1600;;;17;
200501;1700;;;12;
200501;1800;;;24;
200501;1900;;;26;
200501;2000;;;35;
200501;2100;;;33;
200501;2200;;;32;
200501;2300;;;25;
200502;0000;;;18;
200502;0100;;;4;
200502;0200;;;2;
200502;0300;;;7;
200502;0400;;;8;
200502;0500;;;12;
200502;0600;;;10;
200502;0700;;;17;
200502;0800;;;22;
200502;0900;;;32;
200502;1000;;;36;
200502;1100;;;32;
200502;1200;;;29;
200502;1300;;;15;
200502;1400;;;22;
200502;1500;;;11;
200502;1600;;;11;
200502;1700;;;9;
200502;1800;;;11;
200502;1900;;;23;
200502;2000;;;20;
200502;2100;;;27;
200502;2200;;;34;
200502;2300;;;27;
200503;0000;;;30;
200503;0100;;;20;
200503;0200;;;22;
200503;0300;;;28;
200503;0400;;;16;
200503;0500;;;20;
200503;0600;;;24;
200503;0700;;;19;
200503;0800;;;5;
200503;0900;;;15;
200503;1000;;;19;
200503;1100;;;18;
200503;1200;;;17;
200503;1300;;;8;
200503;1400;;;10;
200503;1500;;;10;
200503;1600;;;15;
200503;1700;;;12;
200503;1800;;;13;
200503;1900;;;9;
200503;2000;;;10;
200503;2100;;;10;
200503;2200;;;15;
200503;2300;;;12;
200504;0000;;;10;
200504;0100;;;8;
200504;0200;;;7;
200504;0300;;;10;
200504;0400;;;10;
200504;0500;;;10;
200504;0600;;;9;
200504;0700;;;13;
200504;0800;;;14;
200504;0900;;;21;
200504;1000;;;10;
200504;1100;;;11;
