FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0100;;;;
930101;0200;;;;
930101;0300;;;;
930101;0400;;;;
930101;0500;;;;
930101;0600;;;;
930101;0700;;;;
930101;0800;;;;
930101;0900;;;;
930101;1000;;;;
930101;1100;;;;
930101;1200;;;;
930101;1300;;;;
930101;1400;;;;
930101;1500;;;;
930101;1600;;;;
930101;1700;;;;
930101;1800;;;;
930101;1900;;;;
930101;2000;;;;
930101;2100;;;;
930101;2200;;;;
930101;2300;;;;
930102;0000;;;;
930102;0100;;;;
930102;0200;;;;
930102;0300;;;;
930102;0400;;;;
930102;0500;;;;
930102;0600;;;;
930102;0700;;;;
930102;0800;;;;
930102;0900;;;;
930102;1000;;;;
930102;1100;;;;
930102;1200;;;;
930102;1300;;;;
930102;1400;;;;
930102;1500;;;;
930102;1600;;;;
930102;1700;;;;
930102;1800;;;;
930102;1900;;;;
930102;2000;;;;
930102;2100;;;;
930102;2200;;;;
930102;2300;;;;
930103;0000;;;;
930103;0100;;;;
930103;0200;;;;
930103;0300;;;;
930103;0400;;;;
930103;0500;;;;
930103;0600;;;;
930103;0700;;;;
930103;0800;;;;
930103;0900;;;;
930103;1000;;;;
930103;1100;;;;
930103;1200;;;;
930103;1300;;;;
930103;1400;;;;
930103;1500;;;;
930103;1600;;;;
930103;1700;;;;
930103;1800;;;;
930103;1900;;;;
930103;2000;;;;
930103;2100;;;;
930103;2200;;;;
930103;2300;;;;
930104;0000;;;;
930104;0100;;;;
930104;0200;;;;
930104;0300;;;;
930104;0400;;;;
930104;0500;;;;
930104;0600;;;;
930104;0700;;;;
930104;0800;;;;
930104;0900;;;;
930104;1000;;;;
930104;1100;;;;
930104;1200;;;;
930104;1300;;;;
930104;1400;;;;
930104;1500;;;;
930104;1600;;;;
930104;1700;;;;
930104;1800;;;;
930104;1900;;;;
930104;2000;;;;
930104;2100;;;;
930104;2200;;;;
930104;2300;;;;
930105;0000;;;;
930105;0100;;;;
930105;0200;;;;
930105;0300;;;;
930105;0400;;;;
930105;0500;;;;
930105;0600;;;;
930105;0700;;;;
930105;0800;;;;
930105;0900;;;;
930105;1000;;;;
930105;1100;;;;
930105;1200;;;;
930105;1300;;;;
930105;1400;;;;
930105;1500;;;;
930105;1600;;;;
930105;1700;;;;
930105;1800;;;;
930105;1900;;;;
930105;2000;;;;
930105;2100;;;;
930105;2200;;;;
930105;2300;;;;
930106;0000;;;;
930106;0100;;;;
930106;0200;;;;
930106;0300;;;;
930106;0400;;;;
930106;0500;;;;
930106;0600;;;;
930106;0700;;;;
930106;0800;;;;
930106;0900;;;;
930106;1000;;;;
930106;1100;;;;
930106;1200;;;;
930106;1300;;;;
930106;1400;;;;
930106;1500;;;;
930106;1600;;;;
930106;1700;;;;
930106;1800;;;;
930106;1900;;;;
930106;2000;;;;
930106;2100;;;;
930106;2200;;;;
930106;2300;;;;
930107;0000;;;;
930107;0100;;;;
930107;0200;;;;
930107;0300;;;;
930107;0400;;;;
930107;0500;;;;
930107;0600;;;;
930107;0700;;;;
930107;0800;;;;
930107;0900;;;;
930107;1000;;;;
930107;1100;;;;
930107;1200;;;;
930107;1300;;;;
930107;1400;;;;
930107;1500;;;;
930107;1600;;;;
930107;1700;;;;
930107;1800;;;;
930107;1900;;;;
930107;2000;;;;
930107;2100;;;;
930107;2200;;;;
930107;2300;;;;
930108;0000;;;;
930108;0100;;;;
930108;0200;;;;
930108;0300;;;;
930108;0400;;;;
930108;0500;;;;
930108;0600;;;;
930108;0700;;;;
930108;0800;;;;
930108;0900;;;;
930108;1000;;;;
930108;1100;;;;
930108;1200;;;;
930108;1300;;;;
930108;1400;;;;
930108;1500;;;;
930108;1600;;;;
930108;1700;;;;
930108;1800;;;;
930108;1900;;;;
930108;2000;;;;
930108;2100;;;;
930108;2200;;;;
930108;2300;;;;
930109;0000;;;;
930109;0100;;;;
930109;0200;;;;
930109;0300;;;;
930109;0400;;;;
930109;0500;;;;
930109;0600;;;;
930109;0700;;;;
930109;0800;;;;
930109;0900;;;;
930109;1000;;;;
930109;1100;;;;
930109;1200;;;;
930109;1300;;;;
930109;1400;;;;
930109;1500;;;;
930109;1600;;;;
930109;1700;;;;
930109;1800;;;;
930109;1900;;;;
930109;2000;;;;
930109;2100;;;;
930109;2200;;;;
930109;2300;;;;
930110;0000;;;;
930110;0100;;;;
930110;0200;;;;
930110;0300;;;;
930110;0400;;;;
930110;0500;;;;
930110;0600;;;;
930110;0700;;;;
930110;0800;;;;
930110;0900;;;;
930110;1000;;;;
930110;1100;;;;
930110;1200;;;;
930110;1300;;;;
930110;1400;;;;
930110;1500;;;;
930110;1600;;;;
930110;1700;;;;
930110;1800;;;;
930110;1900;;;;
930110;2000;;;;
930110;2100;;;;
930110;2200;;;;
930110;2300;;;;
930111;0000;;;;
930111;0100;;;;
930111;0200;;;;
930111;0300;;;;
930111;0400;;;;
930111;0500;;;;
930111;0600;;;;
930111;0700;;;;
930111;0800;;;;
930111;0900;;;;
930111;1000;;;;
930111;1100;;;;
930111;1200;;;;
930111;1300;;;;
930111;1400;;;;
930111;1500;;;;
930111;1600;;;;
930111;1700;;;;
930111;1800;;;;
930111;1900;;;;
930111;2000;;;;
930111;2100;;;;
930111;2200;;;;
930111;2300;;;;
930112;0000;;;;
930112;0100;;;;
930112;0200;;;;
930112;0300;;;;
930112;0400;;;;
930112;0500;;;;
930112;0600;;;;
930112;0700;;;;
930112;0800;;;;
930112;0900;;;;
930112;1000;;;;
930112;1100;;;;
930112;1200;;;;
930112;1300;;;;
930112;1400;;;;
930112;1500;;;;
930112;1600;;;;
930112;1700;;;;
930112;1800;;;;
930112;1900;;;;
930112;2000;;;;
930112;2100;;;;
930112;2200;;;;
930112;2300;;;;
930113;0000;;;;
930113;0100;;;;
930113;0200;;;;
930113;0300;;;;
930113;0400;;;;
930113;0500;;;;
930113;0600;;;;
930113;0700;;;;
930113;0800;;;;
930113;0900;;;;
930113;1000;;;;
