FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040709;0100;;1;;
040709;0200;;0,5;;
040709;0300;;0,4;;
040709;0400;;0,3;;
040709;0500;;0,4;;
040709;0600;;0,3;;
040709;0700;;0,4;;
040709;0800;;1,3;;
040709;0900;;3,8;;
040709;1000;;2,1;;
040709;1100;;0,2;;
040709;1200;;0,0999998;;
040709;1300;;0,0999998;;
040709;1400;;0;;
040709;1500;;0;;
040709;1600;;0;;
040709;1700;;0;;
040709;1800;;0;;
040709;1900;;0,2;;
040709;2000;;0,2;;
040709;2100;;0,2;;
040709;2200;;0,5;;
040709;2300;;;;
040710;0000;;0,799996;;
040710;0100;;0,7;;
040710;0200;;0,4;;
040710;0300;;0,4;;
040710;0400;;0,4;;
040710;0500;;0,4;;
040710;0600;;0,4;;
040710;0700;;0,4;;
040710;0800;;0,4;;
040710;0900;;0,5;;
040710;1000;;0,799996;;
040710;1100;;0,9;;
040710;1200;;0,5;;
040710;1300;;0,5;;
040710;1400;;0,4;;
040710;1500;;0,3;;
040710;1600;;0,3;;
040710;1700;;0,3;;
040710;1800;;0,4;;
040710;1900;;1,3;;
040710;2000;;2,2;;
040710;2100;;2,5;;
040710;2200;;3;;
040710;2300;;1,5;;
040711;0000;;1,4;;
040711;0100;;1,3;;
040711;0200;;0,5;;
040711;0300;;0,3;;
040711;0400;;0,599998;;
040711;0500;;0,3;;
040711;0600;;0,3;;
040711;0700;;0,2;;
040711;0800;;0,2;;
040711;0900;;0,3;;
040711;1000;;0,3;;
040711;1100;;0,2;;
040711;1200;;0,0999998;;
040711;1300;;0,0999998;;
040711;1400;;0,0999998;;
040711;1500;;0,0999998;;
040711;1600;;0;;
040711;1700;;0;;
040711;1800;;0,0999998;;
040711;1900;;0,3;;
040711;2000;;0,2;;
040711;2100;;0,0999998;;
040711;2200;;0,0999998;;
040711;2300;;0,2;;
040712;0000;;0,2;;
040712;0100;;0,2;;
040712;0200;;0,0999998;;
040712;0300;;0,0999998;;
040712;0400;;0,0999998;;
040712;0500;;0,0999998;;
040712;0600;;0,0999998;;
040712;0700;;0,0999998;;
040712;0800;;0,2;;
040712;0900;;0,3;;
040712;1000;;0,2;;
040712;1100;;0,3;;
040712;1200;;0,2;;
040712;1300;;0,2;;
040712;1400;;0,2;;
040712;1500;;0,0999998;;
040712;1600;;0,0999998;;
040712;1700;;0,3;;
040712;1800;;0,2;;
040712;1900;;0,3;;
040712;2000;;0,5;;
040712;2100;;0,2;;
040712;2200;;0,2;;
040712;2300;;0,2;;
040713;0000;;0,0999998;;
040713;0100;;0,0999998;;
040713;0200;;0,0999998;;
040713;0300;;0,0999998;;
040713;0400;;0,0999998;;
040713;0500;;0,0999998;;
040713;0600;;0,0999998;;
040713;0700;;0,0999998;;
040713;0800;;0,2;;
040713;0900;;0,3;;
040713;1000;;0,4;;
040713;1100;;0,4;;
040713;1200;;0,4;;
040713;1300;;0,4;;
040713;1400;;0,599998;;
040713;1500;;0,3;;
040713;1600;;0,3;;
040713;1700;;0,4;;
040713;1800;;0,799996;;
040713;1900;;1,2;;
040713;2000;;1,4;;
040713;2100;;1,2;;
040713;2200;;1,2;;
040713;2300;;0,599998;;
040714;0000;;0,5;;
040714;0100;;0,3;;
040714;0200;;0,2;;
040714;0300;;0,2;;
040714;0400;;0,2;;
040714;0500;;0,2;;
040714;0600;;0,2;;
040714;0700;;0,2;;
040714;0800;;0,4;;
040714;0900;;0,799996;;
040714;1000;;0,7;;
040714;1100;;0,7;;
040714;1200;;0,599998;;
040714;1300;;0,3;;
040714;1400;;0,3;;
040714;1500;;0,2;;
040714;1600;;0,0999998;;
040714;1700;;0,2;;
040714;1800;;0,2;;
